QM Energy	FF Energy
     -7.9816e-05    -7.99942e-05
    -0.000996646    -0.000933864
    -0.000568975    -0.000562878
    -0.000416187    -0.000409675
       -2.81e-06     -4.1639e-06
     -3.1713e-05    -3.65453e-05
     -5.1776e-05    -5.36351e-05
     -1.8708e-05    -2.27523e-05
      -4.908e-06    -9.39314e-06
    -0.000406706    -0.000342011
      -1.954e-06     -2.9911e-06
    -0.000630993    -0.000604953
      -2.203e-06    -4.67616e-06
       -5.42e-05    -6.21594e-05
    -0.000144151    -0.000157335
      -8.559e-06    -1.09736e-05
     -8.7815e-05    -8.97245e-05
     -9.0255e-05    -9.20219e-05
    -0.000942674     -0.00095589
      -2.065e-05    -2.49962e-05
     -7.2612e-05    -8.22718e-05
     -2.5874e-05    -2.82898e-05
     -7.7843e-05    -8.57675e-05
    -0.000614582    -0.000491134
    -0.000878414    -0.000869539
     -5.4089e-05    -5.97938e-05
      -2.659e-06    -3.64489e-06
     -7.6128e-05    -7.74518e-05
    -0.000127995    -0.000123176
     -2.1397e-05     -2.5461e-05
     -0.00011046    -0.000114364
      -4.701e-06    -7.47493e-06
     -0.00080721    -0.000746898
      -3.816e-06    -7.42451e-06
     -0.00059707    -0.000588007
    -0.000201554    -0.000212395
    -0.000302544     -0.00029647
      -9.396e-06    -1.05578e-05
      -5.782e-06    -7.90728e-06
     -6.1322e-05     -6.3538e-05
    -0.000888403    -0.000852327
     -1.7069e-05    -2.18416e-05
    -0.000439999    -0.000380322
    -0.000744109    -0.000708974
    -0.000145639    -0.000149943
    -0.000671455    -0.000598496
     -5.9275e-05     -6.5673e-05
      -9.277e-06    -1.14521e-05
     -9.8032e-05    -9.83733e-05
     -1.9737e-05    -2.52151e-05
     -6.8412e-05    -6.81796e-05
    -0.000227532    -0.000216083
     -7.8966e-05    -7.52475e-05
      -5.544e-06    -7.34679e-06
    -0.000417413    -0.000402623
    -0.000205359     -0.00020576
       -8.65e-06    -1.25378e-05
    -0.000272117    -0.000255529
    -0.000232804    -0.000224933
     -9.6071e-05    -8.78382e-05
     -3.1325e-05    -3.68217e-05
     -1.0076e-05    -1.62716e-05
     -1.6303e-05     -2.0094e-05
    -0.000172451    -0.000181681
      -3.669e-06    -5.11408e-06
     -5.8044e-05    -7.49511e-05
    -0.000768594     -0.00075511
      -5.758e-06    -7.03585e-06
    -0.000147185    -0.000144047
    -0.000960745    -0.000980424
      -5.714e-06    -8.15973e-06
    -0.000904477    -0.000829477
     -8.8945e-05    -0.000102196
    -0.000633158    -0.000647893
     -3.9931e-05    -4.64476e-05
     -1.8719e-05    -2.36903e-05
     -1.2182e-05    -1.57916e-05
     -6.4728e-05    -7.13355e-05
    -0.000617712    -0.000572617
     -0.00108762     -0.00107865
       -3.46e-05    -3.99486e-05
     -2.3771e-05    -3.00797e-05
      -4.491e-06    -6.11206e-06
    -0.000137585     -0.00014033
      -3.276e-06    -4.10415e-06
      -7.313e-06    -9.62029e-06
     -2.6863e-05    -3.03682e-05
     -0.00121341      -0.0016524
    -0.000582694    -0.000559173
    -0.000264771    -0.000269602
     -3.5189e-05    -3.72024e-05
     -8.9794e-05    -0.000109597
    -0.000232639     -0.00021706
     -6.4208e-05    -7.41642e-05
     -1.4135e-05    -1.77212e-05
    -0.000732226    -0.000709791
      -2.431e-06    -3.66531e-06
     -2.1032e-05    -2.48242e-05
     -0.00131842     -0.00149067
     -1.0408e-05    -1.41598e-05
      -6.671e-06    -1.02455e-05
     -2.2465e-05    -3.25428e-05
     -0.00104494     -0.00100698
    -0.000954903    -0.000853208
     -2.0933e-05    -2.54353e-05
     -2.4045e-05    -2.80901e-05
     -2.0628e-05    -2.36091e-05
    -0.000237399    -0.000208761
    -0.000982249    -0.000974804
    -0.000396746    -0.000385609
     -9.1922e-05    -9.25139e-05
     -9.3409e-05     -9.9777e-05
      -2.512e-06    -3.73143e-06
      -2.651e-05    -2.98259e-05
    -0.000543637    -0.000511195
    -0.000229139    -0.000244612
     -3.4394e-05    -4.22099e-05
      -4.172e-06    -5.55511e-06
     -1.7152e-05    -1.93376e-05
    -0.000352174    -0.000361039
     -5.2011e-05    -5.82859e-05
       -6.15e-07    -1.84661e-06
    -0.000427578    -0.000389293
      -1.088e-06    -1.65419e-06
    -0.000574406    -0.000557941
    -0.000983361    -0.000971965
    -0.000108806    -0.000114569
     -1.6995e-05    -2.19655e-05
    -0.000699736    -0.000617709
    -0.000312419    -0.000323696
     -4.9957e-05    -6.49491e-05
    -0.000276399     -0.00027018
    -0.000374635    -0.000378463
     -0.00012979    -0.000142132
    -0.000698663    -0.000660316
      -1.255e-06    -1.88258e-06
    -0.000136469    -0.000137333
    -0.000140621    -0.000134909
     -2.3672e-05    -2.82087e-05
      -6.964e-06    -9.49602e-06
      -4.573e-06    -6.10502e-06
    -0.000537709    -0.000493166
     -3.8333e-05    -4.36088e-05
      -1.486e-05     -1.6811e-05
      -8.579e-06     -1.0107e-05
      -5.285e-06    -7.67305e-06
    -0.000210587     -0.00020248
       -1.18e-06    -2.90732e-06
     -3.3442e-05     -4.3696e-05
     -1.5071e-05    -1.85562e-05
      -1.543e-05    -1.74363e-05
     -2.0758e-05    -2.58059e-05
     -4.5389e-05    -5.13414e-05
      -5.623e-05    -6.29861e-05
      -2.054e-06    -3.23409e-06
     -5.4222e-05    -5.62322e-05
     -0.00165658     -0.00182221
      -6.997e-06    -8.38045e-06
    -0.000100095    -0.000106157
      -6.974e-06    -7.89954e-06
    -0.000147201    -0.000178071
      -2.533e-06    -3.90675e-06
     -1.6785e-05    -1.97663e-05
      -1.877e-05    -2.43331e-05
      -8.591e-05    -0.000107824
      -3.006e-06    -4.01628e-06
    -0.000227426    -0.000231542
     -1.2678e-05    -1.70772e-05
     -5.5476e-05    -6.22253e-05
      -2.905e-06    -4.01699e-06
     -4.8137e-05    -5.42203e-05
      -2.221e-06    -3.05476e-06
     -1.6354e-05    -2.02751e-05
     -3.9047e-05    -4.93293e-05
     -2.4802e-05     -3.1091e-05
    -0.000191897    -0.000198648
    -0.000533335    -0.000512294
      -3.326e-06    -4.52127e-06
       -7.76e-07    -2.29704e-06
      -5.383e-06    -7.12771e-06
    -0.000101953    -0.000101881
     -1.8886e-05     -2.8192e-05
    -0.000400805    -0.000332451
     -7.5757e-05    -8.85645e-05
    -0.000896457    -0.000888123
     -1.7686e-05    -2.23312e-05
      -1.042e-06    -2.20404e-06
      -3.118e-06    -4.21547e-06
    -0.000189604    -0.000189408
    -0.000789137    -0.000731283
    -0.000583272    -0.000565472
    -0.000150819    -0.000151087
    -0.000175354    -0.000165689
     -2.2084e-05    -2.83932e-05
     -5.2513e-05    -6.23183e-05
    -0.000509667    -0.000483913
    -0.000624322    -0.000621954
    -0.000132304    -0.000145526
      -2.351e-06    -2.89888e-06
      -9.641e-06    -1.36806e-05
    -0.000638424    -0.000596772
    -0.000120595    -0.000114847
    -0.000153647    -0.000148623
      -7.948e-06    -1.05975e-05
     -7.7217e-05    -8.98629e-05
        -2.8e-06    -3.92231e-06
     -0.00118257     -0.00121023
     -1.2694e-05     -1.7051e-05
     -2.4303e-05    -2.82544e-05
    -0.000489432    -0.000496451
    -0.000862181    -0.000824818
      -8.717e-06    -1.20749e-05
     -1.0197e-05    -1.30229e-05
      -2.741e-06    -3.84295e-06
     -4.8561e-05    -5.69495e-05
      -6.279e-06    -7.54317e-06
    -0.000395818    -0.000397646
    -0.000125164    -0.000128897
      -4.976e-06    -6.92652e-06
     -6.5394e-05    -6.62524e-05
      -9.764e-06    -1.20613e-05
     -4.4897e-05    -5.40222e-05
      -1.621e-06    -2.20487e-06
      -2.051e-06    -2.64606e-06
      -2.471e-06    -3.65874e-06
    -0.000737604    -0.000672349
     -1.1117e-05    -1.47407e-05
    -0.000943084    -0.000923957
    -0.000798626    -0.000731036
     -7.6794e-05    -8.32821e-05
     -0.00015038     -0.00015772
     -4.0009e-05    -5.22992e-05
     -0.00079052    -0.000781456
     -3.3795e-05     -3.3757e-05
       -6.07e-07    -1.93564e-06
