QM Energy	FF Energy
      -0.0024705      -0.0024722
     -0.00621173     -0.00624574
     -0.00478571     -0.00483366
     -0.00351723     -0.00352972
    -0.000466653    -0.000471292
    -0.000996647    -0.000984899
     -0.00161243     -0.00155029
     -0.00089649    -0.000896944
    -0.000562648    -0.000539416
     -0.00567673     -0.00567611
    -0.000361715    -0.000359596
     -0.00447266       -0.004492
     -0.00042437    -0.000412856
     -0.00149224     -0.00149173
     -0.00262975      -0.0026479
    -0.000571393    -0.000563027
     -0.00186522      -0.0017919
     -0.00177006     -0.00177024
     -0.00669336     -0.00665004
    -0.000838282    -0.000837501
     -0.00147635     -0.00147762
     -0.00135918     -0.00134866
     -0.00154349     -0.00153775
     -0.00713804     -0.00714129
      -0.0068621     -0.00683236
     -0.00146272     -0.00141351
    -0.000436018    -0.000435688
     -0.00194741      -0.0018902
     -0.00275506     -0.00271324
    -0.000811852    -0.000801923
     -0.00210101     -0.00211242
    -0.000555323    -0.000543424
     -0.00479288     -0.00475496
     -0.00051389    -0.000494481
     -0.00499905     -0.00498999
     -0.00246954     -0.00245119
     -0.00265098     -0.00264125
     -0.00104707     -0.00105725
    -0.000604864    -0.000605871
     -0.00184041     -0.00181718
     -0.00526315     -0.00530722
    -0.000909208    -0.000897036
     -0.00586999      -0.0058397
     -0.00489467     -0.00492213
     -0.00179198     -0.00177976
     -0.00748527     -0.00747488
     -0.00121689     -0.00120745
    -0.000850701    -0.000847771
     -0.00214018      -0.0021106
    -0.000998473    -0.000999149
     -0.00233324     -0.00234895
     -0.00296576     -0.00293496
     -0.00240915     -0.00237774
    -0.000772517    -0.000787723
     -0.00355018     -0.00357108
     -0.00209897     -0.00208547
    -0.000692992    -0.000670205
     -0.00286532     -0.00286918
     -0.00316775     -0.00313256
     -0.00285499     -0.00284251
     -0.00110219     -0.00109739
    -0.000725367    -0.000694478
    -0.000768091    -0.000767929
      -0.0023143      -0.0022957
    -0.000560353     -0.00057251
     -0.00140986     -0.00138123
     -0.00669117     -0.00663754
    -0.000786376      -0.0007932
     -0.00261489     -0.00254978
     -0.00621847     -0.00617166
      -0.0004659    -0.000458656
     -0.00667052     -0.00662935
     -0.00154749     -0.00154276
     -0.00445964     -0.00445718
     -0.00168054      -0.0017039
     -0.00102573     -0.00101692
     -0.00082169    -0.000823367
     -0.00185264     -0.00188219
     -0.00406195     -0.00404786
     -0.00892371     -0.00898546
     -0.00146755     -0.00149043
     -0.00083702    -0.000829275
    -0.000537689    -0.000547757
     -0.00206833     -0.00207631
    -0.000666336    -0.000678497
     -0.00072667    -0.000702341
     -0.00104697     -0.00104386
     -0.00940785     -0.00918937
     -0.00405695     -0.00405498
     -0.00354562     -0.00356835
     -0.00177543     -0.00178388
     -0.00170806      -0.0016779
     -0.00344683     -0.00342287
     -0.00161269     -0.00160096
    -0.000881087    -0.000868034
     -0.00465296     -0.00463499
    -0.000418415     -0.00041944
      -0.0010834     -0.00107177
      -0.0113835      -0.0113167
    -0.000713195    -0.000700747
    -0.000617572     -0.00060638
    -0.000958306    -0.000931763
     -0.00741726     -0.00743737
     -0.00851802      -0.0085389
     -0.00087981    -0.000872161
     -0.00112941     -0.00111582
     -0.00100541      -0.0010048
       -0.004103     -0.00404891
     -0.00602463     -0.00596116
     -0.00350663     -0.00350949
     -0.00192521      -0.0018524
     -0.00147613     -0.00146323
    -0.000450564    -0.000459102
     -0.00148143     -0.00150381
     -0.00391986     -0.00393647
     -0.00261831     -0.00259909
     -0.00112573     -0.00113253
    -0.000659298    -0.000680771
    -0.000934927    -0.000934568
     -0.00301436      -0.0030327
     -0.00176788     -0.00177677
    -0.000297652    -0.000291031
     -0.00438288      -0.0043395
    -0.000424549    -0.000436837
     -0.00507132     -0.00512515
      -0.0055964     -0.00557184
     -0.00163402     -0.00163087
    -0.000895836    -0.000872679
     -0.00711573     -0.00715859
     -0.00260873     -0.00262031
     -0.00134542      -0.0013064
      -0.0035425     -0.00350774
     -0.00338903     -0.00336612
     -0.00208112      -0.0020946
     -0.00676884     -0.00681354
    -0.000390081    -0.000403876
     -0.00245522     -0.00241932
     -0.00255675     -0.00250074
    -0.000835725    -0.000824101
    -0.000683716    -0.000684594
    -0.000441384    -0.000436545
      -0.0049973     -0.00499029
     -0.00115863     -0.00115633
     -0.00119882     -0.00120358
    -0.000981402    -0.000991952
    -0.000603031    -0.000590682
     -0.00281323     -0.00278285
    -0.000361181     -0.00034848
     -0.00113003      -0.0010998
    -0.000899517    -0.000863964
      -0.0012636     -0.00127596
     -0.00106232     -0.00106167
     -0.00107037     -0.00105837
     -0.00146575     -0.00143308
    -0.000464857    -0.000450971
     -0.00152141     -0.00152383
      -0.0103297      -0.0103708
    -0.000951843    -0.000972854
     -0.00207036     -0.00209236
    -0.000672006    -0.000672311
