QM Energy	FF Energy
     -7.9816e-05    -8.61346e-05
    -0.000996646    -0.000958441
    -0.000568975    -0.000588025
    -0.000416187    -0.000394638
       -2.81e-06    -4.01337e-06
     -3.1713e-05     -3.5761e-05
     -5.1776e-05    -5.86814e-05
     -1.8708e-05    -2.23247e-05
      -4.908e-06    -1.02835e-05
    -0.000406706    -0.000353701
      -1.954e-06    -2.81049e-06
    -0.000630993    -0.000580671
      -2.203e-06    -4.82052e-06
       -5.42e-05    -6.08648e-05
    -0.000144151    -0.000156449
      -8.559e-06     -1.0374e-05
     -8.7815e-05    -9.94696e-05
     -9.0255e-05    -9.29407e-05
    -0.000942674      -0.0010137
      -2.065e-05    -2.40941e-05
     -7.2612e-05    -8.19478e-05
     -2.5874e-05    -2.90308e-05
     -7.7843e-05    -8.41245e-05
    -0.000614582     -0.00048191
    -0.000878414    -0.000887732
     -5.4089e-05    -6.33647e-05
      -2.659e-06    -3.52486e-06
     -7.6128e-05    -8.38613e-05
    -0.000127995    -0.000126487
     -2.1397e-05    -2.46988e-05
     -0.00011046    -0.000116404
      -4.701e-06    -7.49202e-06
     -0.00080721    -0.000776186
      -3.816e-06    -7.92358e-06
     -0.00059707    -0.000612358
    -0.000201554    -0.000213885
    -0.000302544    -0.000298662
      -9.396e-06    -1.09852e-05
      -5.782e-06    -7.57202e-06
     -6.1322e-05    -6.50342e-05
    -0.000888403    -0.000860181
     -1.7069e-05    -2.11334e-05
    -0.000439999    -0.000398746
    -0.000744109    -0.000685075
    -0.000145639    -0.000149132
    -0.000671455    -0.000634328
     -5.9275e-05    -6.43717e-05
      -9.277e-06    -1.16658e-05
     -9.8032e-05    -0.000100725
     -1.9737e-05    -2.50324e-05
     -6.8412e-05    -6.90484e-05
    -0.000227532    -0.000222145
     -7.8966e-05    -7.82337e-05
      -5.544e-06    -7.55576e-06
    -0.000417413     -0.00040863
    -0.000205359    -0.000205925
       -8.65e-06    -1.29286e-05
    -0.000272117    -0.000261872
    -0.000232804    -0.000224391
     -9.6071e-05      -9.085e-05
     -3.1325e-05    -3.61764e-05
     -1.0076e-05    -1.78214e-05
     -1.6303e-05    -1.93026e-05
    -0.000172451    -0.000179591
      -3.669e-06    -4.81369e-06
     -5.8044e-05    -7.83071e-05
    -0.000768594    -0.000772794
      -5.758e-06    -7.21136e-06
    -0.000147185    -0.000157413
    -0.000960745     -0.00103275
      -5.714e-06    -7.70866e-06
    -0.000904477    -0.000886334
     -8.8945e-05    -0.000101561
    -0.000633158    -0.000708765
     -3.9931e-05    -4.53615e-05
     -1.8719e-05    -2.38349e-05
     -1.2182e-05    -1.52622e-05
     -6.4728e-05    -7.30635e-05
    -0.000617712    -0.000591096
     -0.00108762     -0.00119611
       -3.46e-05     -3.9274e-05
     -2.3771e-05    -2.91981e-05
      -4.491e-06    -5.87609e-06
    -0.000137585    -0.000142452
      -3.276e-06    -4.21779e-06
      -7.313e-06    -9.98516e-06
     -2.6863e-05    -3.01819e-05
     -0.00121341     -0.00176747
    -0.000582694    -0.000570424
    -0.000264771    -0.000276702
     -3.5189e-05    -3.96128e-05
     -8.9794e-05    -0.000115299
    -0.000232639    -0.000232859
     -6.4208e-05    -7.50428e-05
     -1.4135e-05    -1.75779e-05
    -0.000732226    -0.000738157
      -2.431e-06    -3.46994e-06
     -2.1032e-05    -2.44308e-05
     -0.00131842     -0.00164759
     -1.0408e-05     -1.3804e-05
      -6.671e-06    -1.00799e-05
     -2.2465e-05    -3.39684e-05
     -0.00104494     -0.00111576
    -0.000954903    -0.000857948
     -2.0933e-05    -2.44345e-05
     -2.4045e-05    -2.77024e-05
     -2.0628e-05    -2.35898e-05
