# Eelst 		 Emultipole 
     -0.00366792      -0.00050530
     -0.00521422       0.00187403
     -0.00176589       0.00333492
      0.00049798       0.00074646
      0.00109843       0.00160470
     -0.00241168       0.00372152
     -0.00395958      -0.00149049
     -0.00281767      -0.00197055
     -0.00215281      -0.00021580
     -0.00061352      -0.00056669
      0.00138125       0.00236483
     -0.00248484      -0.00238200
     -0.00008701       0.00027265
      0.00040419       0.00170396
     -0.00521629       0.00066988
     -0.01131657       0.00347117
     -0.00082830      -0.00089736
     -0.00200279      -0.00170274
     -0.00052973      -0.00068867
     -0.00305763      -0.00308643
      0.00086107       0.00211526
     -0.00418434      -0.00208098
     -0.00093974      -0.00050863
      0.00154888       0.00224623
     -0.00233198      -0.00095272
      0.00011290       0.00083824
     -0.00177346       0.00378407
     -0.00157108      -0.00012582
     -0.00450692      -0.00345250
     -0.00105960       0.00035267
     -0.00348820      -0.00335445
     -0.00422352      -0.00049436
     -0.02011888       0.00529046
      0.00023914       0.00296726
     -0.00070377       0.00192945
     -0.00467335      -0.00089890
     -0.00732887      -0.00245488
     -0.00064742      -0.00063206
     -0.00155383      -0.00089870
     -0.00528379      -0.00033824
     -0.01445761      -0.00137874
     -0.00160008       0.00033912
     -0.00595870       0.00154953
     -0.01844745       0.00035797
     -0.00216856       0.00075394
     -0.00192933      -0.00029019
     -0.00380041      -0.00173603
      0.00011754       0.00107282
     -0.00154389       0.00414672
      0.00071120       0.00266436
     -0.00798259      -0.00203868
      0.00034211       0.00267606
     -0.00596453       0.00425373
     -0.00041900      -0.00043809
     -0.01127290       0.00007109
     -0.00167162       0.00356313
     -0.00502866      -0.00062517
     -0.01494906      -0.00423418
      0.00136905       0.00160209
      0.00030853       0.00027269
     -0.00110246       0.00053751
     -0.00037866      -0.00021542
     -0.00113759       0.00396344
     -0.00297668       0.00074647
     -0.00043931      -0.00035879
      0.00063257       0.00279565
     -0.01154594       0.00394109
     -0.00324891      -0.00178683
     -0.00314085       0.00009701
     -0.01751142      -0.00326401
      0.00058742       0.00061900
     -0.00045026       0.00018690
     -0.00354405       0.00038758
     -0.00893484      -0.00148517
     -0.00760300       0.00517355
     -0.00178380      -0.00064877
     -0.00030493      -0.00014926
     -0.00066265       0.00005533
     -0.00364895       0.00133392
     -0.00263137       0.00103990
     -0.01209034      -0.00115496
     -0.00008102       0.00122831
     -0.01049914      -0.00077989
     -0.01476523       0.00235739
     -0.00298728      -0.00278172
     -0.00228886      -0.00118230
     -0.00011305       0.00018141
     -0.00120200       0.00097491
     -0.00439791      -0.00111983
     -0.00268449      -0.00042538
      0.00045455       0.00076120
     -0.00201558      -0.00090587
      0.00024150       0.00077640
     -0.00145492      -0.00062628
     -0.00153235      -0.00112847
     -0.00223904      -0.00126023
     -0.00061222      -0.00046313
     -0.00271817       0.00278576
     -0.00055043      -0.00049016
     -0.00038598       0.00049329
      0.00056712       0.00055848
     -0.00088189      -0.00075203
     -0.00302162      -0.00239424
     -0.00385135       0.00329768
     -0.00160784       0.00124832
     -0.00817780      -0.00057440
     -0.00680696      -0.00354261
     -0.00390912      -0.00070590
     -0.00071648      -0.00068665
     -0.00017709       0.00005510
     -0.01464753       0.00402580
     -0.00091292       0.00009641
     -0.00133303      -0.00042735
      0.00162853       0.00257849
     -0.00009083      -0.00013205
     -0.00083621      -0.00020286
     -0.00091784       0.00162173
     -0.00017747       0.00005171
     -0.00362493      -0.00090650
     -0.00514291       0.00024848
     -0.00711605      -0.00062004
     -0.00046537      -0.00037103
     -0.00085739      -0.00019567
      0.00116004       0.00156338
     -0.00029239      -0.00000187
     -0.00143800      -0.00135200
      0.00004857       0.00126453
     -0.00065191      -0.00033420
     -0.00263788      -0.00102014
     -0.01377496      -0.00204565
     -0.00049140      -0.00056581
     -0.00072171      -0.00075029
     -0.00444994       0.00029160
     -0.00050279       0.00061566
     -0.02055093      -0.00394191
     -0.01425929       0.00112616
     -0.00047358      -0.00052682
     -0.00098959       0.00033181
     -0.00751007      -0.00429236
     -0.01200759      -0.00534269
     -0.00034998      -0.00001165
     -0.00014757       0.00104024
     -0.00561228       0.00167686
     -0.00468786      -0.00096668
      0.00005848      -0.00019430
     -0.01303845       0.00073297
      0.00052731       0.00064637
