QM Energy	FF Energy
    -0.000516636    -0.000543084
    -0.000867156     -0.00120269
    -0.000625954    -0.000857273
    -0.000160627    -0.000162445
    -0.000190529     -0.00018064
     -0.00080864     -0.00098123
    -0.000476669     -0.00064388
    -0.000377466    -0.000432382
    -0.000221504    -0.000364495
     -4.6183e-05    -0.000125949
    -0.000398745    -0.000347524
    -0.000450664    -0.000510932
    -0.000165761    -0.000153429
    -0.000363782    -0.000359265
    -0.000688928     -0.00109384
         -0.0017     -0.00174765
     -9.9521e-05    -0.000107527
    -0.000353521    -0.000407595
     -3.9923e-05    -6.61771e-05
    -0.000501469    -0.000598542
    -0.000248783    -0.000269585
    -0.000900999     -0.00109849
    -0.000155392    -0.000159819
    -0.000247142    -0.000236991
    -0.000246011    -0.000417066
    -0.000225931    -0.000245066
    -0.000757667    -0.000911699
     -0.00016333    -0.000274184
    -0.000579896    -0.000616226
    -0.000189492    -0.000316971
    -0.000528597    -0.000585625
    -0.000626482    -0.000919281
     -0.00329364     -0.00314272
    -0.000467792    -0.000525396
    -0.000360316    -0.000444261
    -0.000256122    -0.000531411
    -0.000961698     -0.00112472
       -8.29e-05    -9.63941e-05
    -0.000133282    -0.000314042
     -0.00106686    -0.000929597
     -0.00170258     -0.00169256
    -0.000427087    -0.000418483
     -0.00118703      -0.0012469
     -0.00261827     -0.00231795
     -0.00038304    -0.000658984
    -0.000423325    -0.000477458
    -0.000480343    -0.000657574
    -0.000161471    -0.000195408
    -0.000767287     -0.00102973
    -0.000398948     -0.00044403
     -0.00141264     -0.00122685
    -0.000486486    -0.000552523
     -0.00125905     -0.00156331
      -7.492e-05    -0.000131841
     -0.00125931     -0.00152924
    -0.000565523    -0.000807546
    -0.000577876    -0.000733197
     -0.00187209     -0.00209117
    -0.000177729    -0.000170998
    -0.000166267    -0.000157566
    -0.000385689    -0.000429839
     -4.0802e-05    -6.35254e-05
     -0.00110315     -0.00113702
    -0.000811517    -0.000897025
       -7.61e-05    -0.000156311
    -0.000586665    -0.000649343
     -0.00199011      -0.0018764
    -0.000436022    -0.000436798
    -0.000726077    -0.000709469
     -0.00258506     -0.00235446
     -0.00024374     -0.00021555
    -0.000371693     -0.00035262
    -0.000749284    -0.000880614
     -0.00113368     -0.00127304
     -0.00155906      -0.0018346
    -0.000159455    -0.000260861
     -6.4427e-05    -6.32285e-05
    -0.000214258    -0.000235475
    -0.000628523    -0.000965077
    -0.000410997    -0.000598311
    -0.000926292      -0.0012407
    -0.000338535    -0.000369186
    -0.000901963     -0.00114121
     -0.00228452     -0.00196871
    -0.000371691    -0.000364617
    -0.000208101    -0.000347399
    -0.000119247    -0.000142335
    -0.000293489    -0.000371256
    -0.000508867    -0.000702875
    -0.000371499    -0.000503923
    -0.000153325    -0.000161627
    -0.000143197    -0.000250389
    -0.000354534    -0.000355632
    -0.000171245    -0.000234752
    -0.000328744    -0.000387884
    -0.000233909    -0.000263361
     -6.4924e-05    -8.17881e-05
    -0.000674038    -0.000910734
      -5.804e-05    -6.00312e-05
