QM Energy	FF Energy
     -2.1199e-05    -2.41107e-05
     -0.00173444     -0.00156093
        -4.8e-06    -7.90604e-06
     -3.2914e-05    -4.07783e-05
    -0.000219677     -0.00020235
      -5.184e-06    -1.88405e-05
      -5.868e-06    -9.97823e-06
      -2.385e-06    -4.20342e-06
    -0.000732127    -0.000705677
     -1.3675e-05    -1.75904e-05
     -3.6357e-05    -4.53601e-05
     -0.00083235    -0.000870176
    -0.000975912    -0.000983688
     -2.7018e-05    -3.61804e-05
      -1.303e-06    -3.01738e-06
    -0.000226664     -0.00026455
      -8.468e-06    -1.24282e-05
     -1.5107e-05    -2.16346e-05
     -0.00164209     -0.00195714
    -0.000142315    -0.000174751
    -0.000650865    -0.000721527
     -2.6494e-05    -3.10703e-05
      -7.698e-06    -1.30319e-05
    -0.000351217    -0.000378238
    -0.000165983    -0.000184297
     -5.0182e-05    -5.98542e-05
    -0.000393533     -0.00033443
    -0.000440108    -0.000400961
    -0.000200008    -0.000212212
    -0.000682287    -0.000690734
    -0.000283774    -0.000281703
     -0.00131602     -0.00141038
      -1.759e-06    -3.61219e-06
      -2.238e-05    -3.13988e-05
          -2e-09    -2.84113e-06
    -0.000393495    -0.000428346
    -0.000497619    -0.000488029
    -0.000509387    -0.000631628
     -9.6608e-05    -0.000104367
     -0.00102202    -0.000938245
    -0.000178577    -0.000227824
    -0.000605462    -0.000535652
    -0.000673405    -0.000649846
     -6.5203e-05    -7.99055e-05
      -1.604e-06    -3.24616e-06
    -0.000108745    -0.000120156
     -6.3856e-05    -8.50644e-05
     -0.00116888     -0.00112766
     -0.00155892     -0.00139265
    -0.000474219    -0.000497716
    -0.000337129    -0.000344128
    -0.000115882    -0.000127204
     -9.7193e-05     -9.8061e-05
      -8.001e-06    -1.17248e-05
      -3.022e-06    -9.71389e-06
    -0.000239152    -0.000212551
     -3.9514e-05    -4.37153e-05
    -0.000146246    -0.000187322
    -0.000233847    -0.000217593
      -6.066e-06     -1.0806e-05
      -4.258e-06    -7.71265e-06
    -0.000568022    -0.000489886
      -3.979e-06    -5.90272e-06
     -0.00178005     -0.00155122
