# Eelst 		 Emultipole 
     -0.00018873      -0.00007219
     -0.00979635       0.00110756
      0.00006921       0.00018886
     -0.00034939      -0.00013405
      0.00013115       0.00195788
      0.00107443       0.00178979
      0.00016770       0.00038569
      0.00022607       0.00031112
     -0.00209056       0.00293734
     -0.00141549      -0.00170090
      0.00005193       0.00058380
     -0.00484659       0.00060174
     -0.00600635       0.00111495
     -0.00017790      -0.00006916
      0.00022347       0.00033644
      0.00000035       0.00197646
     -0.00039774      -0.00056157
      0.00008539       0.00033367
     -0.01663514      -0.00402485
     -0.00340813      -0.00255805
     -0.00555187      -0.00021036
      0.00044275       0.00090589
      0.00075712       0.00109609
     -0.00308848       0.00009111
     -0.00312562      -0.00229083
     -0.00168785      -0.00190309
     -0.00023943       0.00273834
     -0.00316737       0.00000890
     -0.00113195       0.00001386
     -0.00411509      -0.00050412
     -0.00175856      -0.00028943
     -0.01503894      -0.00350679
      0.00004189       0.00009820
      0.00031623       0.00065937
      0.00069717       0.00100289
     -0.00652768      -0.00462281
     -0.00163529       0.00154131
     -0.00439522       0.00042820
     -0.00084158      -0.00030296
     -0.00799535      -0.00087768
     -0.00385377      -0.00382739
     -0.00238591       0.00006170
     -0.00343268       0.00311996
     -0.00117571      -0.00119973
      0.00023153       0.00030725
     -0.00061294      -0.00012242
      0.00005660       0.00099941
     -0.00711066      -0.00028950
     -0.00959270      -0.00191313
     -0.00601565      -0.00334588
     -0.00487322      -0.00330753
     -0.00039467       0.00050503
     -0.00116884      -0.00102106
     -0.00107029      -0.00139065
      0.00090812       0.00143002
     -0.00191333      -0.00097088
     -0.00036901      -0.00021328
     -0.00414635      -0.00367515
     -0.00047582       0.00102710
      0.00040788       0.00059067
     -0.00014871      -0.00012774
     -0.00456263      -0.00108597
     -0.00018166      -0.00016853
     -0.01426174      -0.00176644
     -0.00051428      -0.00044909
     -0.00041857      -0.00003609
     -0.00046349       0.00121305
     -0.00216733      -0.00115270
     -0.00159717      -0.00015746
     -0.00057052      -0.00015723
     -0.00977166      -0.00041272
     -0.00450895      -0.00275048
      0.00017762       0.00026157
      0.00012476       0.00023482
      0.00006699       0.00015942
     -0.01270082      -0.00275053
     -0.00897907       0.00224403
     -0.00088156      -0.00082356
     -0.00073321      -0.00094189
     -0.00865224       0.00042894
     -0.00095979      -0.00062530
     -0.00016153      -0.00022435
     -0.00824654       0.00367537
     -0.00188092       0.00073004
     -0.00203516      -0.00092564
     -0.00042211      -0.00020842
     -0.00142184      -0.00175137
      0.00043666       0.00078383
     -0.00080442      -0.00025934
     -0.00266778       0.00045910
     -0.00914658      -0.00101866
     -0.00045032       0.00059520
     -0.00302168      -0.00003808
      0.00096220       0.00155861
     -0.00021459      -0.00026896
     -0.00092338       0.00021503
     -0.00064434      -0.00075028
     -0.00394587      -0.00232778
     -0.00456445      -0.00410596
     -0.00173877      -0.00190030
     -0.00235564       0.00398240
     -0.00048941       0.00075383
      0.00024836       0.00037315
     -0.00680494      -0.00529698
      0.00064296       0.00143469
     -0.00075580       0.00061404
     -0.00401585      -0.00313754
     -0.00063144      -0.00067106
     -0.00143130      -0.00057233
      0.00020326       0.00029181
     -0.00992699      -0.00253749
     -0.00095748      -0.00029983
     -0.00155761       0.00259119
      0.00027855       0.00066013
     -0.01023640       0.00101493
     -0.00043380      -0.00045693
     -0.00020474       0.00013930
     -0.00002094       0.00089740
      0.00045738       0.00072211
     -0.00402917      -0.00200021
     -0.00453153      -0.00118891
     -0.00052884      -0.00013916
     -0.01162887       0.00414725
     -0.00154224      -0.00041497
     -0.00404491      -0.00008402
      0.00102235       0.00169307
     -0.00081192      -0.00024973
      0.00010365       0.00014538
     -0.00016022      -0.00007793
      0.00018978       0.00031114
     -0.00673143      -0.00419920
      0.00011946       0.00019239
      0.00010405       0.00020739
     -0.00084762      -0.00045748
     -0.00027082       0.00171172
     -0.00707977       0.00013480
     -0.00851156       0.00300332
     -0.00599298      -0.00143540
     -0.00064553       0.00039137
     -0.00222356       0.00220149
     -0.00589617      -0.00106172
     -0.00020266      -0.00011419
     -0.00579407       0.00319072
     -0.00076487      -0.00027648
     -0.00777051      -0.00283885
     -0.00283569      -0.00162636
     -0.00012419       0.00002531
     -0.00086932       0.00029606
     -0.00250990      -0.00190298
      0.00105898       0.00176103
     -0.00118836      -0.00032057
      0.00007216       0.00010566
     -0.01135548      -0.00309235
      0.00017475       0.00056160
     -0.00098839      -0.00117434
     -0.00002579       0.00039900
     -0.00486673       0.00043288
     -0.00079198      -0.00063680
     -0.00076663      -0.00081062
     -0.00288581       0.00119657
     -0.00029950       0.00066810
     -0.00835350       0.00074671
     -0.00090831      -0.00072710
      0.00029735       0.00040541
      0.00021980       0.00028101
     -0.00264898      -0.00305485
     -0.00048587      -0.00055297
      0.00004407       0.00108152
     -0.00622513      -0.00217032
     -0.00781409      -0.00084641
     -0.00054410      -0.00030453
     -0.00062538       0.00053172
     -0.00085585      -0.00061413
     -0.00060691      -0.00073151
      0.00104012       0.00181549
     -0.00373353      -0.00120794
     -0.00041466      -0.00040590
      0.00009502       0.00036939
     -0.00003827       0.00012780
     -0.00073106      -0.00094490
     -0.00112012      -0.00032957
     -0.00193951      -0.00065186
     -0.00584459       0.00461819
     -0.00027894      -0.00023025
     -0.00084351      -0.00050299
      0.00021058       0.00036057
     -0.00067522       0.00007073
     -0.00082356      -0.00037047
     -0.00098369      -0.00128850
     -0.00015977       0.00002103
     -0.00309097      -0.00025357
      0.00005387       0.00022958
     -0.00102146       0.00176784
     -0.00147309      -0.00190755
     -0.00193095       0.00074979
     -0.00151208       0.00089966
     -0.00044100      -0.00044037
     -0.00140928       0.00016730
     -0.00223708      -0.00253036
     -0.00062940      -0.00065257
     -0.00168030      -0.00050800
     -0.00096061       0.00012599
      0.00084831       0.00145231
     -0.00088330      -0.00123269
     -0.01072735      -0.00526600
     -0.00087372      -0.00098245
     -0.00105729      -0.00043666
     -0.00593912       0.00192966
     -0.00044249      -0.00001338
     -0.00206501      -0.00089937
     -0.00019555       0.00062344
     -0.00846466      -0.00394594
     -0.00021089       0.00018450
     -0.00054400       0.00021299
     -0.00138290      -0.00059315
     -0.00366914      -0.00292596
     -0.00226735       0.00174749
     -0.00058154      -0.00038194
     -0.00112662      -0.00115752
     -0.00214080       0.00221749
     -0.00040695      -0.00028423
     -0.00101801      -0.00116097
     -0.00006699       0.00010340
     -0.00706538      -0.00063332
     -0.00076310      -0.00059804
     -0.01812396      -0.00359803
     -0.00274780      -0.00089486
     -0.00045986      -0.00050262
     -0.00317057      -0.00032798
     -0.00019343      -0.00016407
     -0.00138065      -0.00099732
     -0.00047192       0.00023428
     -0.00272334      -0.00024246
     -0.00154141      -0.00186197
     -0.00316019      -0.00298240
      0.00014146       0.00027834
      0.00036215       0.00066392
     -0.01181786      -0.00492375
     -0.00036126      -0.00016326
     -0.00134003       0.00094475
     -0.01068529      -0.00063764
     -0.00220296      -0.00144619
     -0.01548675      -0.00021594
     -0.01013540       0.00232432
     -0.00024692      -0.00001722
     -0.00160357       0.00088839
     -0.00006696      -0.00002880
     -0.01436874      -0.00560620
      0.00028449       0.00070971
     -0.00053189      -0.00068050
     -0.00007933      -0.00002723
      0.00017025       0.00031875
     -0.00069911      -0.00013415
     -0.00061061       0.00034557
     -0.01185651      -0.00556493
     -0.00239888       0.00322296
     -0.00038148       0.00025218
      0.00011025       0.00039438
     -0.00045588      -0.00031299
     -0.00430281       0.00170586
     -0.00490017      -0.00022002
      0.00047592       0.00082972
     -0.00017297       0.00016326
     -0.00240257      -0.00048585
     -0.00613918       0.00073210
     -0.00302076       0.00037636
     -0.00052504      -0.00060445
     -0.00101371      -0.00124022
     -0.00277746       0.00201530
      0.00057692       0.00096162
     -0.00251557      -0.00269894
     -0.00070976      -0.00060668
      0.00002126       0.00014085
     -0.00014906      -0.00003371
     -0.02180843      -0.00676947
      0.00005555       0.00013420
      0.00026969       0.00060031
     -0.00040798       0.00018565
     -0.00249378       0.00134747
      0.00030625       0.00047648
     -0.01293022       0.00074065
      0.00027692       0.00046510
      0.00057899       0.00166104
     -0.00396732       0.00015497
      0.00000876       0.00005021
     -0.00169691      -0.00219971
      0.00017524       0.00048527
     -0.00044616      -0.00012219
     -0.00768571      -0.00502859
     -0.00707902       0.00360459
     -0.00117352       0.00208973
      0.00016303       0.00028771
     -0.00116667      -0.00095220
     -0.00070281      -0.00086913
     -0.00105155      -0.00099136
     -0.00043481      -0.00050978
     -0.00544636      -0.00193626
     -0.00039690      -0.00026894
     -0.00282808      -0.00255340
     -0.00085590       0.00141854
     -0.00127495       0.00027449
     -0.00064921      -0.00065733
     -0.00065014       0.00002363
      0.00034985       0.00054416
     -0.00014836       0.00105997
     -0.00355476      -0.00105660
     -0.00043389       0.00004755
     -0.00621069      -0.00020975
     -0.00073102      -0.00087845
     -0.01071644      -0.00373384
     -0.00012212      -0.00022912
      0.00050846       0.00185633
     -0.00375056      -0.00170932
     -0.00089469      -0.00090007
     -0.00111684       0.00257061
     -0.00186881      -0.00230094
     -0.00058297      -0.00071100
     -0.00057698      -0.00041161
      0.00046408       0.00110593
     -0.01098808      -0.00322403
      0.00083556       0.00122208
     -0.00352783       0.00171080
     -0.00253261       0.00011833
     -0.00075358      -0.00095767
     -0.00577306      -0.00058518
     -0.00197728      -0.00036330
      0.00030125       0.00041070
     -0.00170102       0.00067651
     -0.00122945       0.00018887
     -0.00005530       0.00001417
     -0.00017618      -0.00014679
     -0.00154973      -0.00038594
     -0.00017070       0.00283277
     -0.00223382      -0.00258545
     -0.01326227      -0.00353600
      0.00003566       0.00031513
     -0.00062704      -0.00081772
     -0.00244265      -0.00055664
      0.00031367       0.00045810
     -0.00028685       0.00004478
     -0.00929399       0.00007965
      0.00016486       0.00028539
      0.00032045       0.00055529
     -0.00775908      -0.00433734
     -0.00033788      -0.00003338
      0.00039107       0.00051508
      0.00113974       0.00187947
      0.00007187       0.00013822
     -0.00046031      -0.00037989
     -0.00756151       0.00020632
      0.00066611       0.00159680
     -0.01326664       0.00127985
     -0.00112562      -0.00070953
     -0.00042425       0.00070571
     -0.00220388      -0.00073695
     -0.00028186       0.00047392
     -0.00150277      -0.00012467
     -0.01232086       0.00120369
      0.00047802       0.00105653
     -0.00317833       0.00022882
     -0.00754769      -0.00058511
