# Eelst 		 Emultipole 
     -0.00546508      -0.00014913
     -0.00434099       0.00028010
      0.00196409       0.00473438
     -0.00053650      -0.00033505
     -0.00120689      -0.00057114
     -0.00131166      -0.00075474
     -0.00194944      -0.00125134
     -0.00079678       0.00024600
     -0.00305638      -0.00075356
     -0.00066804       0.00073593
     -0.00102062      -0.00031463
     -0.00008986       0.00073729
     -0.00205480       0.00188048
     -0.00218575       0.00005316
     -0.00138708      -0.00033755
     -0.00188281      -0.00093814
     -0.00083058      -0.00027500
     -0.00375472       0.00298079
     -0.00686851      -0.00069979
      0.00230678       0.00250578
     -0.00043633      -0.00018076
      0.00111479       0.00127334
     -0.00260712       0.00055761
     -0.00082838      -0.00068507
     -0.00483248      -0.00091487
     -0.00198357      -0.00092457
     -0.00172764      -0.00023277
      0.00137602       0.00272244
     -0.00235579      -0.00108744
     -0.00074651      -0.00062832
     -0.00625649      -0.00095423
      0.00152563       0.00213289
     -0.00010422       0.00021558
     -0.00063214      -0.00055521
     -0.00010069       0.00099877
     -0.00148442      -0.00121815
      0.00253698       0.00488324
      0.00178879       0.00215492
     -0.00439036      -0.00230755
     -0.01396714      -0.00052729
     -0.00435844      -0.00021718
     -0.00164356      -0.00075735
      0.00009856       0.00078253
     -0.00502296      -0.00140786
     -0.00076540      -0.00048867
      0.00262457       0.00427932
     -0.00403715       0.00071802
      0.00168498       0.00182593
     -0.00065661      -0.00051748
     -0.00167974      -0.00058583
      0.00104695       0.00365937
      0.00015409       0.00034209
     -0.00035016      -0.00021147
     -0.00567923      -0.00150138
      0.00052693       0.00196166
     -0.00145310       0.00122738
     -0.00073989      -0.00046657
     -0.00035135       0.00016921
      0.00039740       0.00063278
     -0.00496746      -0.00099323
     -0.00299897      -0.00054136
     -0.00976982       0.00104409
     -0.01312939       0.00782751
      0.00222226       0.00257220
     -0.00209414      -0.00174348
     -0.00091445      -0.00051968
     -0.00229441       0.00188764
     -0.00004708       0.00014728
     -0.00103753       0.00017266
     -0.00123152      -0.00073445
     -0.01091796      -0.00202777
      0.00017269       0.00023436
      0.00331233       0.00356022
      0.00149051       0.00167255
     -0.01631936       0.00177585
      0.00167970       0.00614577
     -0.00650065      -0.00123308
     -0.00538141      -0.00092798
     -0.00063682      -0.00013250
     -0.01034287      -0.00097807
      0.00233222       0.00468154
     -0.00449372       0.00068940
     -0.00076444      -0.00070640
     -0.00059100      -0.00042005
     -0.00542352       0.00301504
     -0.00437542      -0.00094999
     -0.00072515      -0.00063451
     -0.00024644      -0.00017065
     -0.00150008       0.00250498
     -0.00071527      -0.00055285
      0.00043300       0.00107901
     -0.00041998      -0.00040773
     -0.00243955      -0.00047566
     -0.00465662      -0.00148039
      0.00036054       0.00049536
     -0.00044060      -0.00029690
     -0.00900684      -0.00127874
      0.00011555       0.00162702
     -0.00444047      -0.00190329
     -0.00123201      -0.00013528
     -0.00232140      -0.00038942
     -0.00385555      -0.00014376
      0.00071714       0.00250947
     -0.00301004       0.00021678
     -0.01861951      -0.00011664
