QM Energy	FF Energy
     -0.00138858     -0.00142187
     -0.00118614     -0.00105809
    -0.000438863    -0.000351519
     -3.4433e-05    -3.78632e-05
    -0.000138656    -0.000165031
    -0.000124143    -0.000132465
     -0.00019611    -0.000242186
    -0.000243668    -0.000237293
    -0.000660456    -0.000626224
    -0.000242997    -0.000319575
    -0.000137521    -0.000145998
     -0.00015222    -0.000161256
     -0.00064485    -0.000696074
    -0.000527477    -0.000530394
    -0.000255663    -0.000263974
    -0.000213767    -0.000218781
    -0.000150591    -0.000184382
     -0.00088801     -0.00081779
     -0.00139433     -0.00125781
     -1.5047e-05    -2.43039e-05
     -4.6206e-05    -4.33334e-05
     -2.2102e-05     -3.5799e-05
    -0.000750682    -0.000696894
     -2.7365e-05    -3.31032e-05
     -0.00117705     -0.00109142
     -0.00025464    -0.000272258
    -0.000264624    -0.000247515
    -0.000394397    -0.000455293
    -0.000293944     -0.00029168
     -1.9134e-05     -1.8306e-05
     -0.00093387     -0.00099332
     -6.3841e-05    -8.77733e-05
     -7.8027e-05    -9.30055e-05
      -9.483e-06     -1.5412e-05
    -0.000215704    -0.000227145
     -7.2751e-05    -8.48516e-05
    -0.000364673    -0.000335766
     -4.5058e-05    -6.27818e-05
    -0.000493462    -0.000506403
     -0.00235307     -0.00232769
     -0.00105407     -0.00102146
    -0.000183174    -0.000173905
    -0.000237331    -0.000261757
    -0.000936967    -0.000872389
     -5.0394e-05     -6.5034e-05
    -0.000211549    -0.000210517
     -0.00122154     -0.00131267
       -2.02e-07    -1.32007e-05
     -2.4163e-05    -3.00957e-05
    -0.000249179    -0.000255182
    -0.000313755     -0.00035406
     -2.0291e-05    -3.23185e-05
     -3.8445e-05    -4.53751e-05
     -0.00120055     -0.00115124
    -0.000324591    -0.000451343
    -0.000588847    -0.000618493
     -4.3384e-05    -4.82172e-05
     -7.8641e-05     -9.6994e-05
     -4.4325e-05    -5.65122e-05
    -0.000889383    -0.000794225
      -0.0005998     -0.00059162
     -0.00178522     -0.00188138
     -0.00294572     -0.00300806
      -3.111e-05    -5.68884e-05
     -5.7572e-05      -5.909e-05
      -8.688e-05    -8.42688e-05
    -0.000669909    -0.000686104
     -2.9978e-05    -3.67532e-05
    -0.000271788    -0.000293167
     -8.3188e-05     -0.00010603
     -0.00215461     -0.00216067
     -1.8074e-05    -2.60618e-05
      -1.496e-05    -2.75685e-05
