QM Energy	FF Energy
     -0.00144653     -0.00137987
     -0.00535525     -0.00507712
     -0.00306364     -0.00309789
     -0.00387458      -0.0036533
     -0.00143663     -0.00133641
     -0.00542086     -0.00556885
      -0.0015826     -0.00156017
     -0.00318972     -0.00326841
     -0.00374426     -0.00379601
     -0.00749871      -0.0074911
      -0.0046929     -0.00485877
     -0.00186729     -0.00186937
     -0.00278294     -0.00265736
     -0.00109103    -0.000996629
     -0.00155596      -0.0014679
      -0.0148008      -0.0146433
      -0.0030999     -0.00315754
     -0.00152401     -0.00152877
     -0.00477755      -0.0048644
     -0.00305879     -0.00295476
     -0.00138334      -0.0013892
      -0.0092332     -0.00966389
     -0.00849058     -0.00862255
     -0.00553481     -0.00548148
     -0.00216796     -0.00211665
       -0.011497      -0.0118539
     -0.00154888     -0.00152836
     -0.00372646     -0.00373393
     -0.00228314     -0.00223912
     -0.00315638     -0.00322524
     -0.00594419     -0.00592738
     -0.00269027     -0.00277001
     -0.00243978     -0.00244098
     -0.00214916      -0.0020497
      -0.0035931     -0.00352123
     -0.00719886     -0.00710646
      -0.0131939      -0.0132905
     -0.00369743     -0.00363448
      -0.0025712     -0.00240042
     -0.00375442     -0.00358294
     -0.00302157     -0.00314152
     -0.00989795      -0.0095975
     -0.00363355      -0.0036794
     -0.00254703     -0.00255981
     -0.00183666     -0.00178643
     -0.00774179     -0.00727412
      -0.0048593     -0.00454065
     -0.00131141     -0.00120937
     -0.00197617     -0.00197962
    -0.000924453    -0.000865776
     -0.00655136     -0.00681437
     -0.00898766     -0.00870051
     -0.00588604     -0.00596742
     -0.00412833     -0.00412601
      -0.0018584     -0.00177573
     -0.00300737     -0.00297622
     -0.00534767     -0.00533284
     -0.00236689     -0.00243602
       -0.002698     -0.00268843
     -0.00104113    -0.000968894
     -0.00180044     -0.00177064
    -0.000838031    -0.000830572
      -0.0093765     -0.00938477
     -0.00447847     -0.00452062
     -0.00101229    -0.000971883
     -0.00395357     -0.00400235
     -0.00586327     -0.00592285
     -0.00227878     -0.00233856
       -0.011264      -0.0116845
      -0.0015077     -0.00145254
     -0.00790555     -0.00763373
      -0.0088753     -0.00902189
     -0.00148843     -0.00145816
      -0.0167651      -0.0171173
      -0.0016739     -0.00163945
     -0.00149248     -0.00149165
      -0.0051269     -0.00522748
    -0.000946652    -0.000925972
     -0.00221163     -0.00218431
     -0.00214454     -0.00213693
      -0.0013167     -0.00128078
     -0.00899028     -0.00908578
     -0.00183294     -0.00176434
      -0.0038047     -0.00383692
     -0.00204995      -0.0020699
     -0.00765798     -0.00806276
     -0.00164538     -0.00156769
      -0.0047113     -0.00464583
     -0.00298873     -0.00298869
     -0.00912309      -0.0089925
     -0.00364458     -0.00364006
     -0.00304352     -0.00288335
     -0.00390671     -0.00396873
     -0.00104028     -0.00101092
     -0.00613071     -0.00624512
     -0.00497137     -0.00497708
     -0.00416912     -0.00401014
     -0.00301565     -0.00305989
     -0.00582466     -0.00534402
     -0.00240807     -0.00238153
     -0.00182517     -0.00172304
     -0.00117893     -0.00112627
     -0.00119243     -0.00113393
     -0.00464754      -0.0045219
     -0.00683054     -0.00706216
     -0.00897884      -0.0086455
     -0.00135501     -0.00130834
      -0.0100946      -0.0101347
     -0.00231039     -0.00234374
     -0.00310551     -0.00319004
     -0.00225888     -0.00225938
      -0.0104715       -0.010319
     -0.00836993     -0.00829041
     -0.00273721     -0.00272977
     -0.00295787     -0.00295908
     -0.00599664     -0.00564417
     -0.00162999      -0.0015322
     -0.00192279     -0.00188067
      -0.0105417      -0.0106524
     -0.00408601      -0.0038688
     -0.00419526     -0.00411933
     -0.00381555     -0.00377127
     -0.00505654     -0.00476235
     -0.00702126     -0.00717425
     -0.00415425     -0.00436594
     -0.00422742     -0.00409051
      -0.0089204     -0.00969408
     -0.00198654     -0.00191179
     -0.00149483     -0.00148634
     -0.00398882     -0.00394712
    -0.000957423    -0.000923145
     -0.00683345     -0.00634111
     -0.00562507      -0.0058125
      -0.0128059      -0.0131889
      -0.0024855     -0.00246909
      -0.0013384     -0.00132786
     -0.00406748     -0.00409784
     -0.00537911      -0.0054165
     -0.00320604     -0.00319609
      -0.0123671      -0.0128376
      -0.0126053      -0.0127096
     -0.00269723     -0.00255962
      -0.0242781      -0.0242081
     -0.00147259     -0.00144585
     -0.00144851     -0.00140992
     -0.00970717     -0.00955296
     -0.00091883    -0.000882565
     -0.00252128     -0.00246841
     -0.00626511     -0.00619863
    -0.000997144    -0.000938501
     -0.00384514     -0.00392233
     -0.00812984     -0.00735555
     -0.00823421     -0.00856412
      -0.0049166     -0.00488373
     -0.00231177     -0.00223898
     -0.00130255     -0.00128068
     -0.00188695     -0.00189661
      -0.0016241     -0.00155226
     -0.00129914     -0.00122881
     -0.00133733     -0.00125675
     -0.00521019     -0.00526299
     -0.00881604     -0.00912972
      -0.0119328      -0.0126843
     -0.00543891     -0.00549759
     -0.00163928     -0.00164127
       -0.013281      -0.0135545
     -0.00518602     -0.00532807
     -0.00192812     -0.00194321
      -0.0116749      -0.0116373
      -0.0173841      -0.0170292
      -0.0057096     -0.00555548
     -0.00511782     -0.00493121
     -0.00260349     -0.00247581
     -0.00652762       -0.006227
     -0.00126849     -0.00124193
     -0.00638334     -0.00639825
      -0.0037637     -0.00386837
     -0.00300236     -0.00307856
     -0.00456034     -0.00462932
      -0.0030074     -0.00296724
     -0.00199336     -0.00189369
     -0.00189214     -0.00190187
     -0.00118672     -0.00113219
     -0.00299976     -0.00282164
    -0.000820965    -0.000795067
     -0.00241898     -0.00230901
     -0.00140725     -0.00133338
      -0.0128037      -0.0128663
    -0.000799908    -0.000760068
     -0.00639806      -0.0063654
     -0.00180729     -0.00176309
     -0.00884909     -0.00932308
     -0.00356658     -0.00353174
     -0.00343498     -0.00345651
     -0.00461019      -0.0047367
    -0.000992458    -0.000952171
     -0.00369015     -0.00385502
     -0.00218746     -0.00215944
     -0.00348229      -0.0034278
      -0.0015079     -0.00146471
    -0.000688988    -0.000635722
     -0.00533713     -0.00533138
     -0.00586679     -0.00598321
     -0.00176572     -0.00173136
      -0.0053459     -0.00520281
     -0.00209525     -0.00209953
     -0.00512808     -0.00526719
     -0.00270805     -0.00252291
     -0.00138044     -0.00138754
     -0.00776054     -0.00751431
     -0.00131555     -0.00130996
