QM Energy	FF Energy
    -0.000204815    -0.000181945
    -0.000508772    -0.000464267
    -0.000378216    -0.000367568
    -0.000561941    -0.000549627
    -0.000194879    -0.000171846
    -0.000484239    -0.000511294
      -9.384e-05    -8.68466e-05
     -0.00014869    -0.000167462
    -0.000243624    -0.000242081
    -0.000575257    -0.000631429
    -0.000245603    -0.000264384
    -0.000366617    -0.000367885
    -0.000304179    -0.000297221
    -0.000203739    -0.000186325
     -0.00028382    -0.000261777
     -0.00164328     -0.00152403
    -0.000195321     -0.00019699
    -0.000114177    -0.000104553
    -0.000330709    -0.000351537
    -0.000270394    -0.000258884
    -0.000108121    -9.92661e-05
      -0.0011598     -0.00119291
     -0.00125065     -0.00111114
    -0.000390932    -0.000381122
    -0.000128606    -0.000121758
     -0.00138431     -0.00131641
     -0.00012599    -0.000114099
    -0.000180215    -0.000194496
     -0.00015089    -0.000145241
    -0.000157798    -0.000166019
    -0.000464044    -0.000473382
    -0.000149276     -0.00014829
     -8.1598e-05    -0.000103464
    -0.000194354    -0.000187782
    -0.000506759    -0.000540608
    -0.000493308    -0.000580646
     -0.00131297     -0.00147576
    -0.000279577    -0.000287492
    -0.000410595    -0.000399213
    -0.000285272    -0.000251342
    -0.000458848    -0.000453328
    -0.000641143     -0.00091519
    -0.000303109    -0.000307633
    -0.000378604    -0.000362068
    -0.000343872    -0.000330138
    -0.000564548    -0.000637772
    -0.000699737    -0.000527924
      -0.0001623    -0.000138293
    -0.000101878      -9.896e-05
     -1.7574e-05    -1.91609e-05
    -0.000441315    -0.000464117
     -0.00100731     -0.00099993
    -0.000339276    -0.000457236
     -5.4009e-05    -0.000178138
     -7.6437e-05    -7.96503e-05
    -0.000427213    -0.000433086
    -0.000363534    -0.000418286
    -0.000119805    -0.000118083
     -9.7533e-05    -0.000116659
    -0.000145701    -0.000126799
     -0.00022775    -0.000206225
    -0.000134791    -0.000119591
    -0.000938674    -0.000904374
    -0.000262993    -0.000285989
     -9.8932e-05    -8.87288e-05
    -0.000248294    -0.000255214
    -0.000760478    -0.000733527
     -9.5005e-05     -0.00010072
    -0.000852395    -0.000945562
    -0.000135691     -0.00012214
    -0.000816453    -0.000854168
     -0.00104864     -0.00111429
     -8.3604e-05     -7.8643e-05
     -0.00216788      -0.0020696
      -7.526e-05    -7.54509e-05
    -0.000124444    -0.000112933
    -0.000197718    -0.000335874
     -7.9301e-05     -7.0606e-05
     -3.2916e-05    -6.52438e-05
    -0.000156362    -0.000143216
     -5.4648e-05     -5.1585e-05
     -0.00060414    -0.000751924
    -0.000170356    -0.000156538
    -0.000146638    -0.000203497
     -6.3397e-05    -7.27469e-05
    -0.000502928    -0.000614621
     -6.8147e-05    -6.27369e-05
    -0.000210383    -0.000287694
    -0.000516093    -0.000538045
     -0.00126581     -0.00125676
     -0.00020746    -0.000240035
    -0.000326492    -0.000262862
    -0.000150078    -0.000233838
     -8.9006e-05     -7.6885e-05
    -0.000708214    -0.000695131
    -0.000632226     -0.00060534
    -0.000390002    -0.000411479
    -0.000535744    -0.000553565
    -0.000906908    -0.000908506
     -7.1626e-05    -7.51313e-05
    -0.000209832     -0.00020472
    -0.000153624    -0.000132329
     -0.00014409    -0.000130056
    -0.000564533    -0.000600729
    -0.000650957    -0.000631554
    -0.000952802      -0.0010243
      -0.0001439    -0.000136271
    -0.000876956     -0.00100211
    -0.000339509    -0.000323194
    -0.000540071    -0.000555274
    -0.000361413    -0.000358631
