QM Energy	FF Energy
     -5.0785e-05    -5.85479e-05
    -0.000905787    -0.000906701
    -0.000122738    -0.000167238
    -0.000530507    -0.000510959
     -5.1804e-05    -6.19654e-05
    -0.000896293     -0.00083095
     -1.7625e-05    -2.33603e-05
    -0.000130502      -0.0001513
    -0.000166364    -0.000191628
    -0.000935108    -0.000844255
    -0.000257228    -0.000280465
    -0.000132686    -0.000179111
    -0.000226365    -0.000233988
     -4.1253e-05     -5.2869e-05
     -6.8409e-05    -9.27049e-05
     -0.00171955     -0.00181527
     -6.8559e-05    -8.49962e-05
     -1.7917e-05    -2.75866e-05
    -0.000307316    -0.000357481
    -0.000202914      -0.0002383
     -1.1989e-05    -1.87772e-05
     -0.00149567     -0.00148217
     -0.00178144     -0.00162027
    -0.000770451    -0.000783123
    -0.000112768    -0.000133751
     -0.00151541     -0.00186102
     -2.9082e-05    -3.81487e-05
    -0.000130077    -0.000142995
     -8.8358e-05    -0.000109198
     -0.00021841    -0.000236685
    -0.000833689    -0.000800882
    -0.000103069    -0.000140952
    -0.000109185    -0.000129766
    -0.000101975    -0.000108451
    -0.000429862    -0.000441106
    -0.000656765    -0.000703262
     -0.00180002     -0.00185596
    -0.000250918    -0.000265915
    -0.000314697    -0.000315901
    -0.000540967    -0.000556644
    -0.000155037    -0.000226534
     -0.00162405     -0.00136807
     -0.00015686     -0.00019691
    -0.000141007       -0.000174
    -0.000110865     -0.00015071
     -0.00132967     -0.00121627
    -0.000957941     -0.00094472
     -3.1539e-05    -3.95462e-05
     -4.5901e-05    -5.16658e-05
     -1.6699e-05     -2.2095e-05
    -0.000709047    -0.000736831
     -0.00159349     -0.00147707
    -0.000530366    -0.000513492
    -0.000277091    -0.000260068
    -0.000101334    -0.000116323
    -0.000251478    -0.000278088
    -0.000302917    -0.000302179
    -0.000109267    -0.000119298
    -0.000147404     -0.00016296
     -2.1949e-05    -2.97556e-05
     -4.0467e-05    -5.42728e-05
      -4.642e-06    -9.97335e-06
     -0.00106843     -0.00104254
    -0.000206001    -0.000232946
     -1.9113e-05    -2.32879e-05
     -0.00012654    -0.000156369
    -0.000708324    -0.000743383
      -7.613e-05    -9.64088e-05
     -0.00100702    -0.000984074
     -4.1093e-05    -4.96312e-05
     -0.00139255     -0.00139363
     -0.00144438     -0.00149013
     -1.7917e-05    -2.36455e-05
     -0.00231015      -0.0028443
     -4.0392e-05    -5.12909e-05
     -1.7816e-05     -2.5281e-05
    -0.000569138    -0.000542322
     -1.0453e-05    -1.36606e-05
      -8.112e-05    -8.67323e-05
     -4.8791e-05    -6.40777e-05
     -4.3551e-05    -5.60874e-05
    -0.000745382    -0.000758893
     -4.6346e-05    -5.72071e-05
    -0.000203636     -0.00020929
     -7.4677e-05    -8.38351e-05
    -0.000946773    -0.000909096
     -4.4344e-05    -5.82724e-05
    -0.000568224    -0.000568451
    -0.000340537    -0.000411465
     -0.00180265     -0.00177667
    -0.000279492    -0.000290574
    -0.000461985    -0.000474312
    -0.000309561    -0.000316399
     -1.6517e-05     -2.4098e-05
     -0.00119229     -0.00107654
    -0.000593848    -0.000591283
    -0.000373672    -0.000375201
    -0.000347003    -0.000405667
     -0.00158111     -0.00136851
     -6.5618e-05    -8.78358e-05
    -0.000125444    -0.000131993
     -1.6476e-05     -2.5266e-05
     -2.2342e-05    -3.06404e-05
     -0.00051046    -0.000537198
     -0.00110383     -0.00105591
     -0.00181759     -0.00165768
     -4.2934e-05    -4.93249e-05
     -0.00144571     -0.00141449
    -0.000104925    -0.000138192
    -0.000291274    -0.000373744
     -0.00012479    -0.000162293
       -0.001335     -0.00127291
     -0.00120947     -0.00121487
    -0.000128111    -0.000160027
    -0.000128189    -0.000156704
      -0.0013362     -0.00123859
     -4.9545e-05    -6.28829e-05
     -6.1446e-05    -6.18343e-05
     -0.00143627     -0.00142154
    -0.000990653    -0.000987517
    -0.000373292    -0.000369833
     -0.00035542    -0.000371102
     -0.00089157    -0.000851012
    -0.000736973    -0.000774478
    -0.000482637     -0.00052605
    -0.000451609      -0.0004299
     -0.00130404     -0.00131575
     -5.3612e-05    -6.66651e-05
     -3.9019e-05    -4.24229e-05
    -0.000531069     -0.00050807
     -1.9782e-05    -2.62424e-05
     -0.00135118     -0.00123309
    -0.000429697    -0.000470467
     -0.00183487     -0.00199124
    -0.000144305    -0.000167934
     -1.9922e-05    -2.65025e-05
    -0.000221476    -0.000256308
     -0.00052066    -0.000512171
    -0.000173045    -0.000202186
     -0.00124618      -0.0013397
     -0.00208841     -0.00223834
    -0.000301829    -0.000299995
     -0.00294787     -0.00408041
     -6.3409e-05    -8.04351e-05
     -4.1076e-05    -5.17334e-05
     -0.00201496     -0.00185799
     -1.8402e-05    -2.41557e-05
     -8.2311e-05    -9.36122e-05
    -0.000767526    -0.000773187
     -2.5306e-05    -3.50791e-05
    -0.000137227    -0.000169425
     -0.00168419      -0.0015865
    -0.000560871    -0.000617713
    -0.000788456    -0.000757606
    -0.000201888    -0.000223202
     -1.4256e-05    -1.91212e-05
     -8.1321e-05    -0.000100413
     -5.3456e-05    -6.09145e-05
     -3.6618e-05    -4.92274e-05
     -6.2115e-05    -7.76871e-05
    -0.000338487    -0.000327554
     -0.00109549     -0.00110656
     -0.00161893     -0.00158748
    -0.000611637    -0.000642786
      -4.988e-05    -6.09691e-05
     -0.00151122     -0.00163654
    -0.000279722    -0.000330971
     -6.2013e-05    -7.70849e-05
     -0.00151906     -0.00162508
     -0.00274465     -0.00278586
     -0.00076675    -0.000824557
    -0.000598138    -0.000653814
    -0.000212683    -0.000238991
      -0.0012939     -0.00111956
     -2.3241e-05    -3.44962e-05
    -0.000690995    -0.000673578
    -0.000235718    -0.000264491
    -0.000169549    -0.000190911
    -0.000204795    -0.000224755
    -0.000113014    -0.000137635
     -9.8283e-05    -0.000124294
     -3.8899e-05    -6.12657e-05
     -3.2804e-05    -4.29331e-05
    -0.000496059    -0.000528777
       -8.88e-06    -1.52738e-05
    -0.000104035    -0.000117881
     -3.6624e-05    -4.48155e-05
      -0.0014952     -0.00130031
        -6.8e-06    -1.30337e-05
    -0.000596037    -0.000569746
    -0.000115376    -0.000153289
    -0.000628009    -0.000666485
    -0.000166706    -0.000195561
    -0.000258962    -0.000259943
    -0.000308749    -0.000347911
      -1.685e-05    -2.27636e-05
    -0.000295769    -0.000296602
    -0.000155543    -0.000171177
    -0.000244036    -0.000270044
     -6.5238e-05    -7.97821e-05
      -9.338e-06    -1.30262e-05
    -0.000778553    -0.000760425
    -0.000658744    -0.000730321
     -5.6922e-05    -7.12062e-05
    -0.000733199    -0.000714658
      -3.484e-05    -4.80125e-05
    -0.000711328    -0.000754129
    -0.000268329    -0.000265989
     -2.6087e-05    -3.73871e-05
     -0.00161937     -0.00150374
     -2.4378e-05    -3.60293e-05
    -0.000349894    -0.000311608
     -0.00113483     -0.00107818
      -0.0015863     -0.00154705
     -0.00155874     -0.00149049
     -0.00113601     -0.00122621
     -0.00169303     -0.00167995
    -0.000302831    -0.000335429
    -0.000404031    -0.000428943
    -0.000379491     -0.00034394
    -0.000667108    -0.000640648
     -4.5905e-05    -5.46966e-05
     -0.00177213     -0.00163495
