QM Energy	FF Energy
    -0.000204815    -0.000183873
    -0.000508772    -0.000455775
    -0.000378216    -0.000393018
    -0.000561941     -0.00053169
    -0.000194879    -0.000179682
    -0.000484239    -0.000497062
      -9.384e-05    -8.92435e-05
     -0.00014869     -0.00016922
    -0.000243624    -0.000257346
    -0.000575257    -0.000629563
    -0.000245603    -0.000267947
    -0.000366617    -0.000420379
    -0.000304179    -0.000331748
    -0.000203739    -0.000199835
     -0.00028382       -0.000284
     -0.00164328     -0.00146911
    -0.000195321    -0.000208853
    -0.000114177    -0.000110819
    -0.000330709    -0.000357389
    -0.000270394     -0.00025745
    -0.000108121    -0.000106427
      -0.0011598     -0.00113474
     -0.00125065     -0.00107637
    -0.000390932    -0.000373311
    -0.000128606    -0.000120544
     -0.00138431     -0.00142604
     -0.00012599     -0.00012316
    -0.000180215    -0.000199042
     -0.00015089    -0.000146475
    -0.000157798    -0.000170451
    -0.000464044    -0.000470459
    -0.000149276     -0.00015141
     -8.1598e-05     -0.00010654
    -0.000194354    -0.000197663
    -0.000506759    -0.000620395
    -0.000493308    -0.000584051
     -0.00131297     -0.00141546
    -0.000279577    -0.000297441
    -0.000410595    -0.000434719
    -0.000285272    -0.000243831
    -0.000458848    -0.000504017
    -0.000641143     -0.00091476
    -0.000303109    -0.000331361
    -0.000378604    -0.000389327
    -0.000343872    -0.000373597
    -0.000564548    -0.000631902
    -0.000699737    -0.000495073
      -0.0001623    -0.000137454
    -0.000101878    -0.000102403
     -1.7574e-05    -1.92199e-05
    -0.000441315    -0.000474029
     -0.00100731     -0.00105784
    -0.000339276    -0.000442812
     -5.4009e-05      -0.0001779
     -7.6437e-05    -7.77375e-05
    -0.000427213    -0.000490124
    -0.000363534     -0.00042558
    -0.000119805    -0.000117668
     -9.7533e-05    -0.000122789
    -0.000145701    -0.000135639
     -0.00022775    -0.000213054
    -0.000134791    -0.000128936
    -0.000938674    -0.000922789
    -0.000262993    -0.000298172
     -9.8932e-05    -9.44559e-05
    -0.000248294    -0.000272062
    -0.000760478    -0.000702116
     -9.5005e-05    -0.000102519
    -0.000852395    -0.000935836
    -0.000135691    -0.000128356
    -0.000816453    -0.000935121
     -0.00104864     -0.00114519
     -8.3604e-05    -8.17041e-05
     -0.00216788      -0.0020078
      -7.526e-05    -7.66167e-05
    -0.000124444    -0.000121695
    -0.000197718     -0.00033271
     -7.9301e-05    -7.53346e-05
     -3.2916e-05    -6.35552e-05
    -0.000156362    -0.000145801
     -5.4648e-05    -5.25834e-05
     -0.00060414    -0.000744836
    -0.000170356    -0.000155845
    -0.000146638    -0.000205048
     -6.3397e-05    -7.37673e-05
    -0.000502928    -0.000628967
     -6.8147e-05    -6.57885e-05
    -0.000210383    -0.000292018
    -0.000516093    -0.000622652
     -0.00126581     -0.00116231
     -0.00020746    -0.000237729
    -0.000326492     -0.00024651
    -0.000150078    -0.000227317
     -8.9006e-05    -7.78374e-05
    -0.000708214    -0.000665326
    -0.000632226    -0.000567935
    -0.000390002    -0.000426223
    -0.000535744     -0.00062782
    -0.000906908     -0.00104091
     -7.1626e-05    -8.20921e-05
    -0.000209832    -0.000228117
    -0.000153624    -0.000140247
     -0.00014409    -0.000141342
    -0.000564533    -0.000588183
    -0.000650957    -0.000637085
    -0.000952802     -0.00113863
      -0.0001439    -0.000149007
    -0.000876956     -0.00102266
    -0.000339509    -0.000359887
    -0.000540071    -0.000632513
    -0.000361413    -0.000402663
      -0.0010865     -0.00102268
    -0.000799573    -0.000781189
    -0.000369429    -0.000382031
    -0.000150616     -0.00016777
      -0.0010755     -0.00102313
    -0.000161248    -0.000138732
     -3.5639e-05    -5.55118e-05
    -0.000827007     -0.00093392
    -0.000808564    -0.000959767
    -0.000326198    -0.000329173
    -0.000187907    -0.000208529
    -0.000482017     -0.00040974
    -0.000677065     -0.00080236
    -0.000291374    -0.000290036
    -0.000395033    -0.000442982
    -0.000901387     -0.00099617
    -0.000152305    -0.000142958
     -6.4246e-05    -6.25925e-05
    -0.000323344    -0.000306486
     -4.3254e-05    -3.99605e-05
    -0.000716176    -0.000609862
    -0.000292748    -0.000356253
      -0.0014376     -0.00154696
    -0.000327356    -0.000371428
     -2.1957e-05    -2.71471e-05
    -0.000237451     -0.00026076
    -0.000173662    -0.000298766
    -0.000165692    -0.000190033
      -0.0011093     -0.00124862
     -0.00163522     -0.00139462
    -0.000385746     -0.00042282
      -0.0034807     -0.00301951
     -7.6122e-05     -6.6972e-05
     -8.7786e-05    -7.72977e-05
     -0.00140989     -0.00120643
    -0.000129253     -0.00013442
    -0.000224098    -0.000227144
    -0.000639074    -0.000628246
      -4.833e-05    -4.26292e-05
    -0.000244084    -0.000264006
     -0.00103364     -0.00076415
    -0.000476289    -0.000603864
    -0.000382515    -0.000393013
    -0.000396232    -0.000424066
      -8.099e-05     -7.5857e-05
     -8.0719e-05     -7.9921e-05
     -3.0653e-05    -4.10987e-05
     -9.0822e-05    -7.63951e-05
     -9.5899e-05    -7.75934e-05
    -0.000379507    -0.000393132
    -0.000472665    -0.000748055
     -0.00103622     -0.00127557
    -0.000451676    -0.000404453
     -5.3126e-05    -5.86288e-05
     -0.00111866     -0.00126326
    -0.000392335    -0.000420288
     -4.9999e-05    -5.87518e-05
    -0.000763986    -0.000892648
      -0.0020083     -0.00211099
    -0.000708853    -0.000883762
    -0.000629029    -0.000602084
    -0.000263753     -0.00021744
     -0.00071737    -0.000892322
     -5.9687e-05     -5.6096e-05
    -0.000199563    -0.000399034
    -0.000102114    -0.000159301
     -9.3041e-05    -0.000126341
    -0.000265907    -0.000303638
    -0.000222417     -0.00023572
    -0.000196125    -0.000161953
    -0.000259832    -0.000258115
     -3.5676e-05    -3.65496e-05
    -0.000351163    -0.000255067
    -0.000131581    -0.000127939
    -0.000253175    -0.000245925
     -2.8543e-05    -3.59745e-05
      -0.0011285     -0.00125467
    -0.000116654    -0.000108529
      -0.0005036    -0.000598747
    -0.000346209    -0.000377676
     -0.00050628    -0.000688661
    -0.000216158    -0.000233599
    -0.000108661    -0.000171904
    -0.000271004    -0.000278289
      -5.363e-05    -4.50611e-05
    -0.000199716     -0.00022373
    -0.000106312    -0.000106167
    -0.000342335    -0.000318133
     -7.1874e-05    -6.54899e-05
    -0.000111029    -0.000101712
    -0.000403624    -0.000400987
    -0.000469667    -0.000441613
     -7.4251e-05     -7.7426e-05
    -0.000281866    -0.000367095
    -0.000146637    -0.000143879
    -0.000661764    -0.000856201
    -0.000341802    -0.000359617
      -5.871e-05    -5.67318e-05
     -0.00105101    -0.000989292
     -5.4387e-05     -5.3288e-05
      -0.0002925     -0.00033489
    -0.000751397    -0.000655963
    -0.000797551    -0.000879317
    -0.000893389      -0.0011254
    -0.000705077    -0.000872988
     -0.00100384     -0.00120953
    -0.000161136    -0.000212746
    -0.000560999    -0.000613017
    -0.000209606    -0.000307919
    -0.000599668    -0.000694979
    -0.000172152    -0.000162729
     -0.00113117     -0.00133589
    -0.000832508    -0.000849436
    -0.000980874     -0.00117095
    -0.000320108    -0.000258308
    -0.000108522    -8.90911e-05
     -0.00051194    -0.000588034
     -7.1652e-05    -8.60017e-05
     -4.9049e-05    -6.02029e-05
    -0.000193823    -0.000175826
    -0.000130764    -0.000130575
    -0.000101159    -8.89659e-05
    -0.000130668    -0.000130035
    -0.000311429    -0.000368416
     -0.00282163     -0.00250326
    -0.000269655    -0.000284103
    -0.000146811    -0.000124672
    -0.000391536    -0.000435431
    -0.000262904     -0.00028677
    -0.000792477     -0.00093355
     -9.2091e-05    -8.90186e-05
     -0.00017585    -0.000185126
     -0.00103182    -0.000971654
     -3.6432e-05    -3.31477e-05
     -7.8895e-05    -7.80149e-05
    -0.000718739    -0.000826868
    -0.000742005    -0.000844929
    -0.000527668    -0.000637688
    -0.000137914    -0.000117207
    -0.000116243    -0.000119824
     -0.00109819     -0.00130045
    -0.000370064    -0.000446574
    -0.000609354     -0.00065955
    -0.000139891    -0.000173177
    -0.000189364    -0.000193175
    -0.000411104    -0.000469309
    -0.000315104    -0.000357906
    -0.000214129    -0.000192333
     -9.4108e-05    -0.000109398
     -4.4196e-05    -4.45831e-05
    -0.000204268    -0.000219748
    -0.000313556    -0.000367653
    -0.000590197    -0.000678249
    -0.000165441    -0.000180373
    -0.000216312    -0.000246784
    -0.000704898    -0.000853063
    -0.000692113    -0.000711623
    -0.000370447    -0.000429913
    -0.000147413    -0.000139849
    -0.000105662    -9.54533e-05
    -0.000344264    -0.000313389
    -0.000135888    -0.000124924
     -0.00105908      -0.0010197
     -6.9048e-05    -5.73946e-05
    -0.000224294    -0.000227751
    -0.000409221     -0.00049323
    -0.000229461     -0.00021138
    -0.000274711    -0.000288302
    -0.000150224    -0.000157539
    -0.000116291     -0.00016019
    -0.000611175     -0.00071782
    -0.000318557    -0.000286084
    -0.000829356     -0.00102026
    -0.000464303    -0.000423169
    -0.000462036    -0.000499045
    -0.000894933    -0.000952609
