QM Energy	FF Energy
     -0.00100939    -0.000943521
    -0.000810808    -0.000764837
    -0.000868022    -0.000846961
     -0.00293581     -0.00289375
     -0.00963076      -0.0098802
      -0.0111773      -0.0114308
     -0.00479279     -0.00481196
     -0.00368887     -0.00355473
     -0.00310674     -0.00296255
     -0.00791841     -0.00767581
    -0.000990272    -0.000963014
      -0.0184851      -0.0190728
     -0.00277853     -0.00259614
     -0.00472234     -0.00480486
     -0.00355603     -0.00340438
     -0.00147492     -0.00135758
     -0.00269054     -0.00273623
     -0.00137891     -0.00131136
     -0.00640849     -0.00614179
     -0.00172144     -0.00170337
     -0.00534802     -0.00542096
     -0.00129419     -0.00121233
     -0.00376396     -0.00365314
     -0.00202457     -0.00201937
     -0.00111976     -0.00105713
     -0.00706171     -0.00694785
     -0.00129486     -0.00119771
     -0.00155597     -0.00147002
     -0.00728051     -0.00726767
     -0.00243627     -0.00236362
    -0.000939837    -0.000900031
     -0.00770292        -0.00802
     -0.00103873     -0.00096084
     -0.00367932     -0.00348403
      -0.0046058     -0.00452021
    -0.000756871    -0.000750725
     -0.00487112     -0.00480866
     -0.00259272     -0.00257883
     -0.00458696     -0.00465911
     -0.00109031     -0.00103521
     -0.00118722     -0.00113716
     -0.00452086     -0.00453689
     -0.00360995     -0.00374674
      -0.0117441      -0.0115237
     -0.00403012     -0.00414486
     -0.00737246     -0.00736594
     -0.00496669      -0.0048793
     -0.00118899     -0.00122091
     -0.00233431     -0.00226805
     -0.00577446     -0.00574285
     -0.00477422      -0.0046838
     -0.00632702     -0.00646709
     -0.00206477     -0.00197407
     -0.00584623     -0.00603059
     -0.00103664    -0.000974579
     -0.00079694    -0.000741057
     -0.00199344     -0.00195197
       -0.002061     -0.00205457
     -0.00176898     -0.00169039
     -0.00227402     -0.00226914
     -0.00609003     -0.00602888
      -0.0123057      -0.0122311
     -0.00123133     -0.00120965
     -0.00178405     -0.00167937
     -0.00116373       -0.001123
      -0.0025777     -0.00259366
     -0.00359427     -0.00358131
      -0.0052878      -0.0054129
      -0.0094151     -0.00924355
      -0.0047992     -0.00473421
     -0.00385815     -0.00389078
      -0.0026244     -0.00261701
     -0.00356044     -0.00357168
     -0.00372256     -0.00351889
     -0.00581028     -0.00588781
     -0.00270271     -0.00265476
    -0.000916926    -0.000873752
      -0.0109428      -0.0112102
      -0.0067589     -0.00676984
     -0.00152953     -0.00154257
     -0.00130658     -0.00124798
     -0.00399869     -0.00378546
     -0.00443434     -0.00444009
     -0.00218273     -0.00210925
     -0.00172286     -0.00174083
     -0.00260251     -0.00265907
      -0.0067268     -0.00669868
     -0.00124506     -0.00116138
     -0.00707088     -0.00674427
      -0.0039082     -0.00361946
     -0.00190394      -0.0018631
     -0.00488943     -0.00492169
       -0.012249       -0.012375
      -0.0125218      -0.0126165
     -0.00427809     -0.00423665
     -0.00189152     -0.00181432
     -0.00195285     -0.00188983
     -0.00811388     -0.00803616
     -0.00602218     -0.00599941
     -0.00371239     -0.00354896
     -0.00848689     -0.00816454
     -0.00199823     -0.00194866
       -0.012249      -0.0122866
     -0.00440191     -0.00438043
     -0.00280054     -0.00272881
     -0.00783701     -0.00726576
      -0.0015994     -0.00160672
     -0.00429814      -0.0041701
      -0.0015288     -0.00148717
     -0.00146189     -0.00143667
     -0.00384901     -0.00367326
     -0.00150668     -0.00150946
     -0.00519887     -0.00545522
     -0.00254045     -0.00259771
     -0.00197152     -0.00185957
     -0.00503301     -0.00504355
     -0.00195675      -0.0018913
     -0.00196576     -0.00194319
     -0.00481362     -0.00491026
     -0.00152959     -0.00141216
     -0.00532137     -0.00546963
     -0.00349148     -0.00357771
     -0.00304332     -0.00319091
     -0.00224299     -0.00222578
     -0.00191776     -0.00187766
     -0.00254416     -0.00258116
     -0.00193198     -0.00181447
      -0.0017261     -0.00164101
      -0.0110289      -0.0113233
     -0.00224915     -0.00228551
     -0.00216107     -0.00216467
     -0.00523239     -0.00499308
     -0.00122149     -0.00119701
     -0.00485131      -0.0047121
     -0.00431657     -0.00428848
     -0.00748854     -0.00771399
     -0.00594348     -0.00540529
     -0.00397718     -0.00384578
     -0.00396155     -0.00406212
      -0.0010821     -0.00100863
     -0.00639452     -0.00658692
     -0.00135046     -0.00128271
     -0.00192683     -0.00184236
     -0.00248667     -0.00244788
     -0.00497406     -0.00470529
     -0.00569253     -0.00590987
     -0.00161449     -0.00162099
     -0.00121163     -0.00113017
      -0.0100316     -0.00986092
     -0.00127678     -0.00129634
     -0.00113564     -0.00109269
     -0.00149132     -0.00145538
      -0.0129864      -0.0131788
     -0.00252173      -0.0024839
     -0.00454719     -0.00456546
     -0.00131554     -0.00123211
      -0.0058622     -0.00580949
     -0.00181733      -0.0017576
     -0.00643742     -0.00640812
    -0.000701341    -0.000675539
     -0.00279357     -0.00283127
     -0.00430319     -0.00424952
     -0.00319783     -0.00313346
     -0.00174222     -0.00182549
     -0.00240076      -0.0022027
     -0.00117979     -0.00113346
    -0.000811365    -0.000710114
      -0.0040848     -0.00378706
     -0.00117961     -0.00117552
     -0.00369875     -0.00376945
     -0.00158319      -0.0015117
     -0.00748504     -0.00761984
     -0.00376137      -0.0037759
     -0.00581961     -0.00567241
     -0.00376824     -0.00362793
      -0.0117182      -0.0108112
     -0.00245428     -0.00245992
     -0.00538196     -0.00549727
     -0.00108331     -0.00102682
     -0.00071188    -0.000658477
     -0.00182671     -0.00178701
     -0.00513519     -0.00517427
      -0.0105931      -0.0104923
    -0.000891999    -0.000832928
     -0.00415888     -0.00410713
     -0.00498838     -0.00484292
      -0.0108466      -0.0110183
      -0.0042409     -0.00418372
     -0.00256443     -0.00245057
    -0.000741336     -0.00069553
     -0.00892662     -0.00914005
     -0.00637753     -0.00630719
     -0.00282004     -0.00283514
     -0.00503441     -0.00525549
     -0.00459526     -0.00447283
     -0.00114566     -0.00109218
      -0.0109558      -0.0113605
     -0.00589179     -0.00615013
      -0.0029971     -0.00297547
     -0.00111681     -0.00113327
     -0.00887223     -0.00911499
      -0.0022373     -0.00223658
     -0.00482864     -0.00479953
     -0.00281452     -0.00268851
    -0.000817845    -0.000767366
     -0.00399321     -0.00405887
     -0.00275457     -0.00268869
     -0.00232743     -0.00221936
    -0.000754539    -0.000695635
     -0.00348466     -0.00335143
     -0.00948084     -0.00946869
      -0.0016201     -0.00150644
     -0.00347903     -0.00335045
     -0.00145335     -0.00131968
     -0.00189974     -0.00192422
     -0.00975979     -0.00986467
     -0.00689246     -0.00704545
      -0.0105366       -0.010487
     -0.00199314     -0.00187591
     -0.00115496     -0.00103743
     -0.00649852     -0.00673956
     -0.00278422     -0.00270371
     -0.00416558     -0.00416869
     -0.00145174     -0.00139567
     -0.00940867     -0.00983022
     -0.00367329     -0.00348107
     -0.00182151     -0.00189785
     -0.00166645     -0.00159085
     -0.00444216     -0.00422948
     -0.00267737      -0.0026737
     -0.00381371     -0.00355241
     -0.00398502     -0.00394395
     -0.00944572     -0.00975041
      -0.0128077      -0.0131928
     -0.00346543     -0.00362022
    -0.000725779    -0.000667664
     -0.00324701     -0.00330875
     -0.00326626     -0.00339288
     -0.00297691     -0.00297922
      -0.0010853     -0.00100848
     -0.00356836     -0.00369072
      -0.0129145      -0.0129764
     -0.00197347     -0.00182367
    -0.000777911    -0.000735647
     -0.00816956     -0.00855609
     -0.00425085     -0.00410537
     -0.00098317    -0.000926103
      -0.0012358     -0.00109916
      -0.0140218      -0.0144453
     -0.00792516     -0.00794883
      -0.0084224     -0.00818005
     -0.00217259     -0.00219911
      -0.0105452      -0.0105666
      -0.0125448      -0.0122566
     -0.00179781     -0.00176493
      -0.0020368     -0.00194194
     -0.00660688     -0.00700904
     -0.00865843     -0.00838279
     -0.00127488     -0.00114342
     -0.00237871     -0.00224886
     -0.00295129     -0.00291674
     -0.00893006     -0.00850984
      -0.0160689      -0.0164492
     -0.00147747     -0.00135213
    -0.000755041    -0.000717452
     -0.00526296     -0.00512062
      -0.0048125     -0.00483691
     -0.00314188       -0.003244
     -0.00104419     -0.00101188
       -0.005173     -0.00546041
     -0.00951705     -0.00980034
     -0.00142443     -0.00135783
      -0.0014126     -0.00138987
     -0.00102329    -0.000971288
      -0.0149162      -0.0154685
     -0.00364305     -0.00374279
     -0.00308876     -0.00322376
     -0.00409412     -0.00389757
     -0.00406936     -0.00395101
     -0.00453233     -0.00437108
     -0.00207361     -0.00213541
      -0.0132583      -0.0130873
     -0.00157735     -0.00155992
     -0.00957832     -0.00924987
     -0.00611043     -0.00600188
     -0.00370278     -0.00360556
     -0.00429908     -0.00417987
     -0.00347749     -0.00330552
     -0.00174484      -0.0017338
     -0.00382958     -0.00375355
     -0.00666781     -0.00665647
     -0.00481007     -0.00505965
     -0.00184669     -0.00184148
     -0.00660808      -0.0067854
     -0.00123343     -0.00117567
     -0.00086414    -0.000790969
     -0.00477116     -0.00469696
      -0.0044434     -0.00438659
      -0.0103201      -0.0103503
     -0.00370594     -0.00378043
     -0.00294472     -0.00293463
     -0.00317453     -0.00308544
    -0.000682452    -0.000615865
      -0.0018757     -0.00173561
     -0.00678235     -0.00669019
     -0.00125457     -0.00124551
     -0.00676886      -0.0068355
    -0.000935405    -0.000873956
     -0.00345746     -0.00332118
     -0.00361996     -0.00355565
      -0.0011147      -0.0010516
     -0.00100909    -0.000931253
     -0.00644895      -0.0063884
     -0.00489858     -0.00492407
     -0.00617837     -0.00604867
     -0.00181053      -0.0017415
     -0.00312673     -0.00314817
     -0.00233264     -0.00230532
     -0.00197839     -0.00186027
     -0.00650525     -0.00694108
      -0.0014961     -0.00146622
     -0.00508684     -0.00509852
     -0.00191527     -0.00187029
     -0.00282274     -0.00277947
     -0.00179014     -0.00165265
     -0.00157236     -0.00155373
     -0.00137839      -0.0013447
     -0.00636364     -0.00655665
     -0.00275667     -0.00264812
     -0.00277586     -0.00279826
    -0.000827408    -0.000773585
     -0.00684737     -0.00668353
    -0.000733537     -0.00064104
     -0.00292918     -0.00294002
      -0.0020018       -0.002002
     -0.00125585     -0.00119933
     -0.00443001     -0.00452658
     -0.00482598     -0.00463202
     -0.00276666     -0.00265814
     -0.00215548     -0.00209472
     -0.00432058     -0.00440742
     -0.00387673     -0.00381502
     -0.00234704     -0.00230051
     -0.00703107     -0.00736484
     -0.00399393      -0.0038937
     -0.00682773     -0.00645981
     -0.00342477     -0.00331007
     -0.00206269     -0.00197173
     -0.00452434     -0.00439094
     -0.00125464     -0.00117362
     -0.00627595     -0.00641027
     -0.00476851     -0.00453774
     -0.00250273     -0.00249124
     -0.00143952     -0.00137153
    -0.000908791    -0.000846368
      -0.0026692     -0.00257771
     -0.00155307      -0.0015489
     -0.00143461     -0.00141494
     -0.00276618     -0.00276321
     -0.00762212     -0.00744524
     -0.00162093     -0.00163414
      -0.0025852     -0.00256241
     -0.00649512     -0.00631419
     -0.00190804     -0.00184423
      -0.0151582      -0.0155158
      -0.0045191     -0.00421817
     -0.00477085     -0.00463052
     -0.00858966     -0.00859493
     -0.00117936     -0.00112613
     -0.00690866     -0.00701349
    -0.000874122    -0.000798538
     -0.00490425     -0.00501388
     -0.00213706     -0.00203227
     -0.00549793      -0.0056011
     -0.00262212     -0.00258544
     -0.00211841     -0.00203967
      -0.0130584      -0.0125154
     -0.00568105     -0.00538931
     -0.00395736     -0.00397967
     -0.00575479     -0.00592247
    -0.000929312    -0.000861116
     -0.00268095     -0.00278434
     -0.00628268     -0.00663387
     -0.00552767     -0.00556279
      -0.0197004       -0.020298
     -0.00203101     -0.00202766
     -0.00111211     -0.00111484
     -0.00276521      -0.0026609
     -0.00145353     -0.00139058
     -0.00519351     -0.00494581
    -0.000756622    -0.000725662
     -0.00128053     -0.00130841
     -0.00252735     -0.00252995
     -0.00111552     -0.00104366
     -0.00286256     -0.00291196
     -0.00644565     -0.00635918
      -0.0064632     -0.00606913
     -0.00496644     -0.00479751
     -0.00342336     -0.00330939
     -0.00112307     -0.00108573
     -0.00174575     -0.00178007
     -0.00317036     -0.00317929
     -0.00177987     -0.00173611
     -0.00276363     -0.00277017
     -0.00576361     -0.00532051
     -0.00552584      -0.0052378
