QM Energy	FF Energy
     -0.00100939    -0.000999414
    -0.000810808    -0.000756698
    -0.000868022    -0.000790502
     -0.00293581     -0.00288705
     -0.00963076     -0.00904877
      -0.0111773      -0.0110909
     -0.00479279      -0.0049976
     -0.00368887     -0.00363457
     -0.00310674     -0.00293705
     -0.00791841     -0.00746052
    -0.000990272    -0.000966206
      -0.0184851      -0.0180478
     -0.00277853     -0.00267813
     -0.00472234     -0.00446953
     -0.00355603     -0.00334015
     -0.00147492     -0.00125574
     -0.00269054     -0.00270232
     -0.00137891     -0.00114831
     -0.00640849     -0.00579523
     -0.00172144     -0.00170005
     -0.00534802     -0.00569624
     -0.00129419     -0.00114535
     -0.00376396     -0.00355147
     -0.00202457     -0.00200618
     -0.00111976    -0.000926185
     -0.00706171     -0.00686488
     -0.00129486     -0.00113394
     -0.00155597     -0.00146773
     -0.00728051     -0.00719794
     -0.00243627     -0.00234703
    -0.000939837    -0.000841864
     -0.00770292     -0.00792233
     -0.00103873    -0.000909154
     -0.00367932     -0.00336426
      -0.0046058     -0.00520306
    -0.000756871    -0.000698391
     -0.00487112     -0.00474877
     -0.00259272     -0.00259956
     -0.00458696     -0.00467077
     -0.00109031     -0.00100012
     -0.00118722     -0.00108114
     -0.00452086     -0.00505519
     -0.00360995     -0.00377006
      -0.0117441      -0.0116155
     -0.00403012     -0.00365795
     -0.00737246     -0.00752923
     -0.00496669     -0.00492357
     -0.00118899     -0.00112518
     -0.00233431     -0.00216183
     -0.00577446     -0.00572145
     -0.00477422     -0.00483186
     -0.00632702     -0.00646905
     -0.00206477     -0.00184748
     -0.00584623     -0.00583179
     -0.00103664      -0.0010204
     -0.00079694    -0.000735748
     -0.00199344      -0.0019352
       -0.002061     -0.00205937
     -0.00176898     -0.00180633
     -0.00227402     -0.00207005
     -0.00609003      -0.0060777
      -0.0123057       -0.011916
     -0.00123133     -0.00127624
     -0.00178405     -0.00153392
     -0.00116373     -0.00106517
      -0.0025777     -0.00257906
     -0.00359427     -0.00326323
      -0.0052878     -0.00525928
      -0.0094151     -0.00910531
      -0.0047992     -0.00412454
     -0.00385815      -0.0039482
      -0.0026244     -0.00252509
     -0.00356044     -0.00343733
     -0.00372256     -0.00368747
     -0.00581028     -0.00616812
     -0.00270271     -0.00277281
    -0.000916926    -0.000817661
      -0.0109428      -0.0114931
      -0.0067589     -0.00658236
     -0.00152953     -0.00152146
     -0.00130658     -0.00130485
     -0.00399869     -0.00415029
     -0.00443434     -0.00459637
     -0.00218273     -0.00210213
     -0.00172286     -0.00176669
     -0.00260251      -0.0026084
      -0.0067268     -0.00677221
     -0.00124506     -0.00112135
     -0.00707088     -0.00669309
      -0.0039082     -0.00352739
