# Eelst 		 Emultipole 
     -0.00048258      -0.00044931
     -0.00006266       0.00006309
      0.00114470       0.00152613
     -0.00213410      -0.00127131
     -0.00563995       0.00375251
     -0.00777851       0.00010138
     -0.00193625       0.00109064
     -0.00440905      -0.00356688
     -0.00144286      -0.00026851
     -0.00905732      -0.00214993
     -0.00012511       0.00003672
     -0.02352197       0.00177651
     -0.00348148      -0.00283154
     -0.00428533      -0.00266936
     -0.00286745      -0.00140562
      0.00314327       0.00348944
     -0.00132033      -0.00058109
      0.00306367       0.00326938
      0.00273221       0.00631556
      0.00013911       0.00051310
     -0.00375125      -0.00065091
     -0.00030027      -0.00013875
     -0.00270236      -0.00049316
      0.00222453       0.00230620
      0.00256151       0.00257773
     -0.00381445      -0.00033738
     -0.00000257       0.00010809
     -0.00104899      -0.00061259
     -0.00444261      -0.00013266
     -0.00240783      -0.00151128
      0.00147620       0.00185570
     -0.00277374       0.00133767
      0.00062279       0.00071369
     -0.00225873       0.00057044
     -0.00404247      -0.00219599
     -0.00142519      -0.00188893
     -0.00247201       0.00014243
     -0.00099818      -0.00070679
     -0.00596018      -0.00449478
     -0.00015495       0.00003255
     -0.00022590       0.00036660
     -0.00272776      -0.00165419
     -0.00205403      -0.00137222
     -0.01471208      -0.00104179
      0.00411950       0.00711380
     -0.00165807       0.00353327
     -0.00273333      -0.00010302
     -0.00047507      -0.00015031
     -0.00164867      -0.00103131
     -0.00329986      -0.00071754
     -0.00215821       0.00015503
     -0.00177401       0.00027463
     -0.00088093      -0.00019788
     -0.00465060      -0.00208989
      0.00156188       0.00161984
     -0.00029647      -0.00017715
     -0.00010818       0.00036121
     -0.00077659      -0.00050476
     -0.00048603      -0.00009369
      0.00070464       0.00137445
     -0.00359687      -0.00086237
     -0.00536346       0.00831372
      0.00077419       0.00101227
      0.00111982       0.00157686
     -0.00119922      -0.00107687
     -0.00157564      -0.00118144
     -0.00025744       0.00132298
      0.00191685       0.00424432
     -0.00658424      -0.00073299
      0.00228070       0.00615049
      0.00182495       0.00317440
     -0.00124856      -0.00095371
     -0.00288753      -0.00138902
     -0.00090755       0.00069779
     -0.00107139       0.00173397
     -0.00092631       0.00034474
      0.00028009       0.00056433
     -0.01793307      -0.00886216
     -0.00612234      -0.00250523
      0.00000604       0.00026445
     -0.00079764      -0.00069159
     -0.00782947      -0.00623034
     -0.00220947      -0.00058142
     -0.00087355      -0.00027199
      0.00045511       0.00081805
     -0.00139352      -0.00098771
     -0.00384914      -0.00034176
     -0.00024446       0.00021837
     -0.00431502       0.00099717
     -0.00114320      -0.00016077
      0.00262606       0.00314766
     -0.00420539      -0.00146670
     -0.00828451       0.00771768
     -0.00673055       0.00752435
      0.00142409       0.00569351
     -0.00017489       0.00018350
      0.00304633       0.00379215
     -0.00535581       0.00009689
     -0.00193678       0.00056341
     -0.00334058      -0.00138116
     -0.00507553       0.00638442
     -0.00046948      -0.00003905
     -0.00948088      -0.00110342
     -0.00231815      -0.00028090
      0.00019482       0.00154650
     -0.00947134      -0.00054884
     -0.00004688      -0.00002044
      0.00359511       0.00690374
     -0.00078988      -0.00058111
     -0.00007766       0.00027300
      0.00306711       0.00490664
     -0.00014682      -0.00007902
     -0.00317938      -0.00153463
     -0.00078865      -0.00069332
     -0.00140439      -0.00089130
      0.00200845       0.00384862
     -0.00192954      -0.00109566
      0.00040426       0.00122302
     -0.00053612       0.00026717
     -0.00045042      -0.00036779
     -0.00260568      -0.00036706
      0.00015346       0.00277461
     -0.00077201       0.00030376
      0.00152710       0.00179582
      0.00183392       0.00219149
      0.00068107       0.00135219
      0.00294997       0.00305571
     -0.00066420      -0.00023447
     -0.01262082      -0.00010165
      0.00001382       0.00048781
     -0.00072749      -0.00041118
     -0.00222662       0.00098347
      0.00028747       0.00022583
     -0.00579850      -0.00297468
      0.00198823       0.00541873
     -0.00120069       0.00958665
     -0.00540846      -0.00021766
      0.00028767       0.00262401
     -0.00179100      -0.00051836
     -0.00049651      -0.00029320
     -0.00107337       0.00716557
     -0.00151172      -0.00156318
     -0.00054549       0.00034219
      0.00071151       0.00156048
     -0.00209517       0.00114248
     -0.00571595      -0.00266435
     -0.00041562      -0.00028502
     -0.00038776      -0.00019700
     -0.01244832       0.00000321
     -0.00076774      -0.00074013
     -0.00037920      -0.00021246
     -0.00173669      -0.00155348
     -0.01128757      -0.00077982
      0.00038744       0.00142205
      0.00293602       0.00619206
     -0.00101029      -0.00075773
     -0.00860485      -0.00246927
     -0.00094536      -0.00073767
      0.00075466       0.00604914
      0.00019222       0.00051487
     -0.00027579       0.00041136
      0.00268421       0.00524023
     -0.00417533      -0.00261635
     -0.00069428      -0.00027240
      0.00053821       0.00110211
     -0.00033762      -0.00024217
     -0.00284112      -0.00283889
      0.00277875       0.00543451
     -0.00018165       0.00036349
     -0.00056044       0.00040113
      0.00029107       0.00066887
     -0.00730402      -0.00404624
     -0.00160171      -0.00023152
     -0.01088060      -0.00734734
     -0.00337832      -0.00111393
     -0.01526673      -0.00067538
     -0.00119611      -0.00081267
     -0.00309777      -0.00079685
     -0.00194867      -0.00202060
     -0.00063397      -0.00053026
     -0.00114437      -0.00101812
     -0.00642584      -0.00177957
     -0.00752829       0.00058641
     -0.00098591      -0.00092473
     -0.00163090       0.00150601
     -0.00228002      -0.00016519
     -0.01092965      -0.00111628
     -0.00230502      -0.00079305
     -0.00170090      -0.00067379
     -0.00085185      -0.00080197
     -0.00381322       0.00192018
     -0.00301324      -0.00003334
     -0.00182119      -0.00079585
     -0.00192631       0.00025313
     -0.00481071      -0.00092152
     -0.00027559      -0.00000382
     -0.00709999       0.00087447
     -0.00087919       0.00175781
     -0.00060361       0.00004803
     -0.00056904      -0.00058875
     -0.00636337      -0.00199304
      0.00253023       0.00387055
     -0.00196135       0.00009991
      0.00056163       0.00189052
      0.00011757       0.00021286
     -0.00177022      -0.00054326
     -0.00107373      -0.00024113
      0.00287869       0.00340985
     -0.00008401      -0.00005502
     -0.00145969      -0.00070282
     -0.00622312       0.00103797
      0.00252327       0.00258753
     -0.00218422      -0.00197628
     -0.00155765      -0.00155627
      0.00406654       0.00524401
     -0.01335562      -0.00582860
     -0.00709865      -0.00051606
     -0.01637776      -0.00344443
     -0.00022845       0.00058171
      0.00028105       0.00032792
     -0.00312400       0.00033411
     -0.00186074      -0.00178354
     -0.00109458       0.00020965
     -0.00043722      -0.00023355
     -0.00746263       0.00040081
     -0.00598621      -0.00511391
     -0.00050059      -0.00017341
     -0.00080910      -0.00067891
     -0.00197124       0.00095083
     -0.00190508      -0.00124476
      0.00282386       0.00515249
     -0.00351444      -0.00213987
     -0.00591401       0.00184847
     -0.01798174      -0.00408070
     -0.00090638      -0.00040498
     -0.00011175      -0.00011735
     -0.00009978       0.00087482
      0.00060363       0.00153182
      0.00366713       0.00566863
     -0.00026354      -0.00006769
     -0.00095436       0.00158792
     -0.01561943      -0.00070733
     -0.00180328      -0.00090561
     -0.00047988      -0.00044637
