QM Energy	FF Energy
     -1.5229e-05     -2.1905e-05
     -1.0002e-05    -1.53232e-05
        9.46e-07    -7.12151e-06
    -0.000101026    -0.000120929
     -0.00122974     -0.00126406
     -0.00160834     -0.00136677
    -0.000828523    -0.000856571
    -0.000520845     -0.00051333
    -0.000313035    -0.000314396
     -0.00159833     -0.00149129
      -8.239e-06     -1.4108e-05
     -0.00220401     -0.00367585
    -0.000165838    -0.000187007
     -0.00033495    -0.000328206
    -0.000271499    -0.000288559
     -1.4948e-05    -1.53507e-05
    -0.000165285    -0.000188958
        -8.2e-06    -1.31883e-05
    -0.000781539    -0.000732533
     -5.2689e-05    -6.83508e-05
    -0.000628302    -0.000579943
     -4.8151e-05    -6.26312e-05
    -0.000332376    -0.000351352
     -1.2548e-05    -2.51111e-05
      -1.381e-06    -6.35791e-06
    -0.000761307    -0.000805287
     -1.9349e-05    -2.92474e-05
     -5.1101e-05    -5.98261e-05
    -0.000958636    -0.000921548
     -0.00010825    -0.000122086
       4.689e-06    -2.71759e-07
    -0.000706333    -0.000630941
      -5.201e-06    -1.09825e-05
    -0.000661693    -0.000660875
    -0.000690208    -0.000473313
     -1.2594e-05     -1.9938e-05
    -0.000388434    -0.000388579
     -8.0308e-05    -9.43608e-05
    -0.000311134    -0.000307986
     -1.5095e-05    -2.32225e-05
     -3.3004e-05    -4.44384e-05
    -0.000335042    -0.000310072
    -0.000184655    -0.000192231
     -0.00210018     -0.00209482
    -0.000213356    -0.000242528
    -0.000576997    -0.000637558
    -0.000503859    -0.000465114
     -1.7737e-05    -3.30829e-05
     -7.5586e-05    -8.65152e-05
    -0.000475147     -0.00044747
    -0.000403641    -0.000391594
    -0.000540397     -0.00060406
     -6.6801e-05    -8.58018e-05
    -0.000642862    -0.000678944
     -1.3064e-05    -2.07967e-05
     -1.4761e-05    -2.19897e-05
    -0.000123491    -0.000144704
     -5.7049e-05    -7.41498e-05
     -7.8823e-05    -9.05679e-05
     -7.1754e-05    -9.18397e-05
    -0.000430687    -0.000495321
     -0.00226605     -0.00167532
     -1.8047e-05    -2.89209e-05
     -5.7003e-05    -6.66725e-05
     -3.0822e-05    -3.18904e-05
    -0.000122812    -0.000146022
    -0.000188997    -0.000250592
    -0.000462843    -0.000621439
     -0.00170733     -0.00163596
    -0.000602189    -0.000448938
    -0.000190159    -0.000218273
    -0.000169749    -0.000186521
    -0.000268962    -0.000266724
    -0.000273784     -0.00028657
    -0.000755877      -0.0007193
    -0.000205637    -0.000227975
     -1.0615e-05    -1.87703e-05
     -0.00210888     -0.00178073
    -0.000640137    -0.000706459
     -2.8424e-05    -4.03767e-05
     -1.9085e-05    -2.96113e-05
    -0.000694777    -0.000536635
    -0.000236627    -0.000256894
     -9.7236e-05    -0.000107069
     -1.5766e-05    -2.66772e-05
     -8.8375e-05    -0.000107884
    -0.000763481    -0.000773983
     -3.3601e-05    -4.60916e-05
     -0.00102079    -0.000833271
    -0.000656347    -0.000663937
      -5.037e-06    -1.54452e-05
    -0.000509147    -0.000552744
     -0.00211441     -0.00215307
     -0.00186077     -0.00165818
    -0.000547989    -0.000507595
     -5.7732e-05     -6.6399e-05
     -5.0459e-05    -5.06564e-05
     -0.00108712     -0.00110178
       -0.000404    -0.000437076
    -0.000294854    -0.000307101
     -0.00211379     -0.00140927
     -6.6808e-05    -7.63634e-05
     -0.00162674     -0.00131543
    -0.000455992    -0.000452516
    -0.000154102    -0.000174971
     -0.00178822     -0.00157613
     -2.2813e-05    -3.44687e-05
    -0.000467038    -0.000389923
     -5.0696e-05    -6.31001e-05
     -4.7046e-05    -7.02273e-05
    -0.000277106    -0.000195843
     -3.5218e-05    -4.75054e-05
    -0.000371714    -0.000435851
      -5.432e-05    -7.14122e-05
     -8.8591e-05    -9.52903e-05
     -0.00029445      -0.0003234
    -0.000155315     -0.00018654
     -4.0897e-05    -6.49537e-05
    -0.000170589    -0.000204852
      -2.787e-05    -3.04742e-05
     -0.00048334    -0.000446652
    -0.000334234    -0.000400737
    -0.000163373    -0.000218248
     -1.3817e-05    -2.26589e-05
     -2.1861e-05    -3.45648e-05
     -7.0448e-05    -8.70587e-05
     -3.2809e-05    -4.39489e-05
     -3.5982e-05    -4.55339e-05
     -0.00156765     -0.00182764
     -4.9248e-05    -6.52671e-05
     -4.9284e-05    -6.08604e-05
    -0.000567428    -0.000513105
     -3.0694e-05    -4.28622e-05
    -0.000491815    -0.000514046
    -0.000487542    -0.000375231
     -0.00149445     -0.00129465
     -0.00138644     -0.00112275
    -0.000266142    -0.000279002
    -0.000272574    -0.000291737
     -1.9298e-05    -2.04928e-05
     -0.00120029     -0.00103079
     -2.7702e-05    -2.80225e-05
     -8.4435e-05    -0.000100507
    -0.000184516     -0.00021992
    -0.000602197    -0.000515748
    -0.000871156    -0.000813196
     -5.5583e-05    -7.64267e-05
     -5.2645e-05      -6.558e-05
     -0.00211714     -0.00218021
     -2.4465e-05    -3.72562e-05
      -3.939e-05    -5.21325e-05
      -5.863e-05    -7.51059e-05
     -0.00221075     -0.00207801
    -0.000116859    -0.000139995
    -0.000373921    -0.000336698
     -3.1832e-05    -3.45791e-05
     -0.00149613     -0.00134752
     -3.7329e-05    -3.73894e-05
    -0.000812118    -0.000679242
      -9.671e-06    -2.09956e-05
    -0.000138481    -0.000189927
    -0.000305309    -0.000271849
    -0.000304697    -0.000276204
     -4.2685e-05    -7.43685e-05
    -0.000108887    -0.000105952
     -2.7009e-05     -2.5749e-05
     -2.8041e-05    -2.19944e-05
    -0.000376384    -0.000260029
     -3.7336e-05    -6.60198e-05
    -0.000223579    -0.000260445
     -2.6612e-05    -3.84692e-05
    -0.000676078    -0.000821011
    -0.000200388    -0.000242848
     -0.00105436    -0.000879946
    -0.000614724    -0.000605408
     -0.00239444      -0.0020523
    -0.000178126    -0.000212403
     -0.00051245    -0.000565157
     -1.0629e-05    -1.00463e-05
      -1.266e-05    -1.62646e-05
     -4.8446e-05     -4.3246e-05
     -0.00106614     -0.00104594
     -0.00135952     -0.00134358
     -1.1287e-05    -1.33529e-05
    -0.000550102    -0.000607319
    -0.000633717    -0.000592077
     -0.00155362     -0.00168546
    -0.000511231    -0.000519283
    -0.000140802    -0.000131619
     -1.1458e-05    -1.40084e-05
    -0.000978118     -0.00119916
    -0.000828474    -0.000791644
    -0.000175873    -0.000191325
    -0.000488184    -0.000560039
    -0.000879917    -0.000844954
     -1.9838e-05    -2.71415e-05
     -0.00123631     -0.00134888
    -0.000591852    -0.000694876
    -0.000159637    -0.000179692
     -1.3337e-05      -1.807e-05
