QM Energy	FF Energy
     -0.00100939    -0.000933275
    -0.000810808    -0.000786557
    -0.000868022    -0.000844539
     -0.00293581     -0.00293087
     -0.00963076     -0.00973766
      -0.0111773      -0.0112353
     -0.00479279     -0.00481955
     -0.00368887     -0.00369834
     -0.00310674     -0.00309493
     -0.00791841     -0.00800033
    -0.000990272    -0.000979644
      -0.0184851       -0.018422
     -0.00277853     -0.00269239
     -0.00472234     -0.00474657
     -0.00355603     -0.00356446
     -0.00147492     -0.00138365
     -0.00269054     -0.00277805
     -0.00137891     -0.00131815
     -0.00640849     -0.00636483
     -0.00172144     -0.00175911
     -0.00534802     -0.00546472
     -0.00129419     -0.00123524
     -0.00376396     -0.00381654
     -0.00202457     -0.00204392
     -0.00111976     -0.00104632
     -0.00706171     -0.00710098
     -0.00129486     -0.00123162
     -0.00155597     -0.00147825
     -0.00728051     -0.00748828
     -0.00243627     -0.00236811
    -0.000939837    -0.000920975
     -0.00770292     -0.00786657
     -0.00103873     -0.00100314
     -0.00367932     -0.00373398
      -0.0046058     -0.00450143
    -0.000756871    -0.000695298
     -0.00487112     -0.00487752
     -0.00259272     -0.00261394
     -0.00458696     -0.00458455
     -0.00109031     -0.00105299
     -0.00118722     -0.00113377
     -0.00452086     -0.00452008
     -0.00360995     -0.00376138
      -0.0117441       -0.011643
     -0.00403012     -0.00404818
     -0.00737246     -0.00744129
     -0.00496669     -0.00501976
     -0.00118899     -0.00118202
     -0.00233431     -0.00231528
     -0.00577446      -0.0058175
     -0.00477422     -0.00480006
     -0.00632702      -0.0064053
     -0.00206477     -0.00200986
     -0.00584623     -0.00598599
     -0.00103664    -0.000970653
     -0.00079694    -0.000777375
     -0.00199344     -0.00200434
       -0.002061      -0.0020896
     -0.00176898     -0.00172405
     -0.00227402     -0.00219373
     -0.00609003     -0.00622122
      -0.0123057      -0.0124273
     -0.00123133     -0.00116252
     -0.00178405     -0.00172042
     -0.00116373     -0.00112358
      -0.0025777     -0.00266399
     -0.00359427     -0.00357069
      -0.0052878     -0.00544391
      -0.0094151     -0.00918836
      -0.0047992     -0.00479626
     -0.00385815     -0.00391281
      -0.0026244     -0.00261166
     -0.00356044     -0.00359103
     -0.00372256     -0.00365722
     -0.00581028     -0.00589676
     -0.00270271     -0.00265777
    -0.000916926     -0.00086889
      -0.0109428       -0.010996
      -0.0067589     -0.00677845
     -0.00152953     -0.00157296
     -0.00130658     -0.00123362
     -0.00399869      -0.0039324
     -0.00443434     -0.00446298
     -0.00218273     -0.00210476
     -0.00172286     -0.00175955
     -0.00260251     -0.00268298
      -0.0067268     -0.00674967
     -0.00124506     -0.00120593
     -0.00707088     -0.00695874
      -0.0039082      -0.0037302
     -0.00190394     -0.00188282
     -0.00488943     -0.00498426
       -0.012249      -0.0122765
      -0.0125218      -0.0125919
     -0.00427809     -0.00429472
     -0.00189152     -0.00182033
     -0.00195285      -0.0018766
     -0.00811388     -0.00827658
     -0.00602218     -0.00598817
     -0.00371239     -0.00361149
     -0.00848689     -0.00848632
     -0.00199823     -0.00197744
       -0.012249      -0.0123195
     -0.00440191     -0.00440762
     -0.00280054     -0.00285654
     -0.00783701     -0.00758017
      -0.0015994     -0.00161909
     -0.00429814      -0.0042586
      -0.0015288     -0.00150826
     -0.00146189     -0.00141797
     -0.00384901      -0.0038157
     -0.00150668     -0.00152822
     -0.00519887     -0.00529086
     -0.00254045     -0.00261403
     -0.00197152     -0.00191055
     -0.00503301     -0.00513421
     -0.00195675      -0.0019339
     -0.00196576     -0.00193129
     -0.00481362     -0.00491085
     -0.00152959     -0.00142271
