QM Energy	FF Energy
     -0.00011564    -9.11347e-05
    -0.000121698    -0.000122189
    -0.000180405    -0.000171221
    -0.000345256    -0.000313595
     -0.00149936     -0.00173088
     -0.00105684     -0.00109486
     -0.00107717     -0.00118618
    -0.000892926    -0.000671553
    -0.000170182    -0.000177686
      -0.0014627     -0.00139564
    -0.000124166    -0.000123827
     -0.00309121     -0.00330596
    -0.000487415    -0.000382692
     -0.00065034    -0.000620873
    -0.000524069     -0.00051553
      -0.0003326    -0.000294754
    -0.000102844    -0.000120646
     -0.00036583      -0.0003381
     -0.00109956     -0.00120197
      -6.758e-05    -7.75944e-05
    -0.000900615    -0.000897952
     -0.00022564    -0.000234901
     -0.00059554    -0.000577334
     -0.00022683    -0.000198941
    -0.000295137    -0.000263351
    -0.000733628    -0.000813741
     -0.00025544    -0.000232165
    -0.000156705    -0.000139682
    -0.000677767    -0.000648994
    -0.000305326    -0.000263724
    -0.000195879    -0.000173259
    -0.000500416    -0.000685511
    -0.000202158    -0.000189195
    -0.000646149    -0.000698834
     -0.00115865    -0.000809229
    -0.000171808    -0.000170967
    -0.000641148    -0.000641957
    -0.000120737    -0.000140017
    -0.000731018    -0.000598991
    -0.000168934    -0.000175903
    -0.000212244    -0.000202887
    -0.000811058    -0.000656634
    -0.000191577    -0.000207765
     -0.00221964     -0.00206392
    -0.000800884    -0.000931623
     -0.00059297    -0.000751002
    -0.000278455    -0.000301754
    -0.000215341    -0.000220394
    -0.000282755    -0.000267478
    -0.000271118    -0.000376684
    -0.000387372      -0.0004394
    -0.000653022    -0.000678747
    -0.000391246      -0.0003742
    -0.000760812     -0.00078374
    -0.000108911    -9.01924e-05
    -0.000125807    -0.000131112
    -0.000125556    -0.000128573
    -0.000140737    -0.000138732
    -0.000235011    -0.000230169
    -0.000421781    -0.000418704
    -0.000650442    -0.000679529
     -0.00170376     -0.00241143
    -0.000115449     -0.00011214
    -0.000380332    -0.000375443
    -0.000164867    -0.000150345
    -0.000172297     -0.00017518
    -0.000664027     -0.00066443
    -0.000937036     -0.00100813
     -0.00135088     -0.00140637
    -0.000929017     -0.00121205
    -0.000603576    -0.000550484
      -0.0002675    -0.000256715
    -0.000352978    -0.000354477
    -0.000470795    -0.000460064
     -0.00114254      -0.0012625
    -0.000335162    -0.000312386
    -0.000164095    -0.000166314
      -0.0026219     -0.00181299
    -0.000965263     -0.00100253
     -9.3822e-05    -8.88284e-05
    -0.000123396    -0.000105743
     -0.00125888     -0.00076252
    -0.000582798    -0.000541604
     -0.00018057    -0.000160151
    -0.000142362     -0.00014289
    -0.000160137    -0.000154954
    -0.000516417    -0.000532449
    -0.000214209     -0.00020897
    -0.000427529    -0.000514269
    -0.000556972    -0.000500049
    -0.000282389    -0.000264071
    -0.000656009    -0.000751313
     -0.00179182     -0.00216654
     -0.00166627     -0.00222438
     -0.00080169     -0.00104217
    -0.000161802    -0.000159034
    -0.000469015    -0.000460661
    -0.000908658    -0.000966737
    -0.000456234    -0.000528255
    -0.000696409    -0.000519382
      -0.0013258     -0.00195405
    -0.000145073    -0.000132202
     -0.00114583     -0.00147613
    -0.000783109    -0.000766634
    -0.000260839    -0.000263822
     -0.00128016     -0.00148904
     -8.8316e-05    -9.21184e-05
    -0.000797564     -0.00095483
     -7.0091e-05    -7.13077e-05
    -0.000266372    -0.000293602
     -0.00068198    -0.000767438
     -5.9678e-05    -6.08674e-05
     -0.00045017    -0.000462266
    -0.000107893    -0.000120992
    -0.000232623    -0.000217832
    -0.000548505    -0.000526434
    -0.000384513    -0.000393744
    -0.000343698     -0.00034825
    -0.000446561    -0.000476291
    -0.000216431     -0.00017633
    -0.000259219    -0.000341994
    -0.000623849     -0.00069675
    -0.000309049     -0.00032345
    -0.000286434    -0.000260071
    -0.000227659     -0.00021107
    -0.000197224    -0.000189905
    -0.000343301    -0.000307786
    -0.000302583     -0.00028181
     -0.00149426     -0.00177323
    -0.000167213    -0.000168684
    -0.000102541    -9.52957e-05
    -0.000438385    -0.000557781
     -7.5449e-05    -7.00356e-05
    -0.000873076    -0.000691641
    -0.000814472     -0.00101643
     -0.00131848     -0.00209563
    -0.000884759    -0.000964066
    -0.000536156    -0.000527218
    -0.000156217    -0.000190542
     -0.00012017    -0.000105007
     -0.00106555     -0.00166691
    -0.000195681    -0.000153732
     -0.00031438    -0.000287322
    -0.000354078    -0.000346674
    -0.000734085    -0.000717163
    -0.000835854    -0.000895816
     -7.8313e-05    -8.08049e-05
     -8.2233e-05    -7.17046e-05
     -0.00156861      -0.0018578
     -6.2228e-05    -5.81276e-05
     -5.7392e-05    -5.64129e-05
    -0.000202601    -0.000194252
     -0.00189299      -0.0017678
    -0.000263633     -0.00025066
    -0.000884162     -0.00104016
    -0.000136233    -0.000124525
     -0.00109634     -0.00105799
    -0.000196552    -0.000175771
     -0.00110174     -0.00130084
    -0.000153601    -0.000155567
    -0.000239738    -0.000211313
    -0.000825423     -0.00091415
    -0.000510076    -0.000458355
    -0.000296873    -0.000314373
    -0.000378454    -0.000313008
     -0.00016557    -0.000140543
    -0.000230836    -0.000149007
     -0.00068684     -0.00073161
    -0.000254173    -0.000261457
    -0.000275513    -0.000285776
    -0.000215975    -0.000215589
    -0.000956877    -0.000908774
    -0.000270145    -0.000276977
     -0.00169636      -0.0010435
    -0.000641417    -0.000732406
     -0.00161724     -0.00177804
    -0.000217008     -0.00020707
     -0.00046117    -0.000467761
    -0.000137537    -0.000104127
     -7.0367e-05    -6.07926e-05
    -0.000254805    -0.000201904
    -0.000844426    -0.000812814
     -0.00134781     -0.00156788
     -8.8433e-05    -7.90862e-05
    -0.000754683    -0.000830431
    -0.000376254    -0.000400771
     -0.00163685     -0.00172885
    -0.000322725    -0.000338316
    -0.000246456    -0.000246147
     -9.0077e-05    -8.43726e-05
    -0.000963992    -0.000936705
    -0.000415167    -0.000479684
    -0.000280123    -0.000247874
    -0.000733702    -0.000719613
    -0.000846483    -0.000926362
    -0.000118073    -0.000107835
     -0.00129571      -0.0014399
    -0.000706665    -0.000675765
    -0.000326863    -0.000329901
     -5.5414e-05     -5.3214e-05
    -0.000974822     -0.00102663
    -0.000408312    -0.000412737
      -0.0004084    -0.000472553
    -0.000519892     -0.00048362
     -8.8029e-05    -7.92543e-05
    -0.000238548    -0.000240189
     -0.00031796    -0.000287698
    -0.000441472    -0.000439609
    -0.000159486     -0.00014618
    -0.000556922    -0.000528622
      -0.0011725     -0.00140792
    -0.000393204    -0.000351141
    -0.000383188    -0.000449579
    -0.000225018    -0.000224486
    -0.000523169    -0.000561265
      -0.0024182     -0.00194621
     -0.00124593     -0.00130342
     -0.00181562     -0.00194327
    -0.000237009    -0.000235106
      -0.0001788    -0.000143911
    -0.000945867    -0.000886288
    -0.000223785    -0.000228586
     -0.00055348    -0.000541293
    -0.000113721    -0.000106891
     -0.00130199     -0.00157888
    -0.000813751    -0.000576854
    -0.000315861    -0.000343221
    -0.000152864    -0.000152074
    -0.000535622    -0.000677002
    -0.000377475    -0.000387085
    -0.000671926      -0.0006953
    -0.000649288    -0.000779145
     -0.00139777     -0.00141435
     -0.00262804     -0.00226793
    -0.000245457    -0.000254777
    -0.000141498    -0.000129486
    -0.000307344    -0.000286675
    -0.000335376    -0.000353082
    -0.000595495    -0.000620071
    -0.000116222    -0.000102857
    -0.000653097    -0.000755087
     -0.00192462     -0.00191704
    -0.000449262    -0.000296603
    -0.000102157    -9.35473e-05
    -0.000983106    -0.000973961
    -0.000712299    -0.000706858
    -0.000248969    -0.000236522
    -0.000242634     -0.00017515
     -0.00174408     -0.00173655
    -0.000614231    -0.000732944
       -0.001051     -0.00104358
    -0.000116632    -0.000118839
     -0.00153553     -0.00146584
      -0.0015403     -0.00178925
    -0.000233876     -0.00023511
    -0.000392903    -0.000397129
      -0.0005264    -0.000581545
     -0.00128621     -0.00157115
    -0.000242249    -0.000164658
    -0.000606598    -0.000434692
    -0.000338791    -0.000240256
      -0.0011009     -0.00088263
     -0.00235297     -0.00217782
    -0.000240695    -0.000219652
    -0.000225147     -0.00020868
    -0.000944401     -0.00131272
    -0.000817076    -0.000842978
    -0.000200049    -0.000201713
    -0.000134757    -0.000118558
     -0.00101624     -0.00143667
    -0.000788786     -0.00082554
     -0.00035885    -0.000319579
    -0.000122276    -0.000114501
    -0.000113563    -9.32019e-05
     -0.00211685     -0.00250617
     -0.00033667      -0.0003158
    -0.000150888    -0.000160199
     -0.00069864    -0.000718672
     -0.00107416    -0.000757834
    -0.000837266    -0.000759445
     -8.4194e-05     -9.0241e-05
     -0.00194533      -0.0021553
    -0.000112496    -0.000107546
     -0.00128118     -0.00164467
     -0.00135118    -0.000877556
    -0.000530164     -0.00042048
     -0.00057714    -0.000530697
    -0.000624634    -0.000619674
    -0.000214249    -0.000199984
     -0.00050854    -0.000465101
     -0.00127225     -0.00103567
    -0.000814504    -0.000784696
    -0.000229591    -0.000221207
    -0.000588821    -0.000626372
    -0.000133397    -0.000103135
    -0.000122524    -0.000107838
    -0.000623587    -0.000651849
    -0.000520752    -0.000487537
    -0.000980108     -0.00113364
    -0.000818069    -0.000967481
    -0.000218765    -0.000222656
    -0.000610134    -0.000599545
    -0.000163007     -0.00013211
    -0.000351195    -0.000326426
    -0.000428534    -0.000518679
    -0.000247971    -0.000252074
    -0.000709615    -0.000837602
    -0.000101573    -0.000102511
    -0.000515766    -0.000564187
     -0.00045722    -0.000463631
    -0.000182845    -0.000167148
     -7.9135e-05    -6.92147e-05
    -0.000344754    -0.000433621
     -0.00019442     -0.00029035
    -0.000808295    -0.000810344
    -0.000250296    -0.000212714
    -0.000283707    -0.000296124
    -0.000160307    -0.000157955
    -0.000218853    -0.000225914
    -0.000512942    -0.000562183
    -0.000251298    -0.000239522
    -0.000443989    -0.000440677
    -0.000164835    -0.000147111
    -0.000418094    -0.000387593
    -0.000324936    -0.000272584
    -0.000140733    -0.000126841
    -0.000260934    -0.000280883
      -0.0013505     -0.00131318
    -0.000495342    -0.000448598
    -0.000664322    -0.000741769
     -9.6769e-05     -8.8205e-05
    -0.000801755    -0.000987202
     -0.00016158    -0.000109783
    -0.000193854    -0.000220007
    -0.000402273    -0.000404247
     -9.7681e-05    -9.24667e-05
    -0.000709368     -0.00090182
    -0.000780098    -0.000932646
     -0.00040306    -0.000391729
    -0.000212352    -0.000195147
    -0.000253965    -0.000289114
     -0.00039953     -0.00036857
    -0.000384947    -0.000295301
     -0.00150595     -0.00137148
    -0.000506822    -0.000657726
     -0.00131369     -0.00132469
    -0.000532612    -0.000512446
    -0.000404535    -0.000427706
      -0.0007052    -0.000740341
     -0.00017939      -0.0001236
    -0.000861583    -0.000958055
    -0.000642787    -0.000603005
    -0.000527694     -0.00057468
    -0.000145099    -0.000127785
    -0.000105262    -0.000107112
    -0.000679844    -0.000480318
    -0.000421088    -0.000435968
     -8.7081e-05    -8.99029e-05
    -0.000439209    -0.000361569
     -0.00133448     -0.00189623
    -0.000322039    -0.000343514
    -0.000213895    -0.000201121
     -0.00101433     -0.00140396
    -0.000355363    -0.000342463
     -0.00181729      -0.0020667
    -0.000703822    -0.000731929
    -0.000778178    -0.000743297
    -0.000626991    -0.000749769
      -7.699e-05    -6.78553e-05
    -0.000795778    -0.000870759
    -0.000153196    -0.000144038
    -0.000477311    -0.000470065
    -0.000645455    -0.000409715
