QM Energy	FF Energy
    -0.000170776    -0.000154581
    -0.000445003    -0.000339331
     -0.00226579     -0.00280848
    -0.000187355    -0.000191778
     -0.00194153     -0.00203551
    -0.000144232    -0.000134995
    -0.000283784     -0.00027161
    -0.000554697    -0.000442839
     -2.7536e-05    -4.52259e-05
     -0.00307783     -0.00318121
     -8.0468e-05    -0.000117746
    -0.000112798    -0.000137343
    -0.000356997    -0.000335404
     -1.9633e-05    -2.14999e-05
    -0.000183305     -0.00021615
    -0.000152535    -0.000144669
     -2.2678e-05     -2.7191e-05
     -2.9684e-05    -3.32623e-05
    -0.000140456     -0.00011746
    -0.000399506    -0.000511049
     -0.00094094    -0.000872301
    -0.000110118     -0.00011677
    -0.000323544    -0.000268119
     -2.8226e-05    -2.82888e-05
     -0.00301521     -0.00318062
    -0.000287484      -0.0003602
     -8.3485e-05    -7.15147e-05
    -0.000161366    -0.000186151
    -0.000210673    -0.000200424
    -0.000131352    -0.000110945
    -0.000233452    -0.000234614
    -0.000139231    -0.000155176
    -0.000267339    -0.000265234
     -7.6848e-05    -9.86766e-05
    -0.000698444    -0.000619268
     -2.3297e-05    -3.36711e-05
    -0.000224105    -0.000241316
     -7.1668e-05    -6.89214e-05
    -0.000430278    -0.000371495
     -3.9015e-05    -3.56731e-05
     -0.00026263    -0.000243784
     -0.00129233     -0.00115075
     -0.00212291     -0.00187178
       -4.22e-05    -3.72658e-05
     -0.00187944     -0.00159201
    -0.000691982    -0.000599744
     -6.1796e-05    -8.06402e-05
     -0.00076061    -0.000997647
    -0.000328058    -0.000278883
      -0.0025159     -0.00180569
    -0.000252607    -0.000294438
    -0.000608446    -0.000556678
     -0.00288329     -0.00286484
     -4.8103e-05    -5.05277e-05
      -7.124e-05     -7.9003e-05
     -1.7145e-05    -3.18588e-05
     -2.5605e-05     -3.1626e-05
     -0.00233544     -0.00201373
     -0.00116175     -0.00125726
    -0.000224955    -0.000196121
     -0.00101762     -0.00122124
     -6.0301e-05    -5.25638e-05
    -0.000271085    -0.000230867
    -0.000584074    -0.000504532
    -0.000121745    -0.000166085
    -0.000533565     -0.00037454
    -0.000642613    -0.000540257
     -5.0608e-05    -5.61165e-05
     -0.00257976     -0.00300134
     -3.8507e-05    -3.94265e-05
     -9.5623e-05    -0.000122331
    -0.000179529    -0.000156932
    -0.000371283     -0.00037926
     -2.5116e-05    -2.49582e-05
     -6.9289e-05    -6.70111e-05
     -7.7444e-05    -7.53116e-05
    -0.000666751    -0.000565599
     -5.4764e-05    -8.36458e-05
    -0.000177913    -0.000206631
     -6.6493e-05      -8.047e-05
    -0.000548381    -0.000535894
      -9.137e-05    -0.000108876
     -0.00142103     -0.00161856
     -0.00342805      -0.0031891
    -0.000430588    -0.000355702
    -0.000564627    -0.000493159
     -1.1478e-05    -1.21418e-05
     -3.2758e-05     -3.0148e-05
     -0.00105212     -0.00104195
    -0.000136719    -0.000115266
    -0.000396922    -0.000453013
     -2.6546e-05    -2.69788e-05
     -0.00227996     -0.00209268
     -7.5869e-05    -6.78598e-05
    -0.000771483    -0.000621244
    -0.000611252    -0.000775681
     -0.00122339     -0.00121989
    -0.000142575    -0.000152487
     -0.00265674     -0.00308941
     -8.7499e-05    -6.79443e-05
        -0.00204     -0.00209608
     -0.00136471     -0.00147746
     -2.3328e-05    -3.58156e-05
     -6.2515e-05    -5.94855e-05
    -0.000158067    -0.000142384
     -0.00177855     -0.00160397
     -0.00132967     -0.00131686
     -1.9375e-05    -2.29896e-05
    -0.000199268    -0.000228979
     -0.00111089    -0.000994374
    -0.000196395      -0.0001726
     -0.00158297     -0.00180875
     -0.00171844     -0.00186505
     -3.4642e-05    -4.25648e-05
     -5.6356e-05    -6.67347e-05
     -5.4534e-05    -5.44011e-05
     -0.00041296    -0.000507712
      -0.0012589     -0.00109505
    -0.000681886    -0.000577977
     -1.2789e-05     -1.7492e-05
    -0.000652701    -0.000596025
     -2.5525e-05    -3.09438e-05
    -0.000559623    -0.000485358
     -3.5012e-05    -2.86775e-05
    -0.000270973    -0.000310859
     -0.00112895    -0.000983239
    -0.000425373    -0.000319786
     -5.3868e-05    -5.82758e-05
      -3.419e-05    -5.58716e-05
    -0.000155292    -0.000148055
    -0.000996989    -0.000697132
     -2.5802e-05    -3.55944e-05
    -0.000655717     -0.00066484
     -6.7188e-05    -6.17224e-05
     -1.9255e-05    -1.92849e-05
     -0.00030275    -0.000267117
    -0.000302211    -0.000364512
    -0.000440322    -0.000388629
     -3.4165e-05    -3.23366e-05
    -0.000103526    -0.000128559
    -0.000525541    -0.000601359
     -0.00200503     -0.00224181
     -3.5098e-05    -4.24014e-05
    -0.000143099     -0.00012004
    -0.000150734    -0.000177722
    -0.000202291    -0.000225059
     -3.9324e-05    -5.46536e-05
    -0.000174413    -0.000155922
     -1.1681e-05    -8.52702e-06
     -0.00212749     -0.00190526
    -0.000806856    -0.000675534
     -5.5373e-05    -7.42752e-05
     -0.00016514    -0.000196883
     -0.00263267     -0.00208366
    -0.000622614    -0.000624326
     -0.00200116      -0.0016224
    -0.000131735    -0.000154181
     -3.7934e-05    -4.96334e-05
    -0.000538546    -0.000536595
    -0.000576682    -0.000531804
     -1.7701e-05    -3.54268e-05
     -0.00076135    -0.000740453
     -0.00151691     -0.00162262
     -6.5516e-05    -5.77853e-05
     -0.00199823     -0.00390489
     -9.0846e-05    -8.97277e-05
     -0.00251841     -0.00249646
     -4.1982e-05    -4.87736e-05
     -3.4609e-05    -4.36179e-05
    -0.000584857    -0.000557107
     -0.00236522     -0.00221742
     -0.00128548     -0.00113791
     -4.9395e-05    -5.41941e-05
     -0.00025057    -0.000212645
    -0.000726808      -0.0008338
     -0.00152702     -0.00157786
     -0.00224821     -0.00199339
      -3.456e-05    -3.66696e-05
    -0.000218688    -0.000311934
    -0.000407262    -0.000426053
    -0.000807224    -0.000859865
     -3.3943e-05    -2.92086e-05
     -6.7663e-05     -6.4788e-05
     -0.00109564     -0.00100758
    -0.000142578    -0.000126988
     -5.0614e-05    -7.73967e-05
     -5.3152e-05    -4.72312e-05
    -0.000377002     -0.00030235
     -0.00191703     -0.00191105
    -0.000153124    -0.000128505
     -2.8491e-05    -3.04365e-05
       -1.45e-05    -2.27986e-05
    -0.000945992    -0.000875249
    -0.000433147    -0.000401916
     -1.1497e-05    -1.19664e-05
     -1.8191e-05     -1.7588e-05
     -4.4668e-05    -3.78853e-05
     -0.00195498      -0.0017094
     -3.7081e-05    -5.94812e-05
    -0.000431931    -0.000453469
    -0.000231248    -0.000212544
     -0.00212626     -0.00211122
     -7.4668e-05    -8.78704e-05
     -8.7261e-05    -8.42708e-05
     -1.0172e-05    -1.57746e-05
     -0.00157435     -0.00139493
