QM Energy	FF Energy
    -0.000170776    -0.000135819
    -0.000445003    -0.000330557
     -0.00226579     -0.00265617
    -0.000187355    -0.000177288
     -0.00194153     -0.00238712
    -0.000144232    -0.000123768
    -0.000283784     -0.00025024
    -0.000554697    -0.000525787
     -2.7536e-05    -4.31181e-05
     -0.00307783     -0.00285147
     -8.0468e-05    -0.000120834
    -0.000112798    -0.000131049
    -0.000356997    -0.000261179
     -1.9633e-05    -2.21285e-05
    -0.000183305    -0.000172294
    -0.000152535    -0.000141674
     -2.2678e-05     -2.5242e-05
     -2.9684e-05    -3.15647e-05
    -0.000140456    -0.000123703
    -0.000399506    -0.000478461
     -0.00094094    -0.000765076
    -0.000110118    -0.000105832
    -0.000323544     -0.00026747
     -2.8226e-05    -3.01236e-05
     -0.00301521      -0.0027941
    -0.000287484    -0.000342149
     -8.3485e-05    -6.72201e-05
    -0.000161366    -0.000175738
    -0.000210673    -0.000175511
    -0.000131352    -0.000109756
    -0.000233452    -0.000208588
    -0.000139231    -0.000139053
    -0.000267339    -0.000342956
     -7.6848e-05    -9.45781e-05
    -0.000698444    -0.000589032
     -2.3297e-05    -3.51976e-05
    -0.000224105    -0.000223752
     -7.1668e-05    -6.40403e-05
    -0.000430278    -0.000283239
     -3.9015e-05     -4.6099e-05
     -0.00026263    -0.000219462
     -0.00129233      -0.0011264
     -0.00212291     -0.00141958
       -4.22e-05    -3.24545e-05
     -0.00187944     -0.00147988
    -0.000691982    -0.000564019
     -6.1796e-05    -7.54516e-05
     -0.00076061    -0.000727434
    -0.000328058    -0.000288643
      -0.0025159     -0.00190141
    -0.000252607    -0.000284548
    -0.000608446    -0.000486482
     -0.00288329     -0.00277541
     -4.8103e-05    -6.50566e-05
      -7.124e-05    -5.82514e-05
     -1.7145e-05    -3.34004e-05
     -2.5605e-05    -3.30301e-05
     -0.00233544     -0.00251281
     -0.00116175     -0.00103209
    -0.000224955    -0.000189404
     -0.00101762    -0.000969256
     -6.0301e-05    -5.55396e-05
    -0.000271085    -0.000214504
    -0.000584074    -0.000504919
    -0.000121745    -0.000166605
    -0.000533565     -0.00033884
    -0.000642613    -0.000585616
     -5.0608e-05    -6.26046e-05
     -0.00257976     -0.00283405
     -3.8507e-05    -4.40827e-05
     -9.5623e-05    -9.37372e-05
    -0.000179529    -0.000158101
    -0.000371283    -0.000389531
     -2.5116e-05    -2.42728e-05
     -6.9289e-05    -7.38475e-05
     -7.7444e-05    -7.38928e-05
    -0.000666751    -0.000530746
     -5.4764e-05    -7.86818e-05
    -0.000177913    -0.000178968
     -6.6493e-05    -6.18913e-05
    -0.000548381    -0.000511402
      -9.137e-05    -8.14453e-05
     -0.00142103     -0.00135834
     -0.00342805     -0.00295995
    -0.000430588    -0.000344672
    -0.000564627    -0.000465509
     -1.1478e-05    -1.45874e-05
     -3.2758e-05    -2.62415e-05
     -0.00105212       -0.001016
    -0.000136719    -0.000115041
    -0.000396922    -0.000415126
     -2.6546e-05    -3.16856e-05
     -0.00227996     -0.00185679
     -7.5869e-05    -8.27089e-05
    -0.000771483     -0.00073548
    -0.000611252    -0.000814472
     -0.00122339     -0.00121827
    -0.000142575    -0.000136112
     -0.00265674     -0.00327597
     -8.7499e-05    -6.77967e-05
        -0.00204     -0.00238186
     -0.00136471     -0.00145085
     -2.3328e-05    -2.90609e-05
     -6.2515e-05    -5.23466e-05
    -0.000158067    -0.000148387
     -0.00177855      -0.0016552
     -0.00132967     -0.00131536
     -1.9375e-05    -1.99585e-05
    -0.000199268     -0.00022117
     -0.00111089    -0.000868028
    -0.000196395    -0.000197331
     -0.00158297     -0.00149593
     -0.00171844     -0.00178459
     -3.4642e-05     -3.5003e-05
     -5.6356e-05    -5.77667e-05
     -5.4534e-05    -5.56394e-05
     -0.00041296    -0.000405143
      -0.0012589     -0.00101088
    -0.000681886    -0.000541938
     -1.2789e-05    -1.31899e-05
    -0.000652701    -0.000536579
     -2.5525e-05    -3.11225e-05
    -0.000559623    -0.000468957
     -3.5012e-05    -2.47947e-05
    -0.000270973    -0.000280629
     -0.00112895     -0.00104298
    -0.000425373    -0.000387652
     -5.3868e-05    -4.40115e-05
      -3.419e-05    -4.83911e-05
    -0.000155292    -0.000135272
    -0.000996989    -0.000713508
     -2.5802e-05     -3.1514e-05
    -0.000655717    -0.000629774
     -6.7188e-05    -6.39598e-05
     -1.9255e-05    -2.29281e-05
     -0.00030275    -0.000236332
    -0.000302211    -0.000363395
    -0.000440322    -0.000435568
     -3.4165e-05    -2.90902e-05
    -0.000103526     -0.00011133
    -0.000525541    -0.000564447
     -0.00200503      -0.0021008
     -3.5098e-05    -3.21292e-05
    -0.000143099    -0.000108419
    -0.000150734    -0.000166671
    -0.000202291    -0.000170954
     -3.9324e-05    -4.73979e-05
    -0.000174413    -0.000168795
     -1.1681e-05     -9.3938e-06
     -0.00212749     -0.00168579
    -0.000806856    -0.000582573
     -5.5373e-05    -6.41789e-05
     -0.00016514    -0.000163555
     -0.00263267     -0.00187243
    -0.000622614    -0.000591993
     -0.00200116      -0.0014842
    -0.000131735     -0.00014636
     -3.7934e-05    -3.86758e-05
    -0.000538546    -0.000477627
    -0.000576682    -0.000519743
     -1.7701e-05    -3.85464e-05
     -0.00076135    -0.000611247
     -0.00151691     -0.00129405
     -6.5516e-05    -5.07413e-05
     -0.00199823     -0.00358225
     -9.0846e-05    -7.94952e-05
     -0.00251841     -0.00248127
     -4.1982e-05    -5.76224e-05
     -3.4609e-05    -4.07653e-05
    -0.000584857    -0.000480559
     -0.00236522     -0.00221778
     -0.00128548     -0.00103548
     -4.9395e-05    -4.58224e-05
     -0.00025057    -0.000258984
    -0.000726808    -0.000677424
     -0.00152702     -0.00140248
     -0.00224821     -0.00186851
      -3.456e-05    -3.44737e-05
    -0.000218688    -0.000291971
    -0.000407262    -0.000333124
    -0.000807224    -0.000743867
     -3.3943e-05    -3.51755e-05
     -6.7663e-05    -6.52855e-05
     -0.00109564     -0.00140633
    -0.000142578    -0.000113873
     -5.0614e-05    -6.20424e-05
     -5.3152e-05    -4.13969e-05
    -0.000377002    -0.000279597
     -0.00191703     -0.00176669
    -0.000153124    -0.000158851
     -2.8491e-05    -3.11859e-05
       -1.45e-05    -2.74782e-05
    -0.000945992     -0.00107627
    -0.000433147     -0.00038275
     -1.1497e-05    -1.18665e-05
     -1.8191e-05    -1.53432e-05
     -4.4668e-05    -3.91232e-05
     -0.00195498     -0.00147649
     -3.7081e-05    -5.43138e-05
    -0.000431931    -0.000342906
    -0.000231248    -0.000246415
     -0.00212626     -0.00176912
     -7.4668e-05     -8.9004e-05
     -8.7261e-05    -6.81855e-05
     -1.0172e-05     -1.4111e-05
     -0.00157435     -0.00105528
     -2.2776e-05    -2.21063e-05
     -8.3391e-05    -7.37882e-05
    -0.000109937    -8.82201e-05
     -0.00158796     -0.00153687
    -0.000566105    -0.000432029
     -2.5658e-05    -4.69839e-05
     -0.00115556     -0.00106984
     -0.00141408     -0.00153315
    -0.000143085    -0.000151385
     -0.00199909      -0.0018519
    -0.000164989    -0.000208073
     -1.9319e-05    -1.55271e-05
     -0.00097791    -0.000924871
     -1.0038e-05    -9.98411e-06
    -0.000148008    -0.000143304
     -2.5028e-05    -3.61651e-05
    -0.000154867    -0.000142758
    -0.000247357    -0.000251993
     -3.2674e-05    -3.81931e-05
     -0.00249299     -0.00219365
     -1.0345e-05    -1.38726e-05
     -0.00142853     -0.00115625
    -0.000106088    -0.000117743
     -2.0828e-05    -1.90172e-05
     -0.00362246     -0.00281263
    -0.000619729    -0.000946761
    -0.000312044    -0.000254544
    -0.000301588    -0.000268621
    -0.000283102    -0.000225337
     -9.3077e-05    -0.000104548
    -0.000139336    -0.000202936
