QM Energy	FF Energy
    -0.000170776    -0.000154583
    -0.000445003    -0.000339341
     -0.00226579     -0.00280853
    -0.000187355    -0.000191782
     -0.00194153     -0.00203556
    -0.000144232    -0.000134991
    -0.000283784    -0.000271606
    -0.000554697    -0.000442805
     -2.7536e-05    -4.52294e-05
     -0.00307783      -0.0031812
     -8.0468e-05    -0.000117747
    -0.000112798    -0.000137344
    -0.000356997     -0.00033535
     -1.9633e-05    -2.15065e-05
    -0.000183305    -0.000216154
    -0.000152535     -0.00014467
     -2.2678e-05    -2.71908e-05
     -2.9684e-05    -3.32601e-05
    -0.000140456    -0.000117449
    -0.000399506     -0.00051105
     -0.00094094    -0.000872298
    -0.000110118     -0.00011677
    -0.000323544    -0.000268119
     -2.8226e-05    -2.82841e-05
     -0.00301521     -0.00318059
    -0.000287484    -0.000360204
     -8.3485e-05    -7.15133e-05
    -0.000161366    -0.000186147
    -0.000210673    -0.000200422
    -0.000131352    -0.000110941
    -0.000233452    -0.000234632
    -0.000139231    -0.000155165
    -0.000267339    -0.000265263
     -7.6848e-05    -9.86764e-05
    -0.000698444     -0.00061925
     -2.3297e-05    -3.36761e-05
    -0.000224105    -0.000241299
     -7.1668e-05    -6.89247e-05
    -0.000430278    -0.000371471
     -3.9015e-05    -3.56712e-05
     -0.00026263     -0.00024377
     -0.00129233     -0.00115065
     -0.00212291      -0.0018718
       -4.22e-05    -3.72642e-05
     -0.00187944     -0.00159202
    -0.000691982    -0.000599771
     -6.1796e-05    -8.06409e-05
     -0.00076061    -0.000997636
    -0.000328058    -0.000278887
      -0.0025159     -0.00180567
    -0.000252607    -0.000294439
    -0.000608446    -0.000556699
     -0.00288329     -0.00286483
     -4.8103e-05    -5.05275e-05
      -7.124e-05    -7.90048e-05
     -1.7145e-05    -3.18621e-05
     -2.5605e-05    -3.16193e-05
     -0.00233544     -0.00201381
     -0.00116175     -0.00125724
    -0.000224955    -0.000196123
     -0.00101762     -0.00122119
     -6.0301e-05    -5.25645e-05
    -0.000271085    -0.000230872
    -0.000584074     -0.00050455
    -0.000121745    -0.000166082
    -0.000533565    -0.000374565
    -0.000642613    -0.000540264
     -5.0608e-05    -5.61148e-05
     -0.00257976      -0.0030014
     -3.8507e-05    -3.94287e-05
     -9.5623e-05    -0.000122332
    -0.000179529    -0.000156926
    -0.000371283    -0.000379271
     -2.5116e-05    -2.49652e-05
     -6.9289e-05    -6.70222e-05
     -7.7444e-05    -7.53396e-05
    -0.000666751    -0.000565597
     -5.4764e-05    -8.36475e-05
    -0.000177913    -0.000206635
     -6.6493e-05    -8.04723e-05
    -0.000548381    -0.000535883
      -9.137e-05     -0.00010887
     -0.00142103     -0.00161854
     -0.00342805     -0.00318924
    -0.000430588     -0.00035568
    -0.000564627    -0.000493162
     -1.1478e-05    -1.21266e-05
     -3.2758e-05    -3.01481e-05
     -0.00105212     -0.00104196
    -0.000136719    -0.000115313
    -0.000396922    -0.000453014
     -2.6546e-05    -2.69787e-05
     -0.00227996     -0.00209267
     -7.5869e-05    -6.78514e-05
    -0.000771483    -0.000621508
    -0.000611252    -0.000775693
     -0.00122339     -0.00121987
    -0.000142575    -0.000152448
     -0.00265674      -0.0030894
     -8.7499e-05    -6.79243e-05
        -0.00204     -0.00209601
     -0.00136471     -0.00147746
     -2.3328e-05    -3.58161e-05
     -6.2515e-05    -5.94849e-05
    -0.000158067    -0.000142388
