QM Energy	FF Energy
    -0.000328144    -0.000275856
    -0.000385232    -0.000362359
     -0.00168368     -0.00156913
     -9.0896e-05    -0.000102472
     -0.00120849     -0.00111208
    -0.000304352    -0.000243142
    -0.000319151    -0.000334572
    -0.000507694    -0.000508184
     -2.8102e-05    -3.00498e-05
      -0.0018144     -0.00161198
     -4.6577e-05    -5.70982e-05
     -8.1171e-05     -9.0933e-05
    -0.000503278    -0.000417164
    -0.000158482    -0.000123696
    -0.000146631    -0.000143142
    -0.000208612    -0.000207683
     -4.0657e-05    -4.13059e-05
     -6.4299e-05    -5.50782e-05
    -0.000320685    -0.000252978
    -0.000325625    -0.000324829
    -0.000845213    -0.000837799
     -8.4504e-05    -9.96334e-05
    -0.000226126    -0.000245614
    -0.000114636    -9.59732e-05
     -0.00164118     -0.00151688
     -0.00021954    -0.000225107
    -0.000159534      -0.0001422
     -9.7587e-05    -0.000102879
    -0.000117837    -0.000136571
     -4.6264e-05    -7.09709e-05
    -0.000379401    -0.000320912
    -0.000128707    -0.000119561
    -0.000466052     -0.00047704
    -0.000109549    -9.79504e-05
    -0.000436901    -0.000553196
    -0.000146167    -0.000128097
    -0.000319883    -0.000298679
    -0.000112922    -0.000102536
    -0.000500699     -0.00043301
     -0.00018566    -0.000148283
    -0.000177076    -0.000192443
    -0.000696214    -0.000789302
    -0.000992666     -0.00107671
     -6.2965e-05    -5.81108e-05
     -0.00137381     -0.00148156
    -0.000523476    -0.000575424
     -8.9344e-05    -9.39844e-05
    -0.000846529    -0.000844196
    -0.000147588    -0.000173572
     -0.00168413     -0.00199636
    -0.000128432    -0.000167836
    -0.000599431    -0.000550861
     -0.00269775     -0.00249013
     -6.1136e-05    -6.13008e-05
    -0.000208579    -0.000194464
     -3.0866e-05    -3.19497e-05
     -8.5408e-05    -8.20808e-05
      -0.0015284     -0.00137121
    -0.000869634    -0.000753198
      -9.626e-05    -0.000122545
    -0.000911608    -0.000891745
    -0.000113021    -0.000106408
    -0.000110221    -0.000147682
    -0.000350318    -0.000405929
    -0.000145788    -0.000161114
    -0.000460208     -0.00048598
    -0.000662443    -0.000619335
    -0.000194745    -0.000163846
     -0.00164733     -0.00157287
     -0.00012573    -0.000122244
     -8.6731e-05    -7.98179e-05
     -6.2357e-05    -0.000101084
    -0.000299513    -0.000299017
    -0.000119374    -8.76311e-05
    -0.000124986    -0.000108997
    -0.000183439    -0.000144063
    -0.000342563    -0.000348462
    -0.000219257    -0.000211114
    -0.000361687     -0.00035426
    -0.000118691     -0.00010036
    -0.000669298    -0.000650463
    -0.000309148    -0.000273669
     -0.00112685     -0.00117557
     -0.00182392     -0.00167588
    -0.000501892    -0.000450925
    -0.000288314    -0.000414114
    -0.000129149    -9.75071e-05
     -3.7985e-05    -3.67226e-05
    -0.000386966    -0.000535059
    -0.000253774    -0.000199812
    -0.000331221    -0.000315249
    -0.000188446    -0.000152754
     -0.00109116    -0.000972384
     -5.4214e-05    -6.20257e-05
    -0.000813951    -0.000847331
    -0.000374863    -0.000398671
    -0.000614986    -0.000606549
     -0.00029104    -0.000236505
      -0.0020577     -0.00208941
    -0.000183526    -0.000151518
    -0.000821681     -0.00104224
     -0.00086627     -0.00092383
      -3.576e-05    -3.35165e-05
      -5.957e-05    -5.82913e-05
    -0.000307354    -0.000255633
     -0.00135999     -0.00157646
    -0.000750664    -0.000865362
     -3.1021e-05      -2.647e-05
     -0.00018126    -0.000175417
    -0.000883766    -0.000866099
     -0.00035437    -0.000314457
     -0.00109576     -0.00115377
    -0.000829007    -0.000884866
     -4.3687e-05    -3.53057e-05
     -4.7442e-05    -4.19628e-05
     -6.7554e-05    -6.53307e-05
    -0.000307413    -0.000302151
    -0.000970387     -0.00090158
    -0.000306352    -0.000332772
     -4.8183e-05    -4.25305e-05
    -0.000247534    -0.000335746
    -0.000160434    -0.000127835
    -0.000448181    -0.000425478
    -0.000176853    -0.000115946
    -0.000341158     -0.00033248
     -0.00061776    -0.000599033
    -0.000438828    -0.000507844
    -0.000211665    -0.000184165
    -0.000208576    -0.000193263
    -0.000385557    -0.000327052
    -0.000560217    -0.000753344
     -6.8129e-05    -5.63187e-05
    -0.000615423    -0.000611483
     -9.1608e-05    -8.07271e-05
    -0.000104191    -8.83987e-05
    -0.000387966    -0.000347598
    -0.000334172    -0.000312143
    -0.000201392    -0.000227142
     -5.1871e-05    -4.28539e-05
    -0.000178303    -0.000159683
    -0.000216519    -0.000283572
    -0.000940848     -0.00107716
    -0.000174777    -0.000160272
    -0.000146282    -0.000146603
    -0.000357677    -0.000328169
    -0.000137201    -0.000120765
    -0.000105295    -9.78972e-05
    -0.000296938    -0.000273967
     -6.5591e-05    -5.21285e-05
     -0.00160574     -0.00150941
    -0.000668299    -0.000645883
     -0.00026435    -0.000247414
    -0.000183726    -0.000172536
     -0.00129165     -0.00145689
    -0.000381864    -0.000355309
     -0.00102366     -0.00115829
    -0.000197189    -0.000179654
     -7.3307e-05    -6.29805e-05
    -0.000574975    -0.000568784
    -0.000297643    -0.000318461
     -6.1908e-05    -5.19571e-05
    -0.000684988    -0.000690079
     -0.00113233     -0.00115609
     -8.1601e-05    -7.89302e-05
        -0.00352     -0.00278443
    -0.000238187    -0.000210707
     -0.00152745     -0.00138826
    -0.000222184    -0.000201292
    -0.000123712    -0.000101362
    -0.000643465    -0.000587135
     -0.00120834     -0.00108403
    -0.000953079    -0.000966454
     -9.6111e-05     -7.8839e-05
    -0.000108828     -0.00015418
    -0.000668288    -0.000631162
     -0.00118161     -0.00118161
     -0.00208218     -0.00224407
     -5.6598e-05    -4.93019e-05
    -0.000399475    -0.000402381
    -0.000488317    -0.000455858
    -0.000498682    -0.000508627
    -0.000136227     -0.00012367
    -0.000182135    -0.000165851
    -0.000518283    -0.000631277
    -0.000110754     -0.00010489
    -0.000257303    -0.000237008
     -8.8553e-05    -7.47355e-05
    -0.000299688    -0.000373592
     -0.00127843     -0.00128499
    -0.000218865    -0.000221246
    -0.000196069    -0.000147534
    -0.000177231    -0.000167804
    -0.000396099    -0.000480061
    -0.000254971     -0.00024884
    -0.000108074    -9.42103e-05
      -0.0001491    -0.000119395
     -8.1258e-05    -7.79371e-05
     -0.00103395     -0.00114503
      -9.539e-05     -8.4819e-05
    -0.000507277    -0.000496782
    -0.000429587    -0.000390086
     -0.00101829     -0.00130564
