QM Energy	FF Energy
     -4.5351e-05    -4.51814e-05
     -0.00218215     -0.00251817
    -0.000737516    -0.000671784
    -0.000342685    -0.000285168
     -2.1523e-05    -1.51868e-05
    -0.000827531     -0.00082412
      -3.383e-06    -5.96305e-06
    -0.000143424    -0.000144832
    -0.000368283    -0.000236403
     -3.9675e-05    -4.07212e-05
     -1.9234e-05    -2.39685e-05
     -0.00162431     -0.00225049
    -0.000408114    -0.000462728
     -0.00134872     -0.00127739
    -0.000709059    -0.000736089
    -0.000101686    -0.000106222
    -0.000586524     -0.00045081
      -2.732e-05    -1.73511e-05
     -3.2845e-05    -2.54434e-05
     -1.5016e-05    -6.99576e-06
    -0.000128939    -0.000118536
     -7.1317e-05    -9.15372e-05
      -1.494e-06    -3.25565e-06
    -0.000317895    -0.000266657
     -1.3586e-05    -1.84446e-05
     -0.00176784     -0.00231253
    -0.000522022    -0.000474989
      -6.794e-05    -6.91462e-05
    -0.000239439    -0.000323868
      -9.386e-06    -1.35636e-05
    -0.000104872    -0.000120936
     -5.6473e-05    -8.31839e-05
      -5.342e-06    -8.42071e-06
     -0.00181354     -0.00172667
       -5.92e-07    -1.89909e-06
    -0.000447797    -0.000401033
    -0.000752737    -0.000724159
    -0.000111928    -9.43285e-05
     -0.00187557     -0.00157911
     -2.4476e-05    -3.13986e-05
       -9.03e-06    -9.65071e-06
     -1.2165e-05    -1.49372e-05
     -2.4932e-05    -3.09899e-05
    -0.000263594    -0.000182967
      -7.984e-05    -8.11666e-05
     -4.2517e-05    -4.86219e-05
     -4.7847e-05    -3.07695e-05
     -0.00155505     -0.00135312
     -0.00117242     -0.00112835
    -0.000303856    -0.000289876
    -0.000802261    -0.000857875
    -0.000201391    -0.000204305
     -2.0315e-05    -1.61334e-05
     -1.5155e-05    -1.45148e-05
    -0.000638531    -0.000548724
     -1.4209e-05    -1.90337e-05
    -0.000727844    -0.000646325
     -0.00149375     -0.00151578
     -4.8964e-05    -4.71125e-05
      -3.002e-05    -2.63478e-05
     -1.2187e-05    -1.32784e-05
     -0.00125664    -0.000988433
     -1.4912e-05    -2.22658e-05
    -0.000214074     -0.00026755
     -0.00124759     -0.00133984
    -0.000246064    -0.000229019
    -0.000697501     -0.00053533
       -5.91e-07    -1.28318e-06
    -0.000538354    -0.000576227
      -2.339e-05    -3.08873e-05
      -0.0001124    -9.96619e-05
    -0.000145608    -0.000145686
     -1.0836e-05    -1.14361e-05
     -1.7168e-05    -2.53721e-05
     -3.4055e-05    -3.85531e-05
     -0.00021758    -0.000185624
    -0.000223667    -0.000222139
    -0.000355409    -0.000326512
     -2.2352e-05    -3.02517e-05
    -0.000146145    -0.000134799
     -2.0776e-05    -2.18326e-05
     -3.5906e-05    -3.75181e-05
    -0.000305986    -0.000335136
     -2.8342e-05    -2.77943e-05
    -0.000369794    -0.000338543
     -1.4465e-05    -1.63612e-05
      -1.941e-06    -4.16405e-06
     -0.00015827    -0.000150348
      -1.016e-05    -1.12692e-05
     -4.3848e-05    -7.24426e-05
     -4.4019e-05    -4.20712e-05
    -0.000830704    -0.000593905
     -0.00114172     -0.00121155
     -6.6221e-05    -8.38302e-05
     -8.7618e-05    -0.000106948
     -8.3823e-05    -9.67492e-05
     -1.1903e-05    -1.63108e-05
    -0.000834492    -0.000948309
     -1.1964e-05    -1.85048e-05
    -0.000708649    -0.000511069
       -2.24e-05    -2.28381e-05
     -5.2348e-05    -6.84394e-05
     -6.1018e-05    -6.71539e-05
     -1.0022e-05     -1.3531e-05
     -9.2876e-05    -8.45263e-05
    -0.000691301    -0.000628497
    -0.000119206    -0.000122894
     -1.5454e-05     -1.2851e-05
     -2.6068e-05    -3.22174e-05
     -8.5123e-05    -7.11104e-05
      -6.352e-06    -1.12479e-05
     -0.00048227     -0.00040325
      -1.991e-05    -2.58354e-05
      -9.503e-06    -8.24081e-06
    -0.000673189    -0.000547797
     -1.5703e-05    -1.82769e-05
    -0.000966315    -0.000951428
    -0.000314121    -0.000303312
    -0.000109408    -0.000140989
    -0.000238296    -0.000205178
    -0.000312489    -0.000297582
     -0.00020581    -0.000143338
       3.141e-06     4.11532e-06
    -0.000351967    -0.000314863
    -0.000171172    -0.000148919
     -7.1114e-05     -7.3423e-05
     -7.1745e-05    -7.98636e-05
    -0.000609045    -0.000574801
     -0.00124365     -0.00133402
     -3.6622e-05    -3.02972e-05
     -0.00152966     -0.00167999
     -5.5442e-05     -5.3003e-05
    -0.000571132    -0.000550318
     -6.1431e-05    -5.51952e-05
     -2.3713e-05     -1.4641e-05
      -8.485e-06    -1.16911e-05
    -0.000171259    -0.000190046
    -0.000293503    -0.000306071
     -1.9655e-05     -2.0432e-05
    -0.000431794    -0.000304046
     -0.00116926     -0.00120736
    -0.000153252    -9.07298e-05
    -0.000250346    -0.000212238
    -0.000331859    -0.000375259
    -0.000355141    -0.000273897
    -0.000335564    -0.000399982
    -0.000599972    -0.000498412
       1.629e-06     2.45755e-07
    -0.000616762    -0.000549185
     -6.7319e-05    -5.93322e-05
       -5.98e-06    -6.52131e-06
    -0.000311229    -0.000208437
     -7.2854e-05    -6.78082e-05
     -1.7874e-05    -1.88565e-05
    -0.000566663    -0.000582141
    -0.000538399    -0.000669101
      -4.221e-06     1.13808e-06
       5.453e-06     5.43019e-06
     -0.00146135     -0.00126728
     -2.5466e-05    -3.32044e-05
     -7.6318e-05    -8.63321e-05
     -0.00020964    -0.000198177
    -0.000260837    -0.000217841
     -0.00163442     -0.00159331
    -0.000277919    -0.000245467
    -0.000211759    -0.000272608
     -0.00057226    -0.000379252
       1.814e-06      2.5867e-06
    -0.000526212    -0.000748616
       -8.32e-05    -9.28207e-05
     -2.5855e-05    -1.79733e-05
    -0.000721452    -0.000685591
     -6.7762e-05    -6.09399e-05
     -0.00166955     -0.00237946
      -3.052e-05    -3.43925e-05
    -0.000423112     -0.00040034
     -3.5806e-05    -3.61028e-05
     -0.00102287     -0.00146949
     -0.00212912     -0.00180081
    -0.000304775    -0.000200724
    -0.000760356    -0.000742704
    -0.000273287    -0.000269627
    -0.000929465    -0.000908332
     -1.8076e-05    -2.21911e-05
    -0.000722674    -0.000600727
     -1.2176e-05    -1.69864e-05
     -1.1276e-05    -1.09596e-05
      -6.187e-06    -9.23892e-06
      -0.0005613    -0.000372349
      -0.0006107    -0.000680142
      -5.066e-06    -6.75331e-06
      -3.178e-05    -3.55361e-05
    -0.000507638    -0.000534024
    -0.000210357     -0.00028602
    -0.000164546    -0.000164255
        1.09e-06     6.33731e-07
    -0.000328064    -0.000260112
     -5.7349e-05    -7.49125e-05
      -8.392e-06    -9.55358e-06
    -0.000134271    -0.000106227
     -4.4175e-05    -3.20546e-05
     -1.4704e-05    -1.95336e-05
       -9.94e-07    -1.72245e-06
      -7.251e-06    -9.92649e-06
    -0.000648262    -0.000469038
     -9.9022e-05    -9.80788e-05
     -0.00032963     -0.00031854
     -7.3851e-05    -6.45069e-05
    -0.000198876    -0.000223709
     -8.3721e-05    -9.00221e-05
     -8.4192e-05    -9.82432e-05
     -2.5026e-05    -2.54447e-05
    -0.000637302    -0.000584147
    -0.000424703    -0.000316595
     -1.6878e-05    -2.00509e-05
     -4.2437e-05     -4.8019e-05
     -2.4046e-05    -3.15469e-05
     -0.00118579    -0.000711137
      -4.656e-06    -6.41235e-06
      -8.996e-06     -8.7848e-06
    -0.000117138    -0.000126883
     -0.00161032     -0.00147662
     -6.4762e-05    -5.73286e-05
     -0.00133544    -0.000987796
     -1.0841e-05    -1.15893e-05
     -1.8596e-05    -1.56931e-05
     -9.5956e-05    -9.20972e-05
    -0.000107362    -0.000121829
     -1.1415e-05    -1.52318e-05
     -0.00146345     -0.00128917
    -0.000100218    -9.66106e-05
      -0.0013876     -0.00140163
     -3.2737e-05    -2.93437e-05
     -3.3595e-05    -3.27636e-05
     -0.00163894     -0.00202839
     -3.3605e-05    -3.57189e-05
      -1.526e-05    -2.26214e-05
    -0.000787039    -0.000572301
     -0.00126616     -0.00118798
     -6.9493e-05    -6.94208e-05
     -0.00149642     -0.00150153
    -0.000290146    -0.000274288
     -0.00131148     -0.00121561
      -4.783e-06    -8.26767e-06
     -4.4659e-05    -3.82346e-05
    -0.000114171    -0.000184673
    -0.000283348    -0.000172474
    -0.000729412    -0.000606098
     -1.5142e-05     -2.1613e-05
    -0.000364687    -0.000302867
     -7.8083e-05    -0.000100692
     -1.1049e-05    -1.59052e-05
     -2.7191e-05    -3.17432e-05
     -0.00062949    -0.000788066
     -0.00010664    -0.000104568
    -0.000336097    -0.000311703
     -2.1447e-05    -2.27254e-05
    -0.000931397     -0.00102544
     -3.3947e-05    -2.89423e-05
      -8.175e-06    -3.42387e-06
    -0.000156506    -0.000157226
    -0.000152982    -0.000201198
    -0.000261195    -0.000191609
     -7.3608e-05    -4.49285e-05
      -8.278e-05    -7.24488e-05
    -0.000539156    -0.000454025
    -0.000191084    -0.000157919
    -0.000316428    -0.000348023
    -0.000620868     -0.00083552
     -0.00180406     -0.00209307
    -0.000679273    -0.000597587
     -1.4512e-05     -2.0273e-05
     -1.4375e-05    -1.86547e-05
    -0.000306233    -0.000275182
    -0.000303478    -0.000288847
    -0.000336471    -0.000364524
     -1.2732e-05    -1.57288e-05
    -0.000115195    -0.000116474
      -1.127e-06    -1.68659e-06
      -0.0014228     -0.00152365
     -0.00107277     -0.00105859
    -0.000269262    -0.000258182
      -7.719e-06    -1.03519e-05
    -0.000540935    -0.000624082
     -7.9843e-05    -8.30354e-05
    -0.000201473    -0.000215834
    -0.000638079    -0.000531781
    -0.000237975     -0.00019555
    -0.000221753    -0.000169273
    -0.000182987    -0.000162097
    -0.000120008    -0.000133935
     -0.00038846    -0.000379465
    -0.000320325    -0.000322029
    -0.000473122    -0.000447537
     -0.00122472     -0.00110041
    -0.000109316    -0.000150096
     -0.00163806     -0.00232691
     -6.0866e-05    -6.34094e-05
    -0.000304926    -0.000291304
    -0.000620882    -0.000551157
     -0.00010524    -0.000110045
     -0.00116084     -0.00125302
    -0.000189656    -0.000219223
     -9.5687e-05    -9.33019e-05
     -0.00035246    -0.000250798
      -1.981e-06    -6.12643e-07
    -0.000463355    -0.000476543
     -0.00047277    -0.000364821
    -0.000614758     -0.00052966
     -0.00011807    -0.000135497
     -6.3853e-05    -6.33663e-05
     -2.8811e-05      -3.564e-05
     -8.9099e-05    -8.24764e-05
      -1.618e-06    -3.17995e-06
     -0.00171825     -0.00165123
        8.47e-07     6.29149e-07
     -8.6394e-05    -8.94948e-05
      -4.075e-05    -4.26617e-05
       -9.25e-06    -1.00933e-05
    -0.000447473    -0.000440079
     -0.00111646     -0.00102447
    -0.000250524    -0.000236826
      -4.139e-06    -5.04507e-06
    -0.000187252    -0.000206851
     -1.3583e-05    -2.38001e-05
     -0.00066379    -0.000535144
     -0.00019735    -0.000209886
    -0.000196858    -0.000193873
    -0.000461358    -0.000408859
     -8.4036e-05    -8.46437e-05
      -4.164e-06    -6.77967e-06
    -0.000733951    -0.000721142
      -1.653e-05    -1.41275e-05
     -1.9272e-05    -1.18781e-05
    -0.000619816    -0.000609006
     -8.7389e-05    -8.55962e-05
    -0.000161157    -0.000142189
     -3.9045e-05    -4.09452e-05
     -1.5892e-05    -1.77607e-05
     -6.3594e-05    -5.94669e-05
     -1.5532e-05    -1.24196e-05
      -6.834e-06    -1.07589e-05
     -4.6345e-05    -5.22676e-05
     -2.7506e-05    -4.48893e-05
    -0.000888119    -0.000579701
     -1.1187e-05    -8.69213e-06
     -0.00149921     -0.00141368
     -0.00106624     -0.00105622
     -8.0462e-05    -9.83845e-05
     -0.00020945    -0.000194917
    -0.000126494    -0.000163675
    -0.000299299    -0.000338893
    -0.000918563     -0.00106342
      -2.342e-05    -2.53502e-05
     -7.2788e-05    -7.08915e-05
    -0.000735426    -0.000704868
    -0.000971801    -0.000878959
     -4.5191e-05    -3.89271e-05
     -0.00158124     -0.00141198
      -6.671e-06    -6.37548e-06
     -0.00126889    -0.000707939
     -1.8414e-05     -1.8168e-05
    -0.000285207    -0.000275708
     -0.00122176     -0.00123967
    -0.000108298     -9.8083e-05
     -8.7532e-05    -8.57076e-05
    -0.000433398     -0.00031802
      -5.829e-06    -2.27361e-06
     -1.4689e-05    -1.33561e-05
     -9.1645e-05    -0.000109576
     -6.0792e-05    -5.84045e-05
    -0.000668594    -0.000651056
    -0.000167019    -0.000132513
     -0.00022098    -0.000253005
     -0.00184758     -0.00177221
       1.538e-06    -5.24458e-08
    -0.000196359      -0.0001885
     -5.6212e-05    -4.37819e-05
     -2.3771e-05     -4.0357e-05
      -6.176e-06    -6.82029e-06
    -0.000130193    -0.000146909
       3.323e-06     3.42148e-06
      -0.0007609    -0.000634021
     -2.0953e-05    -2.00298e-05
    -0.000601658    -0.000401538
    -0.000354928    -0.000301263
     -7.8454e-05    -0.000107457
    -0.000503556    -0.000483209
    -0.000770008     -0.00054616
    -0.000336594     -0.00028732
    -0.000315621    -0.000377873
     -0.00144384      -0.0016051
     -0.00121532     -0.00103679
     -1.1717e-05    -1.64955e-05
      -1.957e-05    -2.47097e-05
     -5.0723e-05    -5.67356e-05
     -1.6832e-05    -2.41015e-05
     -1.3769e-05    -1.58074e-05
    -0.000555505    -0.000638964
    -0.000208393    -0.000205088
     -2.8041e-05    -4.33577e-05
       1.935e-06     2.94855e-06
     -0.00122799     -0.00117464
     -2.0929e-05    -2.72476e-05
      -0.0022263     -0.00251488
    -0.000320984    -0.000299705
     -0.00106123    -0.000755685
     -5.5067e-05    -6.32111e-05
      -5.215e-05    -4.20014e-05
      -2.363e-06    -2.08045e-06
     -4.5127e-05    -4.37123e-05
      -5.942e-06    -1.09498e-05
     -0.00140349      -0.0012687
    -0.000316948    -0.000275917
     -0.00045373    -0.000492989
     -0.00108228     -0.00106107
     -0.00177822     -0.00182109
     -0.00177363     -0.00145089
    -0.000117337    -0.000132282
    -0.000151415    -0.000164462
     -1.4562e-05    -7.81715e-06
     -9.1251e-05    -0.000121616
    -0.000434731     -0.00057942
     -7.6809e-05     -0.00010054
    -0.000484276    -0.000412103
    -0.000438483    -0.000359569
     -4.4722e-05    -4.61326e-05
      -8.293e-06    -9.73681e-06
     -9.3972e-05    -0.000107302
     -9.8023e-05    -9.97001e-05
    -0.000132948    -0.000130821
        8.38e-07      1.4052e-06
     -0.00104609    -0.000664615
    -0.000171275    -0.000167561
     -1.4462e-05    -1.82812e-05
     -9.0158e-05    -0.000107157
     -3.5868e-05    -3.43851e-05
     -1.4708e-05    -2.34601e-05
    -0.000122612    -0.000159831
    -0.000229468    -0.000236472
    -0.000100803    -5.98719e-05
     -8.8464e-05    -0.000123843
    -0.000172351    -0.000157124
    -0.000614117    -0.000575294
     -3.4988e-05    -4.20978e-05
     -0.00139332     -0.00152126
    -0.000103512    -0.000105244
    -0.000208945    -0.000201926
     -1.9742e-05    -1.86604e-05
     -3.2966e-05    -4.07283e-05
     -3.3402e-05    -3.35584e-05
    -0.000250666    -0.000198896
    -0.000403977    -0.000304588
     -9.0789e-05    -9.35177e-05
    -0.000779326    -0.000627404
    -0.000160908    -0.000205422
     -3.2667e-05    -2.52661e-05
      -3.876e-06     -5.4886e-06
    -0.000134066    -0.000161239
      -1.979e-05    -2.65527e-05
     -7.5341e-05    -7.21962e-05
    -0.000688569    -0.000608186
     -1.8637e-05    -2.33686e-05
     -1.1366e-05    -1.75263e-05
    -0.000326285    -0.000492622
     -0.00119227      -0.0010509
     -1.9308e-05    -1.19353e-05
     -1.3176e-05    -9.67382e-06
      -5.986e-06    -1.20082e-05
     -1.1102e-05    -7.26266e-06
    -0.000101416    -0.000144351
      -7.897e-06    -1.02339e-05
      -8.687e-05    -7.85397e-05
     -0.00183415     -0.00158903
     -0.00102706    -0.000695284
     -3.4924e-05    -3.37376e-05
    -0.000137971     -0.00011755
     -2.1256e-05    -3.13696e-05
    -0.000762177    -0.000670493
     -4.4823e-05    -7.13672e-05
     -9.5891e-05     -0.00010102
    -0.000866172    -0.000840087
