# Eelst 		 Emultipole 
     -0.00545413      -0.00056727
     -0.00051647      -0.00010056
     -0.00307137       0.00031285
     -0.00026193       0.00008130
     -0.00118518       0.00042050
     -0.00000829       0.00010735
     -0.00288568       0.00107912
     -0.00088864       0.00056991
     -0.00231101      -0.00067379
     -0.00087262      -0.00043859
     -0.00006769       0.00037387
     -0.00049204      -0.00009265
     -0.00738334       0.00069688
     -0.00536584      -0.00023159
     -0.00003827       0.00024335
     -0.00000056       0.00009034
     -0.00562002      -0.00140763
     -0.00045913      -0.00001967
     -0.00017032      -0.00012492
     -0.00078961       0.00047321
     -0.00008792       0.00001197
     -0.00152909      -0.00027853
     -0.00907796      -0.00012216
     -0.00276815      -0.00002278
     -0.00018812       0.00003877
     -0.00132914      -0.00012200
     -0.00026733       0.00011393
     -0.00037504      -0.00008920
      0.00015231       0.00026484
     -0.01127824       0.00155039
     -0.00439367       0.00080712
     -0.00079417       0.00001151
     -0.00427997       0.00050131
     -0.00015055      -0.00011403
     -0.00089272       0.00029863
     -0.00028799      -0.00005260
      0.00000652       0.00021684
     -0.00106171      -0.00009061
     -0.00046028       0.00006658
     -0.00118450       0.00014945
     -0.00131720       0.00032708
     -0.00115589       0.00043830
     -0.00014102       0.00000029
     -0.00008513       0.00004989
     -0.00047309       0.00004071
     -0.00633383       0.00050899
     -0.00924690       0.00170301
     -0.00036314      -0.00024082
     -0.00306338       0.00000960
     -0.00193174       0.00083194
     -0.00372616      -0.00050471
     -0.00022086      -0.00012338
     -0.00008870       0.00004539
      0.00007255       0.00018922
     -0.00541504      -0.00033166
     -0.00030065      -0.00014951
      0.00013619       0.00023889
     -0.00000987       0.00007009
     -0.00136734      -0.00017511
     -0.00008509       0.00007194
     -0.00401433      -0.00083260
     -0.00561310      -0.00020703
     -0.00017378       0.00040745
     -0.00034296       0.00061137
     -0.00028305       0.00023434
     -0.00179621      -0.00040836
     -0.00027910       0.00013501
     -0.00004828       0.00025645
     -0.00831146       0.00062155
     -0.00373629      -0.00041942
     -0.00529379       0.00017895
     -0.00168653       0.00096256
     -0.00004344       0.00000180
     -0.00501730       0.00138191
     -0.00027780      -0.00002705
     -0.00946545       0.00026583
     -0.00256189      -0.00053055
     -0.00370152       0.00087954
     -0.00111812       0.00033624
     -0.00491837      -0.00029168
     -0.00334235      -0.00014095
     -0.00092171      -0.00024080
     -0.00167783       0.00005364
     -0.00017938       0.00004287
     -0.00141405      -0.00019778
      0.00005521       0.00025171
     -0.00041526      -0.00015243
     -0.00236699      -0.00003311
     -0.00026418      -0.00025457
     -0.00129099      -0.00019208
     -0.00048540       0.00004189
     -0.00107384      -0.00022529
     -0.00063867      -0.00039636
     -0.00335867       0.00039942
     -0.01136490      -0.00007928
     -0.00337659      -0.00066531
     -0.00007088       0.00020260
     -0.00144406       0.00039739
      0.00011016       0.00024029
     -0.00200769       0.00037092
     -0.00014193      -0.00000343
     -0.00416787       0.00074123
     -0.00019547       0.00000913
     -0.00112249       0.00004808
     -0.00369447      -0.00010133
     -0.00112772      -0.00022047
     -0.00016094      -0.00005626
     -0.00312974      -0.00012811
      0.00003655       0.00022749
     -0.00389500      -0.00008723
     -0.00245259      -0.00036272
     -0.00033152      -0.00013339
     -0.00064986      -0.00008142
     -0.00038386      -0.00003691
     -0.00066493      -0.00003713
     -0.00074569      -0.00020863
     -0.00057046      -0.00020708
     -0.00004858       0.00010735
     -0.01471815       0.00128334
     -0.00000016       0.00008040
     -0.00293153       0.00014682
     -0.00129514       0.00020217
     -0.00011413      -0.00006682
     -0.00536602      -0.00094052
     -0.00033601      -0.00000462
     -0.00980068      -0.00077166
     -0.00209110      -0.00029150
     -0.00371463       0.00106209
     -0.00203682      -0.00009878
     -0.00062630       0.00009053
     -0.00014401      -0.00006611
     -0.00548338      -0.00076435
     -0.00019265       0.00041791
     -0.00009941      -0.00007070
     -0.00107982      -0.00018074
     -0.00084909       0.00043421
     -0.00436037      -0.00007505
     -0.00043489       0.00024666
     -0.00006413       0.00013548
     -0.00384604       0.00049803
     -0.00347888      -0.00034559
      0.00010269       0.00021898
     -0.00059195       0.00003046
     -0.00984995       0.00205875
     -0.00027167      -0.00013922
     -0.00064069      -0.00001384
     -0.00204167       0.00011051
     -0.00296459       0.00049539
     -0.00398891       0.00027828
     -0.00035149       0.00007944
     -0.00013277      -0.00005409
     -0.00045008      -0.00003733
     -0.00061835      -0.00028475
     -0.00201693       0.00038519
     -0.00052260       0.00009755
     -0.00057621       0.00005142
     -0.00146421       0.00067571
     -0.00219815      -0.00037583
     -0.00268515      -0.00034156
     -0.00279019       0.00016668
     -0.00088650      -0.00007432
     -0.00108541       0.00091205
     -0.00010942       0.00000402
     -0.00163539       0.00005591
      0.00006244       0.00019466
     -0.00894234      -0.00077614
     -0.00014433       0.00011746
     -0.00048299      -0.00000057
     -0.00086787      -0.00020754
     -0.00005829       0.00005214
     -0.00230876       0.00010419
     -0.00187280      -0.00065316
     -0.00095512      -0.00003649
     -0.00041412      -0.00017818
     -0.00047627      -0.00011253
     -0.00058219       0.00061052
     -0.00627268      -0.00016134
     -0.00164030       0.00025875
     -0.00223772       0.00007404
      0.00004372       0.00012094
     -0.01060674       0.00023733
     -0.00038630      -0.00010571
     -0.00007340       0.00000115
     -0.00062518       0.00006774
     -0.00009891      -0.00001386
     -0.00002966       0.00004257
     -0.00004518       0.00005590
     -0.00021796      -0.00007220
     -0.00200806      -0.00046139
     -0.01110601       0.00022049
     -0.00107496       0.00016953
     -0.00002122       0.00017111
     -0.00013210      -0.00004392
     -0.00024664      -0.00016289
     -0.00006131       0.00030975
      0.00010981       0.00040536
     -0.00108400      -0.00054940
     -0.00209866      -0.00046921
     -0.00027182       0.00007573
     -0.00009581       0.00010362
     -0.00069459      -0.00017847
     -0.00233922       0.00013771
     -0.00624290      -0.00054299
     -0.00147515      -0.00015344
     -0.00349519      -0.00018439
     -0.00484359      -0.00010506
     -0.00769458      -0.00052636
     -0.00016778      -0.00015742
     -0.01045385       0.00016874
     -0.00716050       0.00008928
     -0.00061781       0.00003078
     -0.00027011      -0.00003691
     -0.00114036       0.00008668
     -0.00056045      -0.00019255
     -0.00039689      -0.00002387
     -0.00225392       0.00077766
      0.00001502       0.00007963
     -0.00008966       0.00010910
     -0.00020899       0.00006278
     -0.00018554      -0.00016397
     -0.01285102      -0.00056925
      0.00006188       0.00020882
      0.00003969       0.00012529
     -0.00081405      -0.00019215
     -0.00008053       0.00013993
     -0.00123037       0.00013329
      0.00008412       0.00034209
      0.00005160       0.00018973
     -0.00340968       0.00038728
     -0.00915542      -0.00114069
     -0.00056666       0.00001593
     -0.00012696      -0.00004829
      0.00012372       0.00050714
     -0.00252936       0.00060141
     -0.00554968       0.00040508
     -0.00346759       0.00032143
     -0.00029155       0.00035992
     -0.00022758      -0.00000137
     -0.00166331      -0.00021047
     -0.00018676       0.00017591
     -0.00365961       0.00051279
     -0.00177838      -0.00016207
     -0.00124177       0.00039087
     -0.00007311       0.00002905
     -0.00768877       0.00089126
     -0.00036095      -0.00004502
     -0.00224035       0.00007995
     -0.00320489      -0.00007417
     -0.00016980      -0.00004485
     -0.00082740       0.00041139
     -0.00383402       0.00001209
     -0.00640458       0.00127345
     -0.00046356       0.00008632
     -0.00020912       0.00020739
     -0.00036766       0.00001435
     -0.00329546       0.00046198
     -0.00338580      -0.00006112
     -0.00014436       0.00008077
     -0.00120152       0.00030775
     -0.00429747       0.00000206
     -0.00028095      -0.00006033
      0.00002617       0.00016540
     -0.00062871      -0.00004545
     -0.00027288       0.00008079
     -0.00157127       0.00013549
      0.00009634       0.00052355
     -0.00092269       0.00029254
     -0.00208954      -0.00066103
     -0.00019711       0.00020986
     -0.00023039      -0.00009208
     -0.00791338      -0.00021673
     -0.00037476       0.00032276
     -0.00174271      -0.00024265
     -0.00050564      -0.00038586
     -0.00058971       0.00025616
     -0.00514225       0.00047410
     -0.00028768      -0.00009090
     -0.00017320       0.00025152
     -0.00072930       0.00043929
     -0.00027497      -0.00004553
     -0.00027109      -0.00000197
     -0.00028362      -0.00024245
     -0.00014958       0.00000526
     -0.00015248      -0.00008967
     -0.00185974       0.00052862
     -0.00538325      -0.00002400
     -0.00759886      -0.00123815
     -0.00010451      -0.00008640
     -0.00540955      -0.00032071
      0.00014106       0.00024949
     -0.00140652      -0.00032888
     -0.00017176      -0.00008648
     -0.00190640      -0.00050367
     -0.00014233       0.00003745
     -0.00654055      -0.00008598
     -0.00077890       0.00017794
     -0.00660791       0.00081414
     -0.00612101      -0.00011982
      0.00012158       0.00024775
     -0.00218011      -0.00000235
     -0.00227896      -0.00019558
     -0.00212653       0.00018206
     -0.00031165      -0.00005314
     -0.00075114      -0.00018749
     -0.00002095       0.00037672
     -0.00123724      -0.00038987
     -0.00732111      -0.00059523
     -0.00059746      -0.00013049
     -0.00133530       0.00017758
     -0.00077043      -0.00001854
     -0.00013161      -0.00008344
     -0.00020164      -0.00010209
     -0.00006594      -0.00001533
     -0.00016669      -0.00007020
     -0.00417895      -0.00036689
     -0.00013549      -0.00009287
     -0.00582665      -0.00116277
     -0.00015689       0.00014007
     -0.00039184       0.00031377
     -0.00014494      -0.00008354
     -0.00171340      -0.00008071
     -0.00272688      -0.00016614
     -0.00365416      -0.00096492
     -0.00623735      -0.00029310
     -0.01212994       0.00079813
      0.00007780       0.00018526
     -0.00054922      -0.00000411
     -0.01107234       0.00049879
     -0.00063194      -0.00022318
     -0.00010889      -0.00003367
     -0.00087672      -0.00009218
     -0.00006785       0.00024420
     -0.00371554       0.00008239
     -0.00480900      -0.00099381
     -0.00384133       0.00041541
     -0.00096448       0.00005729
     -0.00015153       0.00010365
     -0.00031708      -0.00028043
     -0.00115432      -0.00005790
     -0.00385070       0.00065463
     -0.00445274      -0.00116603
     -0.00682480      -0.00049530
     -0.00145866       0.00030205
     -0.00068159      -0.00030266
     -0.00199516       0.00020294
     -0.00024631      -0.00004885
     -0.00052094       0.00008416
      0.00003566       0.00011411
     -0.00109650      -0.00006450
     -0.00006329       0.00005355
     -0.00042577      -0.00019813
     -0.00593184      -0.00052178
     -0.00824114       0.00000451
     -0.00107906      -0.00007166
     -0.00018402      -0.00014412
     -0.00225358      -0.00006280
     -0.00390793      -0.00030026
     -0.00070830      -0.00044809
     -0.00045941      -0.00003996
     -0.00196605      -0.00058398
      0.00003103       0.00034319
     -0.01172165       0.00079628
     -0.00070547       0.00011890
     -0.00002476       0.00002222
     -0.00223848       0.00073450
     -0.01006635       0.00073446
     -0.00086697       0.00002529
     -0.00248550       0.00126767
     -0.00019935      -0.00007765
     -0.00767171      -0.00032524
     -0.00138356       0.00004732
     -0.00218271      -0.00017330
     -0.00254519      -0.00016024
     -0.00468758      -0.00022509
     -0.00024448       0.00016587
     -0.00028292       0.00053291
     -0.00421791      -0.00023698
     -0.00209217      -0.00025596
     -0.00016859      -0.00008142
     -0.00168732      -0.00007004
     -0.00272745      -0.00074181
     -0.00052074       0.00017226
     -0.00236425       0.00042833
     -0.00272204       0.00086443
     -0.00013786       0.00052592
     -0.00143896       0.00047026
      0.00010683       0.00025886
     -0.00001996       0.00004220
     -0.00043541       0.00041447
     -0.00013128      -0.00009135
     -0.00355822      -0.00032529
     -0.00165546      -0.00011974
     -0.00179180      -0.00022039
     -0.00011803      -0.00001253
     -0.00012290       0.00010313
     -0.01122113       0.00022672
     -0.00094867      -0.00037127
     -0.00047184       0.00012575
     -0.00063446      -0.00017752
     -0.00037972      -0.00012103
     -0.00081542      -0.00004036
     -0.00004790       0.00006795
     -0.00028619      -0.00004679
     -0.00007927       0.00001077
     -0.00113206       0.00083744
     -0.00720364       0.00013292
     -0.00007099       0.00002775
     -0.00695421       0.00071616
     -0.00293938      -0.00043671
      0.00000274       0.00006862
     -0.00030221      -0.00016836
     -0.00069760      -0.00039820
     -0.00013081      -0.00005249
     -0.00320731       0.00026509
     -0.00004431       0.00002152
     -0.00313317       0.00014772
     -0.00013564      -0.00000382
     -0.00156031      -0.00058707
     -0.00020815      -0.00009345
     -0.00521954      -0.00050226
     -0.00598167      -0.00118943
     -0.00136823      -0.00015172
     -0.01285319      -0.00009274
     -0.00408909      -0.00011184
     -0.01799930       0.00078563
     -0.00166364      -0.00011539
     -0.00166660      -0.00003223
     -0.00335780      -0.00006249
     -0.00365650      -0.00104308
     -0.00339503       0.00014565
      0.00000499       0.00042653
     -0.00011151       0.00001287
     -0.00077723       0.00031568
     -0.00069522       0.00003871
     -0.00581730      -0.00039980
     -0.00096423      -0.00029078
     -0.00032611      -0.00006315
     -0.00692253       0.00021055
     -0.00012141       0.00004341
     -0.00046884      -0.00034553
     -0.00023467      -0.00014298
     -0.00100215      -0.00032757
     -0.00123086      -0.00014096
     -0.00004561       0.00008001
     -0.00066193      -0.00003647
     -0.00469598      -0.00021697
     -0.00004813       0.00004800
     -0.00367323      -0.00019358
     -0.00315320       0.00107849
     -0.00191472       0.00018967
     -0.00031985       0.00015323
      0.00000542       0.00006066
     -0.00016598       0.00001122
     -0.00195557      -0.00066300
     -0.00013784       0.00014269
     -0.00168185       0.00002871
     -0.00017558       0.00008605
     -0.00367980       0.00040470
     -0.00195890      -0.00014887
     -0.00017987       0.00004264
     -0.00292627       0.00063957
     -0.00034534      -0.00002094
     -0.00033597       0.00006083
     -0.00044388      -0.00022071
     -0.00051307      -0.00030850
     -0.00006968       0.00013293
     -0.00072639       0.00031033
     -0.00347190      -0.00082531
      0.00002341       0.00014013
     -0.00177185       0.00005427
     -0.00063133       0.00013640
     -0.00046683       0.00031655
     -0.00218461      -0.00009836
      0.00001686       0.00009665
     -0.00038099      -0.00011774
     -0.00016144      -0.00001337
     -0.00350948       0.00017317
      0.00000114       0.00015615
      0.00007322       0.00013539
     -0.00029345      -0.00024613
     -0.00333660       0.00035753
     -0.00028034       0.00004931
     -0.00526520       0.00022002
     -0.00097542       0.00006249
     -0.00350641       0.00014717
     -0.00510280      -0.00006542
     -0.00740842       0.00006722
     -0.01067496       0.00022053
     -0.00026540       0.00031855
      0.00006185       0.00030222
     -0.00039170      -0.00011011
     -0.00180882      -0.00009147
     -0.00366523      -0.00101213
     -0.00101468      -0.00046699
     -0.00496084       0.00097194
      0.00001785       0.00010741
     -0.00119556       0.00027816
     -0.00028086       0.00008446
     -0.00007264      -0.00000482
     -0.00017014      -0.00014129
     -0.00012051       0.00002305
     -0.00359791      -0.00015692
     -0.00034528      -0.00012092
     -0.00105186      -0.00001060
     -0.00031762      -0.00013558
     -0.00354846       0.00024459
     -0.00004703       0.00012394
     -0.00162723      -0.00015766
     -0.00286863       0.00037243
     -0.00114264       0.00001958
     -0.00044588      -0.00023097
     -0.00033082      -0.00008130
     -0.00658600       0.00024216
     -0.00017183       0.00010878
     -0.00054894       0.00002002
     -0.00265698      -0.00035200
     -0.00017868       0.00072332
     -0.00014017       0.00001698
     -0.00028617      -0.00009582
     -0.00414032      -0.00014119
     -0.00168444      -0.00068793
     -0.00311653      -0.00002616
     -0.00021604      -0.00019870
     -0.00804129      -0.00053772
     -0.00089205      -0.00000509
     -0.00016570       0.00027039
     -0.00092494      -0.00001242
     -0.00012494       0.00009397
     -0.00074899      -0.00035567
     -0.00002659       0.00013420
     -0.00023276      -0.00004525
     -0.00017283      -0.00001609
     -0.00794215      -0.00076572
     -0.00019531      -0.00004686
     -0.00428356      -0.00029785
     -0.00339752       0.00008255
     -0.00013720      -0.00005493
     -0.00646291       0.00019950
     -0.00714005       0.00068963
     -0.00085360      -0.00033904
     -0.00281518      -0.00026420
     -0.00083250      -0.00019425
     -0.00005784       0.00003249
     -0.00062258       0.00009675
     -0.00053015       0.00073301
     -0.00010790      -0.00002198
     -0.00023208       0.00011734
     -0.00049173       0.00015299
     -0.00691456       0.00114247
     -0.01266182      -0.00114342
     -0.00006898      -0.00002982
     -0.00435178       0.00079326
     -0.00210236       0.00007341
     -0.00265031       0.00038905
     -0.00014409       0.00039636
     -0.00073379      -0.00047549
     -0.00093215      -0.00001124
     -0.00103393      -0.00054475
     -0.00012613       0.00003781
     -0.00082656      -0.00016588
     -0.00169764      -0.00005108
     -0.00028015       0.00001443
     -0.00442373       0.00004535
     -0.00075198      -0.00007591
     -0.00014769       0.00014887
     -0.00312034       0.00016819
     -0.00116138      -0.00014212
     -0.00913722       0.00018353
     -0.00520142       0.00050016
     -0.00073114       0.00002335
     -0.00385290      -0.00015818
     -0.00048213      -0.00005803
     -0.00004981       0.00006271
     -0.00845036       0.00197629
     -0.00015284      -0.00001157
     -0.00047605       0.00032578
     -0.00370726      -0.00032630
     -0.00482379       0.00094453
     -0.00157565      -0.00006554
     -0.00138702      -0.00029373
     -0.00022350      -0.00017973
      0.00005271       0.00015380
     -0.00096308      -0.00020054
     -0.00548324      -0.00011735
     -0.01618969       0.00104707
     -0.01024006      -0.00040187
     -0.00131242       0.00066693
     -0.00260985      -0.00021295
     -0.00227930       0.00018774
     -0.00018224       0.00007121
     -0.01009342       0.00054135
     -0.00270215       0.00108334
     -0.00085033       0.00028701
     -0.00574334      -0.00018312
     -0.00004004       0.00009851
     -0.00021291       0.00023317
     -0.00026555       0.00010295
     -0.00007373       0.00015941
     -0.00159437       0.00011184
     -0.00030322      -0.00020136
     -0.00022160       0.00001159
     -0.00059598      -0.00002754
     -0.00140642      -0.00020698
     -0.00547484       0.00057196
     -0.00300461      -0.00005243
     -0.00139022       0.00059607
     -0.00257616       0.00048483
     -0.00027164       0.00002511
     -0.00046651      -0.00011154
     -0.00111106      -0.00059553
     -0.00533888       0.00110669
     -0.00045130       0.00002215
     -0.00082852       0.00008466
     -0.00014798      -0.00009194
     -0.00036255      -0.00002231
     -0.00329516      -0.00027402
     -0.01465976       0.00137248
     -0.00156569       0.00048814
     -0.00035974      -0.00029480
     -0.00284964      -0.00013687
     -0.00053735       0.00005515
     -0.00090583       0.00034698
     -0.00055748      -0.00005941
     -0.00484108      -0.00135866
     -0.00008984       0.00000687
     -0.00040643      -0.00028154
     -0.00337732       0.00006088
     -0.00002246       0.00006514
     -0.00039941      -0.00009551
     -0.00229066       0.00019669
     -0.00709588      -0.00006270
     -0.00300470       0.00008597
     -0.00210082      -0.00035608
     -0.00241553      -0.00031899
     -0.00046422       0.00007286
     -0.00144219      -0.00022097
     -0.00708554      -0.00066922
     -0.00159112       0.00010405
     -0.00582157      -0.00067227
     -0.00079697      -0.00031717
     -0.00354931      -0.00055424
     -0.00988485       0.00029830
     -0.00458864       0.00053086
     -0.00021693      -0.00001614
     -0.00116585       0.00013255
     -0.00065272      -0.00029334
      0.00009855       0.00027176
     -0.00382234       0.00107773
     -0.00010220      -0.00008062
     -0.00004944       0.00032085
     -0.00011131      -0.00003150
     -0.00043491       0.00019741
     -0.00484188       0.00069069
     -0.00013331       0.00034436
     -0.00059432      -0.00001817
     -0.00474063       0.00178643
      0.00002606       0.00031432
     -0.00442625       0.00037959
     -0.00626727      -0.00137170
     -0.00418027      -0.00029613
     -0.00006171       0.00002756
      0.00000118       0.00015415
     -0.00818257      -0.00173445
     -0.00015088       0.00004812
     -0.00017116      -0.00004028
     -0.00215375      -0.00007652
     -0.00101032       0.00011936
     -0.00183358       0.00008879
     -0.01479838       0.00164309
     -0.00804193      -0.00038864
     -0.00038521      -0.00020967
     -0.00052700      -0.00025982
     -0.00012722       0.00002841
     -0.00181126       0.00018851
     -0.00007179       0.00000494
     -0.01129666       0.00013229
     -0.00008047       0.00006752
     -0.00111680      -0.00013086
     -0.00115778       0.00026193
     -0.00037648       0.00032189
     -0.00029182      -0.00019167
     -0.00224214      -0.00006800
     -0.00407383      -0.00014542
     -0.00210052      -0.00031497
     -0.00028276       0.00016799
     -0.01122266      -0.00031130
     -0.00027695       0.00007079
     -0.00020405      -0.00016571
     -0.00073636      -0.00009256
     -0.00051679      -0.00009496
     -0.00402132       0.00153924
     -0.00072683       0.00051501
     -0.00031614      -0.00018244
     -0.00018517      -0.00014555
     -0.00093443       0.00044911
     -0.00055278      -0.00024586
     -0.00126935       0.00013170
     -0.00136845       0.00004851
     -0.00026987      -0.00008380
     -0.00324260       0.00092522
     -0.00519885      -0.00056634
     -0.00014935       0.00022309
     -0.00397284      -0.00018354
     -0.01574407      -0.00005883
     -0.00041630      -0.00006166
     -0.00049672      -0.00008880
     -0.00035075      -0.00025072
     -0.00143085       0.00034969
     -0.00044026       0.00023309
     -0.00081919      -0.00017250
      0.00007797       0.00013037
     -0.01116189      -0.00145460
     -0.00021515      -0.00000843
     -0.00008367       0.00008197
     -0.00049184       0.00024665
     -0.00458780      -0.00043335
     -0.00104616      -0.00031575
     -0.00328354       0.00036137
     -0.00441180      -0.00080245
     -0.00084485       0.00024969
     -0.00162323      -0.00034875
     -0.00121857       0.00037642
     -0.00075516      -0.00005675
     -0.00017308      -0.00006470
     -0.00129506      -0.00040578
     -0.00027841      -0.00012549
     -0.00264976      -0.00009345
     -0.00135309      -0.00009392
     -0.00005353       0.00055323
     -0.00088168      -0.00006140
     -0.00964275       0.00143805
     -0.00094782      -0.00004252
     -0.00439951       0.00084741
     -0.00287563      -0.00016961
     -0.00027707       0.00011575
     -0.00270101       0.00126776
     -0.00319227       0.00013541
     -0.00034896       0.00008991
