QM Energy	FF Energy
    -0.000756752    -0.000716428
    -0.000197517     -0.00022784
    -0.000621001    -0.000694895
    -0.000104597    -0.000110443
    -0.000348765    -0.000401354
     -4.0515e-05    -4.27396e-05
    -0.000528982    -0.000655196
     -0.00032706    -0.000380241
    -0.000326746    -0.000339367
    -0.000286838    -0.000351557
    -0.000159966    -0.000153648
     -0.00017761     -0.00016907
     -0.00107258     -0.00115524
    -0.000781898    -0.000980653
    -0.000129319    -0.000137663
     -8.2648e-05    -8.26354e-05
     -0.00107695     -0.00128432
     -8.8942e-05    -0.000103803
     -4.1172e-05     -3.9686e-05
    -0.000354949    -0.000373483
     -2.7375e-05    -3.07726e-05
    -0.000447332     -0.00057399
     -0.00113879     -0.00100964
     -0.00038994    -0.000429098
     -6.2345e-05    -6.49709e-05
    -0.000165767     -0.00018874
     -6.2749e-05    -7.75374e-05
     -4.6636e-05    -5.59932e-05
     -7.7499e-05    -6.70589e-05
     -0.00140201     -0.00152155
    -0.000695694    -0.000856833
    -0.000237368    -0.000247945
    -0.000550512     -0.00073668
    -0.000119452    -0.000134203
    -0.000231174    -0.000271946
     -4.0518e-05    -4.65263e-05
      -0.0001532    -0.000158105
    -0.000251278    -0.000284247
     -0.00016298    -0.000165701
    -0.000386187    -0.000425159
    -0.000353836    -0.000384026
    -0.000382729    -0.000394655
     -1.3014e-05    -1.81079e-05
    -0.000106654    -0.000111161
     -4.4445e-05    -6.63859e-05
    -0.000957826     -0.00099905
     -0.00113561     -0.00134054
    -0.000109727    -0.000119063
    -0.000130602     -0.00026254
    -0.000455169    -0.000561169
     -0.00061846    -0.000837512
      -4.794e-05    -4.63993e-05
    -0.000154739    -0.000165805
    -0.000147959    -0.000155943
    -0.000875967    -0.000778559
     -7.1861e-05    -7.58998e-05
    -0.000112861    -0.000111037
    -0.000135488    -0.000140742
    -0.000136536     -0.00017029
      -5.095e-05    -5.27662e-05
    -0.000547368    -0.000704103
     -0.00107607    -0.000932487
    -0.000260391    -0.000283675
    -0.000245252    -0.000254285
     -0.00026245    -0.000264794
    -0.000248544     -0.00027933
    -0.000186168    -0.000171178
    -0.000192764    -0.000183385
     -0.00104341     -0.00118802
    -0.000369146    -0.000462538
    -0.000773283    -0.000923744
    -0.000497322    -0.000569027
     -2.9386e-05    -3.07769e-05
    -0.000937111     -0.00119715
    -0.000107256    -0.000117125
     -0.00133086     -0.00143862
    -0.000546623    -0.000578165
    -0.000582286     -0.00072023
     -0.00038166    -0.000425493
    -0.000540347    -0.000605581
    -0.000239348    -0.000326891
    -0.000283687     -0.00035082
    -0.000317168    -0.000332338
     -2.1312e-05    -2.99949e-05
    -0.000406982    -0.000422365
    -0.000127126    -0.000119092
     -5.0736e-05    -5.84584e-05
     -0.00039725    -0.000431142
    -0.000104842    -0.000120526
    -0.000281218    -0.000329294
     -8.2798e-05    -9.79125e-05
     -5.9648e-05    -0.000107264
    -0.000156027    -0.000178884
    -0.000527274    -0.000729903
      -0.0013142     -0.00136544
    -0.000564756    -0.000633594
     -6.8113e-05    -7.68763e-05
    -0.000331121    -0.000414406
