QM Energy	FF Energy
     -0.00140449     -0.00140195
     -0.00442652     -0.00397449
     -0.00653899     -0.00599242
     -0.00392981     -0.00338316
     -0.00246948     -0.00214126
    -0.000659573    -0.000586541
     -0.00791716      -0.0076414
      -0.0104587      -0.0108375
     -0.00376341     -0.00380898
     -0.00275539     -0.00255213
     -0.00706798     -0.00675099
    -0.000510063    -0.000407904
     -0.00418768     -0.00414314
     -0.00521548     -0.00541229
     -0.00629087     -0.00658479
     -0.00758077     -0.00751379
     -0.00294497     -0.00288536
     -0.00315775     -0.00321271
     -0.00740965     -0.00699712
    -0.000885351    -0.000892671
     -0.00115697     -0.00109511
     -0.00547901     -0.00532204
      -0.0029754     -0.00301339
     -0.00800161     -0.00815415
     -0.00681282     -0.00693102
     -0.00119137     -0.00117979
     -0.00868958     -0.00880533
     -0.00251991     -0.00242623
     -0.00396841     -0.00373535
     -0.00114092     -0.00097093
    -0.000739008    -0.000619377
     -0.00243331     -0.00237027
     -0.00203312     -0.00193376
      -0.0030049     -0.00262528
      -0.0038448     -0.00373912
     -0.00182994     -0.00170449
     -0.00248785     -0.00235992
    -0.000924759     -0.00089739
    -0.000825573    -0.000774875
     -0.00368806     -0.00380784
     -0.00279308     -0.00241114
    -0.000888402    -0.000930812
    -0.000975667    -0.000960412
    -0.000705437    -0.000623348
     -0.00218975     -0.00237591
     -0.00155451      -0.0014751
     -0.00265653     -0.00234327
     -0.00333676      -0.0031068
     -0.00448263       -0.004105
     -0.00100691     -0.00094689
      -0.0134407      -0.0136036
     -0.00185921      -0.0015139
       -0.010069     -0.00934585
     -0.00150641     -0.00148239
     -0.00669706     -0.00658531
    -0.000847663    -0.000773139
     -0.00641805     -0.00655497
    -0.000802336    -0.000769407
     -0.00180127      -0.0018319
     -0.00309847     -0.00303357
     -0.00272106     -0.00250337
     -0.00186628     -0.00185093
     -0.00160002     -0.00136571
     -0.00163465     -0.00135443
     -0.00447597     -0.00407145
     -0.00110519     -0.00113878
     -0.00462328     -0.00472865
     -0.00781477     -0.00768235
     -0.00511812     -0.00523947
     -0.00435086     -0.00440506
     -0.00175591     -0.00153915
     -0.00102944     -0.00107771
     -0.00830837     -0.00829287
     -0.00661729     -0.00683374
      -0.0096571     -0.00895364
     -0.00938411     -0.00938901
     -0.00216766     -0.00230727
     -0.00104198     -0.00101078
      -0.0113151      -0.0115629
     -0.00220556      -0.0020742
    -0.000904658    -0.000822315
     -0.00252931     -0.00254014
     -0.00406164     -0.00409217
     -0.00917431     -0.00961777
     -0.00108396     -0.00105842
     -0.00112838    -0.000997831
     -0.00104228     -0.00100523
     -0.00517646     -0.00508024
       -0.004091     -0.00427804
     -0.00576679     -0.00561562
     -0.00121052     -0.00117781
    -0.000973003     -0.00105636
      -0.0114673      -0.0116272
     -0.00194614     -0.00188257
      -0.0026528     -0.00269469
     -0.00126475     -0.00114348
       -0.002394     -0.00205223
     -0.00112256     -0.00110696
     -0.00106809    -0.000914754
     -0.00514132     -0.00546146
     -0.00312067     -0.00275346
     -0.00133505     -0.00138238
     -0.00473066     -0.00401396
    -0.000971443    -0.000809576
       -0.006407     -0.00673858
     -0.00480394     -0.00513051
     -0.00544857     -0.00522648
     -0.00125865     -0.00112057
    -0.000974655    -0.000814951
      -0.0130086      -0.0130487
     -0.00853698     -0.00816099
     -0.00796341     -0.00780665
     -0.00123284     -0.00116725
     -0.00259782     -0.00239993
     -0.00104228    -0.000897041
     -0.00975736     -0.00988832
      -0.0039335     -0.00331898
     -0.00237453     -0.00237975
     -0.00497069     -0.00476597
     -0.00142827     -0.00152802
     -0.00226113     -0.00230685
     -0.00184503     -0.00178348
      -0.0069057       -0.007177
     -0.00450354     -0.00420657
     -0.00437208     -0.00447345
     -0.00115665     -0.00118501
     -0.00201202     -0.00200516
     -0.00054438    -0.000439654
      -0.0015564     -0.00147071
      -0.0068635     -0.00641741
       -0.009298     -0.00960302
     -0.00289452     -0.00293928
     -0.00564656     -0.00562887
     -0.00396676     -0.00378271
     -0.00343735     -0.00350705
    -0.000713351    -0.000648057
     -0.00199235     -0.00203474
      -0.0007742    -0.000684405
     -0.00128632     -0.00121094
     -0.00273468      -0.0026102
     -0.00446256     -0.00443736
     -0.00347372     -0.00339065
     -0.00235873     -0.00207646
     -0.00671671     -0.00643648
     -0.00262786      -0.0024163
     -0.00324856     -0.00312106
    -0.000853237    -0.000689707
     -0.00108393     -0.00117344
     -0.00122572     -0.00109936
      -0.0068798     -0.00647776
     -0.00253396     -0.00257928
     -0.00178668     -0.00159527
     -0.00315037     -0.00322257
     -0.00671033     -0.00659817
    -0.000793145    -0.000732845
    -0.000893422    -0.000838862
     -0.00618892      -0.0056022
     -0.00176677     -0.00174073
     -0.00194166     -0.00197153
    -0.000889732    -0.000954128
     -0.00279857     -0.00284288
     -0.00168681     -0.00141492
      -0.0103747      -0.0103141
      -0.0120432      -0.0123837
     -0.00809205      -0.0068761
     -0.00104662    -0.000857103
     -0.00730951      -0.0075732
     -0.00288022     -0.00303525
     -0.00446129     -0.00473664
     -0.00101793     -0.00108646
      -0.0102579      -0.0102539
     -0.00128382     -0.00126112
     -0.00210825     -0.00194059
     -0.00360983     -0.00356799
      -0.0021475     -0.00202654
     -0.00572629     -0.00521299
     -0.00620887     -0.00604234
     -0.00216795     -0.00198925
     -0.00305577     -0.00285284
     -0.00126004     -0.00120602
      -0.0066603     -0.00692352
     -0.00185561     -0.00194068
      -0.0044716     -0.00444399
     -0.00155781     -0.00137349
     -0.00195203     -0.00163462
     -0.00677957     -0.00704626
     -0.00435623     -0.00422377
     -0.00519405      -0.0051517
     -0.00745007     -0.00760198
     -0.00339259     -0.00333632
      -0.0017034     -0.00176256
     -0.00084576     -0.00069119
    -0.000483341    -0.000434662
       -0.001135     -0.00108569
     -0.00303438     -0.00291477
      -0.0061557     -0.00640321
    -0.000681507     -0.00063356
     -0.00938678     -0.00982065
     -0.00234369     -0.00209459
     -0.00093256    -0.000915098
      -0.0021575     -0.00180055
      -0.0149441       -0.015642
     -0.00126543     -0.00116495
     -0.00646058     -0.00577664
      -0.0017848     -0.00186882
     -0.00174232     -0.00160237
    -0.000853272    -0.000760412
     -0.00197422     -0.00202073
