QM Energy	FF Energy
    -0.000122393    -0.000118177
     -0.00086463     -0.00107169
      -0.0014505     -0.00135403
    -0.000688982     -0.00082599
    -0.000438468    -0.000436976
     -8.8008e-05    -8.00378e-05
     -0.00112156     -0.00118559
      -0.0025344     -0.00232101
    -0.000409553    -0.000417551
    -0.000358148    -0.000331941
     -0.00185151      -0.0013721
      -0.0001661    -0.000155182
    -0.000691133     -0.00069216
    -0.000583684    -0.000600632
     -0.00158422     -0.00171712
     -0.00117851     -0.00117911
    -0.000429844    -0.000404581
    -0.000313547    -0.000307315
     -0.00184245     -0.00195662
     -9.5584e-05    -9.06107e-05
    -0.000139872    -0.000123934
    -0.000736927    -0.000740927
    -0.000168338    -0.000182581
     -0.00103436     -0.00107205
    -0.000896882    -0.000841047
     -9.2172e-05    -9.13518e-05
    -0.000913383    -0.000924021
    -0.000278199    -0.000265537
    -0.000695743    -0.000716283
    -0.000264856    -0.000221869
    -0.000191496    -0.000173614
    -0.000502539     -0.00054913
    -0.000251318    -0.000236458
    -0.000610573    -0.000742416
    -0.000633233    -0.000678015
    -0.000292107    -0.000274784
    -0.000466032    -0.000448334
     -6.7549e-05    -6.45099e-05
    -0.000125679    -0.000123603
    -0.000355286    -0.000350811
     -0.00058369    -0.000655536
     -0.00011407    -0.000102855
    -0.000133403    -0.000113158
     -0.00013944     -0.00010742
    -0.000422453    -0.000353619
    -0.000483559    -0.000364267
    -0.000505417    -0.000513345
    -0.000708887    -0.000758948
     -0.00143536     -0.00101232
    -0.000168122     -0.00016172
     -0.00256163     -0.00227041
    -0.000517525    -0.000559535
     -0.00157135     -0.00207752
    -0.000133408    -0.000122564
     -0.00118255     -0.00132455
    -0.000125483    -0.000112651
    -0.000911204    -0.000930013
     -8.2787e-05    -7.79126e-05
    -0.000161984    -0.000163611
    -0.000413761    -0.000361264
    -0.000494186    -0.000461722
    -0.000143147    -0.000138979
    -0.000364189    -0.000336868
    -0.000432052    -0.000458233
    -0.000738192    -0.000872238
     -6.3432e-05    -6.05469e-05
    -0.000767741    -0.000727151
    -0.000929215     -0.00107227
     -0.00104602     -0.00105282
    -0.000546532    -0.000517503
    -0.000366425    -0.000336265
    -0.000211525    -0.000151867
     -0.00151586     -0.00150834
    -0.000860695    -0.000807639
     -0.00145869     -0.00175154
     -0.00133748      -0.0013828
    -0.000296363    -0.000285669
    -0.000118782    -0.000107784
     -0.00121322     -0.00118112
    -0.000317976    -0.000328116
    -0.000129528    -0.000106585
    -0.000120822    -0.000137695
    -0.000297957     -0.00034018
     -0.00124956     -0.00137724
    -0.000154084    -0.000136335
    -0.000242615    -0.000218891
    -0.000116332    -0.000105786
    -0.000998526     -0.00095974
    -0.000247951    -0.000299613
    -0.000895947    -0.000751949
    -0.000195444    -0.000185653
    -0.000150945    -0.000135272
      -0.0019286     -0.00199647
    -0.000268317    -0.000256557
    -0.000253117    -0.000260159
    -0.000222685    -0.000208553
    -0.000547144    -0.000561835
    -0.000189491     -0.00017094
    -0.000255467    -0.000237261
    -0.000447499    -0.000468135
    -0.000394429    -0.000391198
    -0.000187085    -0.000188631
    -0.000939863     -0.00138357
    -0.000230677     -0.00020502
    -0.000871925    -0.000794671
