QM Energy	FF Energy
     -3.7871e-05    -5.12711e-05
    -0.000610529    -0.000634719
     -0.00156546     -0.00159977
    -0.000467634    -0.000420006
    -0.000148599     -0.00015975
     -1.0508e-05    -1.30306e-05
     -0.00145059     -0.00145711
     -0.00177855     -0.00152632
    -0.000297444    -0.000308222
    -0.000103414    -0.000126308
     -0.00142356     -0.00135072
       5.864e-06     1.22911e-06
    -0.000326518    -0.000337453
    -0.000313412    -0.000343708
    -0.000678238    -0.000731673
     -0.00114973     -0.00115423
    -0.000264201    -0.000263941
    -0.000306454    -0.000300562
     -0.00127138     -0.00119818
      -9.927e-06    -1.28241e-05
     -1.9791e-05    -2.66821e-05
    -0.000353818    -0.000400905
    -0.000119155    -0.000130725
     -0.00163608     -0.00175309
     -0.00127761     -0.00118245
     -7.1759e-05    -9.20115e-05
     -0.00151381     -0.00131965
     -0.00018113    -0.000200953
    -0.000678038    -0.000658736
      -2.276e-05     -2.9145e-05
       1.996e-06    -5.17813e-06
    -0.000203432    -0.000251151
     -8.3822e-05    -0.000116006
    -0.000280074    -0.000303615
    -0.000246274    -0.000279178
     -4.1626e-05    -5.59839e-05
    -0.000152239    -0.000184774
     -2.2548e-05    -2.69993e-05
     -2.3523e-05    -2.69518e-05
    -0.000261447    -0.000286969
    -0.000217533    -0.000215696
     -1.0357e-05    -1.50049e-05
     -1.3989e-05    -1.67153e-05
      -6.789e-06    -9.22184e-06
      -9.351e-05    -0.000101871
    -0.000111818    -0.000148531
    -0.000157473     -0.00018222
     -0.00060851    -0.000608713
    -0.000968541    -0.000937779
     -2.7002e-05    -3.44812e-05
       -0.002326     -0.00219926
     -7.3895e-05    -9.18583e-05
     -0.00194444     -0.00200814
     -2.6363e-05    -3.49771e-05
    -0.000730533    -0.000729417
      -6.766e-06    -1.14915e-05
    -0.000841766    -0.000841127
      -9.658e-06    -1.43656e-05
     -4.4828e-05    -4.75523e-05
    -0.000450174    -0.000465294
    -0.000320016    -0.000345955
     -6.2037e-05    -7.06603e-05
     -3.4052e-05    -4.84527e-05
     -4.8084e-05    -7.18216e-05
    -0.000373013    -0.000358034
      -9.445e-06    -1.08171e-05
    -0.000592648    -0.000577873
     -0.00142471     -0.00134677
    -0.000652792    -0.000649598
    -0.000743295    -0.000781127
     -3.5957e-05    -4.86728e-05
     -3.4824e-05    -3.55895e-05
     -0.00168216     -0.00158471
    -0.000708877    -0.000756438
     -0.00172735     -0.00181301
     -0.00156081     -0.00158514
     -5.1156e-05    -7.47461e-05
     -1.0622e-05    -1.42982e-05
     -0.00150607     -0.00162203
    -0.000242325    -0.000248957
     -1.1839e-05    -1.67197e-05
    -0.000185766    -0.000194865
    -0.000278162    -0.000271792
      -0.0011646     -0.00109898
     -2.5221e-05    -3.41173e-05
      -7.678e-06    -1.74215e-05
      -1.471e-05    -1.90618e-05
    -0.000564159       -0.000557
    -0.000459152    -0.000486781
