QM Energy	FF Energy
     -3.7871e-05    -4.88641e-05
    -0.000610529    -0.000763838
     -0.00156546     -0.00150124
    -0.000467634    -0.000396786
    -0.000148599    -0.000116045
     -1.0508e-05    -1.10366e-05
     -0.00145059     -0.00140089
     -0.00177855     -0.00146235
    -0.000297444    -0.000345044
    -0.000103414    -0.000111792
     -0.00142356     -0.00123993
       5.864e-06     2.88535e-06
    -0.000326518    -0.000295331
    -0.000313412    -0.000318461
    -0.000678238    -0.000523233
     -0.00114973     -0.00122743
    -0.000264201    -0.000273624
    -0.000306454     -0.00030266
     -0.00127138     -0.00100606
      -9.927e-06      -1.286e-05
     -1.9791e-05    -2.26423e-05
    -0.000353818    -0.000345034
    -0.000119155    -0.000128677
     -0.00163608     -0.00163972
     -0.00127761     -0.00119354
     -7.1759e-05    -9.31075e-05
     -0.00151381     -0.00125528
     -0.00018113    -0.000183342
    -0.000678038    -0.000633882
      -2.276e-05    -3.44364e-05
       1.996e-06    -9.87073e-07
    -0.000203432    -0.000266329
     -8.3822e-05    -0.000126095
    -0.000280074    -0.000297467
    -0.000246274    -0.000264332
     -4.1626e-05    -4.93748e-05
    -0.000152239    -0.000161717
     -2.2548e-05    -2.75893e-05
     -2.3523e-05    -2.44344e-05
    -0.000261447    -0.000280745
    -0.000217533    -0.000175866
     -1.0357e-05    -1.57629e-05
     -1.3989e-05      -1.593e-05
      -6.789e-06    -1.12136e-05
      -9.351e-05    -9.55344e-05
    -0.000111818     -0.00015333
    -0.000157473    -0.000189932
     -0.00060851    -0.000608365
    -0.000968541     -0.00089366
     -2.7002e-05    -3.25857e-05
       -0.002326     -0.00249528
     -7.3895e-05    -7.31357e-05
     -0.00194444     -0.00168897
     -2.6363e-05    -3.12617e-05
    -0.000730533    -0.000626732
      -6.766e-06    -9.67463e-06
    -0.000841766    -0.000802756
      -9.658e-06    -1.56834e-05
     -4.4828e-05    -4.59638e-05
    -0.000450174    -0.000459037
    -0.000320016    -0.000310199
     -6.2037e-05    -6.58947e-05
     -3.4052e-05    -2.82423e-05
     -4.8084e-05    -4.62538e-05
    -0.000373013    -0.000314043
      -9.445e-06    -1.08453e-05
    -0.000592648    -0.000638814
     -0.00142471     -0.00130301
    -0.000652792    -0.000658463
    -0.000743295    -0.000775134
     -3.5957e-05    -3.63031e-05
     -3.4824e-05    -3.14998e-05
     -0.00168216     -0.00146124
    -0.000708877    -0.000716429
     -0.00172735     -0.00186136
     -0.00156081     -0.00157102
     -5.1156e-05     -6.4104e-05
     -1.0622e-05    -1.34046e-05
     -0.00150607     -0.00154624
    -0.000242325    -0.000223635
     -1.1839e-05    -1.83838e-05
    -0.000185766    -0.000188164
    -0.000278162    -0.000261391
      -0.0011646     -0.00106072
     -2.5221e-05    -3.72785e-05
      -7.678e-06    -1.10038e-05
      -1.471e-05    -1.93582e-05
    -0.000564159    -0.000485021
    -0.000459152    -0.000465621
     -0.00062077    -0.000647515
     -1.8994e-05    -2.25142e-05
     -1.0717e-05    -1.42805e-05
     -0.00202508     -0.00203806
     -3.1168e-05    -3.79898e-05
    -0.000128675    -0.000143617
     -2.6973e-05      -2.986e-05
     -0.00011681    -9.27596e-05
     -2.2542e-05    -2.78263e-05
      -7.914e-06    -7.02957e-06
    -0.000602203    -0.000568902
    -0.000245707    -0.000213947
     -4.6519e-05    -6.34517e-05
    -0.000800356    -0.000693982
     -1.1058e-05    -1.97076e-05
    -0.000854524     -0.00101312
     -0.00026056    -0.000258152
     -0.00121605     -0.00118244
     -2.0429e-05    -2.94958e-05
      -2.243e-06        -5.2e-06
     -0.00143767     -0.00148416
     -0.00159482     -0.00188956
      -0.0011609     -0.00110465
     -5.4622e-05    -7.15651e-05
     -6.9714e-05    -6.59251e-05
     -5.0614e-05    -4.96149e-05
     -0.00195021     -0.00183835
    -0.000527236    -0.000456214
    -0.000120981    -0.000150554
    -0.000306416    -0.000310253
     -2.3391e-05    -2.71739e-05
    -0.000181615    -0.000205833
     -5.6946e-05    -7.37221e-05
     -0.00158414     -0.00104083
    -0.000470708    -0.000483948
    -0.000687002     -0.00068849
