QM Energy	FF Energy
     -0.00140449     -0.00141817
     -0.00442652     -0.00449424
     -0.00653899     -0.00647005
     -0.00392981     -0.00375848
     -0.00246948     -0.00230551
    -0.000659573    -0.000603776
     -0.00791716     -0.00792561
      -0.0104587      -0.0104123
     -0.00376341     -0.00385089
     -0.00275539     -0.00263913
     -0.00706798      -0.0069958
    -0.000510063    -0.000444931
     -0.00418768     -0.00419316
     -0.00521548     -0.00523684
     -0.00629087     -0.00623605
     -0.00758077     -0.00776503
     -0.00294497     -0.00296981
     -0.00315775     -0.00318331
     -0.00740965     -0.00713371
    -0.000885351    -0.000871972
     -0.00115697     -0.00111297
     -0.00547901     -0.00540255
      -0.0029754     -0.00302058
     -0.00800161     -0.00797248
     -0.00681282       -0.006792
     -0.00119137      -0.0012032
     -0.00868958     -0.00840089
     -0.00251991     -0.00251003
     -0.00396841     -0.00399403
     -0.00114092     -0.00104103
    -0.000739008     -0.00066226
     -0.00243331     -0.00253657
     -0.00203312     -0.00202824
      -0.0030049     -0.00295123
      -0.0038448     -0.00397535
     -0.00182994     -0.00176913
     -0.00248785     -0.00240033
    -0.000924759     -0.00089054
    -0.000825573    -0.000778556
     -0.00368806     -0.00369705
     -0.00279308     -0.00265697
    -0.000888402    -0.000901949
    -0.000975667    -0.000942194
    -0.000705437     -0.00064452
     -0.00218975       -0.002245
     -0.00155451     -0.00155357
     -0.00265653     -0.00255678
     -0.00333676     -0.00329811
     -0.00448263     -0.00438936
     -0.00100691    -0.000988061
      -0.0134407      -0.0132699
     -0.00185921     -0.00172146
       -0.010069      -0.0100388
     -0.00150641     -0.00148515
     -0.00669706     -0.00658274
    -0.000847663    -0.000793775
     -0.00641805     -0.00657332
    -0.000802336    -0.000775549
     -0.00180127     -0.00177928
     -0.00309847      -0.0030372
     -0.00272106     -0.00266384
     -0.00186628     -0.00186767
     -0.00160002     -0.00147136
     -0.00163465     -0.00150854
     -0.00447597     -0.00436812
     -0.00110519       -0.001086
     -0.00462328     -0.00479491
     -0.00781477     -0.00775581
     -0.00511812     -0.00517912
     -0.00435086     -0.00445361
     -0.00175591     -0.00164885
     -0.00102944     -0.00102728
     -0.00830837     -0.00840903
     -0.00661729     -0.00681003
      -0.0096571     -0.00964672
     -0.00938411     -0.00933313
     -0.00216766     -0.00219495
     -0.00104198     -0.00100509
      -0.0113151      -0.0110853
     -0.00220556     -0.00213341
    -0.000904658    -0.000847252
     -0.00252931     -0.00253993
     -0.00406164     -0.00410839
     -0.00917431     -0.00934536
     -0.00108396     -0.00106304
     -0.00112838     -0.00104782
     -0.00104228     -0.00100855
     -0.00517646     -0.00513936
       -0.004091     -0.00420019
     -0.00576679     -0.00570794
     -0.00121052     -0.00118238
    -0.000973003    -0.000993713
      -0.0114673      -0.0116818
     -0.00194614     -0.00191535
      -0.0026528     -0.00275315
     -0.00126475     -0.00119053
       -0.002394      -0.0022678
     -0.00112256     -0.00109676
     -0.00106809    -0.000968712
     -0.00514132      -0.0053557
     -0.00312067     -0.00296273
     -0.00133505     -0.00136021
     -0.00473066     -0.00462762
    -0.000971443    -0.000874893
       -0.006407     -0.00665256
     -0.00480394     -0.00488895
     -0.00544857     -0.00547653
     -0.00125865     -0.00116162
    -0.000974655    -0.000892991
      -0.0130086      -0.0130544
     -0.00853698     -0.00870185
     -0.00796341     -0.00796824
     -0.00123284     -0.00120648
     -0.00259782     -0.00244103
     -0.00104228    -0.000947733
     -0.00975736     -0.00992707
      -0.0039335      -0.0037949
     -0.00237453     -0.00244664
     -0.00497069     -0.00484581
     -0.00142827     -0.00145431
     -0.00226113     -0.00231992
     -0.00184503     -0.00187439
      -0.0069057     -0.00682824
     -0.00450354     -0.00458253
     -0.00437208     -0.00436495
     -0.00115665     -0.00115259
     -0.00201202     -0.00202744
     -0.00054438    -0.000475868
      -0.0015564     -0.00154258
      -0.0068635     -0.00683812
