QM Energy	FF Energy
     -0.00166696     -0.00316739
      -2.998e-06    -4.88264e-06
    -0.000118324    -0.000179861
      -0.0013013     -0.00126869
    -0.000730351    -0.000595448
     -3.6774e-05    -4.81926e-05
     -0.00148797    -0.000953646
     -0.00020277    -0.000171443
      -0.0020761     -0.00184359
     -1.9185e-05    -2.20874e-05
     -1.9075e-05    -3.05031e-05
    -0.000127656    -0.000171985
     -0.00034564    -0.000264164
    -0.000287552    -0.000266692
    -0.000387977    -0.000341154
     -0.00294049     -0.00153375
    -0.000347659    -0.000378892
     -1.9236e-05    -2.81321e-05
    -0.000105154    -0.000111798
     -0.00058325     -0.00036862
     -0.00172999    -0.000941972
     -2.2567e-05    -3.29808e-05
     -3.6956e-05    -2.60818e-05
    -0.000435791    -0.000482684
     -0.00032621    -0.000286527
     -4.6878e-05    -6.78382e-05
     -1.5789e-05     -1.4917e-05
    -0.000184405    -0.000234658
     -0.00112151    -0.000715033
      -6.466e-05    -0.000101052
     -9.9919e-05    -0.000128141
    -0.000105778    -0.000109844
     -0.00166459      -0.0015087
     -0.00126506     -0.00117882
     -7.7769e-05    -0.000110232
     -0.00318036     -0.00326392
    -0.000324514    -0.000257914
    -0.000432078    -0.000282871
     -0.00150968     -0.00108574
      -6.448e-06    -1.34425e-05
    -0.000412428     -0.00051175
     -0.00101702    -0.000919181
    -0.000761929    -0.000803334
     -1.0344e-05    -9.59424e-06
     -0.00152578     -0.00146191
     -9.4144e-05    -0.000102738
     -9.6485e-05    -9.82919e-05
    -0.000229926    -0.000281609
     -2.5843e-05    -3.08794e-05
     -1.4009e-05     -2.0187e-05
     -1.8808e-05    -2.73106e-05
    -0.000219089    -0.000196965
     -0.00212372     -0.00176923
     -7.5908e-05    -8.84257e-05
    -0.000111108    -8.20842e-05
    -0.000786134    -0.000729703
    -0.000966868    -0.000780636
     -0.00111595      -0.0010543
     -0.00189309     -0.00179842
     -6.8108e-05    -8.77577e-05
     -0.00030638     -0.00034974
     -0.00216433     -0.00137798
    -0.000105298    -0.000133234
    -0.000720108    -0.000824268
    -0.000674573    -0.000605825
