QM Energy	FF Energy
     -0.00166696     -0.00317439
      -2.998e-06    -7.26052e-06
    -0.000118324    -0.000200386
      -0.0013013     -0.00128791
    -0.000730351    -0.000620575
     -3.6774e-05    -4.46666e-05
     -0.00148797     -0.00101997
     -0.00020277    -0.000175626
      -0.0020761     -0.00210042
     -1.9185e-05    -2.69277e-05
     -1.9075e-05    -2.12002e-05
    -0.000127656    -0.000149189
     -0.00034564    -0.000287482
    -0.000287552    -0.000302573
    -0.000387977    -0.000373308
     -0.00294049     -0.00163767
    -0.000347659    -0.000327444
     -1.9236e-05    -2.15782e-05
    -0.000105154    -0.000129315
     -0.00058325    -0.000418421
     -0.00172999     -0.00105374
     -2.2567e-05    -2.74234e-05
     -3.6956e-05    -3.51297e-05
    -0.000435791    -0.000465777
     -0.00032621    -0.000298448
     -4.6878e-05    -8.07269e-05
     -1.5789e-05    -2.02539e-05
    -0.000184405    -0.000173546
     -0.00112151    -0.000849822
      -6.466e-05    -7.17011e-05
     -9.9919e-05    -9.30475e-05
    -0.000105778    -0.000106894
     -0.00166459     -0.00153061
     -0.00126506    -0.000971536
     -7.7769e-05    -0.000110336
     -0.00318036     -0.00296517
    -0.000324514    -0.000264516
    -0.000432078    -0.000330011
     -0.00150968     -0.00116475
      -6.448e-06    -1.55176e-05
    -0.000412428    -0.000501896
     -0.00101702    -0.000955224
    -0.000761929    -0.000790891
     -1.0344e-05    -1.01109e-05
     -0.00152578     -0.00149873
     -9.4144e-05    -0.000118311
     -9.6485e-05    -0.000109095
    -0.000229926    -0.000247012
     -2.5843e-05    -2.86191e-05
     -1.4009e-05    -2.61586e-05
     -1.8808e-05    -2.71531e-05
    -0.000219089    -0.000216245
     -0.00212372     -0.00197399
     -7.5908e-05    -0.000101376
    -0.000111108     -0.00010505
    -0.000786134    -0.000730798
    -0.000966868    -0.000786833
     -0.00111595     -0.00104627
     -0.00189309     -0.00201562
     -6.8108e-05    -8.27766e-05
     -0.00030638    -0.000331814
     -0.00216433     -0.00150399
    -0.000105298    -0.000105901
    -0.000720108    -0.000825666
    -0.000674573    -0.000656848
     -0.00194599     -0.00119273
    -0.000599698    -0.000631273
     -2.8727e-05    -4.14154e-05
    -0.000761743    -0.000882389
    -0.000405529     -0.00052493
     -2.1985e-05     -2.0571e-05
     -0.00055478    -0.000486879
    -0.000272898    -0.000253111
     -0.00120273     -0.00116407
     -0.00243986     -0.00288253
     -9.2204e-05    -0.000102954
     -9.6019e-05    -0.000112599
    -0.000208697    -0.000179959
    -0.000102905     -8.4015e-05
    -0.000540579    -0.000626662
     -1.3586e-05     -1.6357e-05
     -7.8535e-05    -9.19596e-05
     -3.1587e-05    -4.22304e-05
     -4.7818e-05    -5.96492e-05
     -1.1825e-05    -2.36068e-05
     -5.6611e-05    -5.31437e-05
