QM Energy	FF Energy
    -0.000150396    -0.000136519
      -3.462e-05    -3.26866e-05
     -0.00184816     -0.00186809
    -0.000168883    -0.000151988
    -0.000580752    -0.000557584
    -0.000375841    -0.000336119
    -0.000770758    -0.000705506
    -0.000267935     -0.00023136
     -0.00091566    -0.000936594
    -0.000374415    -0.000311738
     -0.00123011     -0.00139591
    -0.000483032    -0.000572422
    -0.000158534    -0.000147658
    -0.000267473    -0.000244968
    -0.000480884    -0.000487478
    -0.000414518    -0.000472853
    -0.000147079    -0.000138648
    -0.000160293    -0.000142781
    -0.000498197    -0.000490375
     -6.8931e-05    -5.73392e-05
     -0.00116548     -0.00115295
     -0.00202775     -0.00214092
    -0.000422693    -0.000339147
     -0.00126195     -0.00134153
     -0.00120681     -0.00127112
    -0.000102152    -9.17974e-05
     -8.7706e-05    -7.76706e-05
     -8.5327e-05    -6.77478e-05
    -0.000794804     -0.00088529
     -0.00019332    -0.000140448
    -0.000383276    -0.000321858
    -0.000968136    -0.000983645
    -0.000146298    -0.000112911
     -9.2673e-05    -7.57974e-05
      -0.0002841    -0.000298066
     -7.6963e-05    -6.60899e-05
    -0.000211039    -0.000177974
    -0.000872547     -0.00100179
     -0.00119524     -0.00134306
    -0.000228712    -0.000226774
    -0.000217431    -0.000197186
     -7.1619e-05    -6.55358e-05
     -0.00246421     -0.00245541
     -0.00111457     -0.00110309
    -0.000402934    -0.000344937
     -0.00135854     -0.00110994
     -0.00167544     -0.00233436
    -0.000242587    -0.000250552
    -0.000189257    -0.000161241
     -0.00163127     -0.00138058
    -0.000999914     -0.00100402
    -0.000981895    -0.000908154
    -0.000843984    -0.000881668
    -0.000429775    -0.000434216
      -0.0013004     -0.00143314
     -0.00265564     -0.00232092
     -0.00023689    -0.000202117
    -0.000106286    -9.64514e-05
    -0.000147664    -0.000121194
     -3.8548e-05    -3.39627e-05
     -0.00035284    -0.000329583
    -0.000150815    -0.000136029
    -0.000488067    -0.000501835
    -0.000419598    -0.000383292
    -0.000570254     -0.00052029
    -0.000663096    -0.000601655
     -0.00111717     -0.00110889
    -0.000254565    -0.000224984
    -0.000633474    -0.000752227
     -0.00214693     -0.00191654
    -0.000252476    -0.000188717
    -0.000190252    -0.000218471
    -0.000963395     -0.00101833
    -0.000422537    -0.000357146
    -0.000285555    -0.000197207
    -0.000565553    -0.000458521
    -0.000230153    -0.000147613
    -0.000454013    -0.000503115
    -0.000397738    -0.000356523
     -0.00174287      -0.0019169
    -0.000120073    -0.000105196
    -0.000216876    -0.000202998
    -0.000928799    -0.000985877
    -0.000378956    -0.000300445
    -0.000515827    -0.000634708
    -0.000271152    -0.000264824
     -3.8233e-05    -3.33082e-05
    -0.000120509    -9.18793e-05
     -0.00166842     -0.00151667
    -0.000957885     -0.00122751
    -0.000704683    -0.000745148
    -0.000222905    -0.000198942
    -0.000347406    -0.000338122
    -0.000191312    -0.000158796
    -0.000103984    -8.89141e-05
     -5.2878e-05     -0.00012172
    -0.000225187    -0.000193301
    -0.000159277    -0.000135047
     -0.00189729     -0.00184473
    -0.000395569    -0.000348873
    -0.000929904    -0.000906176
    -0.000728777     -0.00080382
    -0.000405459    -0.000371321
    -0.000323287    -0.000274361
    -0.000337277    -0.000258972
     -0.00175927     -0.00199841
    -0.000246398    -0.000210078
    -0.000255163    -0.000178923
    -0.000124622    -0.000107736
     -0.00047523     -0.00046407
     -0.00108789     -0.00104271
    -0.000138359    -0.000114383
    -0.000570028    -0.000632305
    -0.000650748     -0.00072497
      -0.0015942     -0.00183095
    -0.000359951    -0.000321815
    -0.000178487    -0.000152426
    -0.000769274    -0.000773732
     -0.00216136     -0.00274446
     -7.1972e-05     -6.9568e-05
    -0.000718328    -0.000693216
    -0.000417733    -0.000370688
    -0.000293714     -0.00028028
    -0.000864011     -0.00081807
    -0.000662882    -0.000650418
    -0.000176135     -0.00014871
     -7.4658e-05    -6.68825e-05
    -0.000396908    -0.000386111
     -0.00117497     -0.00110173
    -0.000383651    -0.000387503
    -0.000104894    -8.93492e-05
     -0.00129071     -0.00132047
     -0.00202874     -0.00197085
    -0.000477998    -0.000416238
    -0.000272356    -0.000206145
    -0.000528629    -0.000465487
    -0.000202752    -0.000176086
     -4.4212e-05    -3.74366e-05
     -0.00148577      -0.0016674
    -0.000214074     -0.00017186
    -0.000143424    -0.000131946
    -0.000289517    -0.000240304
     -0.00079394    -0.000931411
    -0.000676105    -0.000693785
    -0.000330334    -0.000302055
    -0.000269131    -0.000244001
    -0.000792611    -0.000718347
    -0.000427876    -0.000414845
    -0.000340555    -0.000301144
     -7.9878e-05    -6.33592e-05
    -0.000986531    -0.000929056
     -0.00119692     -0.00104615
    -0.000241823    -0.000207898
     -0.00074687    -0.000802565
    -0.000213191    -0.000189792
     -0.00032162    -0.000263843
     -0.00026365    -0.000229292
    -0.000200894    -0.000189055
     -0.00027604    -0.000311234
    -0.000874143    -0.000927257
    -0.000603085    -0.000551096
    -0.000570977    -0.000590299
    -0.000555659    -0.000484976
    -0.000505562    -0.000492113
    -0.000369214    -0.000313995
    -0.000669365    -0.000653166
    -0.000195265    -0.000134927
    -0.000416582    -0.000371254
    -0.000179873    -0.000156827
    -0.000345126    -0.000345127
    -0.000350259    -0.000315597
    -0.000734891     -0.00069334
    -0.000606968    -0.000581078
    -0.000355831    -0.000492735
    -0.000935439     -0.00104522
    -0.000203736     -0.00028714
    -0.000851304    -0.000929895
    -0.000193625    -0.000170568
     -0.00114034     -0.00130078
    -0.000154188    -0.000139288
    -0.000334289    -0.000313725
    -0.000181708    -0.000162707
     -0.00010468    -0.000235265
     -7.4072e-05    -6.53306e-05
     -0.00022334    -0.000195047
    -0.000786559    -0.000778786
    -0.000985147    -0.000944549
    -0.000332748    -0.000315348
     -0.00140608     -0.00159391
    -0.000441841    -0.000457753
     -0.00100053    -0.000953777
    -0.000281135    -0.000246764
    -0.000732705    -0.000685503
     -9.3148e-05    -8.75986e-05
    -0.000105344    -9.29056e-05
    -0.000249495    -0.000240918
    -0.000328749    -0.000303559
    -0.000109851    -8.83843e-05
    -0.000349365    -0.000347743
    -0.000466329    -0.000488864
    -0.000212316    -0.000206648
    -0.000206796    -0.000210629
    -0.000224022    -0.000198076
     -0.00232208     -0.00249598
    -0.000574978     -0.00055883
    -0.000176419    -0.000136439
     -0.00110157     -0.00127293
      -9.196e-05    -8.02011e-05
    -0.000137797    -0.000125423
    -0.000875202    -0.000929689
    -0.000164693    -0.000157452
     -9.6243e-05    -8.61837e-05
     -0.00045632    -0.000353148
     -0.00025685    -0.000285985
    -0.000468407    -0.000437868
      -0.0020012      -0.0021896
     -0.00118904     -0.00106179
    -0.000189604    -0.000144692
    -0.000367512    -0.000274335
    -0.000336878    -0.000294126
     -0.00132392     -0.00115678
     -0.00111158     -0.00111155
     -7.3349e-05    -6.58744e-05
     -6.9254e-05    -5.84693e-05
      -0.0011219     -0.00123592
     -0.00119196     -0.00120811
    -0.000466465    -0.000431575
    -0.000412067    -0.000397353
    -0.000859192    -0.000894732
    -0.000128055    -0.000118789
     -0.00103055    -0.000934731
    -0.000336082    -0.000281693
     -0.00013918    -0.000118002
     -0.00171297     -0.00158285
    -0.000822531    -0.000930119
    -0.000164151    -0.000142238
    -0.000589724    -0.000518071
    -0.000141937    -0.000141135
     -0.00223502     -0.00249005
    -0.000603678    -0.000658373
    -0.000269135    -0.000225658
    -0.000392835    -0.000346407
     -6.0305e-05    -0.000122845
    -0.000586538    -0.000668443
    -0.000561782    -0.000497113
    -0.000255546     -0.00019461
    -0.000325115    -0.000261585
     -9.4217e-05    -8.37477e-05
     -0.00174094     -0.00181671
    -0.000216265    -0.000157226
     -0.00170904     -0.00156833
     -0.00209695     -0.00214038
    -0.000695016    -0.000627548
    -0.000558222    -0.000592659
    -0.000154898    -9.87325e-05
     -0.00143316     -0.00142172
     -9.8468e-05    -7.31641e-05
    -0.000194583    -0.000173904
     -0.00193687     -0.00185936
    -0.000138047    -0.000116603
     -8.5256e-05    -7.71899e-05
     -0.00178389     -0.00158784
    -0.000264023    -0.000252448
    -0.000350118    -0.000316175
     -0.00098092    -0.000849038
    -0.000227229    -0.000182607
     -0.00171763     -0.00177592
    -0.000767577    -0.000844942
    -0.000191952    -0.000188782
    -0.000545316    -0.000558094
    -0.000881936    -0.000818283
    -0.000257907    -0.000190671
    -0.000320803    -0.000237308
    -0.000229417    -0.000147939
    -0.000835889    -0.000977463
    -0.000342612    -0.000308547
     -0.00186499      -0.0017751
    -0.000302269     -0.00022046
    -0.000719454    -0.000639697
     -9.0695e-05      -7.933e-05
    -0.000213625    -0.000180063
    -0.000334364    -0.000308846
     -0.00096369    -0.000987366
    -0.000793139    -0.000843141
    -0.000249871    -0.000249177
    -0.000680813    -0.000672867
    -0.000148142    -0.000120935
    -0.000366461    -0.000301184
    -0.000499155    -0.000494181
     -8.4875e-05    -8.21645e-05
      -0.0014303     -0.00137721
    -0.000236995    -0.000204509
    -0.000214265    -0.000168766
     -9.7283e-05    -0.000219008
      -0.0006822    -0.000772957
    -0.000881464    -0.000943484
    -0.000473868    -0.000560868
    -0.000138646    -0.000128332
     -0.00313923     -0.00318913
      -0.0020694     -0.00161203
    -0.000944883    -0.000904258
    -0.000145966    -0.000125384
      -0.0014849     -0.00137566
     -0.00102099     -0.00110102
     -0.00104165     -0.00105941
    -0.000148043    -0.000118745
     -0.00170608     -0.00172443
     -3.6075e-05    -3.08008e-05
    -0.000376213    -0.000380796
    -0.000984136     -0.00110292
    -0.000562218    -0.000682613
    -0.000183342    -0.000152749
    -0.000921372    -0.000995514
    -0.000338687    -0.000252561
     -0.00087309     -0.00107342
      -0.0001773    -0.000160542
    -0.000209533    -0.000147034
    -0.000236571    -0.000212285
    -0.000192842    -0.000167845
     -0.00108449    -0.000954482
    -0.000116353    -0.000104728
     -0.00168793     -0.00146327
    -0.000273376    -0.000248828
     -0.00029762     -0.00025527
     -0.00115751     -0.00105184
     -0.00356325     -0.00276561
     -9.0006e-05    -8.74789e-05
     -0.00175489      -0.0015901
    -0.000600661    -0.000569438
    -0.000602458    -0.000521131
    -0.000919689    -0.000983622
    -0.000275524    -0.000264203
       -0.001414     -0.00140238
     -4.0348e-05    -3.46454e-05
    -0.000234945    -0.000195495
    -0.000624775    -0.000586197
    -0.000677352    -0.000679426
     -0.00101023    -0.000786163
     -0.00134628     -0.00127267
    -0.000102942    -9.83929e-05
     -0.00202799     -0.00209209
    -0.000107608    -8.32229e-05
    -0.000267132    -0.000203456
    -0.000294913    -0.000221379
    -0.000164104    -0.000158642
    -0.000305332    -0.000235766
     -0.00030238     -0.00029075
    -0.000255264    -0.000368711
    -0.000143116    -0.000115151
