QM Energy	FF Energy
     -3.2643e-05    -2.93935e-05
     -2.2502e-05    -2.00616e-05
     -0.00189985      -0.0019531
      -3.462e-05    -2.46665e-05
    -0.000364368    -0.000289444
    -0.000133514    -0.000162093
    -0.000277706     -0.00025206
     -5.2731e-05    -4.08209e-05
    -0.000887253    -0.000669788
    -0.000165031    -0.000181212
    -0.000893051    -0.000747332
    -0.000668023    -0.000725622
     -5.9547e-05    -7.74675e-05
     -6.4879e-05    -9.84465e-05
    -0.000218596    -0.000140085
    -0.000498877    -0.000400145
     -6.2804e-05     -9.7978e-05
     -2.4619e-05    -1.75642e-05
    -0.000188796    -0.000331745
     -1.3265e-05    -1.96508e-05
    -0.000833446    -0.000760612
     -0.00198079     -0.00181044
     -6.8443e-05    -3.05645e-05
     -0.00167997     -0.00139975
    -0.000997562      -0.0010008
     -1.1061e-05    -1.34558e-05
      -9.652e-06    -1.42753e-05
      -1.347e-05     -2.4807e-05
       -0.001285    -0.000926162
      -2.156e-06    -1.70952e-06
    -0.000118023    -0.000128606
    -0.000677819    -0.000837534
     -1.9853e-05    -2.51992e-05
     -1.0293e-05    -1.19304e-05
    -0.000226228    -0.000313951
      -8.299e-06    -1.54252e-05
    -0.000104863    -9.71734e-05
    -0.000861442    -0.000600199
     -0.00100248     -0.00122944
    -0.000115224     -0.00013124
     -2.9911e-05    -6.17779e-05
     -1.7329e-05    -3.38332e-05
     -0.00181767      -0.0017797
       -0.001531     -0.00140338
     -8.6597e-05    -6.92516e-05
     -0.00197752     -0.00156595
     -0.00224003     -0.00137058
    -0.000180463    -0.000172312
     -2.5644e-05     -3.7242e-05
     -0.00199807     -0.00190017
    -0.000611633     -0.00055208
    -0.000540506    -0.000391378
    -0.000713973    -0.000692823
    -0.000169857     -0.00011053
     -0.00121797    -0.000984106
     -0.00138304     -0.00181377
     -4.5581e-05    -6.39037e-05
       -5.32e-05     -5.3786e-05
     -1.4517e-05    -2.68191e-05
     -1.8504e-05    -1.72675e-05
    -0.000294954    -0.000245268
     -3.4502e-05    -5.98788e-05
    -0.000249197    -0.000143152
    -0.000245315    -0.000272158
    -0.000160726    -0.000128882
    -0.000263142    -0.000104812
     -0.00110137     -0.00109232
     -3.7257e-05    -3.75216e-05
    -0.000652889    -0.000667988
     -0.00264441     -0.00306571
     -1.3674e-05     -9.4597e-06
    -0.000279849    -0.000207046
    -0.000648225    -0.000627122
    -0.000139902    -0.000143197
      -1.251e-05    -1.03087e-05
     -0.00042901    -0.000397213
     -8.2001e-05    -6.71361e-05
    -0.000653679    -0.000545276
    -0.000102424    -0.000144231
     -0.00173273     -0.00112594
