QM Energy	FF Energy
      -9.618e-05     -7.2084e-05
     -1.2823e-05      1.0492e-05
    -0.000223592    -0.000201821
     -0.00011856    -0.000147877
     -0.00208856     -0.00211253
     -0.00420331      -0.0045562
    -0.000113481    -0.000173482
    -0.000171318    -0.000148071
    -0.000436023    -0.000447319
     -0.00126635     -0.00135868
     -0.00149662     -0.00170525
    -0.000424858    -0.000468075
      -0.0032707     -0.00334669
     -2.9944e-05    -2.33243e-05
     -2.7076e-05    -6.30983e-06
    -0.000962912    -0.000949865
      -2.714e-05    -4.55267e-06
     -0.00282436     -0.00290827
     -8.5862e-05    -0.000107816
     -6.7547e-05    -4.19723e-05
    -0.000421461    -0.000437038
    -0.000438246     -0.00045937
     -2.2838e-05    -2.84803e-05
    -0.000520348    -0.000519325
    -0.000300859    -0.000333822
     -0.00017873    -0.000156623
     -0.00134464     -0.00130222
    -0.000369415    -0.000373759
     -0.00150621     -0.00151948
     -0.00103163     -0.00102056
    -0.000228031    -0.000231721
     -0.00126636     -0.00129574
    -0.000535522    -0.000532822
     -0.00780494     -0.00794008
    -0.000161866    -0.000222333
    -0.000172685    -0.000149962
      -0.0025016     -0.00262875
      -0.0069161     -0.00686571
      -0.0123254      -0.0123346
    -0.000517361    -0.000503207
     -0.00027999    -0.000274227
    -0.000420268    -0.000453505
     -0.00103005     -0.00104741
     -0.00910232     -0.00902416
    -0.000348538    -0.000330004
     -3.5041e-05    -9.44568e-06
    -0.000528365    -0.000523865
     -0.00155712     -0.00147757
    -0.000113445     -9.4499e-05
     -0.00766732     -0.00738894
    -0.000604796    -0.000588379
      -0.0118455      -0.0118079
     -7.2845e-05    -5.47479e-05
     -0.00367404     -0.00394812
     -1.3252e-05    -2.98053e-05
    -0.000373142    -0.000444325
     -0.00265082      -0.0027855
    -0.000294679    -0.000278789
     -6.7668e-05    -5.37658e-05
     -3.0833e-05    -4.33032e-05
     -0.00437819     -0.00408571
     -5.7977e-05    -4.18832e-05
     -0.00787786      -0.0080149
      -0.0194953      -0.0190029
     -1.8637e-05    -2.07746e-05
    -0.000326652    -0.000308188
     -0.00136902     -0.00132922
      -0.0014188      -0.0014516
      -0.0160787      -0.0158827
     -5.2904e-05    -4.60786e-05
     -0.00124632     -0.00123619
    -0.000510853    -0.000487473
     -0.00622137     -0.00624916
     -2.1106e-05    -3.38218e-05
      -0.0150829      -0.0147173
     -1.2241e-05     9.74627e-06
    -0.000233439    -0.000276005
     -1.9064e-05     8.91571e-08
    -0.000410991    -0.000411872
    -0.000262698    -0.000250386
     -1.8862e-05    -4.74942e-05
    -0.000159607    -0.000234691
    -0.000145029    -0.000169364
     -7.5623e-05    -8.31739e-05
     -0.00166209     -0.00168129
    -0.000159091    -0.000180927
     -0.00014363    -0.000170806
    -0.000416743    -0.000512217
    -0.000380359    -0.000370055
    -0.000142758    -0.000161034
    -0.000253839    -0.000265874
    -0.000207979    -0.000226597
     -2.8631e-05    -7.02795e-06
     -4.4856e-05    -5.25961e-05
      -7.335e-05     -9.5701e-05
     -0.00018134    -0.000152147
     -0.00459314     -0.00478434
      -0.0062866     -0.00641382
    -0.000502948    -0.000493037
     -0.00204999      -0.0019891
      -0.0029907     -0.00305465
     -4.0463e-05    -6.62176e-05
    -0.000980974    -0.000960738
     -0.00768843     -0.00800281
     -2.0392e-05     2.55162e-06
    -0.000188661     -0.00017955
    -0.000164535    -0.000143051
    -0.000159144     -0.00014109
    -0.000155916    -0.000187627
      -0.0158085      -0.0157082
     -8.9054e-05    -6.43527e-05
    -0.000796443    -0.000787314
     -3.5858e-05     -5.4099e-05
    -0.000380405    -0.000367383
     -0.00131162      -0.0014026
    -0.000694615    -0.000715933
     -0.00309976     -0.00295149
    -0.000322641    -0.000298982
      -0.0052486     -0.00528453
     -4.7282e-05    -5.39612e-05
     -0.00631368     -0.00643145
     -0.00227011     -0.00213668
    -0.000626981    -0.000650016
    -0.000478719    -0.000471512
     -0.00641801     -0.00596023
     -0.00493348     -0.00497966
    -0.000412377    -0.000445852
    -0.000451334    -0.000516808
    -0.000540784    -0.000574102
      -2.073e-05     3.18358e-06
    -0.000324771    -0.000309551
     -5.5886e-05     -3.3699e-05
     -1.9615e-05    -3.12634e-05
     -0.00298535     -0.00280507
      -7.097e-05    -9.24075e-05
    -0.000389945     -0.00039359
      -0.0161895      -0.0161015
    -0.000342815    -0.000319675
     -5.7169e-05     -8.0397e-05
      -8.366e-05    -5.78241e-05
     -0.00113246     -0.00115945
    -0.000264545    -0.000242131
     -0.00766145     -0.00775162
     -0.00326236     -0.00337127
     -2.0743e-05     9.40746e-08
     -4.9241e-05    -7.09526e-05
    -0.000116308    -9.47103e-05
    -0.000321422    -0.000321768
     -0.00773181      -0.0077892
      -0.0143181      -0.0139425
    -0.000514621    -0.000573648
      -0.0105337      -0.0104758
     -0.00287083     -0.00295421
    -0.000103733    -8.91613e-05
    -0.000738866     -0.00084776
     -0.00248038     -0.00235116
      -0.0104236      -0.0103034
    -0.000435575    -0.000411048
     -3.5289e-05    -1.02133e-05
    -0.000673445    -0.000774834
     -0.00154302     -0.00163303
    -0.000640141    -0.000627828
    -0.000226866    -0.000270351
      -0.0032445     -0.00308715
      -0.0003803    -0.000366015
     -6.1487e-05      -3.576e-05
    -0.000231263    -0.000243844
     -0.00106987     -0.00106969
     -0.00323552     -0.00330155
      -0.0136282       -0.013665
     -0.00018799    -0.000160787
    -0.000116055    -0.000110734
    -0.000110513    -0.000105801
     -0.00411417     -0.00405689
     -0.00017587    -0.000158259
     -0.00324619      -0.0032711
     -0.00011929    -0.000150118
    -0.000830151    -0.000858122
      -0.0116251       -0.011667
    -0.000231861     -0.00024659
      -0.0030557     -0.00310903
     -0.00275115     -0.00282777
     -0.00875375     -0.00890869
     -0.00158808     -0.00148712
    -0.000293789    -0.000356194
      -0.0110164      -0.0112147
     -0.00179603     -0.00178921
     -8.1779e-05    -0.000102011
    -0.000359665    -0.000397124
      -9.602e-05    -7.20366e-05
     -1.1961e-05     9.92249e-06
     -0.00147992     -0.00152807
    -0.000142744    -0.000161751
    -0.000176845    -0.000168557
      -0.0122091      -0.0122949
     -0.00431316     -0.00437602
     -0.00031227    -0.000295544
     -0.00112937     -0.00107403
    -0.000668855    -0.000701391
     -2.0575e-05    -4.56323e-05
    -0.000116267    -8.82302e-05
     -0.00294055     -0.00307455
     -1.9496e-05    -7.20292e-07
     -0.00029363    -0.000270985
    -0.000409093    -0.000414877
    -0.000417283    -0.000427593
     -0.00200895     -0.00190214
     -0.00493881     -0.00520711
     -0.00196791     -0.00206367
     -0.00110102     -0.00110897
     -3.7156e-05    -4.85899e-05
     -0.00232272     -0.00253092
     -0.00363789     -0.00338595
     -9.4676e-05    -0.000114382
     -0.00280173     -0.00265186
     -1.2072e-05    -4.40435e-05
    -0.000208635    -0.000240268
     -5.1347e-05    -2.92839e-05
      -0.0159067      -0.0154467
     -0.00328669     -0.00315727
    -0.000175579    -0.000153384
    -0.000903108    -0.000880389
     -0.00425444     -0.00419197
     -0.00175796     -0.00174533
     -9.2822e-05    -0.000115693
     -0.00954396      -0.0096516
    -0.000915173     -0.00105986
    -0.000144769    -0.000163265
     -0.00516187      -0.0054149
    -0.000317603    -0.000379865
    -0.000981676     -0.00103948
      -1.908e-05     5.49094e-06
     -0.00125181     -0.00132338
    -0.000344946    -0.000348289
     -5.2302e-05    -7.18947e-05
    -0.000930394    -0.000947698
     -1.4583e-05    -3.85124e-05
     -7.7107e-05    -9.95648e-05
    -0.000140504    -0.000115622
    -0.000265671    -0.000279937
    -0.000651128    -0.000756446
     -0.00021081    -0.000197727
     -0.00409854     -0.00441432
    -0.000938531     -0.00106595
      -0.0011622     -0.00123936
      -0.0010424     -0.00106615
     -6.0708e-05    -8.44368e-05
    -0.000146181    -0.000129044
     -0.00208391     -0.00221292
       -0.012444      -0.0124689
     -0.00417546     -0.00442147
      -0.0039326     -0.00401658
     -0.00189023     -0.00202458
     -0.00156377     -0.00170803
     -0.00807427     -0.00818593
    -0.000394012     -0.00047882
     -0.00223006     -0.00225473
      -0.0122031      -0.0119429
      -7.168e-06     1.41501e-05
      -0.0040753     -0.00383932
     -3.2545e-05    -9.37524e-06
      -3.883e-05     -6.0525e-05
     -0.00549783      -0.0051597
     -0.00150212     -0.00169677
      -0.0114995      -0.0115209
     -0.00726706     -0.00733135
    -0.000127638    -0.000156338
     -0.00138235     -0.00135413
    -0.000765465    -0.000814265
       -0.003094     -0.00315062
     -5.9211e-05    -3.40283e-05
    -0.000261306    -0.000283908
     -0.00470852     -0.00482809
     -0.00173516      -0.0017377
    -0.000502111    -0.000556715
     -0.00567008     -0.00568791
    -0.000525264    -0.000611123
     -0.00622501     -0.00649238
    -0.000564242    -0.000564668
      -3.765e-05    -5.83093e-05
    -0.000314891    -0.000289746
     -2.8832e-05    -1.82983e-05
     -1.8791e-05    -5.18264e-05
     -1.8147e-05    -5.55364e-06
     -0.00129171     -0.00135944
    -0.000421816    -0.000451712
    -0.000596251    -0.000588149
     -0.00217252     -0.00222927
     -1.4027e-05    -3.22065e-05
     -7.2138e-05    -4.45644e-05
    -0.000132223    -0.000153784
     -0.00794306     -0.00791088
     -3.8957e-05    -1.34675e-05
      -0.0105421      -0.0105709
     -0.00177853     -0.00174511
    -0.000114719    -0.000134244
     -0.00524241     -0.00539161
      -3.532e-05    -1.69419e-05
     -2.9274e-05    -8.32399e-06
     -2.6198e-05    -3.84726e-06
     -2.2525e-05     -1.1209e-05
    -0.000598945    -0.000596776
      -4.669e-05    -3.04409e-05
     -0.00270968       -0.002816
     -0.00405532     -0.00387849
     -0.00255004     -0.00264913
     -0.00255422     -0.00256418
     -0.00280846     -0.00302882
    -0.000454812    -0.000473015
     -7.9071e-05    -9.99343e-05
     -6.8529e-05    -4.24581e-05
    -0.000571836    -0.000666583
     -0.00414763     -0.00392424
    -0.000481073    -0.000478812
     -0.00301423     -0.00315286
     -0.00156635     -0.00159947
     -8.1022e-05    -5.36332e-05
    -0.000832088    -0.000822712
     -0.00109509     -0.00119017
    -0.000717059    -0.000773914
     -0.00100195     -0.00101544
     -0.00669561     -0.00663824
     -0.00501798     -0.00478129
    -0.000272298    -0.000291692
       -0.002804     -0.00288714
     -0.00181137     -0.00191142
     -0.00145432     -0.00150813
    -0.000226001    -0.000266719
     -0.00237742     -0.00239813
    -0.000509959    -0.000489909
     -0.00168335     -0.00186466
    -0.000419025    -0.000403284
     -0.00423068     -0.00431708
    -0.000570136     -0.00063815
    -0.000523103    -0.000557419
     -0.00109873     -0.00110376
    -0.000700226      -0.0007458
     -0.00162469     -0.00163912
     -0.00332605     -0.00361256
     -0.00387619     -0.00394141
     -3.4249e-05    -5.92866e-05
       -0.018502      -0.0184554
    -0.000701126    -0.000773927
     -0.00127948     -0.00135742
    -0.000932085     -0.00102443
     -0.00242188      -0.0026709
    -0.000174094    -0.000190444
    -0.000125896    -0.000100889
     -4.0573e-05    -5.87016e-05
    -0.000661139    -0.000640052
     -6.9208e-05    -5.34156e-05
      -1.928e-05    -1.39552e-05
    -0.000312539    -0.000323347
     -0.00462336     -0.00492857
     -0.00677719     -0.00710712
     -0.00886245     -0.00896503
     -0.00161964     -0.00171792
    -0.000453241    -0.000498238
     -0.00255402     -0.00255288
     -1.2057e-05        9.27e-06
