QM Energy	FF Energy
     -0.00068406    -0.000575223
    -0.000304953     -0.00026937
    -0.000999684    -0.000830483
    -0.000958179    -0.000971074
     -0.00303749     -0.00255066
     -0.00610107     -0.00604395
    -0.000919116    -0.000929945
    -0.000929203    -0.000803264
     -0.00160644     -0.00164584
     -0.00305761     -0.00316292
      -0.0034687     -0.00341579
     -0.00171833     -0.00158386
     -0.00381582     -0.00322478
    -0.000503397     -0.00047305
    -0.000392912    -0.000345214
     -0.00217699     -0.00232746
    -0.000419207     -0.00036637
     -0.00353867     -0.00298048
    -0.000788255    -0.000804749
    -0.000574702    -0.000483757
     -0.00163878     -0.00149014
      -0.0014885     -0.00156448
    -0.000507366    -0.000506262
     -0.00151919      -0.0012671
     -0.00135277     -0.00121437
    -0.000902223    -0.000751247
     -0.00278654     -0.00288688
     -0.00135934     -0.00139423
     -0.00254038     -0.00211289
     -0.00229101     -0.00199776
     -0.00124333     -0.00114471
     -0.00291358     -0.00302578
     -0.00174472     -0.00155657
       -0.006078     -0.00520588
     -0.00106581     -0.00107704
    -0.000886673    -0.000738253
     -0.00356401     -0.00314233
     -0.00631782      -0.0057723
     -0.00782987     -0.00676602
     -0.00152843     -0.00128259
     -0.00127587     -0.00113744
     -0.00169557     -0.00174303
     -0.00221939     -0.00189309
      -0.0066671     -0.00576073
     -0.00123318     -0.00102118
    -0.000423421    -0.000360563
     -0.00163014     -0.00167952
     -0.00294128     -0.00307512
    -0.000791233    -0.000696689
     -0.00696304     -0.00649101
     -0.00160665     -0.00132812
     -0.00778135     -0.00681824
    -0.000642322    -0.000554953
     -0.00552853     -0.00534517
    -0.000331887    -0.000332037
     -0.00181389     -0.00181255
     -0.00370879      -0.0032917
     -0.00114737     -0.00095429
    -0.000652726     -0.00057453
    -0.000549269      -0.0005536
     -0.00461774     -0.00512116
    -0.000604351    -0.000548582
     -0.00766081     -0.00725349
      -0.0127958      -0.0122733
     -0.00046665    -0.000466457
     -0.00122052      -0.0010241
     -0.00279717     -0.00294777
     -0.00249065     -0.00208484
      -0.0089336     -0.00768457
    -0.000640288    -0.000599545
     -0.00234732     -0.00196977
     -0.00148275     -0.00122921
     -0.00615006     -0.00558413
    -0.000505309    -0.000518194
      -0.0097885     -0.00891062
    -0.000322497    -0.000289545
     -0.00139344     -0.00133891
    -0.000407966    -0.000369149
     -0.00139638     -0.00145039
     -0.00122888     -0.00109789
    -0.000376824    -0.000373541
     -0.00109502     -0.00110863
    -0.000985851     -0.00100162
     -0.00082634    -0.000797064
     -0.00274051     -0.00231207
    -0.000924919    -0.000949171
      -0.0011341     -0.00110896
     -0.00166497     -0.00169235
     -0.00129992     -0.00108181
    -0.000836276    -0.000844519
     -0.00128979     -0.00117063
     -0.00108932     -0.00110681
    -0.000399107     -0.00035078
    -0.000665159    -0.000645443
    -0.000652036    -0.000655297
    -0.000896268    -0.000745185
     -0.00530311     -0.00481383
     -0.00679572     -0.00639639
     -0.00147934     -0.00122733
     -0.00353607     -0.00372671
     -0.00420513     -0.00441963
    -0.000484541    -0.000478607
     -0.00210864     -0.00178304
     -0.00816007     -0.00820391
    -0.000373523    -0.000328347
     -0.00104248    -0.000923565
    -0.000871776    -0.000727695
    -0.000873888    -0.000735586
     -0.00108678     -0.00110681
     -0.00881952     -0.00757109
    -0.000656339     -0.00055104
     -0.00187071     -0.00156137
    -0.000524993    -0.000534072
     -0.00129634     -0.00107785
     -0.00312071     -0.00321999
     -0.00204904      -0.0018481
     -0.00426549     -0.00447268
     -0.00118473     -0.00098115
      -0.0049551     -0.00423755
    -0.000694927     -0.00068429
     -0.00560723     -0.00491698
     -0.00340443     -0.00361678
     -0.00199297     -0.00181627
       -0.001515     -0.00128944
     -0.00643933     -0.00682743
     -0.00474716     -0.00403492
     -0.00150337     -0.00132525
     -0.00185344     -0.00174805
     -0.00175707     -0.00179576
    -0.000334647    -0.000288699
     -0.00119896    -0.000995443
     -0.00055673    -0.000477707
    -0.000487893    -0.000499714
     -0.00421716     -0.00441611
    -0.000749368    -0.000758357
     -0.00156567      -0.0014259
     -0.00897878     -0.00772378
     -0.00131475     -0.00114251
    -0.000641585    -0.000649746
    -0.000633569    -0.000534645
     -0.00223246        -0.00187
     -0.00111077    -0.000938943
     -0.00683443     -0.00620399
     -0.00388394     -0.00332639
    -0.000343621    -0.000304494
    -0.000533434    -0.000533223
    -0.000753652     -0.00063495
     -0.00124227     -0.00105436
     -0.00625936     -0.00551035
     -0.00899766     -0.00800511
     -0.00178225     -0.00181399
     -0.00741991     -0.00656242
     -0.00404572     -0.00361588
    -0.000772806    -0.000681379
     -0.00247685     -0.00246651
     -0.00384732     -0.00405427
     -0.00853426     -0.00793194
     -0.00144622      -0.0012404
    -0.000435508    -0.000371201
     -0.00229126     -0.00219229
     -0.00275265     -0.00239379
     -0.00165317     -0.00136684
     -0.00139627     -0.00136916
     -0.00441545     -0.00461844
     -0.00129091     -0.00107025
    -0.000550901    -0.000464216
     -0.00104781      -0.0010731
     -0.00215388     -0.00179344
     -0.00412058     -0.00361599
     -0.00815879     -0.00701052
    -0.000950568    -0.000813569
    -0.000834824    -0.000734826
    -0.000857447    -0.000777092
     -0.00509624      -0.0055069
     -0.00095402     -0.00082517
     -0.00430501      -0.0038581
     -0.00108062       -0.001083
     -0.00210272     -0.00183673
     -0.00775037     -0.00676244
      -0.0010669     -0.00108225
     -0.00388318     -0.00335828
     -0.00348684     -0.00293289
     -0.00869905     -0.00890948
      -0.0027228      -0.0029046
     -0.00154819     -0.00154946
       -0.008499     -0.00781701
     -0.00312059     -0.00327575
     -0.00091127    -0.000907342
     -0.00145428     -0.00130021
      -0.0006861    -0.000583299
    -0.000321945    -0.000289655
     -0.00256543     -0.00216026
    -0.000836107    -0.000841748
