QM Energy	FF Energy
     -1.1754e-05    -8.90742e-06
       -1.46e-06      -1.465e-06
     -2.7716e-05    -1.88059e-05
     -2.5498e-05    -2.73854e-05
    -0.000273952    -0.000170399
    -0.000570911    -0.000489502
     -1.9749e-05    -1.66271e-05
      -2.002e-05    -1.28863e-05
     -6.8804e-05    -6.62237e-05
    -0.000208109     -0.00019995
    -0.000261825    -0.000247411
     -6.0107e-05    -4.74073e-05
    -0.000439259    -0.000294048
      -3.385e-06    -2.86295e-06
      -2.605e-06    -1.81357e-06
    -0.000225071    -0.000223997
      -3.448e-06    -3.22786e-06
    -0.000380583    -0.000248654
     -1.3089e-05    -1.33576e-05
      -7.612e-06    -5.50085e-06
     -5.5207e-05    -3.92127e-05
    -0.000105547      -0.0001064
      -3.043e-06    -3.24464e-06
     -7.1349e-05    -4.90024e-05
     -5.6421e-05    -4.88944e-05
     -2.2166e-05    -1.55471e-05
    -0.000218849    -0.000203102
     -7.1526e-05     -6.8921e-05
    -0.000201453    -0.000127856
    -0.000134213    -8.24414e-05
     -2.8513e-05    -2.07882e-05
     -0.00019858    -0.000188576
     -6.8453e-05    -4.44125e-05
    -0.000822666    -0.000648226
     -2.7101e-05    -2.31495e-05
     -2.1247e-05    -1.48282e-05
    -0.000424556    -0.000297429
     -0.00120491    -0.000895089
    -0.000944137    -0.000999018
     -6.5876e-05    -4.12652e-05
     -3.5019e-05    -2.37221e-05
     -6.2911e-05    -6.14734e-05
     -0.00013697    -8.47958e-05
    -0.000858265    -0.000724457
     -4.4752e-05    -3.02157e-05
      -3.534e-06    -2.53326e-06
    -0.000101853    -9.69762e-05
    -0.000269563    -0.000255696
     -1.2995e-05     -8.6477e-06
     -0.00147939     -0.00110736
     -7.8112e-05     -5.0058e-05
     -0.00121718     -0.00116557
     -1.0084e-05    -8.68166e-06
    -0.000489403    -0.000382758
       -2.82e-06    -2.81392e-06
     -5.4643e-05    -5.28939e-05
     -0.00046151    -0.000324822
     -3.8401e-05    -2.67491e-05
      -1.041e-05    -9.64257e-06
      -5.482e-06    -5.99627e-06
     -0.00103195     -0.00107093
      -6.235e-06    -4.29329e-06
     -0.00092744     -0.00078991
     -0.00130455      -0.0020241
      -1.959e-06    -1.89763e-06
     -4.0609e-05    -2.59556e-05
    -0.000252268    -0.000245693
     -0.00019857    -0.000130365
    -0.000815696      -0.0012922
      -6.016e-06    -4.73449e-06
     -0.00016218    -9.90333e-05
     -6.4415e-05    -4.06615e-05
    -0.000735249     -0.00053669
      -2.474e-06    -2.71137e-06
     -0.00104997     -0.00127299
      -1.656e-06    -1.82964e-06
     -3.7053e-05    -3.54947e-05
      -3.094e-06    -3.43599e-06
     -8.9089e-05    -8.77026e-05
      -3.206e-05    -2.11466e-05
      -3.498e-06    -3.20262e-06
     -2.7398e-05    -2.24278e-05
     -2.0664e-05    -2.04222e-05
      -9.705e-06    -8.85774e-06
     -0.00021948    -0.000134855
     -3.6615e-05    -3.71432e-05
     -2.1511e-05    -2.12609e-05
      -7.274e-05    -6.02588e-05
     -5.0681e-05    -3.50198e-05
     -2.9563e-05     -2.8742e-05
     -3.3562e-05    -2.50923e-05
     -3.5053e-05    -3.40791e-05
      -2.726e-06    -1.86195e-06
      -6.706e-06    -6.87894e-06
     -1.3433e-05    -1.31601e-05
     -2.1293e-05    -1.40367e-05
    -0.000600959    -0.000429092
    -0.000762645    -0.000588875
     -6.7004e-05    -4.52122e-05
    -0.000353433     -0.00034269
    -0.000584905    -0.000511599
      -8.069e-06    -7.63715e-06
    -0.000126385    -7.67866e-05
     -0.00113629     -0.00117209
      -2.534e-06    -2.45656e-06
     -2.3177e-05    -1.58428e-05
      -2.059e-05    -1.47627e-05
     -2.0883e-05    -1.57571e-05
     -3.1604e-05    -3.36082e-05
     -0.00086907     -0.00131377
     -1.0592e-05    -7.84724e-06
    -0.000103323    -6.40767e-05
      -6.214e-06    -6.39634e-06
     -5.0454e-05    -3.49057e-05
    -0.000198483    -0.000186148
     -9.1986e-05    -6.21361e-05
     -0.00052394    -0.000488485
     -4.0079e-05    -2.61264e-05
    -0.000615593    -0.000423677
      -5.554e-06    -5.19486e-06
    -0.000884464    -0.000657961
    -0.000464848    -0.000441585
     -8.2486e-05    -5.68572e-05
     -6.1324e-05    -3.87462e-05
    -0.000957994     -0.00103183
     -0.00058687    -0.000401414
     -7.1425e-05     -5.7676e-05
     -6.8477e-05    -5.95076e-05
     -9.5802e-05    -8.64378e-05
      -1.898e-06    -1.38337e-06
     -4.2062e-05     -2.8682e-05
      -7.132e-06     -6.0252e-06
      -2.325e-06    -2.55357e-06
    -0.000471519    -0.000446905
     -1.5147e-05    -1.62829e-05
     -4.9153e-05    -3.34281e-05
    -0.000838995      -0.0013203
      -4.189e-05    -2.62903e-05
      -8.222e-06    -8.20314e-06
      -9.305e-06    -6.31856e-06
    -0.000160151    -0.000106573
     -3.2114e-05    -2.05073e-05
    -0.000862769    -0.000677996
    -0.000469431    -0.000320136
      -1.845e-06    -1.26612e-06
      -9.999e-06    -9.81538e-06
     -1.4795e-05    -1.13303e-05
     -4.6487e-05    -3.48526e-05
     -0.00103321    -0.000807613
    -0.000972729     -0.00115102
     -8.6418e-05     -7.5386e-05
     -0.00126261     -0.00110064
    -0.000383489    -0.000251798
     -1.2149e-05    -8.36976e-06
    -0.000120023     -0.00011575
    -0.000412676    -0.000399986
     -0.00102778     -0.00091042
     -5.3994e-05    -3.34814e-05
      -3.856e-06    -3.05153e-06
    -0.000106924    -9.58591e-05
    -0.000253859    -0.000178686
     -8.4008e-05    -5.46857e-05
     -3.6834e-05    -3.68752e-05
    -0.000522648    -0.000486791
     -4.9276e-05    -3.30121e-05
      -6.884e-06    -5.04176e-06
     -5.0004e-05    -4.91887e-05
    -0.000140659    -8.73895e-05
    -0.000422301    -0.000271662
    -0.000953311     -0.00113927
     -2.1897e-05    -1.38842e-05
     -1.8734e-05     -1.6778e-05
     -1.3624e-05    -1.01954e-05
    -0.000857746    -0.000893354
     -2.1048e-05    -1.38352e-05
    -0.000420314    -0.000271669
     -1.5929e-05    -1.60205e-05
    -0.000111717    -7.20339e-05
    -0.000966129    -0.000948215
      -4.619e-05    -4.42812e-05
     -0.00039692    -0.000251236
    -0.000368369    -0.000239073
     -0.00116142     -0.00125485
    -0.000351232    -0.000338144
     -5.8305e-05    -6.12717e-05
     -0.00109294      -0.0010344
    -0.000361787    -0.000324951
     -1.0455e-05    -1.03464e-05
     -6.6364e-05    -5.59933e-05
     -1.0827e-05    -7.22106e-06
      -1.642e-06    -1.82518e-06
    -0.000212511    -0.000141232
     -2.9145e-05     -2.8197e-05
     -2.1785e-05    -1.50371e-05
     -0.00111607     -0.00112525
     -0.00053102    -0.000351204
     -3.8699e-05    -2.47092e-05
    -0.000226573    -0.000215633
    -0.000104336    -7.62165e-05
      -3.133e-06    -3.02011e-06
     -1.3386e-05    -9.21973e-06
    -0.000580034    -0.000416984
      -1.783e-06    -1.27009e-06
     -3.6094e-05    -2.32277e-05
     -7.7334e-05     -7.3636e-05
     -7.8803e-05     -7.8325e-05
    -0.000332178    -0.000312927
     -0.00072267     -0.00069616
      -0.0003095    -0.000212925
    -0.000145229    -8.93018e-05
      -6.264e-06    -6.83583e-06
    -0.000453607    -0.000457973
    -0.000868829    -0.000882626
     -1.8087e-05    -1.81839e-05
    -0.000523017    -0.000492782
      -2.003e-06    -1.78851e-06
     -3.9377e-05    -3.61888e-05
      -5.439e-06    -3.70848e-06
     -0.00102533     -0.00132904
    -0.000528889    -0.000518701
     -2.2064e-05    -1.58533e-05
    -0.000153159    -0.000146613
    -0.000832728    -0.000767216
    -0.000227868    -0.000138984
     -1.5053e-05    -1.58059e-05
     -0.00106478    -0.000981026
