QM Energy	FF Energy
     -0.00068406    -0.000658036
    -0.000304953    -0.000308388
    -0.000999684    -0.000946797
    -0.000958179    -0.000978319
     -0.00303749     -0.00290464
     -0.00610107     -0.00631826
    -0.000919116    -0.000909073
    -0.000929203    -0.000899419
     -0.00160644     -0.00160236
     -0.00305761     -0.00316188
      -0.0034687     -0.00355447
     -0.00171833     -0.00171208
     -0.00381582     -0.00370331
    -0.000503397    -0.000513072
    -0.000392912    -0.000386962
     -0.00217699     -0.00222192
    -0.000419207    -0.000419837
     -0.00353867     -0.00341567
    -0.000788255    -0.000801469
    -0.000574702    -0.000550734
     -0.00163878     -0.00163033
      -0.0014885     -0.00150516
    -0.000507366    -0.000532055
     -0.00151919      -0.0014525
     -0.00135277     -0.00139864
    -0.000902223    -0.000857734
     -0.00278654     -0.00277573
     -0.00135934     -0.00133841
     -0.00254038     -0.00241808
     -0.00229101     -0.00223465
     -0.00124333     -0.00124913
     -0.00291358     -0.00298016
     -0.00174472     -0.00172266
       -0.006078     -0.00594545
     -0.00106581     -0.00105043
    -0.000886673    -0.000842414
     -0.00356401     -0.00362155
     -0.00631782     -0.00666295
     -0.00782987     -0.00771211
     -0.00152843     -0.00145077
     -0.00127587     -0.00125594
     -0.00169557      -0.0017274
     -0.00221939     -0.00212986
      -0.0066671     -0.00655442
     -0.00123318     -0.00116751
    -0.000423421     -0.00040929
     -0.00163014     -0.00160819
     -0.00294128     -0.00294848
    -0.000791233    -0.000775264
     -0.00696304     -0.00749639
     -0.00160665     -0.00151609
     -0.00778135     -0.00785729
    -0.000642322    -0.000636649
     -0.00552853     -0.00569921
    -0.000331887     -0.00033102
     -0.00181389     -0.00187856
     -0.00370879     -0.00379468
     -0.00114737     -0.00109204
    -0.000652726     -0.00065999
    -0.000549269    -0.000567843
     -0.00461774     -0.00477558
    -0.000604351    -0.000606336
     -0.00766081     -0.00786315
      -0.0127958      -0.0132049
     -0.00046665    -0.000496059
     -0.00122052      -0.0011581
     -0.00279717     -0.00285214
     -0.00249065     -0.00239261
      -0.0089336     -0.00879242
    -0.000640288    -0.000652365
     -0.00234732     -0.00223555
     -0.00148275     -0.00139862
     -0.00615006     -0.00619627
    -0.000505309    -0.000536526
      -0.0097885     -0.00992531
    -0.000322497    -0.000332037
     -0.00139344     -0.00141201
    -0.000407966    -0.000423912
     -0.00139638     -0.00138806
     -0.00122888     -0.00121488
    -0.000376824    -0.000365922
     -0.00109502     -0.00108329
    -0.000985851    -0.000987328
     -0.00082634     -0.00085099
     -0.00274051     -0.00262199
    -0.000924919     -0.00092249
      -0.0011341     -0.00116531
     -0.00166497     -0.00164168
     -0.00129992     -0.00123876
    -0.000836276    -0.000812461
     -0.00128979     -0.00127718
     -0.00108932     -0.00107623
    -0.000399107    -0.000393405
    -0.000665159    -0.000681391
    -0.000652036    -0.000638969
    -0.000896268    -0.000847326
     -0.00530311     -0.00530982
     -0.00679572     -0.00696307
     -0.00147934     -0.00140579
     -0.00353607     -0.00361784
     -0.00420513     -0.00420518
    -0.000484541    -0.000464545
     -0.00210864     -0.00201572
     -0.00816007     -0.00849193
    -0.000373523    -0.000376237
     -0.00104248     -0.00102152
    -0.000871776    -0.000831657
    -0.000873888    -0.000842752
     -0.00108678     -0.00111453
     -0.00881952     -0.00868814
    -0.000656339    -0.000629269
     -0.00187071     -0.00177274
    -0.000524993    -0.000533744
     -0.00129634     -0.00123478
     -0.00312071     -0.00321302
     -0.00204904      -0.0020322
     -0.00426549     -0.00426307
     -0.00118473     -0.00111762
      -0.0049551     -0.00482107
    -0.000694927    -0.000728198
     -0.00560723     -0.00566586
     -0.00340443     -0.00341771
     -0.00199297      -0.0019897
       -0.001515     -0.00144896
     -0.00643933     -0.00657161
     -0.00474716     -0.00460278
     -0.00150337     -0.00152574
     -0.00185344     -0.00186367
     -0.00175707     -0.00172939
    -0.000334647    -0.000326978
     -0.00119896     -0.00113774
     -0.00055673    -0.000547351
    -0.000487893    -0.000517995
     -0.00421716     -0.00422603
    -0.000749368    -0.000763898
     -0.00156567     -0.00156569
     -0.00897878     -0.00884147
     -0.00131475     -0.00127741
    -0.000641585    -0.000643062
    -0.000633569    -0.000605612
     -0.00223246     -0.00214654
     -0.00111077     -0.00105863
     -0.00683443     -0.00688145
     -0.00388394     -0.00382681
    -0.000343621    -0.000341364
    -0.000533434    -0.000520008
    -0.000753652    -0.000727131
     -0.00124227     -0.00121066
     -0.00625936     -0.00635218
     -0.00899766     -0.00902053
     -0.00178225     -0.00175386
     -0.00741991     -0.00756717
     -0.00404572     -0.00401298
    -0.000772806    -0.000756151
     -0.00247685       -0.002554
     -0.00384732     -0.00391083
     -0.00853426     -0.00873006
     -0.00144622     -0.00139274
    -0.000435508     -0.00042353
     -0.00229126     -0.00231894
     -0.00275265     -0.00275671
     -0.00165317     -0.00156342
     -0.00139627     -0.00142948
     -0.00441545     -0.00440963
     -0.00129091     -0.00122263
    -0.000550901    -0.000528764
     -0.00104781     -0.00102935
     -0.00215388     -0.00204221
     -0.00412058     -0.00404978
     -0.00815879     -0.00803661
    -0.000950568    -0.000914566
    -0.000834824    -0.000844791
    -0.000857447    -0.000850916
     -0.00509624     -0.00532717
     -0.00095402    -0.000922087
     -0.00430501     -0.00429312
     -0.00108062     -0.00112748
     -0.00210272      -0.0020426
     -0.00775037     -0.00766716
      -0.0010669     -0.00103832
     -0.00388318     -0.00378342
     -0.00348684     -0.00335883
     -0.00869905     -0.00898753
      -0.0027228     -0.00273511
     -0.00154819     -0.00158426
       -0.008499     -0.00861446
     -0.00312059      -0.0031143
     -0.00091127    -0.000953055
     -0.00145428     -0.00149752
      -0.0006861     -0.00065789
    -0.000321945     -0.00033221
     -0.00256543     -0.00248102
    -0.000836107    -0.000809051
     -0.00101196    -0.000990044
     -0.00896401     -0.00909831
     -0.00448795     -0.00435587
     -0.00122474      -0.0011715
     -0.00236703     -0.00236031
     -0.00179689     -0.00177302
    -0.000404914    -0.000401225
    -0.000728442    -0.000691434
      -0.0041115     -0.00433042
    -0.000345397     -0.00034365
     -0.00114494     -0.00108312
     -0.00144643     -0.00142273
     -0.00153165     -0.00154817
     -0.00339911     -0.00340477
      -0.0064814     -0.00672383
     -0.00306149     -0.00304132
     -0.00223564     -0.00213236
    -0.000614095    -0.000634224
     -0.00426096     -0.00443864
     -0.00413871     -0.00425716
    -0.000748594     -0.00074665
     -0.00392966     -0.00393798
     -0.00035645    -0.000355481
     -0.00107072     -0.00104389
    -0.000523142    -0.000508451
      -0.0100525      -0.0101937
     -0.00458188     -0.00469017
     -0.00089705    -0.000855609
     -0.00226047     -0.00226779
     -0.00496177     -0.00498449
     -0.00280161     -0.00268228
    -0.000862231     -0.00088985
     -0.00857291     -0.00882557
     -0.00271692      -0.0027777
    -0.000848719    -0.000824671
     -0.00613492     -0.00626217
     -0.00165528     -0.00171442
     -0.00240519     -0.00236606
    -0.000335951    -0.000331376
     -0.00245015     -0.00242917
     -0.00124761     -0.00122308
    -0.000739688    -0.000777243
     -0.00202214     -0.00193994
    -0.000323643    -0.000312058
    -0.000814843    -0.000833426
    -0.000804538    -0.000763945
     -0.00120787     -0.00121249
      -0.0023657     -0.00244514
     -0.00100277    -0.000969306
     -0.00566348      -0.0059357
     -0.00278882      -0.0028863
     -0.00262418     -0.00258239
     -0.00213791     -0.00204925
    -0.000595509    -0.000580161
    -0.000907694    -0.000893161
     -0.00332917     -0.00342431
     -0.00830116     -0.00827865
     -0.00522522     -0.00525759
     -0.00420239     -0.00409337
     -0.00328781     -0.00344526
     -0.00328124     -0.00342209
     -0.00734634     -0.00746642
      -0.0015808     -0.00155894
     -0.00326394     -0.00315856
     -0.00835998     -0.00839615
    -0.000282777    -0.000297305
     -0.00509517     -0.00518341
    -0.000443799    -0.000440584
    -0.000478814    -0.000465134
     -0.00581284     -0.00581401
     -0.00340997     -0.00346514
     -0.00746682     -0.00740367
     -0.00613807     -0.00627792
     -0.00095788    -0.000975742
     -0.00291993     -0.00295183
     -0.00195181     -0.00194711
     -0.00375352     -0.00361729
    -0.000541607    -0.000520129
     -0.00121479     -0.00119221
     -0.00476478     -0.00464314
     -0.00278692     -0.00266609
     -0.00170491     -0.00175926
     -0.00574064     -0.00607185
     -0.00207155     -0.00211426
     -0.00661627     -0.00673453
     -0.00167528     -0.00161159
     -0.00051155    -0.000511166
     -0.00117085     -0.00110459
    -0.000473669    -0.000486507
    -0.000419344    -0.000416789
    -0.000370647    -0.000376316
     -0.00246592     -0.00243029
     -0.00171386      -0.0017205
     -0.00162127     -0.00161507
      -0.0030923     -0.00296175
    -0.000333403    -0.000330258
    -0.000584944    -0.000558607
    -0.000937613    -0.000952259
     -0.00659174     -0.00657122
    -0.000454529    -0.000441339
     -0.00717631     -0.00715349
     -0.00305795     -0.00316644
    -0.000774226    -0.000761512
     -0.00641796     -0.00669964
    -0.000464044    -0.000465613
     -0.00044762    -0.000452809
    -0.000416949    -0.000419052
    -0.000416949    -0.000423141
     -0.00182062     -0.00180584
    -0.000537577    -0.000532521
      -0.0035697     -0.00353761
     -0.00460274     -0.00480333
     -0.00340938     -0.00333545
     -0.00335323     -0.00321309
     -0.00453371     -0.00475028
     -0.00149421     -0.00147381
    -0.000900177    -0.000942208
    -0.000577264     -0.00055295
     -0.00216098     -0.00221771
     -0.00481494      -0.0048354
     -0.00146327     -0.00139951
     -0.00398259     -0.00409432
     -0.00260646     -0.00248881
    -0.000618045    -0.000589524
     -0.00189644     -0.00179414
     -0.00244436     -0.00251405
     -0.00208843     -0.00205845
     -0.00208124     -0.00198096
     -0.00706277     -0.00733483
     -0.00558534     -0.00578656
      -0.0012936     -0.00129162
     -0.00352471     -0.00339818
     -0.00296342     -0.00295843
     -0.00281243     -0.00275286
     -0.00135178      -0.0013982
     -0.00393863     -0.00409519
     -0.00148767      -0.0014046
     -0.00372581     -0.00385394
     -0.00137436     -0.00130279
     -0.00435272     -0.00422703
     -0.00184505     -0.00192191
     -0.00170367     -0.00174205
     -0.00221671     -0.00210988
     -0.00212397     -0.00211262
     -0.00310347     -0.00307796
     -0.00535505     -0.00555636
     -0.00414551      -0.0040094
    -0.000516293    -0.000515335
      -0.0124668      -0.0128841
     -0.00229029     -0.00236698
     -0.00283781     -0.00282449
     -0.00230236     -0.00238871
     -0.00455255     -0.00472047
    -0.000911494    -0.000885008
    -0.000776613    -0.000742952
    -0.000561362    -0.000572947
     -0.00173179      -0.0016509
     -0.00065722    -0.000657486
    -0.000430838    -0.000452643
      -0.0013113     -0.00131181
      -0.0059621     -0.00626002
      -0.0069461     -0.00707579
     -0.00659473     -0.00647813
     -0.00307799     -0.00303434
     -0.00160422     -0.00164465
     -0.00362083     -0.00355592
    -0.000331011    -0.000343314
     -0.00354322     -0.00339993
    -0.000364797    -0.000365267
    -0.000500165    -0.000483542
    -0.000851109    -0.000875432
    -0.000713755     -0.00068111
    -0.000951335    -0.000919744
     -0.00194982     -0.00197121
    -0.000686404    -0.000688287
     -0.00639833     -0.00660472
    -0.000688801    -0.000690965
      -0.0013463     -0.00139388
    -0.000996818    -0.000945175
    -0.000967042    -0.000942015
    -0.000565312    -0.000591698
     -0.00623882     -0.00614849
      -0.0025619     -0.00255989
    -0.000741027    -0.000704405
     -0.00104607     -0.00101448
     -0.00534278     -0.00540288
     -0.00540492     -0.00530477
     -0.00204762      -0.0020965
     -0.00245825     -0.00235433
     -0.00213012       -0.002241
    -0.000793757     -0.00081218
     -0.00212885     -0.00202682
     -0.00169715     -0.00166141
     -0.00241459     -0.00237564
     -0.00751374     -0.00767755
     -0.00417939     -0.00423096
      -0.0010208    -0.000976407
     -0.00186663     -0.00176907
     -0.00115495     -0.00117894
     -0.00348182     -0.00351157
     -0.00239536     -0.00227987
     -0.00263897     -0.00253348
     -0.00925083     -0.00963029
     -0.00697377      -0.0072672
     -0.00230651     -0.00218734
     -0.00210643     -0.00205289
    -0.000528861    -0.000557813
    -0.000979507    -0.000951586
      -0.0014116     -0.00133751
     -0.00119387     -0.00115458
      -0.0015327     -0.00152386
    -0.000805934    -0.000802161
     -0.00089195    -0.000887954
     -0.00426914      -0.0043229
      -0.0058549     -0.00580261
     -0.00162243     -0.00158522
     -0.00632542     -0.00659833
     -0.00148176     -0.00147438
     -0.00191949     -0.00190424
    -0.000616556    -0.000637531
     -0.00220185     -0.00226145
    -0.000739014    -0.000736855
     -0.00136909     -0.00139436
     -0.00569695     -0.00594124
     -0.00831854     -0.00828556
     -0.00305948      -0.0031223
    -0.000279449    -0.000287414
     -0.00324472     -0.00333119
    -0.000972381    -0.000953467
     -0.00185401      -0.0018993
    -0.000864154    -0.000871378
     -0.00184116     -0.00189426
     -0.00274599     -0.00266593
    -0.000938096    -0.000916313
      -0.0103568      -0.0105674
     -0.00760233     -0.00789501
     -0.00080737    -0.000773888
    -0.000705342    -0.000722866
    -0.000765879    -0.000756097
     -0.00302019     -0.00309914
    -0.000552556     -0.00052911
     -0.00343669      -0.0033254
     -0.00529488      -0.0053881
     -0.00182689     -0.00180033
    -0.000859806    -0.000852202
    -0.000791522    -0.000810311
     -0.00425285      -0.0041253
     -0.00589123     -0.00585857
    -0.000723594    -0.000690676
     -0.00147645     -0.00140182
     -0.00534497     -0.00549583
     -0.00527759     -0.00542467
    -0.000837158    -0.000794729
     -0.00134178     -0.00132733
     -0.00348267     -0.00360713
     -0.00352351     -0.00348867
     -0.00836462     -0.00835496
    -0.000340867    -0.000327388
    -0.000467429    -0.000470251
     -0.00370822     -0.00384488
     -0.00145375     -0.00143944
     -0.00238721     -0.00230521
    -0.000394227    -0.000386794
     -0.00306318     -0.00312921
     -0.00305853     -0.00306052
     -0.00043135    -0.000423974
     -0.00106611     -0.00102029
     -0.00136751     -0.00139093
    -0.000970117    -0.000926174
     -0.00594617     -0.00599719
    -0.000559653    -0.000535822
    -0.000487508    -0.000486825
    -0.000595752    -0.000614051
    -0.000886501    -0.000872501
     -0.00108631     -0.00103142
     -0.00180196     -0.00185539
    -0.000644323    -0.000641147
    -0.000362465    -0.000360216
    -0.000465269    -0.000457415
     -0.00192054     -0.00182948
    -0.000393805    -0.000382146
     -0.00382336     -0.00393762
    -0.000428064    -0.000425019
    -0.000398801    -0.000386062
    -0.000329768    -0.000322793
     -0.00139393     -0.00140702
    -0.000545978    -0.000530644
     -0.00241121     -0.00229521
    -0.000512447     -0.00052318
     -0.00258563     -0.00262986
    -0.000744036    -0.000713803
     -0.00092509    -0.000950736
     -0.00697072     -0.00695007
    -0.000691274    -0.000657447
     -0.00228224     -0.00233696
     -0.00228089     -0.00231411
     -0.00144633      -0.0014325
     -0.00110863     -0.00104784
     -0.00257122      -0.0026432
     -0.00058154    -0.000556652
     -0.00458231     -0.00471397
     -0.00092421    -0.000942581
     -0.00387885     -0.00393531
    -0.000529264    -0.000549162
     -0.00136044     -0.00134056
    -0.000777701    -0.000750392
     -0.00223493     -0.00211974
     -0.00263713     -0.00256713
     -0.00293465     -0.00303978
     -0.00122903      -0.0011728
    -0.000859986    -0.000852516
       -0.010854      -0.0111088
     -0.00131495     -0.00129459
     -0.00141319     -0.00133473
     -0.00159023      -0.0016214
     -0.00418873     -0.00408791
    -0.000570912    -0.000556565
     -0.00150287     -0.00150494
     -0.00055239    -0.000546882
    -0.000878289    -0.000853339
    -0.000786123    -0.000758119
     -0.00236244      -0.0023675
     -0.00031856    -0.000322848
     -0.00081783     -0.00079899
     -0.00643603     -0.00643736
    -0.000657476    -0.000676377
    -0.000513418    -0.000504627
     -0.00696041     -0.00694181
     -0.00121241     -0.00119381
     -0.00319475     -0.00309676
     -0.00927703      -0.0091371
      -0.0017906     -0.00184017
     -0.00487802     -0.00482247
    -0.000651071    -0.000647401
     -0.00158108     -0.00157416
    -0.000930307    -0.000947282
      -0.0007348    -0.000711627
     -0.00354042     -0.00365975
    -0.000906684    -0.000928809
     -0.00147565     -0.00140855
     -0.00213251     -0.00216088
     -0.00135631       -0.001379
    -0.000488207    -0.000513755
     -0.00139992     -0.00137592
    -0.000488887    -0.000473013
     -0.00376073     -0.00362986
    -0.000976219    -0.000951893
    -0.000535562    -0.000550247
     -0.00932956     -0.00947571
     -0.00040937    -0.000399004
    -0.000923996      -0.0009364
    -0.000749193    -0.000735781
     -0.00236691     -0.00229751
    -0.000382446    -0.000375508
     -0.00209398     -0.00198352
     -0.00112155     -0.00113586
     -0.00249197     -0.00252987
     -0.00286695     -0.00283735
      -0.0079417     -0.00818966
     -0.00335901     -0.00339907
     -0.00232276     -0.00232784
     -0.00218501     -0.00220009
     -0.00722176      -0.0070958
    -0.000866516    -0.000853007
     -0.00270007     -0.00266608
     -0.00865493       -0.008796
     -0.00142707     -0.00145976
     -0.00134542     -0.00135974
     -0.00112067     -0.00112186
     -0.00157077     -0.00161499
      -0.0010707     -0.00102055
     -0.00290211     -0.00278951
    -0.000586526    -0.000565495
     -0.00290049     -0.00301464
    -0.000660318    -0.000684576
    -0.000891609    -0.000857157
     -0.00204245      -0.0020152
    -0.000757174    -0.000736782
    -0.000953041    -0.000991942
    -0.000759288    -0.000764952
    -0.000296759    -0.000297326
    -0.000831128    -0.000806114
     -0.00352144     -0.00361779
    -0.000439345    -0.000432939
    -0.000614351     -0.00059792
     -0.00440574     -0.00450651
    -0.000815736    -0.000795613
     -0.00527586     -0.00536758
     -0.00353452     -0.00360248
    -0.000643363    -0.000621899
    -0.000493805    -0.000486879
     -0.00347817     -0.00359595
     -0.00371185     -0.00365614
     -0.00036272    -0.000357158
     -0.00361401      -0.0034793
     -0.00210364     -0.00199097
    -0.000408887     -0.00039438
     -0.00431155      -0.0042616
    -0.000682997    -0.000655831
     -0.00194103     -0.00198264
     -0.00104998      -0.0010402
     -0.00114579     -0.00114729
     -0.00158252     -0.00149474
     -0.00131543     -0.00134572
    -0.000426232    -0.000455808
     -0.00233169     -0.00221086
      -0.0050715     -0.00524197
     -0.00147253     -0.00138849
      -0.0066124      -0.0065744
     -0.00672609     -0.00681112
    -0.000472281    -0.000459832
     -0.00446804     -0.00453628
    -0.000591844    -0.000580923
     -0.00272843     -0.00267997
    -0.000355945    -0.000363236
     -0.00750622     -0.00739959
     -0.00258312     -0.00267115
     -0.00223992     -0.00221533
     -0.00154751     -0.00149075
     -0.00133638     -0.00138873
     -0.00123013     -0.00117871
     -0.00211623     -0.00210242
    -0.000547344    -0.000536585
    -0.000610706    -0.000588293
     -0.00302323     -0.00294053
     -0.00343049     -0.00342545
     -0.00484119     -0.00488042
     -0.00514748     -0.00510607
     -0.00167154     -0.00165098
     -0.00203676     -0.00202093
    -0.000454184    -0.000465592
     -0.00154535     -0.00159617
    -0.000846297    -0.000817899
     -0.00209114     -0.00204944
     -0.00200376     -0.00192261
     -0.00361729     -0.00363104
    -0.000449404    -0.000461212
    -0.000398291    -0.000402203
     -0.00294955     -0.00298128
    -0.000802058    -0.000797228
     -0.00478405     -0.00503891
     -0.00232485     -0.00221672
     -0.00665624     -0.00680873
     -0.00393263      -0.0040843
    -0.000360406    -0.000347537
    -0.000366507    -0.000358148
    -0.000714534    -0.000730053
