QM Energy	FF Energy
      -9.618e-05    -5.74653e-05
     -1.2823e-05     1.74617e-05
    -0.000223592    -0.000162921
     -0.00011856    -0.000151248
     -0.00208856     -0.00176163
     -0.00420331     -0.00504309
    -0.000113481    -0.000219961
    -0.000171318    -0.000121156
    -0.000436023    -0.000502221
     -0.00126635     -0.00150484
     -0.00149662     -0.00173411
    -0.000424858    -0.000443439
      -0.0032707     -0.00301559
     -2.9944e-05    -2.18583e-05
     -2.7076e-05     1.54295e-07
    -0.000962912     -0.00092618
      -2.714e-05     1.63845e-06
     -0.00282436     -0.00254921
     -8.5862e-05    -0.000131291
     -6.7547e-05    -2.71862e-05
    -0.000421461    -0.000417303
    -0.000438246    -0.000441831
     -2.2838e-05    -3.54437e-05
    -0.000520348    -0.000468311
    -0.000300859    -0.000456465
     -0.00017873    -0.000127447
     -0.00134464     -0.00137795
    -0.000369415     -0.00039334
     -0.00150621     -0.00129754
     -0.00103163    -0.000902131
    -0.000228031    -0.000231056
     -0.00126636     -0.00141791
    -0.000535522     -0.00049462
     -0.00780494     -0.00675241
    -0.000161866    -0.000275046
    -0.000172685    -0.000120656
      -0.0025016     -0.00302456
      -0.0069161     -0.00920118
      -0.0123254      -0.0104855
    -0.000517361    -0.000408588
     -0.00027999    -0.000247151
    -0.000420268    -0.000526903
     -0.00103005    -0.000872635
     -0.00910232     -0.00768722
    -0.000348538    -0.000278427
     -3.5041e-05    -1.33376e-07
    -0.000528365    -0.000550057
     -0.00155712     -0.00153451
    -0.000113445    -7.84941e-05
     -0.00766732      -0.0113914
    -0.000604796     -0.00048895
      -0.0118455      -0.0120367
     -7.2845e-05    -5.16798e-05
     -0.00367404     -0.00431939
     -1.3252e-05    -3.16598e-05
    -0.000373142    -0.000527372
     -0.00265082     -0.00330638
    -0.000294679     -0.00024066
     -6.7668e-05    -5.94286e-05
     -3.0833e-05    -4.89386e-05
     -0.00437819     -0.00391378
     -5.7977e-05    -3.72861e-05
     -0.00787786     -0.00810578
      -0.0194953      -0.0196384
     -1.8637e-05    -2.90502e-05
    -0.000326652    -0.000246187
     -0.00136902      -0.0013849
      -0.0014188      -0.0013124
      -0.0160787      -0.0135612
     -5.2904e-05    -4.64725e-05
     -0.00124632     -0.00102293
    -0.000510853    -0.000396587
     -0.00622137     -0.00587531
     -2.1106e-05    -4.79143e-05
      -0.0150829      -0.0138368
     -1.2241e-05     1.58528e-05
    -0.000233439    -0.000280747
     -1.9064e-05     2.14924e-06
    -0.000410991    -0.000410035
    -0.000262698    -0.000230833
     -1.8862e-05    -5.74713e-05
    -0.000159607    -0.000294829
    -0.000145029    -0.000205526
     -7.5623e-05    -9.37925e-05
     -0.00166209     -0.00139665
    -0.000159091    -0.000176306
     -0.00014363    -0.000190632
    -0.000416743    -0.000596109
    -0.000380359     -0.00032519
    -0.000142758    -0.000165409
    -0.000253839    -0.000243399
    -0.000207979    -0.000255876
     -2.8631e-05    -9.73503e-07
     -4.4856e-05    -5.50493e-05
      -7.335e-05    -0.000106787
     -0.00018134    -0.000117829
     -0.00459314     -0.00437489
      -0.0062866     -0.00659556
    -0.000502948    -0.000431382
     -0.00204999     -0.00207392
      -0.0029907      -0.0030872
     -4.0463e-05    -7.29176e-05
    -0.000980974    -0.000800256
     -0.00768843     -0.00838375
     -2.0392e-05     8.93564e-06
    -0.000188661     -0.00015467
    -0.000164535      -0.0001182
    -0.000159144    -0.000125539
    -0.000155916    -0.000199811
      -0.0158085      -0.0136896
     -8.9054e-05    -4.83036e-05
    -0.000796443     -0.00064544
     -3.5858e-05    -6.34007e-05
    -0.000380405     -0.00032378
     -0.00131162     -0.00156645
    -0.000694615    -0.000675259
     -0.00309976      -0.0029835
    -0.000322641    -0.000241697
      -0.0052486     -0.00445497
     -4.7282e-05    -6.87616e-05
     -0.00631368     -0.00676528
     -0.00227011      -0.0021318
    -0.000626981    -0.000633658
    -0.000478719    -0.000386541
     -0.00641801     -0.00592945
     -0.00493348       -0.004195
    -0.000412377    -0.000548286
    -0.000451334    -0.000508365
    -0.000540784    -0.000633939
      -2.073e-05      9.7539e-06
    -0.000324771    -0.000262078
     -5.5886e-05    -2.63584e-05
     -1.9615e-05    -4.40363e-05
     -0.00298535     -0.00285416
      -7.097e-05    -9.50109e-05
    -0.000389945    -0.000387451
      -0.0161895      -0.0138052
    -0.000342815    -0.000276154
     -5.7169e-05    -0.000100042
      -8.366e-05    -3.97998e-05
     -0.00113246     -0.00106368
    -0.000264545    -0.000193137
     -0.00766145        -0.00714
     -0.00326236     -0.00327282
     -2.0743e-05     4.53094e-06
     -4.9241e-05    -7.51547e-05
    -0.000116308    -8.08518e-05
    -0.000321422    -0.000318532
     -0.00773181     -0.00831517
      -0.0143181      -0.0125232
    -0.000514621    -0.000649884
      -0.0105337       -0.011351
     -0.00287083        -0.00268
    -0.000103733    -7.22047e-05
    -0.000738866     -0.00093791
     -0.00248038     -0.00242185
      -0.0104236      -0.0103115
    -0.000435575    -0.000346409
     -3.5289e-05    -7.85687e-07
    -0.000673445    -0.000778086
     -0.00154302     -0.00179875
    -0.000640141    -0.000533294
    -0.000226866    -0.000291875
      -0.0032445     -0.00312408
      -0.0003803    -0.000307885
     -6.1487e-05    -2.21193e-05
    -0.000231263     -0.00024308
     -0.00106987    -0.000885448
     -0.00323552     -0.00288717
      -0.0136282      -0.0118618
     -0.00018799    -0.000129949
    -0.000116055    -0.000130611
    -0.000110513    -9.36473e-05
     -0.00411417     -0.00407482
     -0.00017587    -0.000128071
     -0.00324619     -0.00304601
     -0.00011929    -0.000191117
    -0.000830151    -0.000738612
      -0.0116251     -0.00997782
    -0.000231861    -0.000259527
      -0.0030557     -0.00265393
     -0.00275115     -0.00245326
     -0.00875375     -0.00936219
     -0.00158808     -0.00146123
    -0.000293789    -0.000366499
      -0.0110164      -0.0103776
     -0.00179603     -0.00183121
     -8.1779e-05    -0.000130734
    -0.000359665    -0.000529511
      -9.602e-05    -5.19936e-05
     -1.1961e-05      1.5934e-05
     -0.00147992     -0.00142186
    -0.000142744    -0.000168167
    -0.000176845    -0.000143448
      -0.0122091      -0.0114604
     -0.00431316     -0.00367996
     -0.00031227    -0.000239347
     -0.00112937     -0.00109221
    -0.000668855    -0.000742177
     -2.0575e-05    -5.69427e-05
    -0.000116267    -6.57135e-05
     -0.00294055     -0.00425364
     -1.9496e-05     4.10908e-06
     -0.00029363    -0.000215532
    -0.000409093    -0.000442192
    -0.000417283    -0.000456588
     -0.00200895     -0.00196637
     -0.00493881     -0.00561125
     -0.00196791      -0.0021555
     -0.00110102    -0.000915783
     -3.7156e-05    -5.39904e-05
     -0.00232272      -0.0026391
     -0.00363789       -0.003237
     -9.4676e-05    -0.000124196
     -0.00280173     -0.00266572
     -1.2072e-05    -5.81375e-05
    -0.000208635    -0.000270425
     -5.1347e-05    -1.80015e-05
      -0.0159067      -0.0145559
     -0.00328669     -0.00324957
    -0.000175579    -0.000128746
    -0.000903108    -0.000941334
     -0.00425444     -0.00415378
     -0.00175796     -0.00145573
     -9.2822e-05    -0.000139364
     -0.00954396     -0.00982688
    -0.000915173     -0.00108528
    -0.000144769    -0.000170433
     -0.00516187      -0.0053449
    -0.000317603    -0.000466451
    -0.000981676    -0.000934054
      -1.908e-05     1.29886e-05
     -0.00125181     -0.00139932
    -0.000344946    -0.000343645
     -5.2302e-05    -9.71859e-05
    -0.000930394    -0.000865766
     -1.4583e-05      -4.345e-05
     -7.7107e-05    -0.000103761
    -0.000140504     -8.7612e-05
    -0.000265671    -0.000296772
    -0.000651128    -0.000872848
     -0.00021081    -0.000183606
     -0.00409854     -0.00448535
    -0.000938531     -0.00119591
      -0.0011622     -0.00111081
      -0.0010424    -0.000962098
