QM Energy	FF Energy
    -0.000528295    -0.000509295
    -0.000289048    -0.000267908
    -0.000637294    -0.000653921
    -0.000705433    -0.000719224
     0.000195542    -0.000342127
       0.0017109      0.00228874
    -0.000667443    -0.000634523
    -0.000666396    -0.000690185
    -0.000633003    -0.000720693
    -0.000349968    -0.000312586
    -0.000662963    -0.000504912
      -0.0010113     -0.00101252
      0.00129853     0.000660887
    -0.000466659    -0.000467498
    -0.000361231    -0.000349217
    -0.000187319    -0.000259257
    -0.000377651    -0.000352834
     0.000870708     0.000279999
     -0.00059397    -0.000629912
    -0.000471995    -0.000454164
     -0.00095724    -0.000987472
    -0.000561368     -0.00061794
    -0.000473075    -0.000487414
     -0.00065139    -0.000712681
    -0.000793592    -0.000652929
    -0.000610936    -0.000612472
      7.8124e-05    -0.000111824
    -0.000560283    -0.000643538
    -0.000140314     -0.00050785
    -0.000684388    -0.000899432
    -0.000876604     -0.00088831
    -0.000172776    -0.000272814
    -0.000897371    -0.000974376
       0.0052432      0.00372971
    -0.000704722    -0.000670369
    -0.000606395    -0.000607968
     0.000599882     0.000789303
      0.00478293      0.00657746
       0.0093973      0.00729801
    -0.000709335    -0.000820095
    -0.000836797    -0.000869635
    -0.000748827    -0.000797792
    -0.000612254    -0.000836832
      0.00625369      0.00446856
    -0.000660044    -0.000705549
     -0.00037673    -0.000357147
    -0.000500276    -0.000591383
     0.000325371     0.000106574
    -0.000622246    -0.000631691
       0.0055526      0.00888318
    -0.000627574      -0.0007594
      0.00968993      0.00937885
    -0.000518694    -0.000488409
     0.000876159      0.00128792
     -0.00030543    -0.000327052
     -0.00104224    -0.000981547
     0.000714522      0.00102137
    -0.000658555    -0.000680807
    -0.000533205    -0.000496437
    -0.000490858    -0.000509176
      0.00369196      0.00422644
     -0.00052414    -0.000529165
      0.00467324      0.00473979
       0.0169844       0.0179517
    -0.000443258    -0.000459515
    -0.000703453    -0.000758532
      9.2427e-05    -6.34045e-05
     -0.00018472    -0.000450753
       0.0132128       0.0105773
    -0.000565905    -0.000570505
    -0.000397057    -0.000728663
    -0.000663762    -0.000779277
      0.00306747      0.00249412
    -0.000467564    -0.000490136
       0.0112928        0.010425
    -0.000305303    -0.000285161
    -0.000966936    -0.000943579
    -0.000375957    -0.000352171
    -0.000520195    -0.000611509
     -0.00081767    -0.000854455
    -0.000336731    -0.000361053
     -0.00073908    -0.000674221
    -0.000652792    -0.000694328
    -0.000701811    -0.000703628
    -0.000162715    -0.000580805
    -0.000579059    -0.000626032
    -0.000863757    -0.000854176
     -0.00074808    -0.000645567
    -0.000666996    -0.000705526
    -0.000523905     -0.00057804
    -0.000884411    -0.000892658
    -0.000623141    -0.000681006
    -0.000365159    -0.000354768
    -0.000593126    -0.000594614
    -0.000488004    -0.000527573
     -0.00060855    -0.000625069
      0.00167558      0.00122254
      0.00307178      0.00318576
    -0.000646589     -0.00072192
       0.0007453     0.000557371
      0.00175812      0.00207503
    -0.000395306    -0.000424549
    -0.000574002    -0.000829248
      0.00562465      0.00649005
     -0.00034389    -0.000320545
    -0.000752362     -0.00076898
    -0.000602185     -0.00059748
    -0.000607197    -0.000592217
    -0.000747801    -0.000766572
       0.0132332       0.0108573
    -0.000514639    -0.000496871
    -0.000607955    -0.000801509
    -0.000446845      -0.0004783
    -0.000663163    -0.000703102
    -0.000287065    -0.000283075
    -0.000935939     -0.00100829
      0.00201073      0.00179525
    -0.000663631    -0.000715505
      0.00277306       0.0015827
    -0.000619005    -0.000627095
      0.00417882      0.00406669
      0.00112589      0.00107417
    -0.000977565     -0.00102353
    -0.000763265    -0.000853857
       0.0061302      0.00575332
      0.00258062      0.00142554
    -0.000761392    -0.000651432
     -0.00106131     -0.00103591
    -0.000584819    -0.000604217
     -0.00031163    -0.000292559
    -0.000664149    -0.000698611
    -0.000466117    -0.000439479
    -0.000454006    -0.000476467
      0.00190211      0.00151902
    -0.000598964    -0.000618649
    -0.000940176    -0.000973116
       0.0133825        0.010876
    -0.000779377    -0.000847722
    -0.000512824    -0.000545504
    -0.000507757     -0.00049857
    -0.000370773    -0.000556639
    -0.000696624    -0.000738663
      0.00440058      0.00367853
      0.00130277      0.00091692
