QM Energy	FF Energy
     -0.00211067     -0.00205407
      -0.0117319      -0.0117939
    -0.000655176    -0.000662811
     -0.00480455     -0.00459264
     -0.00174462     -0.00165176
    -0.000890079    -0.000847058
     -0.00133455      -0.0012829
     -0.00251664     -0.00247366
    -0.000898963    -0.000868809
     -0.00112043     -0.00110933
    -0.000463167    -0.000465344
     -0.00120371     -0.00120343
     -0.00178852     -0.00168063
    -0.000592135    -0.000589973
     -0.00651275      -0.0065174
    -0.000531587    -0.000520589
    -0.000774816    -0.000752907
     -0.00508556     -0.00485281
    -0.000495517     -0.00049467
     -0.00722706     -0.00724395
     -0.00290999     -0.00286531
     -0.00140682     -0.00139258
     -0.00138274     -0.00131844
    -0.000592472    -0.000600992
     -0.00735018     -0.00721319
    -0.000414028     -0.00040519
    -0.000477929    -0.000469099
    -0.000743659    -0.000743384
     -0.00150735     -0.00139353
    -0.000402187    -0.000386226
      -0.0021071     -0.00198041
    -0.000692993    -0.000636979
      -0.0029311     -0.00283163
     -0.00200036     -0.00196503
     -0.00181934     -0.00174574
     -0.00109602     -0.00108659
     -0.00251584     -0.00241358
     -0.00047229    -0.000445034
     -0.00160048     -0.00155363
    -0.000836058     -0.00084127
     -0.00275407     -0.00274912
     -0.00141011     -0.00139295
    -0.000514551    -0.000493842
     -0.00178777     -0.00166543
     -0.00576894     -0.00579511
    -0.000456681    -0.000422629
    -0.000875964    -0.000872606
     -0.00308122     -0.00298128
     -0.00152158     -0.00147432
     -0.00293152     -0.00284636
    -0.000975782    -0.000942679
     -0.00161807     -0.00161124
      -0.0010675     -0.00105074
    -0.000520333    -0.000516851
    -0.000337266    -0.000329879
     -0.00183062     -0.00177635
     -0.00190024     -0.00183614
     -0.00133623      -0.0013317
     -0.00126347     -0.00119575
     -0.00344122     -0.00336189
      -0.0028944     -0.00284979
    -0.000566562     -0.00055015
    -0.000588389    -0.000557147
      -0.0010916     -0.00106951
     -0.00317592     -0.00304239
    -0.000557709     -0.00053572
     -0.00119884     -0.00110927
    -0.000734818    -0.000717222
     -0.00121194     -0.00119557
     -0.00198618     -0.00189262
     -0.00259848     -0.00259079
     -0.00117657     -0.00113811
     -0.00204331     -0.00199041
     -0.00141468     -0.00134837
     -0.00269925     -0.00266011
    -0.000471185    -0.000460069
     -0.00280603     -0.00268254
      -0.0104495      -0.0104321
    -0.000533893    -0.000514957
    -0.000429505    -0.000397434
     -0.00445847     -0.00438287
    -0.000384357    -0.000391275
    -0.000358692     -0.00034329
     -0.00044269    -0.000423249
     -0.00076722    -0.000723561
     -0.00044565    -0.000426286
     -0.00718608     -0.00706458
     -0.00694796     -0.00694091
    -0.000951952    -0.000931171
      -0.0018764     -0.00180916
     -0.00202861     -0.00190549
     -0.00128981      -0.0012408
    -0.000437084    -0.000434479
    -0.000887341     -0.00086511
    -0.000394329    -0.000393486
    -0.000878146    -0.000855479
     -0.00146898     -0.00148052
     -0.00273679      -0.0026508
     -0.00171884     -0.00171137
     -0.00189043     -0.00182709
    -0.000458609    -0.000451638
    -0.000942794    -0.000917521
    -0.000363613    -0.000357068
     -0.00469456     -0.00462061
     -0.00553731     -0.00528509
     -0.00413316     -0.00404704
    -0.000932047    -0.000899514
    -0.000548549    -0.000530643
     -0.00249207     -0.00245526
      -0.0075553     -0.00752989
    -0.000951193    -0.000875504
     -0.00262544     -0.00250129
    -0.000380525    -0.000374263
     -0.00428588     -0.00421658
    -0.000913329    -0.000862469
      -0.0067589     -0.00677579
    -0.000847864    -0.000782125
    -0.000603297    -0.000594416
    -0.000508974    -0.000512153
     -0.00654569     -0.00632394
     -0.00161276     -0.00157957
     -0.00250311     -0.00250282
     -0.00227834     -0.00217552
     -0.00393058     -0.00373793
     -0.00353946     -0.00333281
     -0.00255746     -0.00244961
    -0.000407823    -0.000401832
      -0.0020186     -0.00196362
     -0.00493726     -0.00489922
     -0.00388249     -0.00378262
      -0.0065961     -0.00624788
     -0.00100683    -0.000961023
     -0.00340297     -0.00337967
     -0.00223623     -0.00208912
     -0.00938672     -0.00940148
    -0.000395176    -0.000374026
    -0.000867408    -0.000846645
     -0.00426463     -0.00426087
     -0.00183872     -0.00181455
    -0.000945016     -0.00095889
    -0.000902018     -0.00087535
      -0.0036916     -0.00355941
    -0.000622427    -0.000593808
     -0.00202369     -0.00203208
     -0.00130235     -0.00124814
     -0.00325546     -0.00321143
     -0.00141847     -0.00139983
      -0.0010497    -0.000986104
     -0.00085646    -0.000830902
     -0.00648524     -0.00645207
    -0.000408571    -0.000396818
     -0.00179265     -0.00171281
