QM Energy	FF Energy
    -0.000109495    -9.73013e-05
     -0.00120505    -0.000901789
     -1.1391e-05    -1.14749e-05
    -0.000193354    -0.000272702
     -2.9841e-05    -5.22672e-05
      -8.186e-06    -1.37871e-05
    -0.000127805    -0.000104382
    -0.000217552    -0.000180203
      -3.886e-06    -8.24858e-06
     -4.5362e-05     -4.1956e-05
     -1.1301e-05    -1.05158e-05
      -9.394e-06    -1.68573e-05
     -3.3709e-05    -5.68509e-05
     -2.4391e-05     -2.1202e-05
    -0.000639993    -0.000463146
      -3.628e-06    -5.30702e-06
      -5.444e-06    -9.06181e-06
    -0.000375229    -0.000356352
     -2.2886e-05    -1.94413e-05
    -0.000831588    -0.000517544
     -4.8472e-05    -9.60442e-05
     -4.7073e-05    -4.89196e-05
    -0.000103546    -8.37427e-05
     -1.7891e-05    -1.54265e-05
    -0.000541618    -0.000516958
      -9.136e-06    -8.65245e-06
     -1.1791e-05    -1.11087e-05
     -2.0878e-05    -1.97768e-05
     -2.1057e-05    -3.45139e-05
       -7.22e-06    -6.99128e-06
     -4.7677e-05    -6.92553e-05
      -8.089e-06     -1.0546e-05
    -0.000233262    -0.000209732
     -9.8645e-05    -9.14923e-05
    -0.000112954    -9.51923e-05
     -1.3835e-05    -2.03455e-05
    -0.000166792    -0.000160698
      -3.649e-06    -4.86034e-06
     -1.6016e-05    -3.63768e-05
     -2.2145e-05    -2.09022e-05
     -8.9037e-05    -0.000104326
     -5.9158e-05    -5.31022e-05
      -7.431e-06    -8.25388e-06
     -3.8385e-05    -5.87065e-05
    -0.000617718     -0.00041524
      -3.827e-06    -4.53337e-06
     -3.7233e-05     -3.0104e-05
    -0.000123102    -0.000159128
     -4.3292e-05    -5.35643e-05
    -0.000221178    -0.000202308
     -1.2981e-05    -1.60158e-05
     -2.2747e-05    -3.76812e-05
     -1.5621e-05    -1.81762e-05
      -6.812e-06    -7.55198e-06
      -8.294e-06    -7.72362e-06
    -0.000162167    -0.000132839
     -7.2134e-05    -8.31491e-05
      -2.406e-05    -2.67993e-05
     -1.5122e-05    -2.74354e-05
    -0.000111094    -0.000146328
     -8.2611e-05    -0.000106241
       -3.39e-06    -5.49342e-06
      -3.335e-06    -5.09909e-06
     -1.6304e-05    -2.14526e-05
     -5.3834e-05    -0.000110174
      -3.077e-06    -4.73322e-06
     -1.2701e-05    -2.15866e-05
      -5.083e-05    -4.22055e-05
     -7.1569e-05     -6.2175e-05
      -4.816e-05     -7.0121e-05
     -5.9327e-05    -8.73581e-05
      -6.372e-06    -1.54029e-05
      -2.683e-05    -5.49569e-05
    -0.000100154    -8.11555e-05
     -5.6417e-05    -9.48945e-05
      -3.624e-05     -2.9751e-05
    -0.000223448    -0.000203116
     -0.00103378    -0.000800489
      -7.396e-06    -8.32736e-06
      -4.105e-06    -4.70632e-06
    -0.000251447     -0.00025404
      -5.324e-06    -5.16089e-06
       -5.46e-06    -5.37201e-06
      -7.335e-06     -7.3827e-06
      -7.126e-06    -1.12461e-05
      -2.958e-06    -4.07109e-06
    -0.000493376    -0.000470045
    -0.000534532    -0.000494368
     -6.5284e-05     -5.4947e-05
    -0.000108438    -9.22207e-05
     -5.7281e-05    -7.85798e-05
    -0.000124357    -0.000101036
      -1.026e-05    -9.67812e-06
     -1.1155e-05    -1.59759e-05
     -2.1936e-05    -1.79483e-05
      -5.164e-05    -4.21913e-05
     -4.0076e-05    -3.77979e-05
     -3.4953e-05    -8.23852e-05
     -3.2516e-05    -4.43932e-05
     -1.2347e-05    -3.60335e-05
     -2.8658e-05    -2.36348e-05
     -5.3285e-05    -4.26307e-05
      -7.479e-06    -7.06989e-06
     -0.00040606    -0.000363074
    -0.000447716    -0.000413852
    -0.000274201    -0.000257407
     -7.5515e-05    -6.16134e-05
      -3.997e-06    -5.76058e-06
    -0.000122097    -0.000127734
    -0.000876143    -0.000539014
      -9.468e-06     -1.4521e-05
     -6.3424e-05    -0.000106957
      -2.202e-06    -2.87259e-06
    -0.000207514    -0.000232417
     -1.2691e-05    -1.70264e-05
    -0.000374381    -0.000393779
       -1.17e-05    -1.51129e-05
      -5.633e-06    -7.27138e-06
      -6.869e-06    -6.76417e-06
    -0.000474684    -0.000451916
     -7.9572e-05    -7.02241e-05
     -6.6321e-05    -8.35205e-05
     -3.5069e-05    -6.93437e-05
     -7.2782e-05    -0.000147375
     -0.00020063    -0.000217227
     -5.4862e-05     -8.5568e-05
     -2.9034e-05    -2.42671e-05
      -2.427e-05    -5.58512e-05
    -0.000467811    -0.000354763
     -9.6698e-05    -0.000176859
    -0.000457212    -0.000459066
     -3.0055e-05    -3.15271e-05
     -0.00014291     -0.00015021
     -3.8802e-05    -6.77349e-05
    -0.000903944    -0.000651098
      -3.525e-06    -3.97194e-06
     -2.8784e-05    -2.74679e-05
    -0.000153236    -0.000195254
     -2.1812e-05    -4.44431e-05
     -2.3947e-05    -2.09718e-05
     -5.4763e-05    -4.46831e-05
    -0.000332374    -0.000290041
      -6.829e-06    -7.86211e-06
     -5.6423e-05    -6.00301e-05
     -8.3203e-05    -6.70834e-05
     -0.00024059    -0.000211635
     -8.2076e-05     -7.2434e-05
     -1.0898e-05    -1.81388e-05
      -6.882e-05     -5.6625e-05
    -0.000381189    -0.000390701
      -2.416e-06    -3.30203e-06
    -0.000157499    -0.000128031
      -9.725e-06    -2.21122e-05
     -3.9761e-05    -3.77826e-05
     -5.5147e-05    -4.60502e-05
     -5.9598e-05    -0.000119298
      -5.792e-06    -8.64864e-06
      -8.349e-06    -8.45731e-06
     -2.5942e-05    -2.21544e-05
     -1.5058e-05    -3.57322e-05
      -4.293e-06    -7.31234e-06
    -0.000174198     -0.00024085
     -5.3896e-05    -4.40414e-05
      -3.383e-06    -4.02138e-06
    -0.000351838    -0.000374153
      -7.909e-05    -0.000113442
    -0.000116109     -0.00011856
      -4.507e-05    -3.73567e-05
     -7.5784e-05    -7.44774e-05
     -7.4686e-05    -8.86741e-05
      -4.769e-06    -4.66093e-06
     -1.2554e-05    -2.00101e-05
      -6.383e-06    -1.09176e-05
    -0.000323053    -0.000302642
     -9.5446e-05    -7.73043e-05
    -0.000337495    -0.000359034
     -8.2354e-05    -6.67765e-05
     -2.4502e-05    -5.62857e-05
    -0.000401716    -0.000327148
     -7.1261e-05    -7.50388e-05
      -2.653e-06    -3.45926e-06
      -3.457e-05     -2.9502e-05
        -3.2e-06    -3.95843e-06
      -8.042e-06    -1.41522e-05
     -3.6307e-05    -6.93497e-05
      -3.427e-06    -6.28253e-06
      -8.706e-06    -8.32537e-06
     -1.6028e-05    -1.40721e-05
     -1.4529e-05    -2.35267e-05
    -0.000282048    -0.000286672
    -0.000314354    -0.000312939
      -2.956e-06    -4.34461e-06
    -0.000585761    -0.000544825
    -0.000443543    -0.000395889
     -1.0442e-05     -1.0768e-05
    -0.000109946    -0.000117382
     -2.8171e-05    -2.31691e-05
     -4.9635e-05    -4.07525e-05
    -0.000127967     -0.00020157
      -9.051e-06    -1.84456e-05
    -0.000392899    -0.000360795
     -2.3155e-05    -5.07959e-05
     -2.0461e-05    -4.16032e-05
    -0.000173468    -0.000149755
      -2.485e-06    -3.31684e-06
     -7.4908e-05    -6.00761e-05
     -0.00019228     -0.00022144
      -5.716e-06    -7.59419e-06
     -7.9139e-05    -7.44036e-05
    -0.000137227    -0.000223345
    -0.000229021    -0.000293923
       -3.27e-06    -4.72134e-06
      -2.053e-06    -2.23275e-06
     -1.8327e-05    -3.97331e-05
     -6.3208e-05    -7.33129e-05
     -5.3527e-05    -6.03503e-05
      -4.718e-06    -5.28116e-06
    -0.000351155    -0.000284116
     -1.8197e-05    -1.63115e-05
     -3.3995e-05    -2.73818e-05
     -3.6938e-05    -5.46864e-05
     -8.4371e-05    -0.000119781
     -3.1076e-05    -3.87132e-05
     -2.1719e-05    -1.90114e-05
    -0.000192462    -0.000180758
     -1.9902e-05    -2.04008e-05
    -0.000377315    -0.000351718
     -3.9235e-05    -3.15244e-05
    -0.000488208      -0.0004692
      -6.726e-06    -6.37996e-06
    -0.000207699    -0.000246713
    -0.000105352     -0.00010321
     -6.5751e-05     -5.2052e-05
     -1.8092e-05     -4.0548e-05
      -9.429e-06    -1.00683e-05
     -4.6755e-05    -9.05798e-05
    -0.000685426    -0.000447593
    -0.000603765    -0.000491362
     -4.3782e-05    -9.30311e-05
    -0.000252267    -0.000316309
     -2.7153e-05    -2.46749e-05
      -8.214e-06    -9.18681e-06
      -5.798e-06    -5.64064e-06
     -6.7466e-05    -9.87262e-05
     -1.1088e-05    -1.44629e-05
      -4.519e-06    -1.07813e-05
      -5.388e-06    -1.49271e-05
     -2.8014e-05    -3.99309e-05
      -9.798e-05    -0.000133329
     -4.1441e-05    -3.39445e-05
    -0.000290756    -0.000302072
    -0.000316321     -0.00033666
    -0.000253986    -0.000241966
    -0.000136056     -0.00012113
     -1.1127e-05     -1.3706e-05
     -6.7264e-05    -9.32445e-05
    -0.000467792    -0.000453913
    -0.000120463    -0.000136132
      -3.184e-06    -4.25262e-06
      -5.651e-06    -8.50898e-06
      -5.172e-05    -4.21553e-05
     -2.0667e-05    -1.78665e-05
      -5.523e-06    -7.22299e-06
      -9.246e-06     -1.2128e-05
     -4.3887e-05    -7.12538e-05
    -0.000190394    -0.000237197
     -0.00057395    -0.000402945
     -1.1035e-05    -2.51625e-05
    -0.000106368    -9.25654e-05
     -2.3616e-05     -5.3415e-05
     -7.3776e-05    -6.34755e-05
      -8.774e-06    -1.79198e-05
     -1.8028e-05    -3.68255e-05
    -0.000125482    -0.000153716
    -0.000135341    -0.000132368
     -1.2755e-05    -1.64235e-05
    -0.000625466    -0.000573626
      -9.385e-05    -7.53089e-05
     -4.0213e-05    -4.42224e-05
    -0.000875491    -0.000542302
     -3.6019e-05    -2.98802e-05
     -0.00024055    -0.000235685
      -8.545e-06    -7.75843e-06
     -5.5911e-05    -4.61832e-05
     -6.4625e-05     -7.2043e-05
     -7.0127e-05    -5.73831e-05
    -0.000364284    -0.000316175
    -0.000383412    -0.000342572
      -1.588e-05    -1.46103e-05
      -8.177e-06    -1.61563e-05
     -1.0276e-05    -1.46772e-05
    -0.000871509    -0.000641092
     -3.7521e-05    -3.55874e-05
      -4.126e-06    -9.76827e-06
     -1.1273e-05    -1.46081e-05
    -0.000168942    -0.000137135
      -9.834e-06    -1.63175e-05
     -2.4162e-05    -2.07355e-05
     -9.2207e-05    -0.000112257
    -0.000385225    -0.000374376
     -0.00132831    -0.000979681
     -3.8962e-05    -8.71577e-05
     -4.1538e-05    -3.50691e-05
     -1.9073e-05    -1.86543e-05
     -6.2504e-05    -0.000136681
      -3.951e-06    -4.25702e-06
     -1.6395e-05    -1.80018e-05
    -0.000455343    -0.000366815
     -2.6808e-05    -2.13037e-05
     -9.9071e-05    -9.92152e-05
      -3.832e-06    -5.50418e-06
      -8.786e-06    -1.34341e-05
      -2.629e-06    -4.23695e-06
     -2.6701e-05    -2.36615e-05
     -2.3129e-05    -2.35176e-05
     -1.3461e-05     -5.1703e-05
     -5.2235e-05    -4.42781e-05
     -1.1586e-05    -9.96831e-06
     -6.4817e-05    -5.51871e-05
    -0.000751127    -0.000452146
    -0.000937402    -0.000677067
    -0.000328712    -0.000324238
      -5.443e-06    -5.73674e-06
    -0.000158145    -0.000209302
      -6.259e-06    -9.26953e-06
    -0.000596852    -0.000519187
     -4.5947e-05    -4.67389e-05
      -3.367e-06    -5.44022e-06
     -1.7684e-05    -3.65926e-05
    -0.000470603    -0.000375025
       -2.84e-06    -3.51235e-06
      -4.231e-06    -4.82411e-06
     -1.8137e-05    -2.10019e-05
    -0.000294568    -0.000342073
    -0.000494114    -0.000438177
     -1.4873e-05    -1.62413e-05
    -0.000155374    -0.000179241
    -0.000181563    -0.000245236
     -0.00028207    -0.000299185
     -3.4041e-05    -2.80494e-05
     -0.00044379     -0.00038505
      -5.301e-06    -6.48465e-06
     -1.5272e-05    -1.26384e-05
    -0.000217438    -0.000247006
      -7.758e-06    -7.25199e-06
      -9.707e-06    -1.02538e-05
    -0.000302346    -0.000343305
    -0.000148114    -0.000283154
     -6.2255e-05    -4.95304e-05
      -4.737e-06    -5.54179e-06
     -3.9745e-05    -4.14784e-05
     -1.9986e-05    -1.75837e-05
      -7.373e-06    -1.48683e-05
      -9.007e-05    -0.000107343
     -2.4593e-05    -4.47431e-05
    -0.000269999    -0.000288229
    -0.000137768    -0.000144005
     -9.5755e-05     -0.00016979
     -1.5485e-05    -2.75302e-05
     -1.3049e-05    -1.18861e-05
    -0.000146074    -0.000118877
     -4.1673e-05    -3.43212e-05
     -1.0884e-05    -1.12417e-05
      -9.058e-06    -9.84233e-06
      -5.989e-06    -9.85701e-06
    -0.000134223     -0.00016119
    -0.000466523    -0.000417616
      -2.814e-06    -3.36958e-06
     -2.3147e-05    -3.36509e-05
      -9.866e-06    -2.09817e-05
     -4.2332e-05    -3.95672e-05
    -0.000104006    -8.40806e-05
     -3.1056e-05    -2.54628e-05
    -0.000110922    -0.000113647
      -4.425e-06    -5.16263e-06
      -3.357e-06    -3.72079e-06
      -7.947e-06    -7.48963e-06
     -9.3739e-05    -0.000168948
      -2.203e-05    -1.87383e-05
      -2.529e-06    -3.34883e-06
     -4.3849e-05    -3.88419e-05
      -1.297e-05    -1.89686e-05
     -3.1992e-05    -5.14636e-05
     -1.1923e-05    -1.74527e-05
      -2.416e-06    -3.69953e-06
     -8.2617e-05    -6.71827e-05
     -2.5695e-05    -5.30966e-05
    -0.000126855     -0.00011458
     -0.00032803    -0.000377136
      -8.918e-06    -1.11935e-05
     -6.2333e-05    -0.000107856
      -3.225e-06    -4.80959e-06
    -0.000174269    -0.000203417
     -8.5928e-05    -8.63365e-05
    -0.000399313    -0.000389575
    -0.000367513    -0.000321108
      -7.656e-06    -1.22188e-05
     -7.0852e-05    -7.37566e-05
      -2.661e-05    -4.87398e-05
     -7.6821e-05    -8.05587e-05
     -3.4274e-05     -3.9819e-05
    -0.000209513    -0.000169669
      -6.613e-06    -6.61457e-06
     -1.0735e-05    -1.05691e-05
     -2.1863e-05    -5.10965e-05
    -0.000141498    -0.000162256
     -7.1059e-05    -0.000135405
    -0.000260788    -0.000254857
     -1.5599e-05    -2.50771e-05
      -1.498e-05    -4.98931e-05
      -6.557e-06    -8.02508e-06
    -0.000137507    -0.000123011
    -0.000204394    -0.000170556
      -5.319e-05    -0.000111568
    -0.000687851    -0.000580234
      -8.188e-05    -0.000138721
      -3.733e-05    -4.77925e-05
      -5.903e-06    -6.16775e-06
      -9.863e-06     -1.2492e-05
     -1.6674e-05    -2.87113e-05
    -0.000334107    -0.000373365
      -4.064e-06    -5.82955e-06
     -2.2673e-05     -3.0982e-05
     -1.0925e-05    -1.67376e-05
     -1.8476e-05    -2.90044e-05
     -7.6838e-05     -0.00013789
      -2.052e-05    -2.84469e-05
     -3.6482e-05    -8.10199e-05
     -2.9323e-05    -5.50134e-05
     -1.9529e-05     -4.7312e-05
     -6.6029e-05    -5.29315e-05
      -5.516e-06    -5.60728e-06
      -7.965e-06    -1.75347e-05
      -2.703e-06     -3.5148e-06
      -9.017e-06    -9.42699e-06
      -2.971e-06     -3.9325e-06
      -8.523e-06    -1.13949e-05
      -4.301e-06    -5.37773e-06
    -0.000383808    -0.000314734
    -0.000491218    -0.000487512
     -5.7105e-05    -5.01812e-05
    -0.000432902    -0.000416901
      -5.938e-06    -1.11186e-05
     -5.6116e-05    -0.000103403
     -1.4058e-05    -1.89683e-05
    -0.000163681    -0.000170504
    -0.000267323    -0.000230705
    -0.000118643    -0.000110716
      -6.277e-05    -9.32022e-05
      -3.917e-06    -5.26342e-06
    -0.000169546    -0.000162209
     -4.6596e-05    -8.18159e-05
      -9.238e-06    -8.37783e-06
    -0.000239971    -0.000255822
     -5.5718e-05    -6.50835e-05
     -3.6461e-05    -4.11514e-05
     -1.1342e-05    -2.14249e-05
     -1.4808e-05    -1.48992e-05
     -1.0649e-05    -1.43782e-05
     -9.7343e-05    -0.000144419
      -3.437e-06    -3.82625e-06
      -8.897e-06    -1.63526e-05
    -0.000383066     -0.00036337
     -2.8098e-05    -5.25966e-05
      -2.395e-06    -4.09013e-06
