QM Energy	FF Energy
     -7.5587e-05    -6.64061e-05
      -0.0016172     -0.00183789
      -5.003e-06    -7.65533e-06
    -0.000628631    -0.000595719
    -0.000109106    -0.000115676
      -2.294e-05    -2.81547e-05
     -3.9728e-05    -3.37561e-05
    -0.000153159    -0.000135982
      -1.129e-05    -1.48614e-05
     -2.2117e-05     -2.9717e-05
       -2.59e-06    -4.47987e-06
     -2.7969e-05    -3.37143e-05
    -0.000122537    -0.000127647
      -3.995e-06     -6.2781e-06
    -0.000940484    -0.000882882
      -4.592e-06     -7.2856e-06
     -1.3284e-05    -1.75372e-05
    -0.000826598    -0.000768994
      -2.053e-06    -3.09706e-06
     -0.00112849     -0.00110997
    -0.000219296    -0.000203531
      -4.707e-05    -5.93132e-05
     -3.6784e-05    -3.06656e-05
      -2.857e-06    -4.40051e-06
     -0.00110772     -0.00111121
      -3.643e-06    -6.17823e-06
      -4.943e-06    -8.18894e-06
      -8.034e-06     -1.2106e-05
     -6.4664e-05    -7.14635e-05
      -4.408e-06    -7.30401e-06
    -0.000143212    -0.000149173
     -1.5271e-05    -1.91051e-05
    -0.000409037    -0.000417238
     -6.5984e-05     -6.9025e-05
     -6.2655e-05    -5.11543e-05
     -2.2455e-05     -2.9696e-05
    -0.000317587      -0.0003328
      -5.465e-06     -7.6186e-06
     -6.4322e-05    -7.41313e-05
      -7.921e-06    -1.14331e-05
    -0.000122396    -0.000127883
      -2.667e-05    -2.98473e-05
      -7.937e-06    -1.24088e-05
    -0.000128169    -0.000132528
     -0.00086342    -0.000777443
      -3.618e-06    -4.83063e-06
      -7.731e-06    -8.68395e-06
    -0.000327709    -0.000339458
     -9.2152e-05    -0.000109445
    -0.000382055    -0.000391642
     -2.0824e-05    -2.62526e-05
     -6.5207e-05    -7.62482e-05
     -2.1184e-05    -2.76927e-05
      -4.459e-06    -7.31999e-06
      -2.119e-06    -3.84009e-06
      -7.717e-05    -6.76605e-05
    -0.000151779    -0.000170894
     -3.0381e-05    -3.97567e-05
     -5.3078e-05    -5.97988e-05
    -0.000302085    -0.000309975
    -0.000201845    -0.000214773
      -6.008e-06    -8.90358e-06
      -5.018e-06    -6.68109e-06
      -3.029e-05    -3.68134e-05
    -0.000253603    -0.000252027
       -4.93e-06    -6.86636e-06
     -3.7842e-05    -4.34805e-05
      -6.846e-06    -8.07091e-06
     -2.6563e-05    -3.47141e-05
    -0.000148558    -0.000152444
    -0.000130706    -0.000137069
     -2.5921e-05    -3.26942e-05
    -0.000118361    -0.000120085
      -3.788e-05    -3.08551e-05
    -0.000180355    -0.000181812
      -2.104e-06    -2.27201e-06
    -0.000411367    -0.000421362
     -0.00149016     -0.00160657
      -7.818e-06    -1.22677e-05
      -4.538e-06    -6.14548e-06
    -0.000387012    -0.000331574
