QM Energy	FF Energy
     -7.5587e-05    -6.63093e-05
      -0.0016172     -0.00183681
      -5.003e-06    -7.63389e-06
    -0.000628631     -0.00059547
    -0.000109106    -0.000115725
      -2.294e-05    -2.81207e-05
     -3.9728e-05    -3.38116e-05
    -0.000153159    -0.000136112
      -1.129e-05    -1.49621e-05
     -2.2117e-05    -2.97165e-05
       -2.59e-06    -4.43945e-06
     -2.7969e-05    -3.36529e-05
    -0.000122537    -0.000127677
      -3.995e-06    -6.27902e-06
    -0.000940484    -0.000883607
      -4.592e-06    -7.27073e-06
     -1.3284e-05    -1.75243e-05
    -0.000826598    -0.000769585
      -2.053e-06    -3.06987e-06
     -0.00112849     -0.00111129
    -0.000219296    -0.000203287
      -4.707e-05    -5.93445e-05
     -3.6784e-05    -3.06565e-05
      -2.857e-06    -4.41726e-06
     -0.00110772       -0.001113
      -3.643e-06    -6.22008e-06
      -4.943e-06    -8.18731e-06
      -8.034e-06    -1.21339e-05
     -6.4664e-05    -7.16289e-05
      -4.408e-06    -7.31406e-06
    -0.000143212    -0.000149482
     -1.5271e-05    -1.91042e-05
    -0.000409037    -0.000417881
     -6.5984e-05    -6.89772e-05
     -6.2655e-05    -5.10928e-05
     -2.2455e-05    -2.97062e-05
    -0.000317587    -0.000333249
      -5.465e-06    -7.60764e-06
     -6.4322e-05    -7.40899e-05
      -7.921e-06     -1.1443e-05
    -0.000122396     -0.00012783
      -2.667e-05    -2.98262e-05
      -7.937e-06     -1.2507e-05
    -0.000128169    -0.000132603
     -0.00086342    -0.000779069
      -3.618e-06    -4.84142e-06
      -7.731e-06     -8.6768e-06
    -0.000327709    -0.000339501
     -9.2152e-05    -0.000109462
    -0.000382055    -0.000392176
     -2.0824e-05    -2.63576e-05
     -6.5207e-05    -7.61621e-05
     -2.1184e-05     -2.7736e-05
      -4.459e-06    -7.31708e-06
      -2.119e-06    -3.85744e-06
      -7.717e-05      -6.773e-05
    -0.000151779    -0.000171017
     -3.0381e-05    -3.97875e-05
     -5.3078e-05    -5.97949e-05
    -0.000302085    -0.000310525
    -0.000201845    -0.000215103
      -6.008e-06    -8.90694e-06
      -5.018e-06     -6.6951e-06
      -3.029e-05    -3.68212e-05
    -0.000253603    -0.000251965
       -4.93e-06    -6.85841e-06
     -3.7842e-05    -4.35463e-05
      -6.846e-06    -8.07467e-06
     -2.6563e-05     -3.4715e-05
    -0.000148558    -0.000152617
    -0.000130706    -0.000137042
     -2.5921e-05    -3.26882e-05
    -0.000118361     -0.00012002
      -3.788e-05    -3.08439e-05
    -0.000180355    -0.000181871
      -2.104e-06    -2.25075e-06
    -0.000411367     -0.00042203
     -0.00149016     -0.00160673
      -7.818e-06    -1.22661e-05
      -4.538e-06    -6.20177e-06
    -0.000387012    -0.000331254
      -1.393e-06    -2.41502e-06
      -3.359e-06    -5.69511e-06
      -5.832e-06    -9.41108e-06
     -1.7056e-05    -2.17028e-05
      -4.025e-06    -5.90037e-06
    -0.000923783     -0.00087684
    -0.000855992    -0.000836535
     -1.3559e-05    -1.63088e-05
     -6.3745e-05    -5.26755e-05
    -0.000172382    -0.000174575
     -3.6565e-05    -3.12966e-05
      -3.017e-06    -5.17778e-06
     -2.1117e-05    -2.97652e-05
      -1.011e-06    -1.17028e-06
      -9.801e-06    -1.01538e-05
     -2.7979e-05    -3.64274e-05
     -0.00018325     -0.00018382
     -6.0534e-05    -6.91299e-05
     -7.1316e-05    -8.11238e-05
      -1.719e-06    -1.95077e-06
     -1.1551e-05    -1.05853e-05
      -2.497e-06    -4.40709e-06
    -0.000622861    -0.000619078
    -0.000872265    -0.000879715
    -0.000371779    -0.000316966
     -1.3967e-05    -1.37033e-05
      -6.058e-06    -8.64669e-06
    -0.000197617    -0.000213875
     -0.00116705     -0.00116673
     -2.1621e-05    -2.59857e-05
    -0.000241613    -0.000238428
      -2.149e-06    -3.48408e-06
    -0.000495339     -0.00046693
      -2.723e-05    -3.28285e-05
    -0.000695375    -0.000660707
     -2.3608e-05    -2.84014e-05
      -6.555e-06    -9.40706e-06
      -3.519e-06    -5.36703e-06
     -0.00100342    -0.000928349
     -3.9126e-05    -3.99414e-05
    -0.000120421    -0.000128166
    -0.000154509    -0.000157976
    -0.000338603    -0.000340221
    -0.000519188    -0.000485292
    -0.000172333    -0.000183466
      -1.303e-06    -1.61989e-06
    -0.000105742    -0.000119026
    -0.000647978    -0.000554455
    -0.000372723    -0.000367775
      -0.0010405     -0.00104572
     -4.5424e-05    -5.90296e-05
    -0.000181625    -0.000174161
    -0.000139687    -0.000147762
      -0.0012726     -0.00133377
      -3.482e-06    -4.94211e-06
     -2.4317e-05    -3.40822e-05
    -0.000337872    -0.000322919
     -8.2247e-05    -9.23111e-05
      -8.679e-06      -1.287e-05
     -1.0777e-05    -1.05883e-05
    -0.000590761    -0.000585302
      -8.334e-06     -1.1079e-05
     -6.6672e-05    -7.79612e-05
     -2.9005e-05     -2.3712e-05
    -0.000232316    -0.000216668
     -3.9442e-05    -5.01403e-05
     -3.2079e-05    -3.80878e-05
     -1.1063e-05    -1.15807e-05
    -0.000750317       -0.000702
      -2.839e-06    -4.40232e-06
     -7.6674e-05    -6.19477e-05
     -3.7723e-05    -4.60129e-05
     -1.9772e-05    -2.51906e-05
      -5.731e-06    -6.52094e-06
     -0.00023999    -0.000245175
      -8.364e-06    -1.24795e-05
      -3.089e-06    -5.05404e-06
      -1.765e-06    -2.67951e-06
     -6.3611e-05    -7.52522e-05
      -8.218e-06    -1.20289e-05
    -0.000558472    -0.000551194
      -8.955e-06    -9.69228e-06
      -3.698e-06    -5.29261e-06
    -0.000677586    -0.000637755
    -0.000225021    -0.000240912
    -0.000226528    -0.000246101
      -9.187e-06     -1.0248e-05
     -7.0006e-05     -8.4551e-05
    -0.000166272    -0.000185796
      -2.184e-06     -3.8174e-06
     -2.6197e-05    -3.30165e-05
     -1.6954e-05    -2.16156e-05
    -0.000460635    -0.000415538
     -1.8385e-05    -1.60799e-05
    -0.000832387    -0.000727573
     -1.9549e-05    -1.78134e-05
    -0.000103557    -0.000115785
    -0.000555047    -0.000470314
    -0.000118575    -0.000136991
      -3.175e-06    -4.91632e-06
      -2.611e-06    -3.89924e-06
      -3.903e-06    -5.55666e-06
     -2.2389e-05    -2.69235e-05
    -0.000155318    -0.000157015
      -7.851e-06    -1.09867e-05
      -2.216e-06    -3.80103e-06
      -2.814e-06    -4.45551e-06
     -2.9362e-05    -3.74176e-05
    -0.000655658    -0.000608218
    -0.000753738    -0.000715251
      -4.243e-06    -6.47724e-06
     -0.00101879     -0.00102994
    -0.000763549    -0.000673101
      -5.372e-06    -8.13375e-06
    -0.000226574    -0.000245475
      -1.165e-06    -1.27271e-06
      -4.228e-06    -4.28507e-06
     -0.00049408    -0.000418867
     -3.2867e-05    -3.96643e-05
    -0.000573422     -0.00057683
    -0.000106312    -0.000109084
     -8.5912e-05    -9.05218e-05
      -0.0001254    -0.000110883
      -2.262e-06    -3.74344e-06
     -1.2348e-05     -1.0669e-05
    -0.000543766    -0.000504691
      -9.489e-06    -1.22295e-05
     -5.4676e-05    -6.57922e-05
     -0.00052498    -0.000491349
    -0.000635004    -0.000596425
      -5.102e-06    -7.43867e-06
      -1.105e-06    -2.06706e-06
     -8.0071e-05    -8.67816e-05
    -0.000126869     -0.00014506
     -7.9695e-05     -9.4744e-05
      -4.667e-06    -6.34915e-06
    -0.000418342    -0.000347211
      -2.826e-06    -5.02039e-06
      -5.833e-06    -6.64458e-06
    -0.000116682     -0.00012187
    -0.000250731    -0.000258624
     -6.1948e-05    -7.75203e-05
      -2.663e-06    -4.47137e-06
    -0.000311172    -0.000325787
     -1.7775e-05    -2.54314e-05
    -0.000842163    -0.000787321
      -8.366e-06    -9.14679e-06
    -0.000982088    -0.000983969
      -2.029e-06     -3.6393e-06
    -0.000603868    -0.000558405
     -9.0133e-05    -9.15769e-05
     -1.0844e-05    -9.04151e-06
      -7.424e-05    -8.50658e-05
     -1.0191e-05    -1.56027e-05
    -0.000209151    -0.000199186
    -0.000954464    -0.000897397
    -0.000995742    -0.000999296
    -0.000211346    -0.000212329
     -0.00064768    -0.000607528
      -9.566e-06    -1.46597e-05
      -7.859e-06    -1.22882e-05
      -3.236e-06    -5.53453e-06
    -0.000198343    -0.000207039
     -1.8088e-05    -2.60062e-05
     -1.6223e-05    -2.08899e-05
     -2.4634e-05    -3.07095e-05
     -7.5846e-05    -8.29991e-05
    -0.000203536    -0.000203184
      -4.111e-06    -4.35447e-06
    -0.000743578    -0.000679511
    -0.000578477    -0.000599337
    -0.000384373    -0.000394182
     -9.5628e-05     -0.00010985
     -1.6235e-05     -2.1158e-05
    -0.000148586    -0.000159602
    -0.000866939    -0.000832024
    -0.000272953    -0.000287771
      -4.435e-06    -6.36409e-06
      -8.676e-06    -1.31879e-05
      -4.296e-06    -3.98261e-06
       -4.39e-06    -6.41445e-06
       -7.67e-06     -9.8575e-06
     -1.6156e-05    -2.00459e-05
    -0.000114644    -0.000121825
    -0.000581893    -0.000534206
     -0.00079558    -0.000722426
     -4.6553e-05    -5.42147e-05
     -6.2885e-05    -5.55682e-05
    -0.000113569    -0.000118275
     -3.0944e-05    -3.08294e-05
     -2.9726e-05    -3.64508e-05
     -7.2675e-05    -7.72108e-05
    -0.000358878    -0.000342585
    -0.000133819    -0.000123908
     -2.6043e-05    -3.12288e-05
     -0.00106683     -0.00109671
     -2.4693e-05    -2.07053e-05
     -7.0549e-05    -8.71454e-05
     -0.00117945     -0.00118625
        -1.6e-06    -1.66475e-06
    -0.000437869    -0.000439219
      -1.385e-06    -2.42809e-06
      -4.932e-06    -4.91147e-06
     -9.7764e-05    -0.000117786
      -8.957e-06    -8.52435e-06
    -0.000666169    -0.000658883
    -0.000574933    -0.000575998
      -4.838e-06    -8.01039e-06
     -2.7609e-05    -3.38915e-05
