QM Energy	FF Energy
     -0.00211067     -0.00205672
      -0.0117319      -0.0119068
    -0.000655176    -0.000664782
     -0.00480455     -0.00490259
     -0.00174462     -0.00174185
    -0.000890079     -0.00087648
     -0.00133455     -0.00131589
     -0.00251664     -0.00251051
    -0.000898963    -0.000883763
     -0.00112043     -0.00111911
    -0.000463167    -0.000466522
     -0.00120371     -0.00122867
     -0.00178852     -0.00178143
    -0.000592135    -0.000592204
     -0.00651275     -0.00651498
    -0.000531587    -0.000527463
    -0.000774816    -0.000771107
     -0.00508556      -0.0052068
    -0.000495517    -0.000496048
     -0.00722706       -0.007246
     -0.00290999     -0.00298727
     -0.00140682     -0.00141886
     -0.00138274     -0.00133654
    -0.000592472    -0.000600383
     -0.00735018     -0.00766808
    -0.000414028    -0.000411323
    -0.000477929    -0.000476451
    -0.000743659    -0.000746771
     -0.00150735     -0.00146646
    -0.000402187    -0.000395429
      -0.0021071     -0.00210378
    -0.000692993    -0.000662872
      -0.0029311     -0.00305974
     -0.00200036     -0.00196755
     -0.00181934     -0.00175768
     -0.00109602     -0.00110236
     -0.00251584      -0.0026222
     -0.00047229    -0.000456315
     -0.00160048     -0.00160589
    -0.000836058    -0.000841357
     -0.00275407     -0.00275782
     -0.00141011     -0.00139243
    -0.000514551    -0.000509956
     -0.00178777     -0.00177271
     -0.00576894     -0.00586349
    -0.000456681    -0.000432849
    -0.000875964    -0.000874629
     -0.00308122     -0.00317895
     -0.00152158       -0.001562
     -0.00293152     -0.00305154
    -0.000975782    -0.000972375
     -0.00161807     -0.00166661
      -0.0010675     -0.00107824
    -0.000520333    -0.000521504
    -0.000337266    -0.000334133
     -0.00183062     -0.00180981
     -0.00190024     -0.00195429
     -0.00133623      -0.0013623
     -0.00126347     -0.00124995
     -0.00344122     -0.00354902
      -0.0028944     -0.00297987
    -0.000566562    -0.000560362
    -0.000588389    -0.000567292
      -0.0010916      -0.0010992
     -0.00317592     -0.00319987
    -0.000557709    -0.000544722
     -0.00119884     -0.00115716
    -0.000734818    -0.000725354
     -0.00121194     -0.00121026
     -0.00198618      -0.0020027
     -0.00259848     -0.00263129
     -0.00117657      -0.0011673
     -0.00204331     -0.00207428
     -0.00141468     -0.00136457
     -0.00269925     -0.00274721
    -0.000471185    -0.000467328
     -0.00280603     -0.00293671
      -0.0104495      -0.0106806
    -0.000533893    -0.000528953
    -0.000429505    -0.000408805
     -0.00445847     -0.00436477
    -0.000384357    -0.000391767
    -0.000358692    -0.000351122
     -0.00044269    -0.000435255
     -0.00076722    -0.000748239
     -0.00044565    -0.000434426
     -0.00718608     -0.00729086
     -0.00694796      -0.0069072
    -0.000951952    -0.000941747
      -0.0018764     -0.00181797
     -0.00202861     -0.00203596
     -0.00128981     -0.00127266
    -0.000437084    -0.000437756
    -0.000887341    -0.000894037
    -0.000394329    -0.000396319
    -0.000878146    -0.000860759
     -0.00146898     -0.00149187
     -0.00273679     -0.00277017
     -0.00171884     -0.00174279
     -0.00189043     -0.00188762
    -0.000458609    -0.000455968
    -0.000942794    -0.000923121
    -0.000363613     -0.00036133
     -0.00469456     -0.00479416
     -0.00553731     -0.00569905
     -0.00413316     -0.00405005
    -0.000932047    -0.000914383
    -0.000548549    -0.000540407
     -0.00249207     -0.00255074
      -0.0075553     -0.00751538
    -0.000951193    -0.000909926
     -0.00262544     -0.00265527
    -0.000380525    -0.000378499
