QM Energy	FF Energy
    -0.000547552     -0.00054216
    -0.000589807    -0.000609711
    -0.000590218    -0.000684658
    -0.000438569    -0.000427392
     0.000129552     0.000191442
    -0.000342511    -0.000332193
    -0.000189564    -0.000240767
    -0.000522685    -0.000554349
    -0.000468696    -0.000543012
      0.00329508      0.00363379
    -0.000701379    -0.000810244
     0.000373881     0.000507587
     -0.00048965    -0.000482769
    -0.000643474    -0.000639153
      0.00344702      0.00404716
     0.000972636      0.00104737
    -0.000474889    -0.000475136
    -0.000557226    -0.000632665
    -0.000658969    -0.000726659
      0.00307993      0.00244865
      0.00171153      0.00121964
    -0.000643985    -0.000683312
    -0.000348104    -0.000334616
     -0.00055311    -0.000564541
    -0.000659247    -0.000683885
    -0.000558053    -0.000567524
    -0.000281219    -0.000279794
    -0.000670855    -0.000701619
    -0.000293147    -0.000257773
    -0.000599228    -0.000583791
    -0.000550833    -0.000541583
    -0.000483408    -0.000497447
      -0.0005592     -0.00055179
      0.00165576      0.00141299
     0.000205553    -0.000108083
    -0.000422104     -0.00047332
    -0.000410586    -0.000397904
    -0.000571186    -0.000624133
    -0.000367759    -0.000358028
    -0.000644321    -0.000733415
    -0.000468672    -0.000606707
    -0.000442789    -0.000446579
     0.000148813       4.486e-05
    -0.000327308    -0.000344342
     -0.00042235    -0.000408524
      0.00175216      0.00217567
    -0.000555051    -0.000549403
    -0.000623707    -0.000631959
    -0.000494836    -0.000479617
    -0.000568265    -0.000600183
    -0.000390858    -0.000387681
    -0.000683852    -0.000790156
    -0.000437721    -0.000431237
    -0.000384752    -0.000372757
    -0.000469486    -0.000464122
     -0.00017326    -9.65063e-05
    -0.000126947    -0.000233042
    -0.000455966    -0.000449921
    -0.000549244    -0.000554455
    -0.000730296    -0.000742682
    -0.000633023    -0.000650841
    -0.000638585    -0.000669233
    -0.000587313    -0.000602504
      0.00404724      0.00354491
      0.00205702      0.00189745
    -0.000338509    -0.000338524
    -0.000393044    -0.000386388
    -0.000404052    -0.000418161
    -0.000620214    -0.000578517
    -0.000355928    -0.000344065
    -0.000359354    -0.000511868
    -0.000123972    -0.000199226
    -0.000695779    -0.000718353
      0.00432719      0.00492774
     -7.6372e-05    -0.000211455
    -0.000686347    -0.000683423
          0.0036      0.00313343
    -0.000577716    -0.000606878
     -0.00048118    -0.000469767
    -0.000505025     -0.00050742
    -0.000402757    -0.000404357
    -0.000833712    -0.000829503
       0.0121379       0.0136535
      0.00142757      0.00160496
    -0.000354239    -0.000346522
      0.00265571      0.00243968
    -0.000352223    -0.000363318
    -0.000666513    -0.000708491
    -0.000798579    -0.000816222
      0.00209333      0.00244022
      0.00383037      0.00451925
    -0.000825408     -0.00078001
      0.00355608      0.00368214
    -0.000613936    -0.000667277
    -0.000564758    -0.000595078
    -0.000273591    -0.000259857
      0.00719334      0.00801325
    -0.000414681    -0.000401933
    -0.000684335    -0.000697767
    -0.000338244    -0.000325617
      0.00122393     0.000841985
