QM Energy	FF Energy
     -1.1198e-05    -1.36314e-05
     -3.5025e-05    -4.00202e-05
     -7.2674e-05    -7.56986e-05
       -3.73e-06    -4.76796e-06
    -0.000242979    -0.000245482
    -0.000168032    -0.000174487
    -0.000162035    -0.000166243
     -5.0672e-05    -5.71074e-05
    -0.000130888    -0.000123367
    -0.000808119    -0.000787885
     -9.0084e-05    -9.31533e-05
    -0.000390418    -0.000383706
      -9.014e-06    -1.13366e-05
     -1.4359e-05    -1.60693e-05
    -0.000897553    -0.000872525
    -0.000406129    -0.000398352
      -6.376e-06    -8.38075e-06
    -0.000108048    -0.000112519
      -4.576e-05    -5.08433e-05
    -0.000586402     -0.00056829
    -0.000434642    -0.000419613
     -0.00015836    -0.000162243
    -0.000130534    -0.000138482
      -9.307e-06    -1.18527e-05
     -5.2442e-05    -5.53569e-05
      -5.061e-06    -7.27898e-06
      -2.099e-06    -2.97705e-06
     -2.0969e-05    -2.48508e-05
    -0.000137447    -0.000144535
      -9.678e-06    -1.10769e-05
      -9.551e-06    -1.15121e-05
      -6.338e-06    -8.24258e-06
     -4.9228e-05    -5.59748e-05
     -0.00044992    -0.000407899
     -0.00023368    -0.000228238
    -0.000109114    -0.000112782
      -7.069e-06    -9.16197e-06
     -4.6849e-05    -5.23904e-05
      -4.998e-06    -6.72376e-06
     -6.7526e-05    -7.28792e-05
    -0.000139778    -0.000140565
      -4.359e-06    -5.90279e-06
    -0.000237541    -0.000236949
    -0.000196681    -0.000198836
    -0.000133881    -0.000141853
    -0.000631906     -0.00060996
     -1.4954e-05    -1.78317e-05
      -6.635e-05     -7.3411e-05
     -8.4092e-05    -9.16997e-05
     -9.3989e-05    -0.000100272
      -3.345e-06    -4.62565e-06
    -0.000111028    -0.000112748
     -1.4907e-05    -1.85913e-05
      -4.537e-06    -5.96033e-06
     -1.1301e-05    -1.44777e-05
    -0.000223788    -0.000227309
    -0.000167873    -0.000171547
     -1.9161e-05     -2.3495e-05
     -1.9709e-05    -2.38306e-05
     -5.5336e-05    -6.33076e-05
     -3.7091e-05    -4.26031e-05
      -5.394e-05    -5.74739e-05
      -9.957e-06    -1.25959e-05
    -0.000685873    -0.000648243
    -0.000564197    -0.000537354
      -2.627e-06     -3.7003e-06
      -3.304e-06     -4.5361e-06
     -0.00010568      -0.0001124
    -0.000190865    -0.000198213
      -4.717e-06    -6.36059e-06
    -0.000126636    -0.000126899
    -0.000201277    -0.000182457
     -3.7265e-05    -4.03612e-05
    -0.000997905    -0.000979868
    -0.000194271    -0.000195558
     -2.5668e-05    -3.13877e-05
    -0.000638359    -0.000592836
     -6.0264e-05    -6.49375e-05
      -6.501e-06    -8.09707e-06
      -4.928e-05    -5.62868e-05
      -5.965e-06    -8.06991e-06
     -5.9294e-05    -6.82744e-05
     -0.00152213     -0.00167221
    -0.000499216    -0.000487074
      -6.004e-06    -7.97499e-06
    -0.000561485    -0.000481696
     -0.00013134    -0.000138626
     -1.9825e-05    -2.35525e-05
    -0.000144921    -0.000146603
    -0.000641886    -0.000623191
    -0.000961359    -0.000938335
    -0.000143789    -0.000153495
     -0.00082334    -0.000797545
