QM Energy	FF Energy
    -0.000744964    -0.000721512
     -0.00110709     -0.00108143
      -0.0016915     -0.00167794
    -0.000511221    -0.000496709
     -0.00228584     -0.00232449
     -0.00210331     -0.00218039
     -0.00204388     -0.00204664
      -0.0011742     -0.00118013
     -0.00237063     -0.00232711
      -0.0042459       -0.004404
     -0.00205147     -0.00204398
     -0.00452539      -0.0046466
    -0.000646283    -0.000625482
    -0.000894931    -0.000879043
      -0.0050131     -0.00514232
     -0.00302977      -0.0030827
    -0.000599064    -0.000582043
     -0.00194437     -0.00195175
     -0.00140602     -0.00137471
     -0.00511432     -0.00511693
     -0.00416438     -0.00416093
     -0.00268033     -0.00274338
     -0.00170507     -0.00175992
    -0.000720245    -0.000710984
     -0.00143823     -0.00140493
    -0.000645407    -0.000654088
    -0.000316775    -0.000313644
      -0.0010328     -0.00101778
     -0.00172961     -0.00174589
    -0.000774059    -0.000751756
    -0.000722756    -0.000700531
    -0.000608096    -0.000603161
     -0.00114283     -0.00114479
     -0.00424155     -0.00421543
     -0.00307941     -0.00306742
     -0.00179944      -0.0017792
    -0.000524633    -0.000506637
      -0.0012461     -0.00124011
    -0.000449547    -0.000436148
     -0.00159287     -0.00161113
     -0.00238341     -0.00238521
    -0.000528807    -0.000520032
     -0.00256056      -0.0025763
     -0.00255336     -0.00260076
     -0.00182401     -0.00188919
     -0.00549974     -0.00566493
    -0.000798258     -0.00077421
     -0.00141667     -0.00142952
     -0.00142653     -0.00143742
     -0.00169725     -0.00171099
    -0.000459101     -0.00044665
     -0.00229722     -0.00229873
    -0.000642169    -0.000635065
    -0.000463574    -0.000447837
      -0.0006265    -0.000621714
     -0.00241939     -0.00248521
     -0.00208573     -0.00212045
    -0.000708862    -0.000704106
    -0.000832552    -0.000822373
     -0.00141233     -0.00144672
     -0.00113194     -0.00112982
     -0.00143274     -0.00140023
    -0.000771785    -0.000762607
     -0.00559007     -0.00555695
     -0.00451627     -0.00456901
    -0.000384687    -0.000380781
    -0.000461112    -0.000446526
     -0.00161839     -0.00161781
     -0.00296629      -0.0030332
    -0.000433059    -0.000418577
     -0.00213878     -0.00213648
     -0.00286242     -0.00282361
     -0.00130678     -0.00127073
     -0.00594767      -0.0061456
      -0.0023476     -0.00240323
     -0.00101702     -0.00102977
     -0.00542719     -0.00539227
     -0.00140642     -0.00137936
    -0.000597589    -0.000579325
     -0.00108592     -0.00109929
     -0.00048922    -0.000491848
     -0.00157063     -0.00161139
      -0.0108804      -0.0110093
     -0.00330273     -0.00337269
     -0.00044462    -0.000436567
     -0.00503601     -0.00505769
      -0.0017588     -0.00181114
     -0.00100835     -0.00101007
     -0.00286466     -0.00289437
     -0.00376691     -0.00386787
     -0.00546075     -0.00559084
     -0.00262044     -0.00268804
     -0.00503278     -0.00519956
     -0.00114844     -0.00113788
    -0.000948542    -0.000942745
     -0.00173778     -0.00179046
       -0.008956     -0.00905462
    -0.000547269    -0.000536752
    -0.000876057    -0.000879562
    -0.000397592    -0.000383166
     -0.00359933     -0.00364543
    -0.000970387    -0.000983813
      -0.0035827     -0.00359814
     -0.00115436     -0.00116983
     -0.00499157     -0.00501732
     -0.00115358     -0.00117055
     -0.00528209     -0.00541927
    -0.000322938    -0.000319175
     -0.00350006     -0.00358046
     -0.00495452     -0.00495503
      -0.0018512     -0.00191484
     -0.00254795      -0.0025195
     -0.00074785    -0.000729403
     -0.00125042     -0.00121586
     -0.00633891     -0.00648385
      -0.0059024      -0.0059975
     -0.00567989     -0.00588634
     -0.00847756     -0.00863338
     -0.00105557     -0.00106608
     -0.00605849     -0.00602392
    -0.000407615    -0.000405243
    -0.000382312    -0.000372021
     -0.00119814     -0.00116394
     -0.00150769     -0.00152398
     -0.00136212     -0.00135715
     -0.00278466      -0.0027425
    -0.000382483    -0.000372896
     -0.00305338     -0.00310798
     -0.00208778     -0.00210417
    -0.000514381    -0.000522748
     -0.00098244    -0.000996543
      -0.0017657     -0.00178988
     -0.00566558     -0.00576971
    -0.000460579    -0.000459389
     -0.00128624     -0.00130726
     -0.00456682     -0.00462119
     -0.00037801    -0.000368778
     -0.00247749     -0.00255551
      -0.0048464     -0.00496928
    -0.000801155     -0.00078671
     -0.00157882     -0.00158897
     -0.00225738     -0.00230865
     -0.00138468     -0.00140632
     -0.00156486     -0.00159638
    -0.000936438    -0.000944053
     -0.00366764     -0.00383908
    -0.000455316    -0.000462873
       -0.001291     -0.00131147
    -0.000558005    -0.000541343
      -0.0009627    -0.000979809
     -0.00195362     -0.00198485
     -0.00374245     -0.00382425
     -0.00635048     -0.00652052
    -0.000643019    -0.000622772
     -0.00901259     -0.00909373
     -0.00144797     -0.00148525
     -0.00113028     -0.00110709
     -0.00478306     -0.00490877
     -0.00271654     -0.00271135
    -0.000353437    -0.000343912
     -0.00172209      -0.0017359
    -0.000866644    -0.000878449
     -0.00538471     -0.00536691
     -0.00994748      -0.0100521
     -0.00168095     -0.00165119
      -0.0037233     -0.00379178
     -0.00889862     -0.00891091
    -0.000769581    -0.000774682
      -0.0069176     -0.00697747
     -0.00118416      -0.0011526
    -0.000589328    -0.000577951
     -0.00176531       -0.001777
     -0.00464523     -0.00484711
     -0.00853661     -0.00840812
    -0.000679466     -0.00065886
    -0.000501943    -0.000504153
     -0.00112258     -0.00113622
    -0.000584994    -0.000565878
    -0.000797814    -0.000772991
    -0.000412986    -0.000405102
    -0.000565368    -0.000557492
    -0.000599785    -0.000607588
     -0.00214589     -0.00212731
      -0.0111293      -0.0112485
    -0.000844132    -0.000838625
     -0.00291814     -0.00298656
     -0.00324718      -0.0032632
     -0.00614613     -0.00615034
    -0.000793194    -0.000782953
     -0.00678541     -0.00694331
    -0.000319622    -0.000309967
     -0.00903189      -0.0091999
      -0.0052401     -0.00519788
    -0.000523736    -0.000505618
    -0.000546533    -0.000536386
    -0.000438029    -0.000430825
     -0.00711115     -0.00712948
     -0.00039412    -0.000395986
    -0.000470863    -0.000478217
     -0.00205058     -0.00202276
     -0.00751607     -0.00763867
     -0.00294119     -0.00301616
     -0.00041803    -0.000409941
     -0.00284224     -0.00290552
    -0.000843426    -0.000817712
    -0.000777737    -0.000764636
    -0.000609992    -0.000607812
     -0.00447019     -0.00456622
     -0.00119849     -0.00121621
    -0.000454801    -0.000447333
     -0.00164913     -0.00164659
    -0.000687168    -0.000681566
    -0.000581567    -0.000574303
    -0.000496858    -0.000490607
     -0.00338965     -0.00347382
     -0.00315488     -0.00313426
    -0.000913084    -0.000886384
     -0.00365028     -0.00378333
     -0.00189059     -0.00191872
    -0.000605629    -0.000602324
     -0.00113395     -0.00112236
      -0.0100522     -0.00997098
     -0.00688008     -0.00680628
     -0.00139439     -0.00140808
     -0.00199034     -0.00199684
    -0.000753448    -0.000764362
     -0.00772108     -0.00774372
     -0.00150595     -0.00149153
     -0.00644193     -0.00641902
     -0.00215999     -0.00219101
     -0.00128723     -0.00125296
    -0.000758248    -0.000757322
      -0.0007724    -0.000753657
     -0.00592986     -0.00598555
     -0.00500986     -0.00502156
    -0.000702725    -0.000688969
     -0.00045527    -0.000445522
     -0.00260091     -0.00268815
     -0.00057165    -0.000560459
     -0.00259004     -0.00261867
     -0.00567598     -0.00574137
    -0.000417394    -0.000412219
     -0.00242599     -0.00248269
     -0.00248992     -0.00249762
     -0.00372968     -0.00383257
    -0.000786095    -0.000762688
     -0.00398724     -0.00408751
     -0.00669373     -0.00674233
     -0.00125053      -0.0012697
     -0.00052197    -0.000527835
    -0.000328296    -0.000318867
     -0.00324079     -0.00326075
     -0.00146014     -0.00143579
     -0.00111232     -0.00110698
    -0.000654993    -0.000662343
    -0.000637417    -0.000646928
     -0.00479748     -0.00490095
     -0.00251078     -0.00256572
    -0.000528742    -0.000536775
    -0.000494321    -0.000485321
    -0.000520807    -0.000504355
     -0.00535676     -0.00556116
      -0.0034176     -0.00339261
     -0.00356319     -0.00362276
     -0.00126934     -0.00128953
     -0.00200961     -0.00202245
     -0.00181249     -0.00180245
     -0.00292091     -0.00303387
    -0.000354763    -0.000347454
      -0.0015336     -0.00152342
    -0.000537017    -0.000541432
     -0.00110545     -0.00109556
    -0.000380157    -0.000372752
      -0.0013531     -0.00137162
     -0.00458391     -0.00470744
     -0.00142653     -0.00145168
    -0.000418469    -0.000412346
    -0.000372334    -0.000372422
     -0.00310537     -0.00318586
    -0.000745392    -0.000724678
     -0.00121843      -0.0012284
     -0.00143875     -0.00146393
    -0.000976131    -0.000996515
     -0.00253837     -0.00259869
     -0.00424075     -0.00435428
     -0.00260771     -0.00261757
    -0.000601335    -0.000609761
     -0.00608306     -0.00625257
    -0.000479877    -0.000475148
    -0.000788631    -0.000800553
    -0.000474599    -0.000458865
     -0.00286893     -0.00289422
     -0.00418864     -0.00429389
    -0.000673733    -0.000659295
     -0.00118467     -0.00118713
     -0.00106561     -0.00103533
     -0.00133988     -0.00136825
     -0.00251132     -0.00258747
    -0.000798059     -0.00078478
     -0.00537755     -0.00537586
     -0.00129747     -0.00129527
     -0.00475774     -0.00489819
     -0.00151174     -0.00154948
     -0.00703035     -0.00695728
     -0.00108461     -0.00107484
    -0.000450397    -0.000444567
     -0.00170078     -0.00173093
     -0.00656073     -0.00650456
    -0.000452729    -0.000444501
     -0.00107313     -0.00105913
     -0.00496031     -0.00516148
     -0.00298295     -0.00304662
      -0.0052476     -0.00528169
     -0.00123011     -0.00120551
    -0.000919932    -0.000915055
     -0.00193667     -0.00191519
    -0.000805204     -0.00081629
    -0.000606117    -0.000595287
     -0.00254787      -0.0025826
     -0.00296329     -0.00302577
    -0.000695285    -0.000682155
    -0.000351566    -0.000342575
     -0.00118397      -0.0011951
     -0.00166105     -0.00168042
     -0.00399823     -0.00412786
     -0.00214164     -0.00217347
     -0.00550872     -0.00566803
     -0.00456448     -0.00460497
     -0.00712536     -0.00712073
     -0.00296196     -0.00303008
     -0.00633878      -0.0064942
     -0.00168256     -0.00168308
    -0.000429214    -0.000434873
     -0.00574163     -0.00577762
    -0.000994215    -0.000982354
     -0.00497291     -0.00498543
     -0.00168568     -0.00165493
     -0.00390722     -0.00403901
    -0.000565084    -0.000563081
    -0.000716125    -0.000712288
     -0.00119155     -0.00115901
     -0.00506661     -0.00520189
    -0.000394737    -0.000387075
     -0.00475545     -0.00494485
    -0.000747968    -0.000757464
     -0.00522805     -0.00521239
    -0.000620213    -0.000616996
      -0.0016649     -0.00162321
     -0.00132133     -0.00134021
     -0.00159816     -0.00156202
     -0.00689579     -0.00704577
     -0.00120976     -0.00120591
     -0.00178731     -0.00181846
     -0.00127951     -0.00129514
     -0.00127103     -0.00124506
     -0.00591288     -0.00605425
    -0.000430181    -0.000423807
     -0.00314349     -0.00320928
    -0.000626582    -0.000615015
     -0.00110725      -0.0010966
    -0.000328644    -0.000324055
     -0.00460906     -0.00465524
     -0.00238214      -0.0024106
     -0.00164222     -0.00165545
    -0.000690947    -0.000684766
     -0.00144808     -0.00143427
     -0.00231239     -0.00232641
     -0.00528673     -0.00541972
     -0.00300756     -0.00312262
    -0.000884392    -0.000894377
    -0.000778142    -0.000780674
     -0.00634353     -0.00649922
     -0.00407254     -0.00420304
     -0.00503556     -0.00520481
     -0.00159917     -0.00156306
    -0.000708384    -0.000698685
     -0.00160432     -0.00160253
     -0.00484274     -0.00484475
     -0.00304211     -0.00308339
    -0.000406074    -0.000396905
    -0.000572241    -0.000567952
    -0.000583551    -0.000587124
    -0.000548606    -0.000530617
    -0.000751156    -0.000744663
      -0.0032403     -0.00324943
     -0.00129399     -0.00129411
     -0.00176924     -0.00173544
     -0.00251991     -0.00260492
    -0.000635209    -0.000624017
     -0.00410498     -0.00418874
    -0.000772499    -0.000759974
     -0.00130391     -0.00128584
     -0.00513556     -0.00510361
     -0.00219943     -0.00219895
     -0.00115992     -0.00118276
     -0.00252368     -0.00258485
     -0.00128555     -0.00130243
     -0.00138399     -0.00135926
     -0.00130195     -0.00129076
     -0.00265871     -0.00265783
      -0.0030283     -0.00309252
    -0.000986631     -0.00100659
     -0.00390487      -0.0039053
