QM Energy	FF Energy
      -2.474e-06    -6.60387e-06
      -7.961e-06    -1.71699e-05
     -1.1732e-05    -3.52449e-05
      -1.169e-06     -2.8674e-06
      -8.819e-05    -0.000100871
     -5.6536e-05    -7.25021e-05
     -4.7342e-05    -6.91101e-05
     -1.4385e-05     -2.3638e-05
     -2.0305e-05    -6.21722e-05
      -0.0004047    -0.000325356
     -1.4844e-05    -4.24937e-05
    -0.000110037    -0.000176046
      -2.207e-06    -5.20125e-06
      -3.011e-06    -9.13565e-06
    -0.000462517    -0.000365639
    -0.000155092    -0.000164336
      -1.377e-06    -3.75491e-06
     -2.5446e-05    -4.81548e-05
       -7.17e-06    -2.26524e-05
    -0.000181897    -0.000261222
    -0.000112548    -0.000189022
     -3.7758e-05    -7.22802e-05
     -4.6422e-05    -5.71401e-05
      -1.944e-06    -5.19911e-06
      -9.856e-06    -2.61323e-05
      -1.407e-06    -3.22054e-06
        -8.1e-07     -1.3016e-06
      -3.674e-06    -1.10407e-05
      -4.816e-05    -5.93945e-05
      -2.314e-06    -6.61474e-06
      -2.195e-06    -6.01826e-06
      -1.281e-06    -3.70625e-06
     -1.6334e-05    -2.31229e-05
    -0.000114385    -0.000196117
     -4.3697e-05    -0.000102983
     -2.6517e-05    -4.86368e-05
      -2.116e-06    -3.95611e-06
     -1.0402e-05    -2.24435e-05
      -1.635e-06    -2.84802e-06
     -1.4173e-05    -3.15321e-05
     -2.7425e-05      -6.259e-05
       -9.72e-07    -2.61573e-06
     -6.9123e-05    -9.93494e-05
     -5.6555e-05    -8.42582e-05
     -4.6556e-05    -5.88246e-05
    -0.000239277    -0.000278367
      -3.481e-06    -8.29683e-06
     -1.9786e-05    -3.04652e-05
     -2.8439e-05    -3.78003e-05
     -2.5908e-05    -4.18768e-05
       -8.33e-07    -2.08565e-06
     -1.9493e-05    -5.18046e-05
      -5.286e-06    -7.75799e-06
      -1.356e-06    -2.78758e-06
      -4.015e-06     -6.0837e-06
     -7.8967e-05    -9.45679e-05
     -4.6878e-05    -7.16724e-05
      -6.826e-06    -9.77952e-06
      -5.463e-06    -9.92447e-06
      -1.669e-05    -2.65508e-05
      -9.859e-06    -1.78052e-05
     -1.0417e-05    -2.65025e-05
      -1.893e-06    -5.63161e-06
    -0.000234811    -0.000312254
     -0.00019686    -0.000235354
       -8.26e-07    -1.59348e-06
       -8.58e-07    -2.17578e-06
     -3.2273e-05    -4.63388e-05
     -5.1276e-05    -8.70059e-05
      -1.578e-06    -2.71053e-06
     -2.2639e-05    -5.79377e-05
     -3.6339e-05    -9.15337e-05
      -6.118e-06    -1.97356e-05
    -0.000525379     -0.00042105
     -5.2841e-05    -8.23252e-05
      -8.509e-06    -1.32899e-05
    -0.000198843    -0.000290109
     -1.3565e-05    -2.84489e-05
      -1.735e-06    -4.24242e-06
     -1.7014e-05    -2.32341e-05
      -2.343e-06    -3.46713e-06
     -1.8445e-05    -2.93007e-05
     -0.00111537    -0.000811527
    -0.000207561    -0.000200592
      -2.306e-06    -3.39777e-06
    -0.000146982    -0.000250866
     -4.4071e-05      -5.716e-05
      -3.571e-06     -1.0557e-05
     -2.9587e-05    -6.97746e-05
    -0.000295321    -0.000256999
     -0.00050964     -0.00039678
     -4.0488e-05    -6.81995e-05
    -0.000384646    -0.000339137
      -6.051e-06    -1.67054e-05
      -5.817e-06    -1.25849e-05
     -5.0531e-05    -6.14399e-05
    -0.000559231    -0.000548034
      -3.737e-06    -5.24658e-06
      -2.474e-06    -6.46677e-06
      -1.113e-06    -2.10154e-06
     -9.6015e-05    -0.000161105
