QM Energy	FF Energy
      -2.474e-06    -6.96283e-06
      -7.961e-06    -1.77924e-05
     -1.1732e-05     -3.7349e-05
      -1.169e-06    -3.04683e-06
      -8.819e-05    -0.000101708
     -5.6536e-05    -7.37489e-05
     -4.7342e-05    -7.05278e-05
     -1.4385e-05    -2.41368e-05
     -2.0305e-05    -6.70297e-05
      -0.0004047    -0.000327707
     -1.4844e-05    -4.53522e-05
    -0.000110037    -0.000188225
      -2.207e-06    -5.43108e-06
      -3.011e-06    -9.83682e-06
    -0.000462517    -0.000370946
    -0.000155092    -0.000166116
      -1.377e-06    -3.94772e-06
     -2.5446e-05    -5.00695e-05
       -7.17e-06    -2.39159e-05
    -0.000181897    -0.000277831
    -0.000112548    -0.000199601
     -3.7758e-05    -7.65251e-05
     -4.6422e-05    -5.76776e-05
      -1.944e-06    -5.47959e-06
      -9.856e-06    -2.76206e-05
      -1.407e-06    -3.41811e-06
        -8.1e-07    -1.33036e-06
      -3.674e-06    -1.16912e-05
      -4.816e-05    -5.99068e-05
      -2.314e-06    -7.12029e-06
      -2.195e-06     -6.3907e-06
      -1.281e-06     -3.9134e-06
     -1.6334e-05    -2.34628e-05
    -0.000114385    -0.000209635
     -4.3697e-05    -0.000109128
     -2.6517e-05    -5.02658e-05
      -2.116e-06    -4.06849e-06
     -1.0402e-05    -2.32621e-05
      -1.635e-06    -2.91775e-06
     -1.4173e-05    -3.29768e-05
     -2.7425e-05    -6.61125e-05
       -9.72e-07    -2.75586e-06
     -6.9123e-05    -0.000101845
     -5.6555e-05     -8.7029e-05
     -4.6556e-05    -5.96254e-05
    -0.000239277    -0.000294444
      -3.481e-06    -8.68132e-06
     -1.9786e-05    -3.11543e-05
     -2.8439e-05    -3.82544e-05
     -2.5908e-05    -4.30097e-05
       -8.33e-07    -2.18789e-06
     -1.9493e-05    -5.54053e-05
      -5.286e-06    -7.87019e-06
      -1.356e-06    -2.88883e-06
      -4.015e-06    -6.19745e-06
     -7.8967e-05    -9.60221e-05
     -4.6878e-05    -7.33509e-05
      -6.826e-06    -9.90684e-06
      -5.463e-06    -1.01983e-05
      -1.669e-05     -2.7345e-05
      -9.859e-06     -1.8341e-05
     -1.0417e-05    -2.78913e-05
      -1.893e-06    -5.97802e-06
    -0.000234811    -0.000334824
     -0.00019686    -0.000245496
       -8.26e-07    -1.64472e-06
       -8.58e-07    -2.28765e-06
     -3.2273e-05    -4.70983e-05
     -5.1276e-05    -9.16576e-05
      -1.578e-06     -2.7734e-06
     -2.2639e-05    -6.11244e-05
     -3.6339e-05    -9.85658e-05
      -6.118e-06    -2.10484e-05
    -0.000525379    -0.000433434
     -5.2841e-05    -8.46737e-05
      -8.509e-06    -1.36729e-05
    -0.000198843    -0.000312453
