QM Energy	FF Energy
     -0.00115107     -0.00128834
    -0.000125355    -0.000149034
     -1.0167e-05    -1.35874e-05
     -2.8598e-05    -3.54791e-05
      -3.606e-05    -4.51882e-05
       -5.85e-06    -9.02329e-06
     -1.5337e-05    -2.42942e-05
      -9.253e-06    -1.36314e-05
    -0.000700875    -0.000759955
      -5.752e-05    -7.22702e-05
     -6.9532e-05    -7.85083e-05
      -2.096e-06    -3.52434e-06
      -9.713e-06    -1.42519e-05
    -0.000569778    -0.000576314
     -1.3273e-05    -1.77782e-05
    -0.000165956    -0.000164913
      -2.788e-06      -4.294e-06
     -1.3674e-05    -2.05092e-05
     -0.00107751     -0.00117169
    -0.000257797    -0.000240124
     -3.5975e-05    -4.92363e-05
    -0.000729916    -0.000702893
     -6.1075e-05    -6.89903e-05
      -3.492e-06    -5.81685e-06
    -0.000206976    -0.000190247
      -4.214e-06    -6.19805e-06
     -0.00061145     -0.00058637
     -2.8601e-05    -3.20241e-05
      -3.076e-06    -4.58894e-06
    -0.000184838    -0.000203272
      -1.349e-06    -1.73009e-06
     -1.4332e-05    -1.88502e-05
      -3.746e-06     -5.8928e-06
      -6.674e-06    -9.33039e-06
     -0.00086358    -0.000827211
     -8.2672e-05    -8.90648e-05
      -6.019e-06    -8.87304e-06
    -0.000791228    -0.000718637
     -5.0635e-05    -6.27654e-05
     -1.9424e-05    -2.04844e-05
     -1.9317e-05    -2.67836e-05
      -9.968e-06    -1.55382e-05
     -8.0446e-05    -8.81859e-05
     -1.0163e-05    -1.54424e-05
      -2.236e-06    -2.79475e-06
      -0.0010043     -0.00108199
    -0.000382109    -0.000355687
    -0.000110964    -9.79568e-05
       -9.96e-06    -1.51578e-05
    -0.000593499    -0.000590962
      -8.827e-06    -1.15874e-05
     -0.00118872     -0.00130828
     -0.00102647    -0.000917294
    -0.000432079    -0.000459915
     -1.2777e-05    -1.71168e-05
      -1.179e-06    -1.78041e-06
      -4.762e-06    -7.00511e-06
      -4.513e-06     -4.5486e-06
       -1.39e-06    -1.61601e-06
      -3.409e-06    -4.81711e-06
    -0.000367266    -0.000414133
    -0.000673735    -0.000626549
     -1.9738e-05    -2.75473e-05
    -0.000190322    -0.000224172
     -6.6399e-05    -8.95008e-05
      -1.872e-06    -3.23722e-06
     -2.3812e-05    -2.42108e-05
     -3.8697e-05    -3.77601e-05
      -3.765e-05    -4.13587e-05
    -0.000183634     -0.00020666
    -0.000138314    -0.000168447
     -1.1714e-05    -1.20856e-05
      -9.903e-06    -1.26894e-05
      -2.465e-06    -3.52072e-06
     -2.1922e-05    -3.09209e-05
     -1.8006e-05    -2.66334e-05
     -6.1399e-05    -6.72604e-05
     -1.4047e-05    -2.07645e-05
      -6.287e-06    -1.05236e-05
      -2.905e-06    -4.57853e-06
    -0.000589654    -0.000592052
      -5.186e-06    -6.78131e-06
     -7.8169e-05    -9.81657e-05
      -5.847e-06    -9.66556e-06
      -7.157e-06    -1.12134e-05
      -7.817e-06    -1.27498e-05
    -0.000209835    -0.000246776
     -0.00108242     -0.00124951
    -0.000116259    -0.000122662
     -1.8625e-05    -2.35919e-05
      -3.613e-06    -6.07314e-06
    -0.000710999    -0.000723277
    -0.000224497    -0.000248206
      -3.864e-06    -6.51031e-06
      -4.107e-06    -6.59767e-06
    -0.000498999    -0.000499924
    -0.000893105    -0.000892494
     -7.9201e-05     -0.00010149
      -2.506e-06    -3.69882e-06
    -0.000517598    -0.000529035
      -7.242e-06    -7.12388e-06
    -0.000704286    -0.000675137
     -0.00048161    -0.000532376
     -3.9708e-05    -3.98954e-05
     -0.00109425     -0.00113272
     -5.9483e-05     -7.7364e-05
    -0.000112683    -0.000104111
    -0.000295278    -0.000319591
     -6.8119e-05    -6.76612e-05
     -1.6111e-05      -2.423e-05
    -0.000400339    -0.000379073
      -3.583e-06    -6.48901e-06
    -0.000140604    -0.000155587
     -1.2833e-05    -1.32387e-05
     -0.00054681    -0.000462051
    -0.000997302    -0.000984944
     -2.5398e-05    -3.62451e-05
     -1.8285e-05    -1.94023e-05
     -1.4509e-05    -2.00385e-05
    -0.000141456    -0.000148546
     -0.00122494     -0.00139134
     -1.4545e-05    -1.41282e-05
      -1.696e-06    -2.85627e-06
     -2.0662e-05    -3.01829e-05
     -1.4671e-05    -1.47962e-05
     -6.1638e-05    -7.39682e-05
     -2.2778e-05    -2.75234e-05
    -0.000834595    -0.000830025
     -6.3093e-05    -6.14279e-05
    -0.000462891    -0.000469579
    -0.000106107     -0.00011729
      -2.837e-06    -4.67875e-06
    -0.000121787     -0.00012222
      -3.413e-05     -4.5236e-05
    -0.000109025     -0.00013649
     -9.7627e-05     -0.00010931
      -8.034e-06    -9.38598e-06
     -6.9995e-05    -9.07972e-05
    -0.000180679    -0.000215287
    -0.000548053    -0.000599049
    -0.000191648    -0.000219341
       -1.37e-06    -1.65594e-06
      -2.913e-06     -4.4148e-06
    -0.000698191    -0.000666253
     -0.00026263    -0.000303296
      -2.131e-06    -2.10349e-06
    -0.000448068    -0.000449898
       -4.53e-06    -4.60882e-06
      -4.989e-06    -6.99576e-06
      -7.973e-05    -9.03634e-05
     -8.1293e-05    -0.000101435
     -0.00118944     -0.00135203
      -2.305e-05    -2.31703e-05
    -0.000883286    -0.000918143
    -0.000733641    -0.000644031
     -0.00086023      -0.0010079
    -0.000817028    -0.000841822
    -0.000774566    -0.000763889
    -0.000946378    -0.000907051
    -0.000116111    -0.000114952
      -1.885e-06    -3.07853e-06
      -3.893e-06    -6.44757e-06
    -0.000684687    -0.000737104
       -9.45e-06    -1.42718e-05
     -4.3874e-05    -5.99695e-05
      -2.684e-05    -3.67241e-05
     -0.00093798    -0.000801994
     -1.1525e-05    -1.76323e-05
      -2.471e-06    -3.97467e-06
     -3.4077e-05    -4.38605e-05
      -7.254e-06    -8.50333e-06
      -2.309e-05     -3.3538e-05
    -0.000100122    -0.000108316
    -0.000380193    -0.000361191
     -6.8332e-05    -7.40984e-05
      -7.533e-06    -1.20885e-05
    -0.000282146    -0.000282269
      -0.0001363     -0.00014845
    -0.000451601    -0.000492403
     -1.1755e-05    -1.85203e-05
      -1.442e-06    -2.27412e-06
     -5.6456e-05    -7.12773e-05
     -2.8189e-05    -3.12826e-05
    -0.000245766    -0.000272393
      -9.822e-05     -0.00010561
    -0.000988272     -0.00117771
     -1.8017e-05    -2.61339e-05
     -2.3976e-05    -3.34731e-05
     -1.4556e-05     -1.8753e-05
      -2.387e-06    -3.74103e-06
     -3.2749e-05    -4.12833e-05
    -0.000313138    -0.000349221
     -4.7828e-05    -4.63417e-05
    -0.000284298    -0.000316949
    -0.000506324    -0.000498451
    -0.000261518    -0.000254647
     -5.5782e-05    -7.20459e-05
     -4.9888e-05    -4.52545e-05
     -4.9041e-05    -4.89629e-05
     -2.2373e-05    -2.85895e-05
    -0.000419907    -0.000420428
      -3.614e-06    -5.27726e-06
      -9.203e-06    -1.27391e-05
    -0.000727276     -0.00063654
      -1.254e-06    -2.28269e-06
    -0.000546735    -0.000585574
      -3.148e-06    -3.16551e-06
    -0.000151502    -0.000150773
      -1.141e-06     -2.0257e-06
    -0.000229303    -0.000224103
     -0.00101133     -0.00120843
     -1.6386e-05    -2.40089e-05
    -0.000671852    -0.000655208
     -9.9567e-05    -0.000105918
    -0.000683942    -0.000670892
      -8.379e-06     -1.1426e-05
     -2.4759e-05    -3.49348e-05
     -1.3981e-05    -2.06295e-05
     -0.00052296    -0.000548576
    -0.000233073    -0.000227798
