QM Energy	FF Energy
     -0.00809571     -0.00871494
    -0.000754532    -0.000760564
     -6.7671e-05    -7.58713e-05
    -0.000172294    -0.000206653
    -0.000207832    -0.000214678
     -5.3107e-05    -4.99964e-05
      -9.943e-05    -0.000126496
     -5.5657e-05    -6.93153e-05
     -0.00520856     -0.00510969
    -0.000404609    -0.000382903
    -0.000394457    -0.000457546
     -2.0706e-05    -1.91104e-05
     -7.6074e-05    -0.000102798
     -0.00503639      -0.0046603
     -7.8933e-05     -0.00010787
    -0.000923059      -0.0010409
     -3.9955e-05     7.18833e-06
    -0.000100304    -8.59816e-05
       -0.010651      -0.0102962
    -0.000921862    -0.000862346
    -0.000206773    -0.000206845
     -0.00554473      -0.0054192
    -0.000454692    -0.000457086
     -4.3622e-05     4.42422e-07
     -0.00118098     -0.00118583
     -4.8287e-05    -9.52144e-06
     -0.00184316     -0.00178812
    -0.000212458    -0.000222062
     -2.0924e-05    -5.09045e-05
    -0.000947081     -0.00100045
     -2.4329e-05     2.00621e-06
     -8.8857e-05    -0.000119258
     -2.4391e-05    -4.33289e-05
     -4.4135e-05    -8.02444e-05
     -0.00552975     -0.00529911
    -0.000608874     -0.00061521
     -7.2858e-05    -1.47232e-05
     -0.00401729     -0.00407388
     -0.00039548    -0.000375167
    -0.000177231    -0.000138125
    -0.000140871    -0.000132315
      -8.372e-05    -6.59987e-05
    -0.000476096     -0.00054919
     -6.5078e-05    -6.09166e-05
     -2.7832e-05      -9.837e-06
     -0.00860248     -0.00806799
     -0.00314706     -0.00299242
    -0.000655449    -0.000579754
     -7.8348e-05    -9.47024e-05
      -0.0043418      -0.0044387
     -5.3967e-05    -0.000102067
      -0.0110794      -0.0115021
     -0.00794513      -0.0074053
     -0.00273352     -0.00261627
     -8.8489e-05    -0.000114722
     -2.0237e-05     1.05056e-05
     -3.7527e-05    -5.14514e-05
     -1.2412e-05    -4.50468e-05
     -1.0694e-05    -9.99595e-06
     -5.1521e-05     -2.7288e-07
      -0.0020309     -0.00199911
     -0.00383881     -0.00391236
    -0.000188324    -0.000128881
     -0.00093316    -0.000970328
    -0.000385273    -0.000462849
     -1.7083e-05    -3.85235e-06
     -9.6636e-05     -0.00011461
    -0.000202085    -0.000200633
    -0.000291088    -0.000292164
     -0.00132477     -0.00127482
    -0.000690248    -0.000718646
     -4.5066e-05    -7.86793e-05
      -8.651e-05    -8.46733e-05
     -4.0889e-05    -9.12353e-07
    -0.000174511    -0.000194683
    -0.000124491    -0.000151828
     -0.00033756    -0.000389848
     -9.2033e-05    -0.000106403
     -4.2382e-05    -5.47172e-05
     -3.7391e-05     5.58371e-06
      -0.0045664     -0.00451717
     -7.3162e-05    -2.54392e-05
     -0.00052421     -0.00062728
     -4.7841e-05    -1.83035e-05
     -5.5174e-05    -6.39012e-05
     -5.2059e-05    -6.00696e-05
     -0.00134058     -0.00140671
       -0.010307     -0.00955965
     -0.00083318    -0.000865015
    -0.000196302    -0.000120784
     -2.4093e-05    -1.59318e-05
     -0.00557387     -0.00542807
     -0.00131524     -0.00146698
     -2.8382e-05    -1.14495e-05
     -2.8734e-05    -3.87299e-05
     -0.00387806     -0.00379596
     -0.00451836     -0.00456175
    -0.000432942    -0.000472458
     -1.9405e-05    -3.31184e-05
     -0.00422434      -0.0039328
     -5.1627e-05    -5.43534e-05
     -0.00550579     -0.00528272
     -0.00236685     -0.00243199
    -0.000397293    -0.000300665
     -0.00764773     -0.00825492
    -0.000310287     -0.00035711
    -0.000662435    -0.000621373
     -0.00201122       -0.002269
