QM Energy	FF Energy
    -0.000781446    -0.000646024
     -4.2956e-05    -6.24974e-05
      -8.419e-06     -9.9276e-06
     -3.3213e-05    -3.63289e-05
      -1.892e-05    -2.37925e-05
      -1.918e-06    -4.46642e-06
     -1.4396e-05    -1.64481e-05
     -1.1769e-05    -1.17169e-05
    -0.000258845    -0.000316822
     -1.1884e-05    -2.85499e-05
    -0.000106611    -9.94005e-05
      -1.173e-06    -2.18813e-06
      -5.711e-06     -9.5488e-06
    -0.000426177    -0.000405889
     -2.0113e-05    -2.09297e-05
    -0.000251677    -0.000197345
      -4.839e-05    -4.16903e-05
      -8.716e-06    -1.24847e-05
    -0.000817032    -0.000606882
    -0.000446972    -0.000359508
     -1.5863e-05    -2.09335e-05
    -0.000525676    -0.000441503
     -1.2007e-05     -3.2615e-05
     -3.5658e-05    -3.00428e-05
    -0.000291178    -0.000230468
     -4.8599e-05    -4.21256e-05
    -0.000904916    -0.000726985
     -6.4973e-05     -5.4032e-05
     -1.2595e-05     -1.2878e-05
      -7.497e-05    -9.33248e-05
     -2.0627e-05    -1.62911e-05
     -2.1868e-05    -2.32624e-05
     -1.2608e-05    -1.14756e-05
     -2.0649e-05    -2.09302e-05
    -0.000489894    -0.000491292
     -1.2978e-05    -4.13084e-05
     -7.0784e-05    -6.15185e-05
    -0.000864618    -0.000757717
      -9.229e-06    -2.71267e-05
     -6.0715e-05    -4.72657e-05
       -6.23e-06    -1.25085e-05
      -8.337e-06     -1.1816e-05
    -0.000111808    -0.000111166
      -4.774e-06    -7.00522e-06
     -2.2902e-05    -1.82468e-05
    -0.000883904    -0.000702058
    -0.000247497      -0.0002404
    -0.000189403     -0.00015432
      -5.865e-06    -9.01798e-06
    -0.000482661    -0.000449214
     -3.8959e-05    -3.61615e-05
    -0.000864243    -0.000662367
    -0.000841763    -0.000649473
    -0.000134396    -0.000184754
     -1.5764e-05    -1.88738e-05
     -2.5045e-05    -2.10161e-05
      -4.327e-06    -5.71289e-06
     -4.2124e-05    -3.51665e-05
     -1.7863e-05    -1.45279e-05
     -4.8426e-05    -4.02403e-05
    -0.000168741    -0.000180771
    -0.000594409    -0.000560391
     -8.5381e-05    -7.77211e-05
     -8.4028e-05    -8.89756e-05
     -3.5564e-05    -4.42606e-05
      -2.699e-06    -3.44821e-06
