QM Energy	FF Energy
     -0.00210752     -0.00202646
     -0.00650465     -0.00675698
     -0.00097443    -0.000991044
      -0.0018297     -0.00184449
    -0.000548431    -0.000544714
     -0.00225035     -0.00223611
     -0.00155228     -0.00150374
     -0.00156093     -0.00154922
     -0.00330068     -0.00352114
     -0.00358915     -0.00360278
      -0.0019794     -0.00201786
     -0.00139263     -0.00137145
      -0.0023377     -0.00228888
    -0.000433151    -0.000417934
     -0.00233325      -0.0023743
     -0.00451874     -0.00472806
    -0.000880822    -0.000834105
    -0.000595191    -0.000607948
     -0.00342851     -0.00345274
     -0.00096348    -0.000929919
    -0.000497152    -0.000491127
    -0.000875908    -0.000837147
     -0.00271627     -0.00285431
     -0.00149272     -0.00149988
     -0.00220659     -0.00224486
    -0.000500304    -0.000477745
     -0.00363367     -0.00380385
     -0.00335696     -0.00333604
      -0.0016559     -0.00163075
     -0.00170005      -0.0016234
     -0.00185182     -0.00184368
     -0.00607144     -0.00607333
    -0.000761806    -0.000723037
     -0.00186797     -0.00179747
     -0.00349261     -0.00353301
     -0.00124628     -0.00121836
    -0.000449866    -0.000423903
     -0.00143354     -0.00139096
     -0.00305264     -0.00305243
      -0.0049288     -0.00493569
    -0.000466365    -0.000479207
     -0.00201361       -0.002003
    -0.000727587    -0.000697009
    -0.000573781    -0.000545827
     -0.00571341     -0.00606969
     -0.00059252    -0.000565104
    -0.000586642    -0.000567685
    -0.000507373     -0.00048061
     -0.00088237    -0.000860175
     -0.00031576    -0.000319828
     -0.00215955     -0.00209279
     -0.00151463     -0.00145335
     -0.00487694     -0.00495743
    -0.000678909    -0.000648573
     -0.00237432     -0.00236517
     -0.00205812     -0.00204006
     -0.00107625     -0.00103955
     -0.00275836     -0.00285495
     -0.00295628       -0.003081
     -0.00145207      -0.0013826
     -0.00050982    -0.000480958
     -0.00324664     -0.00321536
    -0.000984982    -0.000952375
     -0.00379825     -0.00381368
     -0.00399673     -0.00394153
    -0.000326065    -0.000306406
     -0.00125015     -0.00121026
     -0.00569017     -0.00573497
    -0.000636231    -0.000638604
     -0.00250551     -0.00245571
     -0.00090129    -0.000877399
     -0.00108647     -0.00107081
     -0.00337169     -0.00336274
    -0.000353926    -0.000362609
    -0.000768057     -0.00077257
    -0.000629043    -0.000612087
    -0.000460145    -0.000430155
    -0.000462947    -0.000444939
    -0.000997729    -0.000957146
    -0.000701168    -0.000677447
    -0.000600355    -0.000588712
    -0.000529984    -0.000531636
    -0.000356156    -0.000332572
    -0.000595643    -0.000576368
     -0.00119458      -0.0011922
    -0.000318366    -0.000298924
     -0.00184114     -0.00177648
     -0.00161932     -0.00162081
     -0.00228722     -0.00228461
     -0.00164037     -0.00161633
     -0.00117229     -0.00112676
    -0.000334712    -0.000325414
     -0.00448619     -0.00461845
     -0.00242747     -0.00240146
     -0.00207112     -0.00201671
    -0.000726321     -0.00068426
     -0.00946398     -0.00958416
     -0.00328135     -0.00321373
    -0.000672596    -0.000639591
     -0.00438561     -0.00434368
     -0.00036411    -0.000376576
     -0.00537879     -0.00531342
     -0.00139507     -0.00138994
     -0.00137535     -0.00136283
     -0.00210448      -0.0020523
    -0.000517877    -0.000495643
     -0.00340349     -0.00354687
    -0.000476861     -0.00044868
      -0.0042834     -0.00450021
      -0.0019797     -0.00193409
     -0.00942458     -0.00946458
    -0.000688536    -0.000668513
     -0.00235524     -0.00236114
    -0.000930892    -0.000922457
    -0.000385064    -0.000387202
    -0.000946274    -0.000907952
    -0.000538774    -0.000547574
    -0.000575629    -0.000584932
    -0.000701727    -0.000689061
     -0.00168682     -0.00165827
      -0.0026691     -0.00275434
     -0.00076201     -0.00073524
     -0.00172727     -0.00175749
    -0.000975885     -0.00097505
    -0.000335166    -0.000328562
     -0.00500708     -0.00504905
    -0.000493762    -0.000499577
     -0.00356922     -0.00367538
    -0.000720824    -0.000691911
    -0.000383245    -0.000361433
     -0.00151631     -0.00148437
     -0.00104827     -0.00103005
     -0.00139445     -0.00135881
      -0.0014878     -0.00145946
    -0.000538258    -0.000535511
     -0.00153473     -0.00154392
     -0.00313242     -0.00317333
     -0.00857269     -0.00860336
    -0.000464358    -0.000469252
     -0.00906798     -0.00907829
    -0.000963417    -0.000945427
    -0.000387218    -0.000369269
    -0.000589599    -0.000586926
    -0.000723158    -0.000718374
     -0.00444025     -0.00468627
    -0.000469075    -0.000452515
    -0.000741321    -0.000699804
     -0.00155074     -0.00156088
     -0.00038081    -0.000354649
     -0.00501704     -0.00499821
     -0.00071951    -0.000691519
    -0.000519344     -0.00048944
    -0.000360512    -0.000341932
     -0.00347736     -0.00342797
     -0.00374237     -0.00384237
    -0.000382707    -0.000356775
     -0.00228114     -0.00231233
    -0.000555917    -0.000522071
     -0.00160477     -0.00159865
     -0.00414735     -0.00416274
     -0.00086447     -0.00082127
    -0.000510902    -0.000519564
    -0.000835598    -0.000822891
    -0.000697219    -0.000680527
    -0.000456534    -0.000432113
     -0.00035573    -0.000349309
     -0.00183806     -0.00186091
     -0.00168129     -0.00169204
     -0.00188524     -0.00183645
     -0.00141389     -0.00138607
     -0.00400691     -0.00403367
     -0.00104247    -0.000987774
    -0.000304772    -0.000283862
     -0.00455673      -0.0048394
     -0.00746423     -0.00748955
    -0.000540474    -0.000508525
     -0.00149709     -0.00143907
     -0.00175969     -0.00171039
    -0.000675742    -0.000644999
    -0.000668244    -0.000672923
     -0.00109434     -0.00108391
     -0.00255828     -0.00253878
     -0.00413489     -0.00429808
    -0.000586598    -0.000596308
     -0.00188826     -0.00192621
     -0.00252359     -0.00262963
    -0.000409713     -0.00042149
    -0.000914989    -0.000893275
     -0.00558879     -0.00556567
      -0.0018563     -0.00186432
     -0.00696915     -0.00692939
     -0.00700257     -0.00720036
      -0.0004482    -0.000449845
     -0.00439372     -0.00431942
    -0.000685506     -0.00065475
     -0.00110056     -0.00107458
     -0.00070488    -0.000664254
    -0.000446803    -0.000426189
     -0.00326711     -0.00320044
     -0.00302338     -0.00306116
    -0.000340435    -0.000336872
     -0.00585746     -0.00582387
     -0.00411102     -0.00421887
    -0.000515953    -0.000486308
    -0.000630142    -0.000591724
     -0.00532047     -0.00537209
    -0.000617341    -0.000603614
     -0.00217129      -0.0021215
    -0.000839647    -0.000815306
    -0.000985363    -0.000944956
     -0.00175438     -0.00176098
     -0.00038845    -0.000367329
     -0.00617583     -0.00635721
      -0.0043213      -0.0044059
     -0.00273646      -0.0027863
    -0.000443968    -0.000453528
     -0.00125289     -0.00118923
    -0.000734066    -0.000713962
     -0.00342846     -0.00361888
    -0.000510337    -0.000484422
     -0.00326688     -0.00318561
     -0.00371925     -0.00383007
    -0.000525197    -0.000500735
       -0.004023     -0.00418298
     -0.00237017     -0.00233614
     -0.00438225     -0.00447652
      -0.0027643     -0.00284332
    -0.000586386    -0.000595381
    -0.000380066    -0.000385697
     -0.00160132     -0.00154715
    -0.000592592    -0.000569516
     -0.00412908      -0.0042064
     -0.00388643     -0.00406291
    -0.000644608    -0.000621184
    -0.000548553    -0.000514505
     -0.00404362     -0.00416022
     -0.00327344     -0.00347203
     -0.00128739     -0.00128112
     -0.00032281     -0.00031871
    -0.000527728    -0.000519764
     -0.00680269     -0.00687544
     -0.00215248     -0.00213117
     -0.00298214     -0.00307869
     -0.00349103     -0.00357578
     -0.00133436     -0.00129828
     -0.00547115     -0.00578829
    -0.000456911    -0.000443853
     -0.00654816     -0.00662926
    -0.000747859    -0.000724119
     -0.00102325     -0.00099125
    -0.000832976     -0.00080875
    -0.000507019    -0.000520065
    -0.000550557    -0.000519034
     -0.00506196      -0.0050437
     -0.00838777      -0.0087486
     -0.00255059     -0.00255864
     -0.00485543     -0.00489563
     -0.00520071     -0.00549492
     -0.00065012    -0.000613844
    -0.000480211    -0.000491114
     -0.00134061     -0.00134628
     -0.00048445    -0.000480366
    -0.000934951    -0.000909986
     -0.00400902     -0.00423485
     -0.00671846     -0.00677699
     -0.00363034     -0.00381011
    -0.000820297    -0.000801951
     -0.00261919     -0.00262991
     -0.00509996     -0.00526079
     -0.00133967     -0.00133104
    -0.000522981    -0.000528095
     -0.00034365    -0.000339581
     -0.00259183     -0.00262637
    -0.000377368    -0.000390885
     -0.00142759     -0.00139972
     -0.00131453     -0.00130542
     -0.00321287     -0.00331037
    -0.000993336    -0.000983719
      -0.0074696     -0.00746732
     -0.00351971     -0.00361007
    -0.000654384    -0.000637622
     -0.00043005    -0.000422491
     -0.00358222     -0.00366295
      -0.0101533      -0.0102293
      -0.0048915     -0.00501045
