QM Energy	FF Energy
    -0.000825677    -0.000723457
      0.00470066      0.00602853
    -0.000638008    -0.000618577
    -0.000361521    -0.000405495
    -0.000453177    -0.000441748
    -0.000480234    -0.000618766
    -0.000502177    -0.000538169
    -0.000438484    -0.000501181
      0.00168904      0.00174665
     0.000584926     0.000385338
     -8.3669e-05    -0.000187854
    -0.000652237    -0.000684084
    -0.000244511    -0.000316573
    -0.000378416    -0.000370176
    -0.000317911    -0.000307772
      0.00367181      0.00406066
    -0.000680181    -0.000624738
    -0.000480152     -0.00047752
     0.000360891      0.00025506
    -0.000513847    -0.000536619
    -0.000421102    -0.000420838
    -0.000513684    -0.000529782
     0.000642155     0.000582014
    -0.000661338    -0.000646683
    -0.000475397    -0.000411709
    -0.000391106    -0.000393331
     0.000992504      0.00100422
     0.000107871     0.000447853
    -0.000636054    -0.000645976
    -0.000899825    -0.000815626
    -0.000286273    -0.000364595
      0.00317127      0.00427032
    -0.000511583    -0.000515227
    -0.000828453    -0.000839535
     0.000408818     0.000374586
    -0.000714927    -0.000751836
    -0.000386796    -0.000374836
    -0.000760772    -0.000796905
     0.000680359     0.000651424
      0.00332121      0.00353557
    -0.000396476      -0.0004111
    -0.000616039    -0.000630335
    -0.000570552     -0.00055691
    -0.000465453    -0.000454212
      0.00402683      0.00444938
    -0.000430814    -0.000440099
    -0.000452296    -0.000452791
    -0.000404951    -0.000404362
    -0.000552088    -0.000549488
    -0.000290644    -0.000289048
    -0.000883484    -0.000709354
    -0.000796968    -0.000773148
      0.00205406      0.00234509
    -0.000453053    -0.000468448
    -0.000456724    -0.000518153
    -0.000154171    -0.000208943
    -0.000667202    -0.000676886
     0.000214328     0.000148953
      7.3232e-05     0.000163562
    -0.000861958    -0.000804851
    -0.000454263    -0.000426811
     0.000351283     0.000245207
    -0.000644107    -0.000650838
      0.00094412      0.00132775
     0.000801382     0.000575055
    -0.000284251    -0.000282453
    -0.000675398    -0.000691687
       0.0028678      0.00380678
    -0.000499893    -0.000502496
    -0.000542529    -0.000429084
     -0.00052214     -0.00054311
    -0.000595181    -0.000591138
       0.0010205      0.00101844
    -0.000319628    -0.000321816
    -0.000561017    -0.000574101
    -0.000475624      -0.0004681
    -0.000393934    -0.000378809
    -0.000407327    -0.000395012
     -0.00053209     -0.00055167
    -0.000488929    -0.000487028
    -0.000473804    -0.000462772
    -0.000441489    -0.000432767
    -0.000325289    -0.000310123
    -0.000456841    -0.000450768
    -0.000452086    -0.000526729
    -0.000277286    -0.000276875
    -0.000672982    -0.000715762
     -0.00036605    -0.000445189
    -0.000453732    -0.000566827
    -0.000658769    -0.000707911
    -0.000749444    -0.000746753
    -0.000301141    -0.000295937
      0.00143506      0.00198745
    -0.000228922    -0.000274953
    -0.000563807    -0.000590699
    -0.000571389    -0.000537049
       0.0121512       0.0116135
    -0.000542573    -0.000193263
    -0.000476043     -0.00047544
      0.00175106      0.00160072
    -0.000327072     -0.00033334
      0.00225672       0.0019333
    -0.000688617    -0.000732356
    -0.000510152    -0.000528619
    -0.000525391    -0.000586338
    -0.000406919    -0.000402926
      0.00124947      0.00123301
    -0.000384995    -0.000378851
       0.0018005      0.00192843
    -0.000697194     -0.00078703
       0.0116203        0.011171
    -0.000499845     -0.00050333
      2.6853e-05     6.67568e-06
    -0.000611082    -0.000595397
    -0.000340107    -0.000340937
    -0.000667222    -0.000659972
    -0.000445684    -0.000447939
    -0.000466145    -0.000468747
    -0.000533434    -0.000538069
    -0.000473334      -0.0004923
    -0.000255703    -0.000117864
    -0.000526114    -0.000523407
    -0.000527956     -0.00055207
    -0.000636645    -0.000648567
    -0.000301638    -0.000296925
      0.00246465      0.00225147
    -0.000417326    -0.000427103
     0.000987932     0.000983279
    -0.000484901    -0.000487685
    -0.000349187    -0.000333554
    -0.000641785    -0.000657921
    -0.000586874    -0.000583622
    -0.000746215    -0.000787173
    -0.000619213    -0.000629648
    -0.000445374    -0.000448177
    -0.000428253     -0.00047085
      7.4603e-05     8.30398e-05
       0.0090118      0.00822242
    -0.000397782    -0.000394915
       0.0105274      0.00989336
    -0.000510927    -0.000558667
    -0.000329371    -0.000326326
    -0.000478201    -0.000486532
    -0.000523561    -0.000519958
      0.00181234      0.00207675
    -0.000415425    -0.000402724
    -0.000518851    -0.000513778
    -0.000693506    -0.000702565
    -0.000325529    -0.000319224
      0.00197722      0.00157386
    -0.000511204    -0.000508246
    -0.000442391    -0.000423041
    -0.000311656    -0.000306101
     0.000738068     0.000655904
      0.00136595      0.00175518
    -0.000337932    -0.000325791
    -0.000287031    -0.000282315
    -0.000478423    -0.000450078
     -0.00068231    -0.000726831
      0.00119323     0.000987972
     -0.00063487    -0.000603353
    -0.000428027    -0.000431567
    -0.000601241    -0.000618833
     -0.00051109    -0.000504197
     -0.00039811    -0.000383313
    -0.000318977    -0.000314828
    -0.000611177    -0.000571326
    -0.000301152    -0.000394419
    -0.000694076    -0.000760306
    -0.000621942     -0.00066115
       0.0010699     0.000871316
    -0.000754664    -0.000701378
    -0.000269745    -0.000264117
      0.00391656      0.00452239
      0.00548359      0.00676118
    -0.000415647      -0.0004163
     -0.00078475    -0.000737098
     -0.00068137    -0.000610688
    -0.000451322    -0.000469615
    -0.000522081     -0.00050816
    -0.000527507    -0.000553417
    -0.000333075    -0.000497649
      0.00259573      0.00291079
    -0.000474408    -0.000475679
    -0.000453477    -0.000486806
     0.000497382     0.000451438
    -0.000359115      -0.0003704
    -0.000552948    -0.000552426
      0.00300353      0.00262712
    -0.000320999    -0.000342656
      0.00572787      0.00647189
      0.00811068      0.00846801
    -0.000390436    -0.000394797
     0.000932556      0.00105114
    -0.000514702    -0.000508901
