QM Energy	FF Energy
     -0.00137732     -0.00134835
     -0.00243994     -0.00243311
    -0.000775523    -0.000753637
     -0.00252263     -0.00247892
     -0.00470834     -0.00474332
     -0.00253784     -0.00250985
     -0.00110302     -0.00107259
    -0.000240241    -0.000237682
    -0.000452633    -0.000441698
     -0.00367389     -0.00365176
     -0.00023636    -0.000234736
    -0.000543218    -0.000544413
     -0.00205436     -0.00201667
    -0.000229769    -0.000229291
     -0.00215357     -0.00211747
     -0.00343333      -0.0034554
     -0.00559916     -0.00555111
     -0.00119731     -0.00119482
    -0.000547001    -0.000533447
     -0.00134042     -0.00129435
    -0.000431051    -0.000424356
     -0.00130235     -0.00129614
    -0.000210579    -0.000210311
    -0.000479218    -0.000472984
     -0.00187915     -0.00186846
     -0.00152867     -0.00148278
    -0.000397856     -0.00038558
     -0.00317525     -0.00319184
     -0.00415805     -0.00417678
    -0.000541717    -0.000534496
     -0.00339249      -0.0033767
    -0.000389781    -0.000376724
    -0.000324412    -0.000319068
    -0.000199216     -0.00019908
    -0.000914272    -0.000892516
    -0.000393954    -0.000388917
    -0.000890987    -0.000856856
    -0.000388641    -0.000384577
    -0.000624248    -0.000600522
      -0.0023184     -0.00232537
     -0.00040116    -0.000391814
     -0.00200004     -0.00199702
    -0.000493696     -0.00048537
    -0.000945112    -0.000934512
     -0.00342667     -0.00344799
     -0.00035987    -0.000351354
     -0.00039086    -0.000377335
    -0.000532855    -0.000512862
     -0.00644863     -0.00652395
     -0.00204521     -0.00200516
     -0.00395066     -0.00398269
     -0.00164368     -0.00162175
    -0.000431403     -0.00043258
    -0.000309317    -0.000306787
    -0.000343527    -0.000333481
     -0.00341361     -0.00343329
    -0.000842434    -0.000817062
     -0.00120145     -0.00117952
    -0.000359206    -0.000355717
    -0.000520544    -0.000522643
     -0.00127149      -0.0012449
    -0.000484153    -0.000478197
    -0.000570016    -0.000558823
    -0.000242048    -0.000240564
     -0.00451569     -0.00454742
     -0.00519187     -0.00519721
     -0.00144809     -0.00144623
     -0.00503607     -0.00507975
    -0.000783442    -0.000779527
    -0.000311782    -0.000307554
     -0.00192096     -0.00190919
    -0.000409259    -0.000401808
    -0.000196784    -0.000198449
     -0.00364675     -0.00366568
     -0.00214645     -0.00210171
    -0.000240456    -0.000239545
    -0.000726573    -0.000700577
    -0.000249944    -0.000249173
     -0.00105409     -0.00103407
    -0.000305381    -0.000302259
     -0.00032906    -0.000324983
     -0.00417182      -0.0041953
     -0.00077433    -0.000762479
     -0.00093679    -0.000916212
     -0.00340068     -0.00338587
     -0.00144954     -0.00144567
    -0.000322917    -0.000321715
    -0.000634266    -0.000625066
    -0.000280079    -0.000278015
     -0.00141255     -0.00140465
    -0.000599598     -0.00059223
    -0.000221902    -0.000219537
    -0.000324523    -0.000319812
     -0.00277997     -0.00276339
    -0.000828429    -0.000792873
     -0.00472604     -0.00476891
     -0.00180178     -0.00177788
     -0.00428152     -0.00421224
      -0.0004272    -0.000417401
    -0.000947338    -0.000926473
      -0.0018931     -0.00185957
     -0.00114909     -0.00111376
     -0.00298098     -0.00294615
     -0.00075886    -0.000746391
     -0.00057425    -0.000564942
     -0.00186274     -0.00182627
    -0.000312063    -0.000310554
    -0.000963195    -0.000937223
     -0.00533896     -0.00539836
    -0.000265669    -0.000265315
    -0.000370394    -0.000373415
     -0.00258161     -0.00253982
    -0.000360995    -0.000356433
    -0.000537721    -0.000528334
     -0.00053124    -0.000515982
     -0.00370999      -0.0037408
    -0.000543764    -0.000536649
     -0.00337322     -0.00333378
    -0.000283491     -0.00028079
     -0.00318839     -0.00320207
     -0.00376571     -0.00375401
     -0.00068257    -0.000656076
    -0.000397909    -0.000396354
     -0.00450737     -0.00455529
    -0.000702673    -0.000680411
     -0.00220694     -0.00219638
    -0.000492384    -0.000487078
     -0.00037658    -0.000363177
     -0.00119677     -0.00116482
     -0.00073187    -0.000724091
    -0.000226463    -0.000224956
    -0.000421152    -0.000412301
    -0.000838584    -0.000808369
      -0.0018481     -0.00183937
    -0.000441563    -0.000433433
     -0.00091599    -0.000917794
    -0.000597116    -0.000575675
     -0.00087264    -0.000849165
     -0.00136015     -0.00132808
     -0.00176479     -0.00173081
    -0.000607936    -0.000598084
     -0.00235511     -0.00235994
    -0.000302828    -0.000298311
     -0.00109578     -0.00109823
     -0.00358547     -0.00358519
      -0.0028622     -0.00282266
    -0.000317448    -0.000309771
     -0.00153632     -0.00150752
    -0.000712894    -0.000714379
    -0.000281559    -0.000274746
     -0.00248477     -0.00246898
     -0.00159269     -0.00156323
    -0.000714756    -0.000697895
    -0.000926455    -0.000908034
     -0.00172903     -0.00171253
     -0.00339258     -0.00339912
     -0.00551297     -0.00554927
     -0.00116228     -0.00113803
    -0.000391775    -0.000386705
     -0.00470973     -0.00471536
     -0.00211081     -0.00208272
     -0.00102505     -0.00100287
    -0.000589431    -0.000580717
     -0.00118521     -0.00114869
    -0.000446152    -0.000438331
     -0.00318115     -0.00318737
      -0.0014191     -0.00139273
     -0.00185602     -0.00184538
     -0.00448839     -0.00451154
    -0.000256488    -0.000253347
      -0.0029467     -0.00293583
     -0.00450211     -0.00451687
     -0.00150654     -0.00147344
     -0.00210957     -0.00212107
      -0.0012537     -0.00121519
     -0.00264168      -0.0026501
     -0.00557403     -0.00563611
     -0.00107162     -0.00104188
     -0.00115807       -0.001123
     -0.00211445     -0.00208468
    -0.000567006    -0.000563315
     -0.00144767     -0.00140602
      -0.0014021     -0.00135269
     -0.00107311     -0.00105071
    -0.000482744    -0.000475417
    -0.000459018     -0.00045524
      -0.0021821      -0.0021568
    -0.000410073    -0.000404057
    -0.000854036    -0.000854081
     -0.00293873     -0.00294309
     -0.00330398     -0.00328021
     -0.00110845     -0.00107732
     -0.00284063     -0.00285686
     -0.00126561     -0.00121864
    -0.000242273    -0.000238111
     -0.00114879     -0.00113132
    -0.000867249    -0.000831861
