QM Energy	FF Energy
     -9.1929e-05    -0.000104831
    -0.000229395    -0.000215417
      -2.007e-05    -1.92842e-05
    -0.000210786    -0.000219018
    -0.000703922    -0.000654785
    -0.000253863    -0.000264247
     -4.8574e-05    -6.36804e-05
      -1.465e-06    -3.86812e-06
      -5.406e-06    -5.90319e-06
    -0.000407569    -0.000434889
       -8.35e-07    -1.29803e-06
      -8.131e-06    -1.80064e-05
    -0.000184525    -0.000188663
      -1.882e-06    -4.44526e-06
    -0.000134037    -0.000168493
    -0.000457899    -0.000411307
     -0.00100185     -0.00106247
     -4.5811e-05    -6.63563e-05
     -1.0039e-05    -1.82753e-05
     -6.0172e-05    -5.84144e-05
      -8.335e-06    -1.54106e-05
    -0.000113107    -0.000116092
       -6.21e-07    -1.38721e-06
      -7.165e-06    -1.53016e-05
    -0.000120019     -0.00014836
     -7.6144e-05    -8.46012e-05
      -3.522e-06    -5.85187e-06
    -0.000343909    -0.000401653
    -0.000563001    -0.000507051
      -8.021e-06    -1.11464e-05
    -0.000340762    -0.000346876
      -3.645e-06    -4.01191e-06
      -5.945e-06    -1.05563e-05
      -1.479e-06    -3.95079e-06
     -2.3996e-05    -4.11838e-05
      -3.751e-06    -4.54433e-06
     -2.6411e-05    -2.46619e-05
      -3.343e-06    -6.13933e-06
     -1.1792e-05    -1.14071e-05
    -0.000203321    -0.000212645
      -3.459e-06    -6.85235e-06
    -0.000162181    -0.000146626
     -1.5528e-05    -2.30213e-05
     -3.0524e-05    -3.47606e-05
     -0.00042537    -0.000448146
       -2.95e-06    -3.50371e-06
      -3.481e-06    -4.53536e-06
      -7.826e-06    -8.54437e-06
     -0.00100769     -0.00113158
    -0.000203227    -0.000195612
     -0.00058204    -0.000523153
    -0.000127197    -0.000140869
      -4.235e-06    -8.76406e-06
      -1.842e-06    -3.71244e-06
      -2.553e-06    -3.48013e-06
    -0.000450758    -0.000397073
     -1.8458e-05    -3.00682e-05
      -8.308e-05     -9.1444e-05
      -2.922e-06    -3.92733e-06
      -6.941e-06    -1.56998e-05
     -6.8249e-05    -8.76894e-05
      -6.215e-06    -1.42706e-05
      -7.531e-06    -1.63459e-05
       -9.29e-07    -1.43279e-06
    -0.000648695    -0.000596509
    -0.000826338    -0.000874683
     -6.9077e-05    -9.79897e-05
    -0.000895125    -0.000869755
     -1.9215e-05    -2.56791e-05
      -3.055e-06    -7.13191e-06
    -0.000246614    -0.000213074
      -8.596e-06    -1.47077e-05
       -1.09e-06    -3.42892e-06
    -0.000466271     -0.00049898
    -0.000141946    -0.000147856
        -9.1e-07    -1.49316e-06
     -1.6147e-05    -1.74658e-05
      -1.029e-06    -1.73704e-06
