QM Energy	FF Energy
     -9.1929e-05    -9.57509e-05
    -0.000229395    -0.000223024
      -2.007e-05    -2.31726e-05
    -0.000210786    -0.000217472
    -0.000703922    -0.000630864
    -0.000253863    -0.000267082
     -4.8574e-05    -5.81588e-05
      -1.465e-06    -2.67655e-06
      -5.406e-06    -7.65928e-06
    -0.000407569    -0.000432519
       -8.35e-07    -1.87062e-06
      -8.131e-06    -1.63482e-05
    -0.000184525    -0.000186972
      -1.882e-06    -2.80445e-06
    -0.000134037    -0.000161072
    -0.000457899    -0.000411351
     -0.00100185     -0.00106635
     -4.5811e-05    -6.83347e-05
     -1.0039e-05    -1.51526e-05
     -6.0172e-05    -6.12932e-05
      -8.335e-06    -1.17794e-05
    -0.000113107    -0.000109374
       -6.21e-07    -1.51863e-06
      -7.165e-06    -1.13768e-05
    -0.000120019    -0.000150717
     -7.6144e-05    -8.47744e-05
      -3.522e-06    -5.27476e-06
    -0.000343909    -0.000402143
    -0.000563001    -0.000494896
      -8.021e-06    -1.26546e-05
    -0.000340762    -0.000340625
      -3.645e-06    -4.80344e-06
      -5.945e-06    -7.35116e-06
      -1.479e-06     -2.5438e-06
     -2.3996e-05    -3.52931e-05
      -3.751e-06    -6.11904e-06
     -2.6411e-05    -2.80557e-05
      -3.343e-06    -6.37722e-06
     -1.1792e-05    -1.36638e-05
    -0.000203321    -0.000219551
      -3.459e-06     -5.6276e-06
    -0.000162181    -0.000158311
     -1.5528e-05    -1.77228e-05
     -3.0524e-05     -3.9404e-05
     -0.00042537    -0.000444299
       -2.95e-06    -4.48876e-06
      -3.481e-06    -4.62758e-06
      -7.826e-06    -9.80407e-06
     -0.00100769     -0.00107544
    -0.000203227    -0.000190551
     -0.00058204    -0.000514447
    -0.000127197    -0.000137221
      -4.235e-06    -9.00567e-06
      -1.842e-06    -3.79993e-06
      -2.553e-06    -3.73501e-06
    -0.000450758    -0.000398348
     -1.8458e-05    -2.66006e-05
      -8.308e-05    -8.41549e-05
      -2.922e-06    -5.07722e-06
      -6.941e-06    -1.46494e-05
     -6.8249e-05    -7.84508e-05
      -6.215e-06    -1.06994e-05
      -7.531e-06    -1.30518e-05
       -9.29e-07    -1.99358e-06
    -0.000648695    -0.000577382
    -0.000826338    -0.000849933
