QM Energy	FF Energy
      -3.551e-06    -4.06432e-06
      -8.687e-06    -9.55193e-06
     -4.8895e-05    -4.89553e-05
      -2.679e-05    -2.46545e-05
     -0.00104388    -0.000985507
     -4.3017e-05    -3.89376e-05
      -5.081e-06    -5.73037e-06
      -1.446e-06    -1.70376e-06
     -1.1626e-05    -1.20246e-05
     -5.4727e-05    -5.15909e-05
     -3.1381e-05    -3.21441e-05
    -0.000480728    -0.000451019
     -8.0762e-05    -7.96848e-05
     -2.8667e-05    -2.99809e-05
    -0.000232157    -0.000211822
      -4.834e-06    -5.42862e-06
      -1.468e-05    -1.55399e-05
    -0.000838932    -0.000768764
    -0.000642759    -0.000564885
     -0.00010685     -9.8562e-05
     -3.7141e-05    -3.76476e-05
    -0.000449805    -0.000413604
      -2.882e-06    -3.34555e-06
    -0.000454463    -0.000426229
      -4.335e-06    -4.96817e-06
    -0.000146485     -0.00013833
    -0.000935666     -0.00101885
      -1.653e-06    -1.80799e-06
     -8.1429e-05    -7.74343e-05
     -0.00034729    -0.000315388
     -1.6944e-05    -1.80686e-05
    -0.000312672    -0.000254863
    -0.000298677    -0.000239694
    -0.000120809    -0.000112739
      -3.535e-06    -4.07482e-06
      -6.143e-06    -6.86944e-06
    -0.000118899    -0.000109521
      -9.344e-06    -9.75869e-06
     -8.0169e-05     -7.8134e-05
     -5.1122e-05    -5.07536e-05
    -0.000137194    -0.000126502
    -0.000218182    -0.000206583
    -0.000365268    -0.000340695
     -1.5476e-05     -1.6403e-05
    -0.000232334    -0.000218611
     -0.00035563    -0.000317805
      -5.189e-06    -5.86577e-06
     -1.6209e-05    -1.73781e-05
     -1.3106e-05      -1.415e-05
      -1.743e-06    -2.06078e-06
     -4.2502e-05    -4.36389e-05
     -6.5833e-05    -6.07408e-05
    -0.000301129    -0.000271901
      -7.234e-06    -7.96142e-06
    -0.000909282    -0.000995152
     -2.0175e-05    -2.14354e-05
     -1.1657e-05    -1.21279e-05
      -2.116e-05    -2.24011e-05
     -0.00108472     -0.00111371
    -0.000349716     -0.00032437
      -5.337e-06    -5.98783e-06
     -1.4768e-05    -1.58574e-05
    -0.000612405    -0.000576068
    -0.000482876    -0.000452341
    -0.000388537    -0.000361167
     -8.4037e-05    -8.21954e-05
     -1.9192e-05    -2.05352e-05
     -2.1325e-05    -2.19642e-05
    -0.000403551    -0.000375231
    -0.000669307    -0.000615392
      -8.204e-05    -8.03706e-05
    -0.000406515    -0.000354263
     -0.00012386    -0.000119555
     -2.9937e-05    -3.09576e-05
     -7.5956e-05    -7.30463e-05
     -2.2788e-05    -2.35791e-05
     -5.1626e-05    -5.06771e-05
     -9.6761e-05    -9.46574e-05
    -0.000163491    -0.000143608
    -0.000100695      -8.636e-05
      -5.802e-06      -6.329e-06
     -6.8338e-05    -6.73936e-05
    -0.000157083    -0.000136102
      -3.406e-06    -3.74421e-06
     -1.5958e-05    -1.72122e-05
      -4.638e-06    -5.27045e-06
     -4.9511e-05    -5.04545e-05
     -4.7256e-05    -4.44912e-05
    -0.000154453    -0.000149454
     -0.00102001     -0.00109023
       -2.04e-06    -2.39816e-06
    -0.000118541    -0.000111865
      -2.932e-06    -3.22489e-06
     -2.4115e-05    -2.54077e-05
     -2.7292e-05    -2.86694e-05
    -0.000115828    -0.000113366
    -0.000289952     -0.00024616
      -6.461e-06    -7.25402e-06
      -4.668e-05     -4.6379e-05
      -4.773e-06    -5.16979e-06
     -3.3912e-05    -3.36875e-05
     -1.5057e-05    -1.56069e-05
     -7.1469e-05    -6.89033e-05
      -5.757e-06    -6.45508e-06
     -1.4225e-05    -1.53756e-05
     -5.7196e-05    -5.46472e-05
     -0.00021799    -0.000205106
      -3.888e-06    -4.46351e-06
    -0.000635264    -0.000584843
    -0.000158205    -0.000145777
     -0.00034948    -0.000289478
      -8.269e-06    -8.71079e-06
    -0.000183652    -0.000170556
     -4.8622e-05     -4.8814e-05
      -3.011e-06    -3.44218e-06
      -3.882e-06    -4.45022e-06
      -8.375e-05    -7.84508e-05
      -9.298e-06     -1.0185e-05
      -2.432e-06    -2.81229e-06
     -6.0744e-05    -5.56538e-05
      -9.451e-06    -9.92873e-06
      -4.555e-06    -5.14132e-06
    -0.000581437    -0.000546321
     -4.0589e-05    -3.96838e-05
    -0.000249414    -0.000229436
      -5.637e-06    -6.03644e-06
    -0.000106717    -0.000101939
      -8.888e-06     -9.8592e-06
    -0.000820114     -0.00081736
     -9.8252e-05    -8.97811e-05
      -6.072e-06    -6.78022e-06
      -1.374e-06    -1.62724e-06
    -0.000151363    -0.000132355
     -0.00060908    -0.000565079
     -7.1722e-05    -6.53233e-05
      -3.083e-06    -3.41196e-06
    -0.000131161    -0.000126735
    -0.000111215    -0.000107579
      -1.731e-06    -1.92697e-06
    -0.000262117    -0.000246353
    -0.000396109    -0.000369469
     -3.0224e-05    -3.12868e-05
     -1.6678e-05    -1.69878e-05
     -2.7856e-05     -2.8766e-05
     -6.2031e-05    -6.08776e-05
     -9.5456e-05    -8.95427e-05
     -8.4518e-05    -8.28482e-05
      -7.194e-06    -7.97588e-06
      -1.987e-06    -2.35509e-06
      -9.424e-06    -1.03314e-05
      -2.726e-06     -3.1467e-06
    -0.000604177    -0.000579338
      -4.264e-06    -4.62709e-06
      -2.787e-06    -3.07429e-06
      -4.802e-05     -4.8238e-05
      -1.511e-06    -1.75778e-06
    -0.000135234    -0.000129711
      -1.518e-05    -1.63989e-05
    -0.000116357     -0.00011187
      -1.962e-06    -2.29957e-06
     -1.2173e-05    -1.31854e-05
      -1.221e-05    -1.31761e-05
      -9.908e-06    -1.07353e-05
    -0.000253293     -0.00023267
    -0.000775827    -0.000783779
     -1.9062e-05    -1.99649e-05
      -8.461e-06    -9.29375e-06
     -0.00112376     -0.00115848
     -3.1315e-05    -3.22316e-05
      -9.516e-06    -1.04507e-05
    -0.000357704    -0.000331659
      -8.439e-06    -9.34965e-06
     -3.5587e-05    -3.67073e-05
     -4.1032e-05    -4.13818e-05
      -2.345e-06    -2.73081e-06
    -0.000298237    -0.000281621
      -1.966e-06    -2.13444e-06
     -1.0277e-05    -1.10475e-05
      -6.631e-06    -7.32043e-06
      -7.573e-06    -8.40273e-06
     -2.7657e-05    -2.85702e-05
     -3.9852e-05    -4.06746e-05
      -1.079e-06    -1.23636e-06
    -0.000433976    -0.000348392
     -2.0108e-05    -1.96637e-05
     -5.5941e-05     -5.4618e-05
     -1.4356e-05    -1.55835e-05
     -0.00037729     -0.00035185
     -2.1217e-05    -2.25373e-05
      -3.849e-06    -4.41833e-06
     -2.1402e-05    -2.26533e-05
    -0.000254079    -0.000238511
    -0.000111701    -0.000107888
    -0.000375576    -0.000340449
     -2.8222e-05    -2.95001e-05
      -2.798e-05    -2.92176e-05
     -2.8408e-05    -2.94321e-05
      -6.258e-06    -6.85576e-06
     -3.4261e-05    -3.52098e-05
    -0.000824016    -0.000779556
     -7.1725e-05    -6.36214e-05
     -1.1608e-05    -1.17088e-05
    -0.000706322    -0.000657231
     -5.9783e-05    -6.02115e-05
    -0.000115606    -0.000110649
     -6.1974e-05     -6.1938e-05
     -0.00047419    -0.000440915
      -8.235e-06    -9.03883e-06
    -0.000801326    -0.000742059
     -0.00103348    -0.000982348
    -0.000139695    -0.000128162
      -5.593e-06    -6.28519e-06
    -0.000353737    -0.000315728
      -2.291e-06    -2.55353e-06
     -3.7627e-05    -3.86117e-05
     -1.2715e-05    -1.36421e-05
     -4.7587e-05     -4.7856e-05
     -2.7284e-05    -2.82912e-05
      -2.937e-06    -3.42309e-06
      -1.916e-06    -2.17212e-06
      -1.919e-06    -2.14301e-06
    -0.000352918    -0.000313411
    -0.000477421    -0.000430233
     -1.2699e-05    -1.32318e-05
    -0.000219932    -0.000175434
     -8.8527e-05    -8.31973e-05
     -1.5984e-05    -1.71778e-05
    -0.000131632    -0.000110615
      -0.0011008      -0.0018057
      -7.037e-05    -6.89639e-05
    -0.000431624    -0.000400588
     -1.9465e-05    -2.02863e-05
    -0.000666543    -0.000627219
      -8.819e-06    -9.12054e-06
     -6.8996e-05    -6.92089e-05
    -0.000375992     -0.00029468
    -0.000438022    -0.000398218
    -0.000139815    -0.000135098
     -8.2512e-05    -8.06912e-05
     -9.8092e-05    -9.46449e-05
    -0.000904708    -0.000876786
      -0.0002555    -0.000240581
      -2.169e-06    -2.54686e-06
    -0.000763574    -0.000724994
    -0.000436337    -0.000405364
    -0.000741909    -0.000634228
     -8.5576e-05    -7.77689e-05
      -6.229e-06    -6.80576e-06
    -0.000755095    -0.000734008
      -3.378e-06    -3.88698e-06
      -7.067e-06    -7.32753e-06
    -0.000218104    -0.000202615
    -0.000159389    -0.000149804
    -0.000555784    -0.000477081
     -6.5593e-05    -6.48914e-05
    -0.000703956     -0.00067209
     -3.2915e-05    -3.36268e-05
     -0.00023227    -0.000192685
     -9.1864e-05    -8.89779e-05
     -0.00064657    -0.000527227
     -4.4049e-05    -3.95583e-05
    -0.000656699    -0.000631344
    -0.000427366    -0.000399049
      -2.546e-06    -2.86641e-06
    -0.000817014    -0.000778769
    -0.000914003    -0.000957441
      -3.132e-05    -2.95416e-05
