QM Energy	FF Energy
    -0.000789225    -0.000821162
     -0.00226772     -0.00219451
    -0.000521538    -0.000510976
    -0.000456991    -0.000453714
    -0.000644894    -0.000572128
     -0.00419548     -0.00405381
     -0.00476223     -0.00465914
     -0.00565108      -0.0056993
     -0.00193342     -0.00193488
      -0.0013261     -0.00129853
     -0.00117723     -0.00117789
     -0.00125662     -0.00129443
    -0.000612549    -0.000555487
    -0.000394974    -0.000386972
    -0.000361447    -0.000371969
    -0.000876562    -0.000830232
    -0.000370923    -0.000364243
     -0.00130345     -0.00124562
     -0.00266627     -0.00245007
     -0.00159588     -0.00161595
    -0.000690115    -0.000681411
    -0.000470018    -0.000491738
    -0.000342987    -0.000338996
     -0.00147479     -0.00142185
    -0.000866531    -0.000871741
     -0.00182128     -0.00184337
     -0.00160311     -0.00161111
     -0.00162637       -0.001504
    -0.000526239    -0.000480112
    -0.000675342    -0.000627652
     -0.00233657     -0.00238338
     -0.00593116      -0.0062084
     -0.00203059     -0.00185386
     -0.00294248     -0.00272637
     -0.00400114     -0.00432048
    -0.000596554    -0.000534382
      -0.0041377     -0.00425951
     -0.00436035     -0.00450855
    -0.000863353    -0.000864989
    -0.000709363    -0.000633664
     -0.00380798     -0.00407562
    -0.000803994    -0.000744639
      -0.0071381     -0.00733843
     -0.00167246     -0.00177042
    -0.000394065    -0.000409237
    -0.000923374    -0.000853701
     -0.00583901     -0.00589585
     -0.00167208     -0.00165828
     -0.00467168     -0.00488334
    -0.000414574    -0.000372866
     -0.00188228     -0.00177293
     -0.00636215     -0.00666381
     -0.00115507     -0.00108462
     -0.00582876     -0.00565569
     -0.00201039      -0.0021103
     -0.00126283      -0.0012685
    -0.000503335    -0.000475611
     -0.00216072     -0.00205613
    -0.000411644    -0.000380627
      -0.0019232     -0.00196542
     -0.00364137     -0.00374225
     -0.00251932     -0.00240304
    -0.000891056    -0.000919414
     -0.00100716    -0.000980217
     -0.00370054     -0.00387642
     -0.00294298     -0.00305006
     -0.00573016     -0.00550099
    -0.000337139     -0.00035057
     -0.00697648     -0.00738096
      -0.0029621     -0.00307664
     -0.00103486     -0.00095617
     -0.00313085     -0.00332067
     -0.00125736     -0.00127314
     -0.00154412     -0.00152857
     -0.00620719     -0.00617338
    -0.000830074    -0.000857543
     -0.00106468    -0.000950708
     -0.00228961      -0.0023257
    -0.000671716    -0.000682028
    -0.000650671    -0.000670614
     -0.00717779     -0.00716957
    -0.000558072    -0.000564889
      -0.0010352     -0.00103905
    -0.000585648    -0.000593311
    -0.000396873     -0.00041219
       -0.001503     -0.00152433
     -0.00768202     -0.00793786
      -0.0029013      -0.0026718
     -0.00236696      -0.0023919
     -0.00186073     -0.00181377
     -0.00200281     -0.00208097
     -0.00200551     -0.00213446
     -0.00364901     -0.00346104
    -0.000385821    -0.000364347
    -0.000430776    -0.000429439
    -0.000343237    -0.000338581
     -0.00108466     -0.00103311
    -0.000370747    -0.000336801
      -0.0016792     -0.00157411
     -0.00485823      -0.0049313
      -0.0002884    -0.000294811
       -0.010374      -0.0105327
    -0.000980164    -0.000904195
     -0.00344494     -0.00355796
    -0.000410829    -0.000388353
    -0.000355975    -0.000359627
    -0.000726532    -0.000674912
     -0.00163695     -0.00148622
