QM Energy	FF Energy
    -0.000789225    -0.000811454
     -0.00226772     -0.00202163
    -0.000521538    -0.000527045
    -0.000456991    -0.000462498
    -0.000644894    -0.000586934
     -0.00419548     -0.00407239
     -0.00476223     -0.00429888
     -0.00565108     -0.00540419
     -0.00193342     -0.00190636
      -0.0013261      -0.0013833
     -0.00117723     -0.00120739
     -0.00125662     -0.00125469
    -0.000612549    -0.000626242
    -0.000394974    -0.000392373
    -0.000361447    -0.000369765
    -0.000876562    -0.000877704
    -0.000370923    -0.000363306
     -0.00130345     -0.00136588
     -0.00266627      -0.0024339
     -0.00159588     -0.00161473
    -0.000690115    -0.000678787
    -0.000470018     -0.00047816
    -0.000342987    -0.000344105
     -0.00147479     -0.00154888
    -0.000866531    -0.000868724
     -0.00182128     -0.00185972
     -0.00160311     -0.00162667
     -0.00162637     -0.00162635
    -0.000526239    -0.000468075
    -0.000675342    -0.000658084
     -0.00233657     -0.00245166
     -0.00593116     -0.00602925
     -0.00203059     -0.00194126
     -0.00294248      -0.0027315
     -0.00400114      -0.0042024
    -0.000596554    -0.000543481
      -0.0041377     -0.00417027
     -0.00436035     -0.00451168
    -0.000863353    -0.000861691
    -0.000709363    -0.000628304
     -0.00380798     -0.00397519
    -0.000803994    -0.000838885
      -0.0071381     -0.00747042
     -0.00167246     -0.00174542
    -0.000394065    -0.000403337
    -0.000923374    -0.000791321
     -0.00583901     -0.00573099
     -0.00167208     -0.00170127
     -0.00467168      -0.0047857
    -0.000414574     -0.00040249
     -0.00188228      -0.0017502
     -0.00636215     -0.00658387
     -0.00115507     -0.00099301
     -0.00582876     -0.00548654
     -0.00201039      -0.0020982
     -0.00126283     -0.00126262
    -0.000503335    -0.000445858
     -0.00216072     -0.00221987
    -0.000411644    -0.000388165
      -0.0019232     -0.00200119
     -0.00364137     -0.00367195
     -0.00251932     -0.00257246
    -0.000891056    -0.000917879
     -0.00100716     -0.00104687
     -0.00370054     -0.00378488
     -0.00294298     -0.00302737
     -0.00573016     -0.00546317
    -0.000337139    -0.000346835
     -0.00697648     -0.00733539
      -0.0029621     -0.00307754
     -0.00103486     -0.00105531
     -0.00313085     -0.00326907
     -0.00125736      -0.0012679
     -0.00154412     -0.00151085
     -0.00620719     -0.00632013
    -0.000830074    -0.000826279
     -0.00106468    -0.000956659
     -0.00228961     -0.00225383
    -0.000671716    -0.000709376
    -0.000650671    -0.000668512
     -0.00717779     -0.00719591
    -0.000558072    -0.000561455
      -0.0010352     -0.00106324
    -0.000585648    -0.000591724
    -0.000396873    -0.000407079
       -0.001503       -0.001516
     -0.00768202     -0.00791313
      -0.0029013     -0.00268324
     -0.00236696     -0.00235127
     -0.00186073     -0.00177476
     -0.00200281     -0.00207606
     -0.00200551     -0.00209571
     -0.00364901     -0.00362739
    -0.000385821    -0.000408749
    -0.000430776    -0.000452813
    -0.000343237    -0.000372685
     -0.00108466    -0.000949614
    -0.000370747    -0.000358516
      -0.0016792     -0.00172949
     -0.00485823     -0.00473987
      -0.0002884    -0.000291835
       -0.010374      -0.0105654
    -0.000980164     -0.00085652
     -0.00344494     -0.00352424
    -0.000410829    -0.000373198
    -0.000355975    -0.000361943
    -0.000726532    -0.000686339
     -0.00163695     -0.00157388
     -0.00197381     -0.00204088
     -0.00350433       -0.003696
    -0.000366153    -0.000319471
     -0.00146185     -0.00134745
     -0.00444464     -0.00463064
     -0.00032866    -0.000326492
    -0.000757982    -0.000728157
     -0.00248832     -0.00226423
     -0.00184795     -0.00177354
    -0.000442802    -0.000445023
    -0.000310228     -0.00032691
    -0.000328202     -0.00033004
     -0.00474504     -0.00490129
     -0.00274694     -0.00279454
     -0.00122309     -0.00105258
    -0.000393158    -0.000405614
     -0.00108057     -0.00100666
     -0.00191373     -0.00197859
     -0.00421826      -0.0044178
     -0.00227565     -0.00203418
     -0.00143449     -0.00140073
    -0.000735593     -0.00071624
     -0.00365459     -0.00384331
    -0.000641805    -0.000655248
     -0.00112972     -0.00118885
      -0.0013334     -0.00130269
     -0.00697709     -0.00679049
     -0.00448449     -0.00463643
    -0.000415959    -0.000396561
     -0.00269744     -0.00270843
    -0.000286557    -0.000257183
     -0.00406378     -0.00426251
     -0.00038934    -0.000392109
    -0.000480571    -0.000443698
     -0.00386757     -0.00396122
     -0.00121714     -0.00124774
    -0.000858085    -0.000844252
    -0.000853675    -0.000733468
     -0.00154567     -0.00154171
     -0.00317615     -0.00317255
     -0.00177735     -0.00174503
    -0.000548685    -0.000582848
    -0.000410714     -0.00041211
     -0.00136029     -0.00140905
     -0.00143317     -0.00137726
     -0.00298813     -0.00305073
    -0.000450065    -0.000399979
     -0.00133026     -0.00138766
    -0.000597015    -0.000594398
     -0.00307129     -0.00312628
     -0.00452323     -0.00431667
     -0.00128714     -0.00113049
        -0.00104     -0.00107596
     -0.00547281     -0.00572105
     -0.00144869     -0.00148712
    -0.000528787    -0.000534415
     -0.00242149     -0.00243437
     -0.00230765     -0.00233602
    -0.000333039    -0.000341959
     -0.00175139     -0.00179691
    -0.000288593    -0.000298831
     -0.00121798     -0.00123046
     -0.00104729     -0.00106199
    -0.000353666    -0.000346709
    -0.000273027    -0.000254258
     -0.00167626     -0.00175854
    -0.000266336    -0.000235832
     -0.00151505     -0.00139734
     -0.00217095     -0.00228139
     -0.00430787     -0.00453499
    -0.000802548    -0.000845622
     -0.00305838     -0.00315773
     -0.00141642     -0.00144865
     -0.00268422     -0.00281482
    -0.000781163    -0.000743011
    -0.000453609    -0.000436698
     -0.00577571     -0.00603361
    -0.000437216    -0.000415157
     -0.00185638     -0.00189628
      -0.0012312     -0.00127201
     -0.00045826    -0.000447632
     -0.00375627     -0.00381005
    -0.000459795    -0.000475194
     -0.00150723     -0.00154918
     -0.00121201     -0.00119424
     -0.00118012     -0.00115419
    -0.000377318      -0.0003854
    -0.000994718    -0.000969544
     -0.00262408     -0.00273574
     -0.00811064      -0.0084424
      -0.0013481      -0.0013234
    -0.000376299    -0.000372852
     -0.00127453     -0.00135936
      -0.0040412     -0.00405821
     -0.00356432     -0.00358132
     -0.00238468     -0.00236972
     -0.00309478     -0.00312686
     -0.00547224      -0.0050102
    -0.000701615    -0.000715693
     -0.00275283     -0.00284612
    -0.000445384    -0.000389155
     -0.00313365     -0.00321895
    -0.000399988    -0.000352497
    -0.000409246    -0.000399962
