QM Energy	FF Energy
     -7.7795e-05    -6.37366e-05
      -0.0012825     -0.00113683
     -3.1024e-05    -3.52998e-05
     -2.3234e-05      -2.389e-05
    -0.000102858    -5.25099e-05
     -0.00336268     -0.00284477
      -0.0058685     -0.00525741
     -0.00673965      -0.0072054
    -0.000989634    -0.000905728
     -0.00021314    -0.000277989
    -0.000192448    -0.000247813
    -0.000214022    -0.000228554
     -5.8788e-05    -8.91845e-05
     -2.5596e-05    -4.23742e-05
     -1.9848e-05    -1.26989e-05
    -0.000114158    -0.000114061
     -2.5547e-05    -3.72191e-05
    -0.000284726    -0.000350334
     -0.00187918     -0.00145374
    -0.000562147    -0.000596247
    -0.000101277    -9.58333e-05
     -2.5943e-05       3.969e-06
      -1.711e-05    -4.00304e-05
    -0.000324003    -0.000380159
    -0.000138484    -0.000141807
    -0.000500417    -0.000589683
      -0.0003726    -0.000433969
    -0.000507018    -0.000557086
     -6.8812e-05    -6.80301e-06
     -7.7004e-05    -9.01287e-05
    -0.000745731    -0.000877213
     -0.00512526     -0.00621374
    -0.000957018     -0.00076588
      -0.0021968     -0.00177408
     -0.00354284     -0.00398549
     -8.3545e-05    -4.65244e-05
     -0.00387576     -0.00354256
     -0.00249367     -0.00276898
    -0.000152355    -0.000139159
    -0.000129976    -6.75554e-05
     -0.00321507      -0.0035288
       -0.000103     -0.00015667
     -0.00566699     -0.00579296
    -0.000527775    -0.000597957
     -2.2271e-05    -3.33832e-06
    -0.000225542    -0.000126903
     -0.00613359     -0.00727673
    -0.000378675    -0.000442883
     -0.00307713     -0.00371645
     -3.0074e-05    -2.69158e-05
     -0.00077199    -0.000581113
     -0.00640908     -0.00636861
    -0.000348136    -0.000242969
     -0.00799997     -0.00709199
    -0.000604416    -0.000662983
    -0.000216017    -0.000199612
     -5.3175e-05      -1.612e-05
    -0.000810554    -0.000898531
     -3.4266e-05    -4.54537e-06
    -0.000577498    -0.000629247
     -0.00306698     -0.00281721
     -0.00104001     -0.00131386
    -0.000111451    -0.000107373
    -0.000120746    -0.000165847
      -0.0019202     -0.00239211
     -0.00161587     -0.00149415
     -0.00746844     -0.00641852
     -1.5528e-05     5.99574e-07
     -0.00710008     -0.00703312
     -0.00117638      -0.0012784
    -0.000177135    -0.000242474
     -0.00197369     -0.00215146
    -0.000320455    -0.000332732
    -0.000635097    -0.000592709
