QM Energy	FF Energy
    -0.000655155    -0.000623649
    -0.000325378    -0.000362259
    -0.000475881    -0.000471051
    -0.000423651    -0.000416224
    -0.000510343    -0.000489744
     0.000881163     0.000584991
      0.00389481      0.00339102
      0.00521331      0.00568006
      -3.881e-05    -0.000201562
    -0.000919168      -0.0009169
    -0.000787069    -0.000769404
    -0.000909906    -0.000805979
    -0.000521506    -0.000513746
    -0.000341453    -0.000356215
    -0.000319189    -0.000318256
    -0.000692075    -0.000696938
    -0.000316167    -0.000329636
    -0.000791756    -0.000759616
     0.000166948    -0.000167303
    -0.000478628    -0.000522554
    -0.000476316     -0.00050513
    -0.000448876    -0.000416759
    -0.000306284    -0.000332119
    -0.000880863    -0.000883448
    -0.000564112    -0.000601892
    -0.000819386    -0.000744844
    -0.000865187    -0.000801076
    -0.000669421    -0.000635464
      -0.0004636    -0.000417064
    -0.000561504    -0.000507694
    -0.000825175    -0.000806861
      0.00275271      0.00388712
    -0.000475832    -0.000651569
     0.000435039     7.78559e-05
      0.00292227      0.00324419
    -0.000491936    -0.000454296
       0.0029315      0.00252282
     0.000294594     0.000570433
    -0.000542436    -0.000579952
    -0.000542222    -0.000501812
      0.00258446      0.00265245
     -0.00063368    -0.000621799
      0.00378617       0.0038898
    -0.000555472    -0.000538388
    -0.000357124     -0.00034279
    -0.000635534    -0.000574958
      0.00521081      0.00602967
     -0.00094466    -0.000888538
     0.000781929      0.00143882
     -0.00038046      -0.0003649
    -0.000735794    -0.000798262
      0.00556509      0.00547851
    -0.000675258    -0.000617028
      0.00610559      0.00541988
    -0.000739661    -0.000732371
    -0.000905311    -0.000841795
    -0.000461708    -0.000386379
    -0.000510976    -0.000434203
    -0.000382031    -0.000359625
    -0.000733416    -0.000831841
      0.00203153      0.00162665
    -0.000279134     -7.6229e-05
    -0.000657427    -0.000657553
    -0.000787561    -0.000794846
    -0.000223135     0.000279096
     0.000304649     -3.1767e-05
      0.00562451       0.0047188
    -0.000311581     -0.00030203
      0.00660769      0.00611126
    -0.000562855    -0.000517529
     -0.00070125    -0.000643457
     0.000978592     0.000875482
    -0.000601548    -0.000615836
    -0.000302814     -0.00042167
      0.00332141      0.00301948
    -0.000717624    -0.000648287
    -0.000628312    -0.000627719
    -0.000911893    -0.000728329
    -0.000578091    -0.000619247
    -0.000497235     -0.00051538
      0.00548174      0.00554323
     -0.00041043    -0.000421586
    -0.000692965    -0.000707673
    -0.000464802    -0.000481555
    -0.000389975    -0.000366619
    -0.000593948    -0.000652471
      0.00759112      0.00741659
     0.000340188    -8.26541e-05
      0.00036945     0.000157927
     -0.00086366    -0.000830703
    -0.000907808    -0.000853962
    -0.000643646    -0.000527381
      0.00111179      0.00101569
    -0.000377026     -0.00040251
    -0.000406831    -0.000433437
     -0.00034829    -0.000384307
    -0.000679909    -0.000571378
    -0.000344596    -0.000338894
    -0.000696591    -0.000607624
      0.00306185      0.00382434
    -0.000264613    -0.000255173
       0.0126689       0.0130039
    -0.000658804    -0.000621105
      0.00113543     0.000490706
    -0.000395639    -0.000344775
    -0.000332384    -0.000328298
    -0.000580565    -0.000517702
    -0.000615841    -0.000693504
     -9.6112e-05    -0.000166677
      0.00173756        0.001972
    -0.000353815    -0.000296693
     -0.00070516    -0.000559445
      0.00148978     0.000964396
    -0.000292488    -0.000315118
    -0.000612203    -0.000530423
    -0.000234117    -0.000448673
    -0.000663172    -0.000795788
     -0.00040344    -0.000404207
     -0.00029287    -0.000311708
    -0.000322024    -0.000308538
     0.000703892      0.00103662
    -0.000874712    -0.000721364
    -0.000662709    -0.000588735
     -0.00037244    -0.000390658
    -0.000722905    -0.000725352
    -0.000203696     -0.00032728
      0.00046532     0.000685738
    -0.000281248    -0.000497743
    -0.000357032    -0.000461077
     -0.00047286    -0.000505514
      0.00227096      0.00261733
    -0.000466765    -0.000486202
    -0.000771713    -0.000752534
    -0.000400052    -0.000492106
      0.00844102      0.00905059
     0.000551003      0.00131227
    -0.000376514    -0.000362835
    -0.000154332     0.000113178
    -0.000283325    -0.000243107
      0.00137222      0.00136002
    -0.000326088    -0.000334725
    -0.000457549    -0.000403304
      0.00175119     0.000952806
    -0.000465642      -0.0004898
     -0.00071071    -0.000668123
    -0.000631463    -0.000555101
    -0.000805506    -0.000865994
     0.000472401     0.000290797
    -0.000627348    -0.000559606
    -0.000506656      -0.0005303
      -0.0003584    -0.000358914
    -0.000782529    -0.000870001
    -0.000684359    -0.000634962
     -7.9737e-05    -0.000157468
    -0.000440422    -0.000368219
    -0.000896571    -0.000887855
    -0.000500233     -0.00050875
     -0.00061479    -0.000477976
      0.00265292      0.00313707
    -0.000720008    -0.000658891
    -0.000655969    -0.000677261
      0.00154331      0.00174557
    -0.000414934     -0.00048578
    -0.000463002    -0.000467105
    -0.000950777     -0.00082309
    -0.000149611    -0.000369391
    -0.000310001    -0.000298024
    -0.000606118    -0.000731685
    -0.000288065    -0.000297777
    -0.000605048    -0.000651166
    -0.000610536    -0.000675468
    -0.000305062    -0.000318272
     -0.00027097    -0.000241144
    -0.000994773    -0.000974401
    -0.000285376    -0.000223731
     -0.00066329    -0.000577167
    -0.000872508    -0.000881574
      0.00336784      0.00385018
    -0.000654165    -0.000665379
      6.3541e-05     0.000238451
     -0.00073233    -0.000712705
    -0.000735661    -0.000677709
    -0.000618777    -0.000535594
    -0.000417635    -0.000383137
      0.00320755      0.00299375
    -0.000423214    -0.000379725
    -0.000526254    -0.000495581
    -0.000538116    -0.000545425
    -0.000366783    -0.000375205
      0.00217399      0.00185361
    -0.000399742     -0.00040275
    -0.000735347    -0.000727785
    -0.000840461    -0.000817494
    -0.000676695    -0.000690777
    -0.000324084    -0.000337457
    -0.000650902    -0.000672095
      0.00050008     0.000352252
       0.0073583      0.00744488
    -0.000393155     -0.00045771
    -0.000356921    -0.000353356
     -0.00094112    -0.000942796
     0.000350439     0.000198804
     0.000921664      0.00102004
    -0.000903817    -0.000747007
      0.00103643     0.000669865
      0.00550953      0.00454941
     -0.00054255    -0.000594077
    -0.000157139    -0.000305678
    -0.000414126    -0.000355273
     0.000652236     0.000359425
    -0.000386116    -0.000326607
    -0.000377991    -0.000363213
      0.00636873      0.00597314
    -0.000318059    -0.000323866
     -0.00066045    -0.000715432
    -0.000308932    -0.000313159
    -0.000474785    -0.000489868
    -0.000623238    -0.000459348
    -0.000575694    -0.000492903
    -0.000111116    -0.000439128
    -0.000339596    -0.000356611
    -0.000732272    -0.000766676
    -0.000859024    -0.000802865
     -0.00073492    -0.000655918
    -0.000416627    -0.000443921
    -0.000347868    -0.000362401
      0.00883803      0.00849232
      0.00852196      0.00918579
    -0.000347914    -0.000367039
      0.00339591       0.0035792
    -0.000316726    -0.000329995
       0.0103371        0.011742
      0.00369759      0.00273465
     0.000124552     5.78829e-05
    -0.000421695    -0.000435554
    -0.000632811    -0.000632058
    -0.000314675    -0.000271861
    -0.000342545    -0.000350119
    -0.000388831    -0.000288979
      0.00482298      0.00481366
    -0.000576483     -0.00058229
     -0.00081231    -0.000865442
      0.00196361      0.00222713
     -0.00041313    -0.000406522
      0.00226227      0.00231686
    -0.000589842    -0.000629574
    -0.000422583    -0.000376709
    -0.000426625    -0.000446761
    -0.000380712    -0.000351609
    -0.000589524    -0.000561776
    -0.000569713    -0.000571735
     0.000491925       0.0005062
     0.000892977      0.00109094
    -0.000508897    -0.000614666
    -0.000498405    -0.000474184
    -0.000590341    -0.000539083
    -0.000724281    -0.000747968
    -0.000982059    -0.000840523
    -0.000333688    -0.000310942
      0.00177477      0.00115864
    -0.000390532     -0.00038701
    -0.000350637    -0.000377862
    -0.000518915     -0.00053435
      0.00282389       0.0027491
    -0.000277528     -0.00027264
    -0.000812276    -0.000787746
      0.00124662     0.000893134
     0.000156234     0.000189319
     0.000820235     0.000306918
       8.332e-05     0.000313488
     0.000665364     0.000622481
    -0.000819192    -0.000599963
    -0.000589783    -0.000615019
     0.000416263     0.000142632
    -0.000563713    -0.000551927
    -0.000623621    -0.000649825
    -0.000559581    -0.000688637
    -0.000513781    -0.000532152
    -0.000432497    -0.000464674
    -0.000379544    -0.000245475
    -0.000173649    -0.000216645
      0.00215137      0.00234217
    -0.000447347    -0.000561147
    -0.000759582    -0.000731449
    -0.000532427    -0.000468946
    -0.000673125    -0.000580268
    -0.000794683     -0.00076618
    -0.000364333    -0.000352356
    -0.000304602    -0.000322556
      0.00417462      0.00383872
    -0.000701692    -0.000576229
    -0.000647908     -0.00061263
      0.00244679      0.00194796
      0.00148159      0.00113711
      0.00126958      0.00158435
    -0.000417243    -0.000368426
      0.00423962       0.0041889
    -0.000715445    -0.000729337
      0.00598207      0.00534736
     0.000434185     0.000441396
    -0.000359185    -0.000373684
    -0.000642455    -0.000637102
    -0.000396929    -0.000394555
    -0.000443325    -0.000574053
    -0.000376583    -0.000386364
    -0.000377639    -0.000474057
     0.000576523     0.000207369
      0.00202304        0.002082
     -0.00040549     -0.00043495
    -0.000727481    -0.000648488
    -0.000423271    -0.000438251
    -0.000587704    -0.000569434
     -0.00041048    -0.000395214
    -0.000884418    -0.000900277
    -0.000903953    -0.000841247
     0.000883484     0.000876172
    -0.000517396    -0.000708071
    -0.000189929    -0.000125335
     0.000917461      0.00110257
    -0.000468141    -0.000472237
      2.9166e-05    -9.44938e-05
    -0.000602279    -0.000555136
    -0.000876174    -0.000890594
     0.000143549       0.0001327
    -0.000620526    -0.000607992
    -0.000331401     -0.00027593
    -0.000347115    -0.000366987
      -0.0002726    -0.000112047
    -0.000900545    -0.000884703
    -0.000647927    -0.000727911
     -0.00066672    -0.000671455
      0.00017752     0.000627053
    -0.000322419    -0.000304672
    -0.000598947    -0.000530514
    -0.000474676    -0.000528562
    -0.000737161    -0.000723531
    -0.000920576     -0.00080971
      0.00157018      0.00092268
     0.000994191     0.000882359
     0.000991849      0.00110361
    -0.000613442    -0.000522286
    -0.000921094    -0.000894179
     -0.00044502     -0.00044163
    -0.000368045    -0.000394126
    -0.000392313    -0.000397258
    -0.000513485    -0.000526226
     -0.00052331    -0.000535488
    -0.000504375    -0.000422472
    -0.000840174    -0.000852562
    -0.000635337    -0.000551201
    -0.000442027    -0.000373174
    -0.000530177    -0.000499101
    -0.000654982    -0.000654326
      0.00191091      0.00167497
    -0.000420678    -0.000444011
    -0.000458566    -0.000446331
    -0.000728506     -0.00060056
      0.00269444      0.00238411
    -0.000255845    -0.000536265
    -0.000608738    -0.000679928
    -0.000808173     -0.00081523
    -0.000363232     -0.00032785
    -0.000599285    -0.000565073
    -0.000537047    -0.000544121
      -0.0010152     -0.00100447
     0.000218486     0.000315193
    -0.000407354    -0.000430452
    -0.000635259    -0.000637279
      0.00141148     0.000941994
    -0.000332918    -0.000278811
     0.000533326     0.000483479
